"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM1","4.1307239682927948410738377052738949815548344542550289212682937199911119205057164952031628653397258473216393796466544","SUSYc1XM1/32768 - SUSYc1XM11/32 - SUSYc1XM3/8192 + SUSYc1XM5/2048 - SUSYc1XM7/512 + SUSYc1XM9/128 - SUSYc2XM1/32768 + (SUSYc1XM10*SUSYc2XM1)/32 + (SUSYc1XM2*SUSYc2XM1)/8192 - (SUSYc1XM4*SUSYc2XM1)/2048 + (SUSYc1XM6*SUSYc2XM1)/512 - (SUSYc1XM1*SUSYc2XM2)/8192 + (SUSYc1XM11*SUSYc2XM2)/8 + (SUSYc1XM3*SUSYc2XM2)/2048 - (SUSYc1XM5*SUSYc2XM2)/512 + (SUSYc1XM7*SUSYc2XM2)/128 - (SUSYc1XM9*SUSYc2XM2)/32 + SUSYc2XM3/8192 - (SUSYc1XM10*SUSYc2XM3)/8 - (SUSYc1XM2*SUSYc2XM3)/2048 + (SUSYc1XM4*SUSYc2XM3)/512 - (SUSYc1XM6*SUSYc2XM3)/128","{1/32768 - SUSYc2XM2/8192, SUSYc2XM1/8192 - SUSYc2XM3/2048, -1/8192 + SUSYc2XM2/2048, -1/2048*SUSYc2XM1 + SUSYc2XM3/512, 1/2048 - SUSYc2XM2/512, SUSYc2XM1/512 - SUSYc2XM3/128, -1/512 + SUSYc2XM2/128, 1/128 - SUSYc2XM2/32, SUSYc2XM1/32 - SUSYc2XM3/8, -1/32 + SUSYc2XM2/8, -1/32768 + SUSYc1XM10/32 + SUSYc1XM2/8192 - SUSYc1XM4/2048 + SUSYc1XM6/512, -1/8192*SUSYc1XM1 + SUSYc1XM11/8 + SUSYc1XM3/2048 - SUSYc1XM5/512 + SUSYc1XM7/128 - SUSYc1XM9/32, 1/8192 - SUSYc1XM10/8 - SUSYc1XM2/2048 + SUSYc1XM4/512 - SUSYc1XM6/128}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM2","15.0087908133271414921788540356342834566594710252460556470728810517322938573561062716609889261240786272234698080153201","1/4096 + SUSYc1XM10/16 - (3*SUSYc1XM2)/4096 + SUSYc1XM4/512 - SUSYc1XM6/256 + (SUSYc1XM1*SUSYc2XM1)/1024 + (SUSYc1XM11*SUSYc2XM1)/4 - (3*SUSYc1XM3*SUSYc2XM1)/1024 + (SUSYc1XM5*SUSYc2XM1)/128 - (SUSYc1XM7*SUSYc2XM1)/64 - (5*SUSYc2XM2)/4096 + (SUSYc1XM2*SUSYc2XM2)/256 - (3*SUSYc1XM4*SUSYc2XM2)/256 + (SUSYc1XM6*SUSYc2XM2)/32 - (5*SUSYc1XM1*SUSYc2XM3)/1024 + (SUSYc1XM3*SUSYc2XM3)/64 - (3*SUSYc1XM5*SUSYc2XM3)/64 + (SUSYc1XM7*SUSYc2XM3)/8 - (SUSYc1XM9*SUSYc2XM3)/4","{SUSYc2XM1/1024 - (5*SUSYc2XM3)/1024, -3/4096 + SUSYc2XM2/256, (-3*SUSYc2XM1)/1024 + SUSYc2XM3/64, 1/512 - (3*SUSYc2XM2)/256, SUSYc2XM1/128 - (3*SUSYc2XM3)/64, -1/256 + SUSYc2XM2/32, -1/64*SUSYc2XM1 + SUSYc2XM3/8, -1/4*SUSYc2XM3, 1/16, SUSYc2XM1/4, SUSYc1XM1/1024 + SUSYc1XM11/4 - (3*SUSYc1XM3)/1024 + SUSYc1XM5/128 - SUSYc1XM7/64, -5/4096 + SUSYc1XM2/256 - (3*SUSYc1XM4)/256 + SUSYc1XM6/32, (-5*SUSYc1XM1)/1024 + SUSYc1XM3/64 - (3*SUSYc1XM5)/64 + SUSYc1XM7/8 - SUSYc1XM9/4}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM3","36.423321181930583454266797634650793831711121864915440909370213762780373674076118736997610764295865981929742490542836","(-9*SUSYc1XM1)/4096 + (3*SUSYc1XM11)/8 + (7*SUSYc1XM3)/2048 - (3*SUSYc1XM7)/128 + SUSYc1XM9/16 + (17*SUSYc2XM1)/4096 + (SUSYc1XM10*SUSYc2XM1)/8 - (19*SUSYc1XM2*SUSYc2XM1)/2048 + (SUSYc1XM4*SUSYc2XM1)/64 - (SUSYc1XM6*SUSYc2XM1)/128 + (35*SUSYc1XM1*SUSYc2XM2)/2048 - (5*SUSYc1XM3*SUSYc2XM2)/128 + (9*SUSYc1XM5*SUSYc2XM2)/128 - (SUSYc1XM7*SUSYc2XM2)/16 - (SUSYc1XM9*SUSYc2XM2)/8 - (55*SUSYc2XM3)/2048 + (9*SUSYc1XM2*SUSYc2XM3)/128 - (21*SUSYc1XM4*SUSYc2XM3)/128 + (5*SUSYc1XM6*SUSYc2XM3)/16","{-9/4096 + (35*SUSYc2XM2)/2048, (-19*SUSYc2XM1)/2048 + (9*SUSYc2XM3)/128, 7/2048 - (5*SUSYc2XM2)/128, SUSYc2XM1/64 - (21*SUSYc2XM3)/128, (9*SUSYc2XM2)/128, -1/128*SUSYc2XM1 + (5*SUSYc2XM3)/16, -3/128 - SUSYc2XM2/16, 1/16 - SUSYc2XM2/8, SUSYc2XM1/8, 3/8, 17/4096 + SUSYc1XM10/8 - (19*SUSYc1XM2)/2048 + SUSYc1XM4/64 - SUSYc1XM6/128, (35*SUSYc1XM1)/2048 - (5*SUSYc1XM3)/128 + (9*SUSYc1XM5)/128 - SUSYc1XM7/16 - SUSYc1XM9/8, -55/2048 + (9*SUSYc1XM2)/128 - (21*SUSYc1XM4)/128 + (5*SUSYc1XM6)/16}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM4","75.0400625334161502317847671767928771203418289889076734310628541415632969416799248714219260654012742212093876732628102","-1/256 + SUSYc1XM10/4 + SUSYc1XM2/1024 + SUSYc1XM4/64 - (3*SUSYc1XM6)/64 - (5*SUSYc1XM1*SUSYc2XM1)/256 + (SUSYc1XM3*SUSYc2XM1)/64 + (SUSYc1XM5*SUSYc2XM1)/32 - (SUSYc1XM7*SUSYc2XM1)/8 + (55*SUSYc2XM2)/1024 - (3*SUSYc1XM2*SUSYc2XM2)/32 + (7*SUSYc1XM4*SUSYc2XM2)/64 + (15*SUSYc1XM1*SUSYc2XM3)/64 - (7*SUSYc1XM3*SUSYc2XM3)/16 + (5*SUSYc1XM5*SUSYc2XM3)/8 - (SUSYc1XM7*SUSYc2XM3)/2","{(-5*SUSYc2XM1)/256 + (15*SUSYc2XM3)/64, 1/1024 - (3*SUSYc2XM2)/32, SUSYc2XM1/64 - (7*SUSYc2XM3)/16, 1/64 + (7*SUSYc2XM2)/64, SUSYc2XM1/32 + (5*SUSYc2XM3)/8, -3/64, -1/8*SUSYc2XM1 - SUSYc2XM3/2, 0, 1/4, 0, (-5*SUSYc1XM1)/256 + SUSYc1XM3/64 + SUSYc1XM5/32 - SUSYc1XM7/8, 55/1024 - (3*SUSYc1XM2)/32 + (7*SUSYc1XM4)/64, (15*SUSYc1XM1)/64 - (7*SUSYc1XM3)/16 + (5*SUSYc1XM5)/8 - SUSYc1XM7/2}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM5","120.9206881149957555173307011066009729905668543541056629811256662343761582525294901518236902780823865248941100190110429","(-25*SUSYc1XM1)/2048 + (11*SUSYc1XM3)/256 - (3*SUSYc1XM5)/64 - (3*SUSYc1XM7)/32 + SUSYc1XM9/8 - (55*SUSYc2XM1)/2048 - (3*SUSYc1XM2*SUSYc2XM1)/256 + (7*SUSYc1XM4*SUSYc2XM1)/64 - (5*SUSYc1XM6*SUSYc2XM1)/32 - (45*SUSYc1XM1*SUSYc2XM2)/256 + (7*SUSYc1XM3*SUSYc2XM2)/64 + (5*SUSYc1XM5*SUSYc2XM2)/32 - (3*SUSYc1XM7*SUSYc2XM2)/8 + (165*SUSYc2XM3)/256 - (63*SUSYc1XM2*SUSYc2XM3)/64 + (35*SUSYc1XM4*SUSYc2XM3)/32 - (5*SUSYc1XM6*SUSYc2XM3)/8","{-25/2048 - (45*SUSYc2XM2)/256, (-3*SUSYc2XM1)/256 - (63*SUSYc2XM3)/64, 11/256 + (7*SUSYc2XM2)/64, (7*SUSYc2XM1)/64 + (35*SUSYc2XM3)/32, -3/64 + (5*SUSYc2XM2)/32, (-5*SUSYc2XM1)/32 - (5*SUSYc2XM3)/8, -3/32 - (3*SUSYc2XM2)/8, 1/8, 0, 0, -55/2048 - (3*SUSYc1XM2)/256 + (7*SUSYc1XM4)/64 - (5*SUSYc1XM6)/32, (-45*SUSYc1XM1)/256 + (7*SUSYc1XM3)/64 + (5*SUSYc1XM5)/32 - (3*SUSYc1XM7)/8, 165/256 - (63*SUSYc1XM2)/64 + (35*SUSYc1XM4)/32 - (5*SUSYc1XM6)/8}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM6","161.5070441727151500669368586561190462696000534512652281164251653033187068450541056560709074955499593083924706349234148","-11/256 + (9*SUSYc1XM2)/128 - (3*SUSYc1XM6)/16 - (3*SUSYc1XM1*SUSYc2XM1)/32 + (7*SUSYc1XM3*SUSYc2XM1)/32 - (SUSYc1XM5*SUSYc2XM1)/8 - (SUSYc1XM7*SUSYc2XM1)/4 - (33*SUSYc2XM2)/128 + (7*SUSYc1XM4*SUSYc2XM2)/16 - (SUSYc1XM6*SUSYc2XM2)/2 - (63*SUSYc1XM1*SUSYc2XM3)/32 + (7*SUSYc1XM3*SUSYc2XM3)/4 - (3*SUSYc1XM5*SUSYc2XM3)/4","{(-3*SUSYc2XM1)/32 - (63*SUSYc2XM3)/32, 9/128, (7*SUSYc2XM1)/32 + (7*SUSYc2XM3)/4, (7*SUSYc2XM2)/16, -1/8*SUSYc2XM1 - (3*SUSYc2XM3)/4, -3/16 - SUSYc2XM2/2, -1/4*SUSYc2XM1, 0, 0, 0, (-3*SUSYc1XM1)/32 + (7*SUSYc1XM3)/32 - SUSYc1XM5/8 - SUSYc1XM7/4, -33/128 + (7*SUSYc1XM4)/16 - SUSYc1XM6/2, (-63*SUSYc1XM1)/32 + (7*SUSYc1XM3)/4 - (3*SUSYc1XM5)/4}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM7","169.9241030872718680468305597821981795998489353231771852669007136075951738543881289939786198376665647821137938514917611","(9*SUSYc1XM1)/128 + (7*SUSYc1XM3)/64 - SUSYc1XM5/4 - SUSYc1XM7/8 - (33*SUSYc2XM1)/128 + (21*SUSYc1XM2*SUSYc2XM1)/64 - (3*SUSYc1XM6*SUSYc2XM1)/8 - (21*SUSYc1XM1*SUSYc2XM2)/64 + (7*SUSYc1XM3*SUSYc2XM2)/8 - (5*SUSYc1XM5*SUSYc2XM2)/8 - (231*SUSYc2XM3)/64 + (21*SUSYc1XM2*SUSYc2XM3)/8 - (7*SUSYc1XM4*SUSYc2XM3)/8","{9/128 - (21*SUSYc2XM2)/64, (21*SUSYc2XM1)/64 + (21*SUSYc2XM3)/8, 7/64 + (7*SUSYc2XM2)/8, (-7*SUSYc2XM3)/8, -1/4 - (5*SUSYc2XM2)/8, (-3*SUSYc2XM1)/8, -1/8, 0, 0, 0, -33/128 + (21*SUSYc1XM2)/64 - (3*SUSYc1XM6)/8, (-21*SUSYc1XM1)/64 + (7*SUSYc1XM3)/8 - (5*SUSYc1XM5)/8, -231/64 + (21*SUSYc1XM2)/8 - (7*SUSYc1XM4)/8}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM9","62604.4978222803657372831917642642940270029903009216849913152599501407025877536602112952100712376473789097873233667355692","(9*SUSYc1XM2)/32 - SUSYc1XM4/4 - SUSYc1XM6/4 + (3*SUSYc1XM1*SUSYc2XM1)/8 + (SUSYc1XM3*SUSYc2XM1)/4 - (SUSYc1XM5*SUSYc2XM1)/2 - (33*SUSYc2XM2)/32 + (3*SUSYc1XM2*SUSYc2XM2)/2 - (3*SUSYc1XM4*SUSYc2XM2)/4 + (15*SUSYc1XM1*SUSYc2XM3)/4 - SUSYc1XM3*SUSYc2XM3","{(3*SUSYc2XM1)/8 + (15*SUSYc2XM3)/4, 9/32 + (3*SUSYc2XM2)/2, SUSYc2XM1/4 - SUSYc2XM3, -1/4 - (3*SUSYc2XM2)/4, -1/2*SUSYc2XM1, -1/4, 0, 0, 0, 0, (3*SUSYc1XM1)/8 + SUSYc1XM3/4 - SUSYc1XM5/2, -33/32 + (3*SUSYc1XM2)/2 - (3*SUSYc1XM4)/4, (15*SUSYc1XM1)/4 - SUSYc1XM3}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM10","-205427.6672936437894178816789097223549520043736600343364073600576259259306787032449774185738012097179663445725707068839374","(63*SUSYc1XM1)/128 - (5*SUSYc1XM3)/32 - (3*SUSYc1XM5)/8 + (33*SUSYc2XM1)/128 + (21*SUSYc1XM2*SUSYc2XM1)/32 - (5*SUSYc1XM4*SUSYc2XM1)/8 + (75*SUSYc1XM1*SUSYc2XM2)/32 - (7*SUSYc1XM3*SUSYc2XM2)/8 + (165*SUSYc2XM3)/32 - (9*SUSYc1XM2*SUSYc2XM3)/8","{63/128 + (75*SUSYc2XM2)/32, (21*SUSYc2XM1)/32 - (9*SUSYc2XM3)/8, -5/32 - (7*SUSYc2XM2)/8, (-5*SUSYc2XM1)/8, -3/8, 0, 0, 0, 0, 0, 33/128 + (21*SUSYc1XM2)/32 - (5*SUSYc1XM4)/8, (75*SUSYc1XM1)/32 - (7*SUSYc1XM3)/8, 165/32 - (9*SUSYc1XM2)/8}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13}}",500,"SUSYc1XM11","193164.3373115942332939441885542908413078667170124687243372459633679387840812631168086346794129184291450100600777432794302","11/16 + SUSYc1XM2/16 - SUSYc1XM4/2 + (5*SUSYc1XM1*SUSYc2XM1)/4 - (3*SUSYc1XM3*SUSYc2XM1)/4 + (55*SUSYc2XM2)/16 - SUSYc1XM2*SUSYc2XM2 - (5*SUSYc1XM1*SUSYc2XM3)/4","{(5*SUSYc2XM1)/4 - (5*SUSYc2XM3)/4, 1/16 - SUSYc2XM2, (-3*SUSYc2XM1)/4, -1/2, 0, 0, 0, 0, 0, 0, (5*SUSYc1XM1)/4 - (3*SUSYc1XM3)/4, 55/16 - SUSYc1XM2, (-5*SUSYc1XM1)/4}"
