var,b_final_value
SUSYc1XM1,-4.5002039896706326722130e+00
SUSYc1XM2,1.3239117342167338469990e+00
SUSYc1XM3,7.1055541922708947790310e+01
SUSYc1XM4,-3.8036920921328485476270e+02
SUSYc1XM6,-5.7280856886898670767280e+03
SUSYc1XM7,-6.4880671939915568741110e+03
SUSYc1XM8,-1.5610799356547337227830e+04
SUSYc1XM9,-9.3334896909364614986380e+03
SUSYc1XM10,-4.4308173392522034599870e+03
SUSYc2XM1,3.0001359931137551147950e+00
SUSYc2XM2,8.5406263751678187202360e+00
SUSYc2XM3,1.0951162558116561273110e+01
SUSYc2XM4,9.8034982826894770465580e+00
SUSYc2XM5,3.4325392234766231941230e+00
