var,b_final_value
SUSYc1XM1,-3.4402680670924287365534152501534140620400628061168319753180757115632944082469195088988314611414443872134513358366856196327239136098468981183375440790171887833320266172569968405116144972694561720027839760e+00
SUSYc1XM2,1.1387963119335030692613935034859026742352278914725579076544112410307934584167080015322501478263614858920173327451606691601570204380410432330503781098536133023707963589772522723811441260515507433070892050e+01
SUSYc1XM4,6.7816429260280907051484615886916620623983503406719271346274264117248484362215833896225203454826105869952642330090623963944840364230428847095872467824668309555921768297579522517115015756313298215272873160e+01
SUSYc1XM5,-2.4187883670812991229080939695197702919091150713806205569475074597882642741784937670447257924431360384956416428169756411355055276812177304099467236190019102728367456617477758924608409488214868922283249540e+01
SUSYc1XM6,-9.3654431081759628603939698263036093760925296204939877933227466930239877861658038786485848606583742354614692653897941760674833290960334023042750504847521578657644215917397793996303909484521800825226600800e+01
SUSYc1XM7,-9.6886698735364969312534653006107391293950536138883633221380722292339140746858068484152926643165295198179047055784940297184831586506626554236262536970202329106618684616195004786986308404017016408670560310e+01
SUSYc1XM8,1.3271101441230811968757894040281176316179005039061777173402518806254341472697271123285320842084915353026940480320142135185611737893689441760373923584924583296572742347517874767531222730441354785904111600e+02
SUSYc1XM9,2.6905897262735142112583664631006645003380194520208197586130447773143550920530179946856410625352259795461472823592396850029307468605942373546479878200162424107542046951976913804879565239886393575402895950e+02
SUSYc1XM10,1.0047181504845725988190128199379842627231013327887648375672018199409622571726930575532641382552868139161570317856369920768189061996228799995006634774438084163881522774963046231313998481740567549606785430e+02
SUSYc2XM1,1.7201340335462143682767076250767070310200314030584159876590378557816472041234597544494157305707221936067256679183428098163619568049234490591687720395085943916660133086284984202558072486347280860013919880e+00
SUSYc2XM2,2.7304068816975658668249798936661719285341803742387668504946822375551823180367375256437152013161482499741066748869862893836607183293546552072115219311235981228365026795168841703530889083856644751400326870e-01
SUSYc2XM3,-5.3300075265787904013500901618315028792410664734344176509790177420453442848772859828368272525175327838454589795215838126451855340633132890297464267603992454943650753113414531664933396566340646293094281680e+00
SUSYc2XM4,-4.6424992573885632825513250644422151988454794009837538009080497735156722331589388046230118740180477527001588197585675454647534861147473521521961534444334018262048949383195256939486754375565387524106611670e+00
SUSYc2XM5,6.7585713747941784409903398936375123711403494664136773136145436999827657948869016546331959515128528867100054325247038988686431703983663401935699781311839904751852031200087781102032033496198347218958406320e+00
SUSYc2XM6,1.2546157041305559964406215385196856464394513474645669928206462590576281881095262473788333295718889266186041052168665624757257647595685763024753272466097509963416291029820899680814216024384056026054778500e+01
SUSYc2XM7,4.8887111216069799242798525464150808909960436054130544528722248752098663128940445023890003074646848638995177313859558674714630959914020804974203170431533379186720570089004949177933256383220519972137565170e+00
