"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM1","6.1486280647887957066449725205149496903790007953715889878820957835665037311529071591276619696328581719962364854141354","1/114688 - SUSYc1XM10/112 - SUSYc1XM2/28672 + SUSYc1XM4/7168 - SUSYc1XM6/1792 + SUSYc1XM8/448 + (SUSYc1XM1*SUSYc2XM1)/28672 - (SUSYc1XM11*SUSYc2XM1)/28 - (SUSYc1XM3*SUSYc2XM1)/7168 + (SUSYc1XM5*SUSYc2XM1)/1792 + (SUSYc1XM9*SUSYc2XM1)/112 - SUSYc2XM2/28672 + (SUSYc1XM10*SUSYc2XM2)/28 + (SUSYc1XM2*SUSYc2XM2)/7168 - (SUSYc1XM4*SUSYc2XM2)/1792 + (SUSYc1XM6*SUSYc2XM2)/448 - (SUSYc1XM8*SUSYc2XM2)/112 - (SUSYc1XM1*SUSYc2XM3)/7168 + (SUSYc1XM11*SUSYc2XM3)/7 + (SUSYc1XM3*SUSYc2XM3)/1792 - (SUSYc1XM5*SUSYc2XM3)/448 - (SUSYc1XM9*SUSYc2XM3)/28 + SUSYc2XM4/7168 - (SUSYc1XM10*SUSYc2XM4)/7 - (SUSYc1XM2*SUSYc2XM4)/1792 + (SUSYc1XM4*SUSYc2XM4)/448 - (SUSYc1XM6*SUSYc2XM4)/112 + (SUSYc1XM8*SUSYc2XM4)/28","{SUSYc2XM1/28672 - SUSYc2XM3/7168, -1/28672 + SUSYc2XM2/7168 - SUSYc2XM4/1792, -1/7168*SUSYc2XM1 + SUSYc2XM3/1792, 1/7168 - SUSYc2XM2/1792 + SUSYc2XM4/448, SUSYc2XM1/1792 - SUSYc2XM3/448, -1/1792 + SUSYc2XM2/448 - SUSYc2XM4/112, 1/448 - SUSYc2XM2/112 + SUSYc2XM4/28, SUSYc2XM1/112 - SUSYc2XM3/28, -1/112 + SUSYc2XM2/28 - SUSYc2XM4/7, -1/28*SUSYc2XM1 + SUSYc2XM3/7, SUSYc1XM1/28672 - SUSYc1XM11/28 - SUSYc1XM3/7168 + SUSYc1XM5/1792 + SUSYc1XM9/112, -1/28672 + SUSYc1XM10/28 + SUSYc1XM2/7168 - SUSYc1XM4/1792 + SUSYc1XM6/448 - SUSYc1XM8/112, -1/7168*SUSYc1XM1 + SUSYc1XM11/7 + SUSYc1XM3/1792 - SUSYc1XM5/448 - SUSYc1XM9/28, 1/7168 - SUSYc1XM10/7 - SUSYc1XM2/1792 + SUSYc1XM4/448 - SUSYc1XM6/112 + SUSYc1XM8/28}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM2","25.8208248342328410118522126691742528556866313511375479640812148218779859603655700375952128368954339647230592687257338","(-3*SUSYc1XM1)/14336 - SUSYc1XM11/7 + SUSYc1XM3/1792 - SUSYc1XM5/896 + SUSYc1XM9/56 + SUSYc2XM1/3584 + (SUSYc1XM10*SUSYc2XM1)/14 - (3*SUSYc1XM2*SUSYc2XM1)/3584 + (SUSYc1XM4*SUSYc2XM1)/448 - (SUSYc1XM6*SUSYc2XM1)/224 + (SUSYc1XM1*SUSYc2XM2)/896 + (2*SUSYc1XM11*SUSYc2XM2)/7 - (3*SUSYc1XM3*SUSYc2XM2)/896 + (SUSYc1XM5*SUSYc2XM2)/112 - (5*SUSYc2XM3)/3584 + (SUSYc1XM2*SUSYc2XM3)/224 - (3*SUSYc1XM4*SUSYc2XM3)/224 + (SUSYc1XM6*SUSYc2XM3)/28 - (SUSYc1XM8*SUSYc2XM3)/14 - (5*SUSYc1XM1*SUSYc2XM4)/896 + (SUSYc1XM3*SUSYc2XM4)/56 - (3*SUSYc1XM5*SUSYc2XM4)/56 - (2*SUSYc1XM9*SUSYc2XM4)/7","{-3/14336 + SUSYc2XM2/896 - (5*SUSYc2XM4)/896, (-3*SUSYc2XM1)/3584 + SUSYc2XM3/224, 1/1792 - (3*SUSYc2XM2)/896 + SUSYc2XM4/56, SUSYc2XM1/448 - (3*SUSYc2XM3)/224, -1/896 + SUSYc2XM2/112 - (3*SUSYc2XM4)/56, -1/224*SUSYc2XM1 + SUSYc2XM3/28, -1/14*SUSYc2XM3, 1/56 - (2*SUSYc2XM4)/7, SUSYc2XM1/14, -1/7 + (2*SUSYc2XM2)/7, 1/3584 + SUSYc1XM10/14 - (3*SUSYc1XM2)/3584 + SUSYc1XM4/448 - SUSYc1XM6/224, SUSYc1XM1/896 + (2*SUSYc1XM11)/7 - (3*SUSYc1XM3)/896 + SUSYc1XM5/112, -5/3584 + SUSYc1XM2/224 - (3*SUSYc1XM4)/224 + SUSYc1XM6/28 - SUSYc1XM8/14, (-5*SUSYc1XM1)/896 + SUSYc1XM3/56 - (3*SUSYc1XM5)/56 - (2*SUSYc1XM9)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM3","76.9791085633049094522229497138130540910356121554718125392814729858823619579779738911802646183366789712166347690320111","-17/28672 + SUSYc1XM10/14 + (3*SUSYc1XM2)/3584 + SUSYc1XM4/1792 - SUSYc1XM6/112 + (3*SUSYc1XM8)/112 - (9*SUSYc1XM1*SUSYc2XM1)/3584 + (3*SUSYc1XM11*SUSYc2XM1)/7 + (SUSYc1XM3*SUSYc2XM1)/256 + (SUSYc1XM9*SUSYc2XM1)/14 + (17*SUSYc2XM2)/3584 + (SUSYc1XM10*SUSYc2XM2)/7 - (19*SUSYc1XM2*SUSYc2XM2)/1792 + (SUSYc1XM4*SUSYc2XM2)/56 - (SUSYc1XM6*SUSYc2XM2)/112 - (SUSYc1XM8*SUSYc2XM2)/14 + (5*SUSYc1XM1*SUSYc2XM3)/256 - (5*SUSYc1XM3*SUSYc2XM3)/112 + (9*SUSYc1XM5*SUSYc2XM3)/112 - (SUSYc1XM9*SUSYc2XM3)/7 - (55*SUSYc2XM4)/1792 + (9*SUSYc1XM2*SUSYc2XM4)/112 - (3*SUSYc1XM4*SUSYc2XM4)/16 + (5*SUSYc1XM6*SUSYc2XM4)/14 - (3*SUSYc1XM8*SUSYc2XM4)/7","{(-9*SUSYc2XM1)/3584 + (5*SUSYc2XM3)/256, 3/3584 - (19*SUSYc2XM2)/1792 + (9*SUSYc2XM4)/112, SUSYc2XM1/256 - (5*SUSYc2XM3)/112, 1/1792 + SUSYc2XM2/56 - (3*SUSYc2XM4)/16, (9*SUSYc2XM3)/112, -1/112 - SUSYc2XM2/112 + (5*SUSYc2XM4)/14, 3/112 - SUSYc2XM2/14 - (3*SUSYc2XM4)/7, SUSYc2XM1/14 - SUSYc2XM3/7, 1/14 + SUSYc2XM2/7, (3*SUSYc2XM1)/7, (-9*SUSYc1XM1)/3584 + (3*SUSYc1XM11)/7 + SUSYc1XM3/256 + SUSYc1XM9/14, 17/3584 + SUSYc1XM10/7 - (19*SUSYc1XM2)/1792 + SUSYc1XM4/56 - SUSYc1XM6/112 - SUSYc1XM8/14, (5*SUSYc1XM1)/256 - (5*SUSYc1XM3)/112 + (9*SUSYc1XM5)/112 - SUSYc1XM9/7, -55/1792 + (9*SUSYc1XM2)/112 - (3*SUSYc1XM4)/16 + (5*SUSYc1XM6)/14 - (3*SUSYc1XM8)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM4","180.9486999978214884211344809272999217754087419595110650861114027262716137373621308846535873861379257840873701152603702","-1/1792*SUSYc1XM1 + (4*SUSYc1XM11)/7 + (3*SUSYc1XM3)/448 - SUSYc1XM5/56 + SUSYc1XM9/7 - SUSYc2XM1/224 + (2*SUSYc1XM10*SUSYc2XM1)/7 + (SUSYc1XM2*SUSYc2XM1)/896 + (SUSYc1XM4*SUSYc2XM1)/56 - (3*SUSYc1XM6*SUSYc2XM1)/56 - (5*SUSYc1XM1*SUSYc2XM2)/224 + (SUSYc1XM3*SUSYc2XM2)/56 + (SUSYc1XM5*SUSYc2XM2)/28 + (55*SUSYc2XM3)/896 - (3*SUSYc1XM2*SUSYc2XM3)/28 + (SUSYc1XM4*SUSYc2XM3)/8 - (2*SUSYc1XM8*SUSYc2XM3)/7 + (15*SUSYc1XM1*SUSYc2XM4)/56 - (SUSYc1XM3*SUSYc2XM4)/2 + (5*SUSYc1XM5*SUSYc2XM4)/7","{-1/1792 - (5*SUSYc2XM2)/224 + (15*SUSYc2XM4)/56, SUSYc2XM1/896 - (3*SUSYc2XM3)/28, 3/448 + SUSYc2XM2/56 - SUSYc2XM4/2, SUSYc2XM1/56 + SUSYc2XM3/8, -1/56 + SUSYc2XM2/28 + (5*SUSYc2XM4)/7, (-3*SUSYc2XM1)/56, (-2*SUSYc2XM3)/7, 1/7, (2*SUSYc2XM1)/7, 4/7, -1/224 + (2*SUSYc1XM10)/7 + SUSYc1XM2/896 + SUSYc1XM4/56 - (3*SUSYc1XM6)/56, (-5*SUSYc1XM1)/224 + SUSYc1XM3/56 + SUSYc1XM5/28, 55/896 - (3*SUSYc1XM2)/28 + SUSYc1XM4/8 - (2*SUSYc1XM8)/7, (15*SUSYc1XM1)/56 - SUSYc1XM3/2 + (5*SUSYc1XM5)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM5","337.3577577521719083638625408374352952491231757018891571500589576425226999813735074186107940270229674291910499299261","-43/7168 + (3*SUSYc1XM10)/7 + (29*SUSYc1XM2)/1792 - (3*SUSYc1XM4)/224 - (3*SUSYc1XM6)/56 + (3*SUSYc1XM8)/28 - (25*SUSYc1XM1*SUSYc2XM1)/1792 + (11*SUSYc1XM3*SUSYc2XM1)/224 - (3*SUSYc1XM5*SUSYc2XM1)/56 + (SUSYc1XM9*SUSYc2XM1)/7 - (55*SUSYc2XM2)/1792 - (3*SUSYc1XM2*SUSYc2XM2)/224 + (SUSYc1XM4*SUSYc2XM2)/8 - (5*SUSYc1XM6*SUSYc2XM2)/28 - (SUSYc1XM8*SUSYc2XM2)/7 - (45*SUSYc1XM1*SUSYc2XM3)/224 + (SUSYc1XM3*SUSYc2XM3)/8 + (5*SUSYc1XM5*SUSYc2XM3)/28 + (165*SUSYc2XM4)/224 - (9*SUSYc1XM2*SUSYc2XM4)/8 + (5*SUSYc1XM4*SUSYc2XM4)/4 - (5*SUSYc1XM6*SUSYc2XM4)/7","{(-25*SUSYc2XM1)/1792 - (45*SUSYc2XM3)/224, 29/1792 - (3*SUSYc2XM2)/224 - (9*SUSYc2XM4)/8, (11*SUSYc2XM1)/224 + SUSYc2XM3/8, -3/224 + SUSYc2XM2/8 + (5*SUSYc2XM4)/4, (-3*SUSYc2XM1)/56 + (5*SUSYc2XM3)/28, -3/56 - (5*SUSYc2XM2)/28 - (5*SUSYc2XM4)/7, 3/28 - SUSYc2XM2/7, SUSYc2XM1/7, 3/7, 0, (-25*SUSYc1XM1)/1792 + (11*SUSYc1XM3)/224 - (3*SUSYc1XM5)/56 + SUSYc1XM9/7, -55/1792 - (3*SUSYc1XM2)/224 + SUSYc1XM4/8 - (5*SUSYc1XM6)/28 - SUSYc1XM8/7, (-45*SUSYc1XM1)/224 + SUSYc1XM3/8 + (5*SUSYc1XM5)/28, 165/224 - (9*SUSYc1XM2)/8 + (5*SUSYc1XM4)/4 - (5*SUSYc1XM6)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM6","504.603368775182766742260245720296815293107177114231706913621185819907170748415775872736751151117533017868873745843686","(19*SUSYc1XM1)/896 + SUSYc1XM3/56 - (3*SUSYc1XM5)/28 + (2*SUSYc1XM9)/7 - (11*SUSYc2XM1)/224 + (9*SUSYc1XM2*SUSYc2XM1)/112 - (3*SUSYc1XM6*SUSYc2XM1)/14 - (3*SUSYc1XM1*SUSYc2XM2)/28 + (SUSYc1XM3*SUSYc2XM2)/4 - (SUSYc1XM5*SUSYc2XM2)/7 - (33*SUSYc2XM3)/112 + (SUSYc1XM4*SUSYc2XM3)/2 - (4*SUSYc1XM6*SUSYc2XM3)/7 - (9*SUSYc1XM1*SUSYc2XM4)/4 + 2*SUSYc1XM3*SUSYc2XM4 - (6*SUSYc1XM5*SUSYc2XM4)/7","{19/896 - (3*SUSYc2XM2)/28 - (9*SUSYc2XM4)/4, (9*SUSYc2XM1)/112, 1/56 + SUSYc2XM2/4 + 2*SUSYc2XM4, SUSYc2XM3/2, -3/28 - SUSYc2XM2/7 - (6*SUSYc2XM4)/7, (-3*SUSYc2XM1)/14 - (4*SUSYc2XM3)/7, 0, 2/7, 0, 0, -11/224 + (9*SUSYc1XM2)/112 - (3*SUSYc1XM6)/14, (-3*SUSYc1XM1)/28 + SUSYc1XM3/4 - SUSYc1XM5/7, -33/112 + SUSYc1XM4/2 - (4*SUSYc1XM6)/7, (-9*SUSYc1XM1)/4 + 2*SUSYc1XM3 - (6*SUSYc1XM5)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM8","263808.0347968991843074199626890338535296754658663165839977358378932113135495601670072123023178305163246175285049302119686","11/1792 + (9*SUSYc1XM2)/112 - SUSYc1XM4/8 - SUSYc1XM6/7 + SUSYc1XM8/7 + (9*SUSYc1XM1*SUSYc2XM1)/112 + (SUSYc1XM3*SUSYc2XM1)/8 - (2*SUSYc1XM5*SUSYc2XM1)/7 - (33*SUSYc2XM2)/112 + (3*SUSYc1XM2*SUSYc2XM2)/8 - (3*SUSYc1XM6*SUSYc2XM2)/7 - (3*SUSYc1XM1*SUSYc2XM3)/8 + SUSYc1XM3*SUSYc2XM3 - (5*SUSYc1XM5*SUSYc2XM3)/7 - (33*SUSYc2XM4)/8 + 3*SUSYc1XM2*SUSYc2XM4 - SUSYc1XM4*SUSYc2XM4","{(9*SUSYc2XM1)/112 - (3*SUSYc2XM3)/8, 9/112 + (3*SUSYc2XM2)/8 + 3*SUSYc2XM4, SUSYc2XM1/8 + SUSYc2XM3, -1/8 - SUSYc2XM4, (-2*SUSYc2XM1)/7 - (5*SUSYc2XM3)/7, -1/7 - (3*SUSYc2XM2)/7, 1/7, 0, 0, 0, (9*SUSYc1XM1)/112 + SUSYc1XM3/8 - (2*SUSYc1XM5)/7, -33/112 + (3*SUSYc1XM2)/8 - (3*SUSYc1XM6)/7, (-3*SUSYc1XM1)/8 + SUSYc1XM3 - (5*SUSYc1XM5)/7, -33/8 + 3*SUSYc1XM2 - SUSYc1XM4}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM9","-1.2502410713996904861527089877645702756992775639694568222690384236109823330810884827310629489380201656221665458254521645176*10^6","(9*SUSYc1XM1)/56 - SUSYc1XM3/14 - (2*SUSYc1XM5)/7 + (9*SUSYc1XM2*SUSYc2XM1)/28 - (2*SUSYc1XM4*SUSYc2XM1)/7 - (2*SUSYc1XM6*SUSYc2XM1)/7 + (3*SUSYc1XM1*SUSYc2XM2)/7 + (2*SUSYc1XM3*SUSYc2XM2)/7 - (4*SUSYc1XM5*SUSYc2XM2)/7 - (33*SUSYc2XM3)/28 + (12*SUSYc1XM2*SUSYc2XM3)/7 - (6*SUSYc1XM4*SUSYc2XM3)/7 + (30*SUSYc1XM1*SUSYc2XM4)/7 - (8*SUSYc1XM3*SUSYc2XM4)/7","{9/56 + (3*SUSYc2XM2)/7 + (30*SUSYc2XM4)/7, (9*SUSYc2XM1)/28 + (12*SUSYc2XM3)/7, -1/14 + (2*SUSYc2XM2)/7 - (8*SUSYc2XM4)/7, (-2*SUSYc2XM1)/7 - (6*SUSYc2XM3)/7, -2/7 - (4*SUSYc2XM2)/7, (-2*SUSYc2XM1)/7, 0, 0, 0, 0, (9*SUSYc1XM2)/28 - (2*SUSYc1XM4)/7 - (2*SUSYc1XM6)/7, (3*SUSYc1XM1)/7 + (2*SUSYc1XM3)/7 - (4*SUSYc1XM5)/7, -33/28 + (12*SUSYc1XM2)/7 - (6*SUSYc1XM4)/7, (30*SUSYc1XM1)/7 - (8*SUSYc1XM3)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM10","2.302331886842627459796994778780626452686380316867211347542818023251461735012281058395717219766984465582491379050600283148*10^6","99/448 + (9*SUSYc1XM2)/112 - (11*SUSYc1XM4)/28 - SUSYc1XM6/7 + (9*SUSYc1XM1*SUSYc2XM1)/16 - (5*SUSYc1XM3*SUSYc2XM1)/28 - (3*SUSYc1XM5*SUSYc2XM1)/7 + (33*SUSYc2XM2)/112 + (3*SUSYc1XM2*SUSYc2XM2)/4 - (5*SUSYc1XM4*SUSYc2XM2)/7 + (75*SUSYc1XM1*SUSYc2XM3)/28 - SUSYc1XM3*SUSYc2XM3 + (165*SUSYc2XM4)/28 - (9*SUSYc1XM2*SUSYc2XM4)/7","{(9*SUSYc2XM1)/16 + (75*SUSYc2XM3)/28, 9/112 + (3*SUSYc2XM2)/4 - (9*SUSYc2XM4)/7, (-5*SUSYc2XM1)/28 - SUSYc2XM3, -11/28 - (5*SUSYc2XM2)/7, (-3*SUSYc2XM1)/7, -1/7, 0, 0, 0, 0, (9*SUSYc1XM1)/16 - (5*SUSYc1XM3)/28 - (3*SUSYc1XM5)/7, 33/112 + (3*SUSYc1XM2)/4 - (5*SUSYc1XM4)/7, (75*SUSYc1XM1)/28 - SUSYc1XM3, 165/28 - (9*SUSYc1XM2)/7}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12, 13, 14}}",500,"SUSYc1XM11","-1.5725998340382811376889938824731225519939865220517584614885174512685091985748338346472440748408878599379912091328590006642*10^6","(19*SUSYc1XM1)/56 - (3*SUSYc1XM3)/7 - (2*SUSYc1XM5)/7 + (11*SUSYc2XM1)/14 + (SUSYc1XM2*SUSYc2XM1)/14 - (4*SUSYc1XM4*SUSYc2XM1)/7 + (10*SUSYc1XM1*SUSYc2XM2)/7 - (6*SUSYc1XM3*SUSYc2XM2)/7 + (55*SUSYc2XM3)/14 - (8*SUSYc1XM2*SUSYc2XM3)/7 - (10*SUSYc1XM1*SUSYc2XM4)/7","{19/56 + (10*SUSYc2XM2)/7 - (10*SUSYc2XM4)/7, SUSYc2XM1/14 - (8*SUSYc2XM3)/7, -3/7 - (6*SUSYc2XM2)/7, (-4*SUSYc2XM1)/7, -2/7, 0, 0, 0, 0, 0, 11/14 + SUSYc1XM2/14 - (4*SUSYc1XM4)/7, (10*SUSYc1XM1)/7 - (6*SUSYc1XM3)/7, 55/14 - (8*SUSYc1XM2)/7, (-10*SUSYc1XM1)/7}"
