"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM1","2.0837588516633702143867083793428337259451735448070546330821803527733849219573525735845299725623079465716883817019454","-1/36864 + SUSYc1XM10/36 + SUSYc1XM2/9216 - SUSYc1XM4/2304 + SUSYc1XM6/576 - SUSYc1XM8/144 - (SUSYc1XM1*SUSYc2XM1)/9216 + (SUSYc1XM11*SUSYc2XM1)/9 + (SUSYc1XM3*SUSYc2XM1)/2304 - (SUSYc1XM5*SUSYc2XM1)/576 + (SUSYc1XM7*SUSYc2XM1)/144 + SUSYc2XM2/9216 - (SUSYc1XM10*SUSYc2XM2)/9 - (SUSYc1XM2*SUSYc2XM2)/2304 + (SUSYc1XM4*SUSYc2XM2)/576 - (SUSYc1XM6*SUSYc2XM2)/144 + (SUSYc1XM8*SUSYc2XM2)/36","{-1/9216*SUSYc2XM1, 1/9216 - SUSYc2XM2/2304, SUSYc2XM1/2304, -1/2304 + SUSYc2XM2/576, -1/576*SUSYc2XM1, 1/576 - SUSYc2XM2/144, SUSYc2XM1/144, -1/144 + SUSYc2XM2/36, 1/36 - SUSYc2XM2/9, SUSYc2XM1/9, -1/9216*SUSYc1XM1 + SUSYc1XM11/9 + SUSYc1XM3/2304 - SUSYc1XM5/576 + SUSYc1XM7/144, 1/9216 - SUSYc1XM10/9 - SUSYc1XM2/2304 + SUSYc1XM4/576 - SUSYc1XM6/144 + SUSYc1XM8/36}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM2","7.8734569554939287690198074826488678474084846738110154265657402731215866217999556021767309854184777146305163199128105","SUSYc1XM1/1152 + (2*SUSYc1XM11)/9 - SUSYc1XM3/384 + SUSYc1XM5/144 - SUSYc1XM7/72 - (5*SUSYc2XM1)/4608 + (SUSYc1XM2*SUSYc2XM1)/288 - (SUSYc1XM4*SUSYc2XM1)/96 + (SUSYc1XM6*SUSYc2XM1)/36 - (SUSYc1XM8*SUSYc2XM1)/18 - (5*SUSYc1XM1*SUSYc2XM2)/1152 + (SUSYc1XM3*SUSYc2XM2)/72 - (SUSYc1XM5*SUSYc2XM2)/24 + (SUSYc1XM7*SUSYc2XM2)/9","{1/1152 - (5*SUSYc2XM2)/1152, SUSYc2XM1/288, -1/384 + SUSYc2XM2/72, -1/96*SUSYc2XM1, 1/144 - SUSYc2XM2/24, SUSYc2XM1/36, -1/72 + SUSYc2XM2/9, -1/18*SUSYc2XM1, 0, 2/9, -5/4608 + SUSYc1XM2/288 - SUSYc1XM4/96 + SUSYc1XM6/36 - SUSYc1XM8/18, (-5*SUSYc1XM1)/1152 + SUSYc1XM3/72 - SUSYc1XM5/24 + SUSYc1XM7/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM3","12.7874451107046565561594501362614173906843131560702866293433209270483668287141897036526113409138003482099208566663628","17/4608 + SUSYc1XM10/9 - (19*SUSYc1XM2)/2304 + SUSYc1XM4/72 - SUSYc1XM6/144 - SUSYc1XM8/18 + (35*SUSYc1XM1*SUSYc2XM1)/2304 - (5*SUSYc1XM3*SUSYc2XM1)/144 + (SUSYc1XM5*SUSYc2XM1)/16 - (SUSYc1XM7*SUSYc2XM1)/18 - (55*SUSYc2XM2)/2304 + (SUSYc1XM2*SUSYc2XM2)/16 - (7*SUSYc1XM4*SUSYc2XM2)/48 + (5*SUSYc1XM6*SUSYc2XM2)/18 - (SUSYc1XM8*SUSYc2XM2)/3","{(35*SUSYc2XM1)/2304, -19/2304 + SUSYc2XM2/16, (-5*SUSYc2XM1)/144, 1/72 - (7*SUSYc2XM2)/48, SUSYc2XM1/16, -1/144 + (5*SUSYc2XM2)/18, -1/18*SUSYc2XM1, -1/18 - SUSYc2XM2/3, 1/9, 0, (35*SUSYc1XM1)/2304 - (5*SUSYc1XM3)/144 + SUSYc1XM5/16 - SUSYc1XM7/18, -55/2304 + SUSYc1XM2/16 - (7*SUSYc1XM4)/48 + (5*SUSYc1XM6)/18 - SUSYc1XM8/3}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM4","25.6605048585868797593921181546510209526911759273717308905696150451403733194757958475113282756647134176015614532456965","(-5*SUSYc1XM1)/288 + SUSYc1XM3/72 + SUSYc1XM5/36 - SUSYc1XM7/9 + (55*SUSYc2XM1)/1152 - (SUSYc1XM2*SUSYc2XM1)/12 + (7*SUSYc1XM4*SUSYc2XM1)/72 - (2*SUSYc1XM8*SUSYc2XM1)/9 + (5*SUSYc1XM1*SUSYc2XM2)/24 - (7*SUSYc1XM3*SUSYc2XM2)/18 + (5*SUSYc1XM5*SUSYc2XM2)/9 - (4*SUSYc1XM7*SUSYc2XM2)/9","{-5/288 + (5*SUSYc2XM2)/24, -1/12*SUSYc2XM1, 1/72 - (7*SUSYc2XM2)/18, (7*SUSYc2XM1)/72, 1/36 + (5*SUSYc2XM2)/9, 0, -1/9 - (4*SUSYc2XM2)/9, (-2*SUSYc2XM1)/9, 0, 0, 55/1152 - SUSYc1XM2/12 + (7*SUSYc1XM4)/72 - (2*SUSYc1XM8)/9, (5*SUSYc1XM1)/24 - (7*SUSYc1XM3)/18 + (5*SUSYc1XM5)/9 - (4*SUSYc1XM7)/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM5","31.5017121042518507637714641147538564132800801318721523259479714712855584516817580122715260175574078223065352285273925","-55/2304 - SUSYc1XM2/96 + (7*SUSYc1XM4)/72 - (5*SUSYc1XM6)/36 - SUSYc1XM8/9 - (5*SUSYc1XM1*SUSYc2XM1)/32 + (7*SUSYc1XM3*SUSYc2XM1)/72 + (5*SUSYc1XM5*SUSYc2XM1)/36 - (SUSYc1XM7*SUSYc2XM1)/3 + (55*SUSYc2XM2)/96 - (7*SUSYc1XM2*SUSYc2XM2)/8 + (35*SUSYc1XM4*SUSYc2XM2)/36 - (5*SUSYc1XM6*SUSYc2XM2)/9","{(-5*SUSYc2XM1)/32, -1/96 - (7*SUSYc2XM2)/8, (7*SUSYc2XM1)/72, 7/72 + (35*SUSYc2XM2)/36, (5*SUSYc2XM1)/36, -5/36 - (5*SUSYc2XM2)/9, -1/3*SUSYc2XM1, -1/9, 0, 0, (-5*SUSYc1XM1)/32 + (7*SUSYc1XM3)/72 + (5*SUSYc1XM5)/36 - SUSYc1XM7/3, 55/96 - (7*SUSYc1XM2)/8 + (35*SUSYc1XM4)/36 - (5*SUSYc1XM6)/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM6","40.1429666126738210946505159491502938279794397192919449867912092354198211588765735068830043353705154175789204256168821","-1/12*SUSYc1XM1 + (7*SUSYc1XM3)/36 - SUSYc1XM5/9 - (2*SUSYc1XM7)/9 - (11*SUSYc2XM1)/48 + (7*SUSYc1XM4*SUSYc2XM1)/18 - (4*SUSYc1XM6*SUSYc2XM1)/9 - (7*SUSYc1XM1*SUSYc2XM2)/4 + (14*SUSYc1XM3*SUSYc2XM2)/9 - (2*SUSYc1XM5*SUSYc2XM2)/3","{-1/12 - (7*SUSYc2XM2)/4, 0, 7/36 + (14*SUSYc2XM2)/9, (7*SUSYc2XM1)/18, -1/9 - (2*SUSYc2XM2)/3, (-4*SUSYc2XM1)/9, -2/9, 0, 0, 0, -11/48 + (7*SUSYc1XM4)/18 - (4*SUSYc1XM6)/9, (-7*SUSYc1XM1)/4 + (14*SUSYc1XM3)/9 - (2*SUSYc1XM5)/3}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM7","34.6065058976485868836990230911242951618251807183609040192020698238680712791563208362077216060128538668233555674442056","-11/48 + (7*SUSYc1XM2)/24 - SUSYc1XM6/3 - (7*SUSYc1XM1*SUSYc2XM1)/24 + (7*SUSYc1XM3*SUSYc2XM1)/9 - (5*SUSYc1XM5*SUSYc2XM1)/9 - (77*SUSYc2XM2)/24 + (7*SUSYc1XM2*SUSYc2XM2)/3 - (7*SUSYc1XM4*SUSYc2XM2)/9","{(-7*SUSYc2XM1)/24, 7/24 + (7*SUSYc2XM2)/3, (7*SUSYc2XM1)/9, (-7*SUSYc2XM2)/9, (-5*SUSYc2XM1)/9, -1/3, 0, 0, 0, 0, (-7*SUSYc1XM1)/24 + (7*SUSYc1XM3)/9 - (5*SUSYc1XM5)/9, -77/24 + (7*SUSYc1XM2)/3 - (7*SUSYc1XM4)/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM8","26.9871260734407598651662683392695305480145518214615900704086890647533190278738115126219877839266664347183997128859045","SUSYc1XM1/3 + (2*SUSYc1XM3)/9 - (4*SUSYc1XM5)/9 - (11*SUSYc2XM1)/12 + (4*SUSYc1XM2*SUSYc2XM1)/3 - (2*SUSYc1XM4*SUSYc2XM1)/3 + (10*SUSYc1XM1*SUSYc2XM2)/3 - (8*SUSYc1XM3*SUSYc2XM2)/9","{1/3 + (10*SUSYc2XM2)/3, (4*SUSYc2XM1)/3, 2/9 - (8*SUSYc2XM2)/9, (-2*SUSYc2XM1)/3, -4/9, 0, 0, 0, 0, 0, -11/12 + (4*SUSYc1XM2)/3 - (2*SUSYc1XM4)/3, (10*SUSYc1XM1)/3 - (8*SUSYc1XM3)/9}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM10","6243.7607692452662457179234260695228437369073462764529892631852036004163408692189078548896808948672279531049121547868683","11/48 + (7*SUSYc1XM2)/12 - (5*SUSYc1XM4)/9 + (25*SUSYc1XM1*SUSYc2XM1)/12 - (7*SUSYc1XM3*SUSYc2XM1)/9 + (55*SUSYc2XM2)/12 - SUSYc1XM2*SUSYc2XM2","{(25*SUSYc2XM1)/12, 7/12 - SUSYc2XM2, (-7*SUSYc2XM1)/9, -5/9, 0, 0, 0, 0, 0, 0, (25*SUSYc1XM1)/12 - (7*SUSYc1XM3)/9, 55/12 - SUSYc1XM2}"
"{{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, {11, 12}}",500,"SUSYc1XM11","-10586.864099820876526526304166183636439581358347473128041305329566727431811022433104825246202279975787524639794483810675","(10*SUSYc1XM1)/9 - (2*SUSYc1XM3)/3 + (55*SUSYc2XM1)/18 - (8*SUSYc1XM2*SUSYc2XM1)/9 - (10*SUSYc1XM1*SUSYc2XM2)/9","{10/9 - (10*SUSYc2XM2)/9, (-8*SUSYc2XM1)/9, -2/3, 0, 0, 0, 0, 0, 0, 0, 55/18 - (8*SUSYc1XM2)/9, (-10*SUSYc1XM1)/9}"
