var,b_final_value
SUSYc1XM1,-1.2619166382054752693540e+00
SUSYc1XM2,-1.9152815140375537475820e+01
SUSYc1XM4,-2.3877844889600882752770e+02
SUSYc1XM5,-2.9583439753165242932020e+02
SUSYc1XM6,-2.2746317015083736514430e+02
SUSYc1XM7,-7.7430848210158699590140e+02
SUSYc1XM8,-5.9083352989420615709180e+02
SUSYc1XM9,5.8892809415255148967890e+02
SUSYc1XM10,-5.1915237309165823574590e+02
SUSYc2XM1,6.3095831910273763467700e-01
SUSYc2XM2,3.3082931086090500050370e+00
SUSYc2XM3,7.0217222005960326755470e+00
SUSYc2XM4,2.3729027475990573325350e+00
SUSYc2XM5,1.5081030193017760468820e+00
SUSYc2XM6,9.0090034849109888301820e+00
SUSYc2XM7,-4.3554337176254728157510e+00
