var,b_final_value
SUSYc1XM1,-3.3778659734392901242141421540296561182882921553540225951329670402051992675073464083093388896654623018759042055631366233293507314092705037146730075898172285326738389653927021271095813670407199092188007550e+00
SUSYc1XM2,1.0725353971773003674657650224151971412034123281194877192550477840182793818672857871840058118954178349741524454304617509130643059606606250006825376534226799478652798536475048935180083701700730719830142210e+01
SUSYc1XM4,5.2506782924286056851239814882179864729976724746068516789308688430194137982116997875831880456029390320047657733481793513970002546671689131766938100501217461656318517207375107775834024234363334611028770220e+01
SUSYc1XM5,-5.3046936471084652034921066570762787591357805294337564075993123480167336576700773310995223053482027638874521086480703582881967697169119712499200024724436650913114887711321998859980472717724615872339870610e+00
SUSYc1XM6,-9.7884653610522638701449489068180858990310688359133747640931190435654861994997191287759515643102120690230844768361677442870197689379135023148442847057887749290687855443239167607014182696669644162592103050e+01
SUSYc1XM7,-6.3045954347346368450533545650675847795434601750956234469279876036378373964471707536197853021535515599493168249911470187455704605248399431866177243950435922263450677899546174502586448309590241695947031710e+01
SUSYc1XM8,7.5814323348654560265866689456542654057491355577914744330129000325733827043291186830384910640268550690167425469288003238732143598117606766658271733171929275340231501256690270635811371155229248156676494750e+01
SUSYc1XM9,2.5373724872328781573060722233821034624958572341751160553303871049289155284595144625203785471852641478371110975773299560268462391224374187569141687072419543354989061721188571836829623914336600102899954590e+02
SUSYc1XM10,1.1577234709693817491836809695932644386785604674655942586022111638546014580481606902904148674429690757372591822770198942027497987603146649797794530411326080610821246714488945969865295785958801937987024140e+02
SUSYc2XM1,1.6889329867196450621070710770148280591441460776770112975664835201025996337536732041546694448327311509379521027815683116646753657046352518573365037949086142663369194826963510635547906835203599546094003770e+00
SUSYc2XM2,2.7792276600108818154109918762824879135969228944080598418778885733126091491713886681118751609759153065255336482635577733485799871439563940249503337949302322455422140779491364373918804113958725511331307450e-01
SUSYc2XM3,-4.8492998071379767406203293493833998892334584046234889288695101349387392989936119558092341402007035607335422549919706334699933056659650582040182645259649384387481922728452949348893614792555772115914341180e+00
SUSYc2XM4,-5.3432109581687332564997449699109079114886799019710717309614695522165696996699709681369032722602886997287620949535268167812442689355917142450936529592192340615193731697131249973920939529146259078455363680e+00
SUSYc2XM5,6.0585709274782025908628535728112556111695798987183530780258531406673591972585048032182184101824072595468231007955701651537110432985649711121112275462248439246128775640166239469436006454279171708235124890e+00
SUSYc2XM6,1.3306970346112270627612717195686531207717037256154441903667754561398272290771942964583353229986691373397628193206296959067423975807222638588476575489738397584753164979679849504907173928284794135159385070e+01
SUSYc2XM7,6.7366906792174483590133365472377363979363508203743908058780797034115640578746989760798948003074227541998735396828025968696618866385567908079749953391767005106387480218216638729633618749731487188639193940e+00
