"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11, 15}}",5,"SUSYc1XM1","-6.73815797166138318680148199614501745458027028444791731167581034150423163478324736623057976513399664523957933206888053223493853173739493370716891799669596282468387839942544860528864716022940453195583096632900017959","SUSYc1XM1/65536 - SUSYc1XM3/16384 + SUSYc1XM5/4096 - SUSYc1XM7/1024 + SUSYc1XM9/256 - SUSYc2XM1/65536 + (SUSYc1XM10*SUSYc2XM1)/64 + (SUSYc1XM2*SUSYc2XM1)/16384 + (SUSYc1XM6*SUSYc2XM1)/1024 - (SUSYc1XM8*SUSYc2XM1)/256 - (SUSYc1XM1*SUSYc2XM2)/16384 + (SUSYc1XM3*SUSYc2XM2)/4096 - (SUSYc1XM5*SUSYc2XM2)/1024 + (SUSYc1XM7*SUSYc2XM2)/256 - (SUSYc1XM9*SUSYc2XM2)/64 + SUSYc2XM3/16384 - (SUSYc1XM10*SUSYc2XM3)/16 - (SUSYc1XM2*SUSYc2XM3)/4096 - (SUSYc1XM6*SUSYc2XM3)/256 + (SUSYc1XM8*SUSYc2XM3)/64 + (SUSYc1XM1*SUSYc2XM4)/4096 - (SUSYc1XM3*SUSYc2XM4)/1024 + (SUSYc1XM5*SUSYc2XM4)/256 - (SUSYc1XM7*SUSYc2XM4)/64 + (SUSYc1XM9*SUSYc2XM4)/16 - SUSYc2XM5/4096 + (SUSYc1XM10*SUSYc2XM5)/4 + (SUSYc1XM2*SUSYc2XM5)/1024 + (SUSYc1XM6*SUSYc2XM5)/64 - (SUSYc1XM8*SUSYc2XM5)/16 - (SUSYc1XM1*SUSYc2XM6)/1024 + (SUSYc1XM3*SUSYc2XM6)/256 - (SUSYc1XM5*SUSYc2XM6)/64 + (SUSYc1XM7*SUSYc2XM6)/16 - (SUSYc1XM9*SUSYc2XM6)/4","{1/65536 - SUSYc2XM2/16384 + SUSYc2XM4/4096 - SUSYc2XM6/1024, SUSYc2XM1/16384 - SUSYc2XM3/4096 + SUSYc2XM5/1024, -1/16384 + SUSYc2XM2/4096 - SUSYc2XM4/1024 + SUSYc2XM6/256, 1/4096 - SUSYc2XM2/1024 + SUSYc2XM4/256 - SUSYc2XM6/64, SUSYc2XM1/1024 - SUSYc2XM3/256 + SUSYc2XM5/64, -1/1024 + SUSYc2XM2/256 - SUSYc2XM4/64 + SUSYc2XM6/16, -1/256*SUSYc2XM1 + SUSYc2XM3/64 - SUSYc2XM5/16, 1/256 - SUSYc2XM2/64 + SUSYc2XM4/16 - SUSYc2XM6/4, SUSYc2XM1/64 - SUSYc2XM3/16 + SUSYc2XM5/4, -1/65536 + SUSYc1XM10/64 + SUSYc1XM2/16384 + SUSYc1XM6/1024 - SUSYc1XM8/256, -1/16384*SUSYc1XM1 + SUSYc1XM3/4096 - SUSYc1XM5/1024 + SUSYc1XM7/256 - SUSYc1XM9/64, 1/16384 - SUSYc1XM10/16 - SUSYc1XM2/4096 - SUSYc1XM6/256 + SUSYc1XM8/64, SUSYc1XM1/4096 - SUSYc1XM3/1024 + SUSYc1XM5/256 - SUSYc1XM7/64 + SUSYc1XM9/16, -1/4096 + SUSYc1XM10/4 + SUSYc1XM2/1024 + SUSYc1XM6/64 - SUSYc1XM8/16, -1/1024*SUSYc1XM1 + SUSYc1XM3/256 - SUSYc1XM5/64 + SUSYc1XM7/16 - SUSYc1XM9/4}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11, 15}}",5,"SUSYc1XM2","25.45942729356076880333358185019846881628229102462013714208744473697874989036479518235533941463688907778373569635426719028375989622681080912480601263998156635956994876608278535114979868278180612100146383851748220776","1/16384 + (3*SUSYc1XM10)/32 - SUSYc1XM2/8192 + SUSYc1XM6/512 - SUSYc1XM8/64 + (SUSYc1XM1*SUSYc2XM1)/4096 - (SUSYc1XM3*SUSYc2XM1)/2048 + (SUSYc1XM7*SUSYc2XM1)/128 - (SUSYc1XM9*SUSYc2XM1)/16 - (3*SUSYc2XM2)/8192 - (SUSYc1XM10*SUSYc2XM2)/4 + (SUSYc1XM2*SUSYc2XM2)/1024 + (SUSYc1XM8*SUSYc2XM2)/32 - (3*SUSYc1XM1*SUSYc2XM3)/2048 + (SUSYc1XM3*SUSYc2XM3)/256 - (SUSYc1XM5*SUSYc2XM3)/128 + (SUSYc1XM9*SUSYc2XM3)/8 + SUSYc2XM4/512 + (SUSYc1XM10*SUSYc2XM4)/2 - (3*SUSYc1XM2*SUSYc2XM4)/512 - (SUSYc1XM6*SUSYc2XM4)/32 + (SUSYc1XM1*SUSYc2XM5)/128 - (3*SUSYc1XM3*SUSYc2XM5)/128 + (SUSYc1XM5*SUSYc2XM5)/16 - (SUSYc1XM7*SUSYc2XM5)/8 - (5*SUSYc2XM6)/512 + (SUSYc1XM2*SUSYc2XM6)/32 + (SUSYc1XM6*SUSYc2XM6)/4 - (SUSYc1XM8*SUSYc2XM6)/2","{SUSYc2XM1/4096 - (3*SUSYc2XM3)/2048 + SUSYc2XM5/128, -1/8192 + SUSYc2XM2/1024 - (3*SUSYc2XM4)/512 + SUSYc2XM6/32, -1/2048*SUSYc2XM1 + SUSYc2XM3/256 - (3*SUSYc2XM5)/128, -1/128*SUSYc2XM3 + SUSYc2XM5/16, 1/512 - SUSYc2XM4/32 + SUSYc2XM6/4, SUSYc2XM1/128 - SUSYc2XM5/8, -1/64 + SUSYc2XM2/32 - SUSYc2XM6/2, -1/16*SUSYc2XM1 + SUSYc2XM3/8, 3/32 - SUSYc2XM2/4 + SUSYc2XM4/2, SUSYc1XM1/4096 - SUSYc1XM3/2048 + SUSYc1XM7/128 - SUSYc1XM9/16, -3/8192 - SUSYc1XM10/4 + SUSYc1XM2/1024 + SUSYc1XM8/32, (-3*SUSYc1XM1)/2048 + SUSYc1XM3/256 - SUSYc1XM5/128 + SUSYc1XM9/8, 1/512 + SUSYc1XM10/2 - (3*SUSYc1XM2)/512 - SUSYc1XM6/32, SUSYc1XM1/128 - (3*SUSYc1XM3)/128 + SUSYc1XM5/16 - SUSYc1XM7/8, -5/512 + SUSYc1XM2/32 + SUSYc1XM6/4 - SUSYc1XM8/2}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11, 15}}",5,"SUSYc1XM3","-62.65040323283205516644600501236866738648439282722803532340088285699233389432959296110265587399743466065174380346879813836463541518628130401064350680940818886097989552869744885121171701911677724746570544484094981056","(3*SUSYc1XM1)/16384 - (3*SUSYc1XM3)/2048 + (5*SUSYc1XM5)/1024 - (9*SUSYc1XM9)/64 + (5*SUSYc2XM1)/16384 - (5*SUSYc1XM10*SUSYc2XM1)/8 + (SUSYc1XM2*SUSYc2XM1)/2048 + (SUSYc1XM6*SUSYc2XM1)/64 + (SUSYc1XM8*SUSYc2XM1)/64 + (3*SUSYc1XM1*SUSYc2XM2)/2048 + (SUSYc1XM3*SUSYc2XM2)/1024 - (SUSYc1XM5*SUSYc2XM2)/64 + (3*SUSYc1XM7*SUSYc2XM2)/64 + (SUSYc1XM9*SUSYc2XM2)/8 - (9*SUSYc2XM3)/2048 + (3*SUSYc1XM10*SUSYc2XM3)/4 + (7*SUSYc1XM2*SUSYc2XM3)/1024 - (3*SUSYc1XM6*SUSYc2XM3)/64 + (SUSYc1XM8*SUSYc2XM3)/8 - (19*SUSYc1XM1*SUSYc2XM4)/1024 + (SUSYc1XM3*SUSYc2XM4)/32 - (SUSYc1XM5*SUSYc2XM4)/64 - (SUSYc1XM7*SUSYc2XM4)/8 + (SUSYc1XM9*SUSYc2XM4)/4 + (35*SUSYc2XM5)/1024 - (5*SUSYc1XM2*SUSYc2XM5)/64 - (SUSYc1XM6*SUSYc2XM5)/8 - (SUSYc1XM8*SUSYc2XM5)/4 + (9*SUSYc1XM1*SUSYc2XM6)/64 - (21*SUSYc1XM3*SUSYc2XM6)/64 + (5*SUSYc1XM5*SUSYc2XM6)/8 - (3*SUSYc1XM7*SUSYc2XM6)/4","{3/16384 + (3*SUSYc2XM2)/2048 - (19*SUSYc2XM4)/1024 + (9*SUSYc2XM6)/64, SUSYc2XM1/2048 + (7*SUSYc2XM3)/1024 - (5*SUSYc2XM5)/64, -3/2048 + SUSYc2XM2/1024 + SUSYc2XM4/32 - (21*SUSYc2XM6)/64, 5/1024 - SUSYc2XM2/64 - SUSYc2XM4/64 + (5*SUSYc2XM6)/8, SUSYc2XM1/64 - (3*SUSYc2XM3)/64 - SUSYc2XM5/8, (3*SUSYc2XM2)/64 - SUSYc2XM4/8 - (3*SUSYc2XM6)/4, SUSYc2XM1/64 + SUSYc2XM3/8 - SUSYc2XM5/4, -9/64 + SUSYc2XM2/8 + SUSYc2XM4/4, (-5*SUSYc2XM1)/8 + (3*SUSYc2XM3)/4, 5/16384 - (5*SUSYc1XM10)/8 + SUSYc1XM2/2048 + SUSYc1XM6/64 + SUSYc1XM8/64, (3*SUSYc1XM1)/2048 + SUSYc1XM3/1024 - SUSYc1XM5/64 + (3*SUSYc1XM7)/64 + SUSYc1XM9/8, -9/2048 + (3*SUSYc1XM10)/4 + (7*SUSYc1XM2)/1024 - (3*SUSYc1XM6)/64 + SUSYc1XM8/8, (-19*SUSYc1XM1)/1024 + SUSYc1XM3/32 - SUSYc1XM5/64 - SUSYc1XM7/8 + SUSYc1XM9/4, 35/1024 - (5*SUSYc1XM2)/64 - SUSYc1XM6/8 - SUSYc1XM8/4, (9*SUSYc1XM1)/64 - (21*SUSYc1XM3)/64 + (5*SUSYc1XM5)/8 - (3*SUSYc1XM7)/4}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11, 15}}",5,"SUSYc1XM5","-112.74253718820988830309464822143488119718661696535810454612607875341793894944287399380044096466800085744704005599146645944036364602540084018818366977253741046835836105199996690158452614959945148293603874056416717843","5/4096 - (5*SUSYc1XM10)/4 - (3*SUSYc1XM2)/1024 + SUSYc1XM6/32 - SUSYc1XM8/16 + (SUSYc1XM1*SUSYc2XM1)/256 - (5*SUSYc1XM3*SUSYc2XM1)/512 + (3*SUSYc1XM7*SUSYc2XM1)/32 - SUSYc2XM2/1024 + SUSYc1XM10*SUSYc2XM2 + (3*SUSYc1XM2*SUSYc2XM2)/256 + (SUSYc1XM8*SUSYc2XM2)/4 + (SUSYc1XM1*SUSYc2XM3)/512 + (SUSYc1XM3*SUSYc2XM3)/32 - (3*SUSYc1XM5*SUSYc2XM3)/32 + (SUSYc1XM9*SUSYc2XM3)/2 - (5*SUSYc2XM4)/128 + (SUSYc1XM2*SUSYc2XM4)/32 - (SUSYc1XM6*SUSYc2XM4)/4 - (3*SUSYc1XM1*SUSYc2XM5)/16 + (7*SUSYc1XM3*SUSYc2XM5)/32 - (SUSYc1XM7*SUSYc2XM5)/2 + (15*SUSYc2XM6)/32 - (7*SUSYc1XM2*SUSYc2XM6)/8 - SUSYc1XM6*SUSYc2XM6","{SUSYc2XM1/256 + SUSYc2XM3/512 - (3*SUSYc2XM5)/16, -3/1024 + (3*SUSYc2XM2)/256 + SUSYc2XM4/32 - (7*SUSYc2XM6)/8, (-5*SUSYc2XM1)/512 + SUSYc2XM3/32 + (7*SUSYc2XM5)/32, (-3*SUSYc2XM3)/32, 1/32 - SUSYc2XM4/4 - SUSYc2XM6, (3*SUSYc2XM1)/32 - SUSYc2XM5/2, -1/16 + SUSYc2XM2/4, SUSYc2XM3/2, -5/4 + SUSYc2XM2, SUSYc1XM1/256 - (5*SUSYc1XM3)/512 + (3*SUSYc1XM7)/32, -1/1024 + SUSYc1XM10 + (3*SUSYc1XM2)/256 + SUSYc1XM8/4, SUSYc1XM1/512 + SUSYc1XM3/32 - (3*SUSYc1XM5)/32 + SUSYc1XM9/2, -5/128 + SUSYc1XM2/32 - SUSYc1XM6/4, (-3*SUSYc1XM1)/16 + (7*SUSYc1XM3)/32 - SUSYc1XM7/2, 15/32 - (7*SUSYc1XM2)/8 - SUSYc1XM6}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11, 15}}",5,"SUSYc1XM6","990.36709141803539222348188815942581639243362148090870685242138586510849212018839468475581574752843140385007944840366298782080642119735319657422779407785239759521489093458575563566411585808563170974015758191344417933","(-3*SUSYc1XM1)/4096 - (15*SUSYc1XM3)/1024 + (5*SUSYc1XM5)/128 + (3*SUSYc1XM7)/32 - (5*SUSYc1XM9)/16 + (35*SUSYc2XM1)/4096 + (5*SUSYc1XM10*SUSYc2XM1)/4 - (5*SUSYc1XM2*SUSYc2XM1)/1024 + (3*SUSYc1XM6*SUSYc2XM1)/32 + (5*SUSYc1XM8*SUSYc2XM1)/16 + (29*SUSYc1XM1*SUSYc2XM2)/1024 - (3*SUSYc1XM3*SUSYc2XM2)/128 - (3*SUSYc1XM5*SUSYc2XM2)/32 + (3*SUSYc1XM7*SUSYc2XM2)/16 + (3*SUSYc1XM9*SUSYc2XM2)/4 - (25*SUSYc2XM3)/1024 + (11*SUSYc1XM2*SUSYc2XM3)/128 - (3*SUSYc1XM6*SUSYc2XM3)/16 + (SUSYc1XM8*SUSYc2XM3)/4 - (3*SUSYc1XM1*SUSYc2XM4)/128 + (7*SUSYc1XM3*SUSYc2XM4)/32 - (5*SUSYc1XM5*SUSYc2XM4)/16 - (SUSYc1XM7*SUSYc2XM4)/4 - (45*SUSYc2XM5)/128 + (7*SUSYc1XM2*SUSYc2XM5)/32 - (3*SUSYc1XM6*SUSYc2XM5)/4 - (63*SUSYc1XM1*SUSYc2XM6)/32 + (35*SUSYc1XM3*SUSYc2XM6)/16 - (5*SUSYc1XM5*SUSYc2XM6)/4","{-3/4096 + (29*SUSYc2XM2)/1024 - (3*SUSYc2XM4)/128 - (63*SUSYc2XM6)/32, (-5*SUSYc2XM1)/1024 + (11*SUSYc2XM3)/128 + (7*SUSYc2XM5)/32, -15/1024 - (3*SUSYc2XM2)/128 + (7*SUSYc2XM4)/32 + (35*SUSYc2XM6)/16, 5/128 - (3*SUSYc2XM2)/32 - (5*SUSYc2XM4)/16 - (5*SUSYc2XM6)/4, (3*SUSYc2XM1)/32 - (3*SUSYc2XM3)/16 - (3*SUSYc2XM5)/4, 3/32 + (3*SUSYc2XM2)/16 - SUSYc2XM4/4, (5*SUSYc2XM1)/16 + SUSYc2XM3/4, -5/16 + (3*SUSYc2XM2)/4, (5*SUSYc2XM1)/4, 35/4096 + (5*SUSYc1XM10)/4 - (5*SUSYc1XM2)/1024 + (3*SUSYc1XM6)/32 + (5*SUSYc1XM8)/16, (29*SUSYc1XM1)/1024 - (3*SUSYc1XM3)/128 - (3*SUSYc1XM5)/32 + (3*SUSYc1XM7)/16 + (3*SUSYc1XM9)/4, -25/1024 + (11*SUSYc1XM2)/128 - (3*SUSYc1XM6)/16 + SUSYc1XM8/4, (-3*SUSYc1XM1)/128 + (7*SUSYc1XM3)/32 - (5*SUSYc1XM5)/16 - SUSYc1XM7/4, -45/128 + (7*SUSYc1XM2)/32 - (3*SUSYc1XM6)/4, (-63*SUSYc1XM1)/32 + (35*SUSYc1XM3)/16 - (5*SUSYc1XM5)/4}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11, 15}}",5,"SUSYc1XM7","3364.54974327843198148298241538342923685918913674112133557880572477069374547067260698670923925530408796298455529943416623219297744568605987582874498531700887206935507202594342420314660386799685481532974579429775423491","9/1024 + (3*SUSYc1XM10)/2 - (15*SUSYc1XM2)/512 + (3*SUSYc1XM6)/16 + SUSYc1XM8/4 + (5*SUSYc1XM1*SUSYc2XM1)/256 - (5*SUSYc1XM3*SUSYc2XM1)/64 + (3*SUSYc1XM7*SUSYc2XM1)/8 + SUSYc1XM9*SUSYc2XM1 + (19*SUSYc2XM2)/512 + (SUSYc1XM2*SUSYc2XM2)/32 + (SUSYc1XM8*SUSYc2XM2)/2 + (9*SUSYc1XM1*SUSYc2XM3)/64 - (3*SUSYc1XM5*SUSYc2XM3)/8 - (3*SUSYc2XM4)/16 + (7*SUSYc1XM2*SUSYc2XM4)/16 - (SUSYc1XM6*SUSYc2XM4)/2 + (7*SUSYc1XM3*SUSYc2XM5)/8 - SUSYc1XM5*SUSYc2XM5 - (63*SUSYc2XM6)/16 + (7*SUSYc1XM2*SUSYc2XM6)/2","{(5*SUSYc2XM1)/256 + (9*SUSYc2XM3)/64, -15/512 + SUSYc2XM2/32 + (7*SUSYc2XM4)/16 + (7*SUSYc2XM6)/2, (-5*SUSYc2XM1)/64 + (7*SUSYc2XM5)/8, (-3*SUSYc2XM3)/8 - SUSYc2XM5, 3/16 - SUSYc2XM4/2, (3*SUSYc2XM1)/8, 1/4 + SUSYc2XM2/2, SUSYc2XM1, 3/2, (5*SUSYc1XM1)/256 - (5*SUSYc1XM3)/64 + (3*SUSYc1XM7)/8 + SUSYc1XM9, 19/512 + SUSYc1XM2/32 + SUSYc1XM8/2, (9*SUSYc1XM1)/64 - (3*SUSYc1XM5)/8, -3/16 + (7*SUSYc1XM2)/16 - SUSYc1XM6/2, (7*SUSYc1XM3)/8 - SUSYc1XM5, -63/16 + (7*SUSYc1XM2)/2}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11, 15}}",5,"SUSYc1XM8","5106.89884833692534747474172649077953330623607637949567670749688879123514406896974616661653155273173302198227838411157216631061584024152703077068164739090501466917372459543988845755179566775667000080354309925496578179","(-25*SUSYc1XM1)/1024 - (5*SUSYc1XM3)/64 + (5*SUSYc1XM5)/32 + SUSYc1XM7/2 + (5*SUSYc1XM9)/4 + (65*SUSYc2XM1)/1024 - (5*SUSYc1XM2*SUSYc2XM1)/64 + (SUSYc1XM6*SUSYc2XM1)/4 + (3*SUSYc1XM8*SUSYc2XM1)/4 + (9*SUSYc1XM1*SUSYc2XM2)/64 - (7*SUSYc1XM3*SUSYc2XM2)/32 - (SUSYc1XM5*SUSYc2XM2)/4 + (SUSYc1XM7*SUSYc2XM2)/4 + (9*SUSYc2XM3)/64 + (7*SUSYc1XM2*SUSYc2XM3)/32 - (SUSYc1XM6*SUSYc2XM3)/4 + (21*SUSYc1XM1*SUSYc2XM4)/32 - (3*SUSYc1XM5*SUSYc2XM4)/4 - (21*SUSYc2XM5)/32 + (7*SUSYc1XM2*SUSYc2XM5)/4 + (21*SUSYc1XM1*SUSYc2XM6)/4 - (7*SUSYc1XM3*SUSYc2XM6)/4","{-25/1024 + (9*SUSYc2XM2)/64 + (21*SUSYc2XM4)/32 + (21*SUSYc2XM6)/4, (-5*SUSYc2XM1)/64 + (7*SUSYc2XM3)/32 + (7*SUSYc2XM5)/4, -5/64 - (7*SUSYc2XM2)/32 - (7*SUSYc2XM6)/4, 5/32 - SUSYc2XM2/4 - (3*SUSYc2XM4)/4, SUSYc2XM1/4 - SUSYc2XM3/4, 1/2 + SUSYc2XM2/4, (3*SUSYc2XM1)/4, 5/4, 0, 65/1024 - (5*SUSYc1XM2)/64 + SUSYc1XM6/4 + (3*SUSYc1XM8)/4, (9*SUSYc1XM1)/64 - (7*SUSYc1XM3)/32 - SUSYc1XM5/4 + SUSYc1XM7/4, 9/64 + (7*SUSYc1XM2)/32 - SUSYc1XM6/4, (21*SUSYc1XM1)/32 - (3*SUSYc1XM5)/4, -21/32 + (7*SUSYc1XM2)/4, (21*SUSYc1XM1)/4 - (7*SUSYc1XM3)/4}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11, 15}}",5,"SUSYc1XM9","4312.48760273028257255806318271645484076976448473665281778420920143064204998617584985630836367370980764328228525211765065404140668759972451598713339109981876430127581521921767210336904630835922683656572765074717068477","5/256 - (5*SUSYc1XM2)/32 + SUSYc1XM6/2 + SUSYc1XM8 - (5*SUSYc1XM3*SUSYc2XM1)/16 + (SUSYc1XM7*SUSYc2XM1)/2 + (9*SUSYc2XM2)/32 - (SUSYc1XM2*SUSYc2XM2)/8 + (9*SUSYc1XM1*SUSYc2XM3)/16 - (SUSYc1XM3*SUSYc2XM3)/2 - (SUSYc1XM5*SUSYc2XM3)/2 + (3*SUSYc2XM4)/4 + (SUSYc1XM2*SUSYc2XM4)/2 + 3*SUSYc1XM1*SUSYc2XM5 - (3*SUSYc1XM3*SUSYc2XM5)/2 + (15*SUSYc2XM6)/2 - 2*SUSYc1XM2*SUSYc2XM6","{(9*SUSYc2XM3)/16 + 3*SUSYc2XM5, -5/32 - SUSYc2XM2/8 + SUSYc2XM4/2 - 2*SUSYc2XM6, (-5*SUSYc2XM1)/16 - SUSYc2XM3/2 - (3*SUSYc2XM5)/2, -1/2*SUSYc2XM3, 1/2, SUSYc2XM1/2, 1, 0, 0, (-5*SUSYc1XM3)/16 + SUSYc1XM7/2, 9/32 - SUSYc1XM2/8, (9*SUSYc1XM1)/16 - SUSYc1XM3/2 - SUSYc1XM5/2, 3/4 + SUSYc1XM2/2, 3*SUSYc1XM1 - (3*SUSYc1XM3)/2, 15/2 - 2*SUSYc1XM2}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11, 15}}",5,"SUSYc1XM10","1350.44767999172253360577876187495249238708982315693240367762862082424648812509582132426206578876842854019760553539285455324201644790167811333406960013930398065040126127875153914466381256587523464281567375931416462186","(-45*SUSYc1XM1)/256 - (15*SUSYc1XM3)/64 + (5*SUSYc1XM5)/16 + (3*SUSYc1XM7)/4 + (45*SUSYc2XM1)/256 - (25*SUSYc1XM2*SUSYc2XM1)/64 + (SUSYc1XM6*SUSYc2XM1)/4 + (9*SUSYc1XM1*SUSYc2XM2)/64 - (11*SUSYc1XM3*SUSYc2XM2)/16 - (SUSYc1XM5*SUSYc2XM2)/4 + (63*SUSYc2XM3)/64 - (5*SUSYc1XM2*SUSYc2XM3)/16 + (21*SUSYc1XM1*SUSYc2XM4)/16 - (5*SUSYc1XM3*SUSYc2XM4)/4 + (75*SUSYc2XM5)/16 - (7*SUSYc1XM2*SUSYc2XM5)/4 - (9*SUSYc1XM1*SUSYc2XM6)/4","{-45/256 + (9*SUSYc2XM2)/64 + (21*SUSYc2XM4)/16 - (9*SUSYc2XM6)/4, (-25*SUSYc2XM1)/64 - (5*SUSYc2XM3)/16 - (7*SUSYc2XM5)/4, -15/64 - (11*SUSYc2XM2)/16 - (5*SUSYc2XM4)/4, 5/16 - SUSYc2XM2/4, SUSYc2XM1/4, 3/4, 0, 0, 0, 45/256 - (25*SUSYc1XM2)/64 + SUSYc1XM6/4, (9*SUSYc1XM1)/64 - (11*SUSYc1XM3)/16 - SUSYc1XM5/4, 63/64 - (5*SUSYc1XM2)/16, (21*SUSYc1XM1)/16 - (5*SUSYc1XM3)/4, 75/16 - (7*SUSYc1XM2)/4, (-9*SUSYc1XM1)/4}"
"{{1, 2, 3, 4, 5, 6, 12, 13, 14}, {7, 8, 9, 10, 11, 15}}",5,"SUSYc2XM1","0.04289478299682991208088919768701047274816217066875038700548620490253898086994841973834785908039798714374759924132831934096311904243696022430135079801757769481032703965526916317318829613764271917349857979740010775","-5/64 - (15*SUSYc1XM2)/32 + SUSYc1XM6/2 - (5*SUSYc1XM1*SUSYc2XM1)/16 - (5*SUSYc1XM3*SUSYc2XM1)/8 + (19*SUSYc2XM2)/32 - (3*SUSYc1XM2*SUSYc2XM2)/4 + (SUSYc1XM1*SUSYc2XM3)/8 - SUSYc1XM3*SUSYc2XM3 + (5*SUSYc2XM4)/2 - (3*SUSYc1XM2*SUSYc2XM4)/2 - 2*SUSYc1XM1*SUSYc2XM5 - (5*SUSYc2XM6)/2","{(-5*SUSYc2XM1)/16 + SUSYc2XM3/8 - 2*SUSYc2XM5, -15/32 - (3*SUSYc2XM2)/4 - (3*SUSYc2XM4)/2, (-5*SUSYc2XM1)/8 - SUSYc2XM3, 0, 1/2, 0, 0, 0, 0, (-5*SUSYc1XM1)/16 - (5*SUSYc1XM3)/8, 19/32 - (3*SUSYc1XM2)/4, SUSYc1XM1/8 - SUSYc1XM3, 5/2 - (3*SUSYc1XM2)/2, -2*SUSYc1XM1, -5/2}"
