var,b_final_value
SUSYc1XM1,-4.0026787830318995147510e+00
SUSYc1XM2,8.6324747815879883306630e+00
SUSYc1XM3,-1.0608575142004353622200e+01
SUSYc1XM4,6.5075657896255867606540e+00
SUSYc1XM6,-7.3089964223050497831730e+00
SUSYc1XM7,-5.1070284153755313537990e-01
SUSYc1XM8,-1.7403869384169715204380e+00
SUSYc1XM9,8.2670880106908383671310e-01
SUSYc1XM10,-1.3117607605482171016890e+00
SUSYc1XM11,4.7665493773050144110570e-01
SUSYc1XM12,-4.8148391089758387809430e-02
SUSYc1XM13,9.9521285133036181727360e-04
SUSYc2XM1,2.6684525220212663431680e+00
SUSYc2XM2,2.8581953031926374348620e+00
SUSYc2XM3,1.3825803340456037706860e+00
SUSYc2XM4,2.3271882798665203638220e-01
SUSYc2XM5,-7.4139333228296788097400e-02
SUSYc2XM6,-5.8563556354439806669440e-02
SUSYc2XM7,9.2345982521917770417180e-03
SUSYc2XM8,-2.0885018500549533203480e-04
