"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12, 14}}",70,"SUSYc1XM2","-82.0749624910025899051148695466373159127257638933393443709169374211788979071633945452912119271280001294769203097262128","-1/16384 + SUSYc1XM2/4096 - SUSYc1XM4/1024 + SUSYc1XM6/256 - SUSYc1XM8/64 + (SUSYc1XM3*SUSYc2XM1)/1024 - (SUSYc1XM5*SUSYc2XM1)/256 + (SUSYc1XM7*SUSYc2XM1)/64 + SUSYc2XM2/4096 - (SUSYc1XM2*SUSYc2XM2)/1024 + (SUSYc1XM4*SUSYc2XM2)/256 - (SUSYc1XM6*SUSYc2XM2)/64 + (SUSYc1XM8*SUSYc2XM2)/16 - (SUSYc1XM3*SUSYc2XM3)/256 + (SUSYc1XM5*SUSYc2XM3)/64 - (SUSYc1XM7*SUSYc2XM3)/16 - SUSYc2XM4/1024 + (SUSYc1XM2*SUSYc2XM4)/256 - (SUSYc1XM4*SUSYc2XM4)/64 + (SUSYc1XM6*SUSYc2XM4)/16 - (SUSYc1XM8*SUSYc2XM4)/4 + (SUSYc1XM3*SUSYc2XM5)/64 - (SUSYc1XM5*SUSYc2XM5)/16 + (SUSYc1XM7*SUSYc2XM5)/4 + SUSYc2XM6/256 - (SUSYc1XM2*SUSYc2XM6)/64 + (SUSYc1XM4*SUSYc2XM6)/16 - (SUSYc1XM6*SUSYc2XM6)/4 + SUSYc1XM8*SUSYc2XM6 - (SUSYc1XM3*SUSYc2XM7)/16 + (SUSYc1XM5*SUSYc2XM7)/4 - SUSYc1XM7*SUSYc2XM7","{1/4096 - SUSYc2XM2/1024 + SUSYc2XM4/256 - SUSYc2XM6/64, SUSYc2XM1/1024 - SUSYc2XM3/256 + SUSYc2XM5/64 - SUSYc2XM7/16, -1/1024 + SUSYc2XM2/256 - SUSYc2XM4/64 + SUSYc2XM6/16, -1/256*SUSYc2XM1 + SUSYc2XM3/64 - SUSYc2XM5/16 + SUSYc2XM7/4, 1/256 - SUSYc2XM2/64 + SUSYc2XM4/16 - SUSYc2XM6/4, SUSYc2XM1/64 - SUSYc2XM3/16 + SUSYc2XM5/4 - SUSYc2XM7, -1/64 + SUSYc2XM2/16 - SUSYc2XM4/4 + SUSYc2XM6, SUSYc1XM3/1024 - SUSYc1XM5/256 + SUSYc1XM7/64, 1/4096 - SUSYc1XM2/1024 + SUSYc1XM4/256 - SUSYc1XM6/64 + SUSYc1XM8/16, -1/256*SUSYc1XM3 + SUSYc1XM5/64 - SUSYc1XM7/16, -1/1024 + SUSYc1XM2/256 - SUSYc1XM4/64 + SUSYc1XM6/16 - SUSYc1XM8/4, SUSYc1XM3/64 - SUSYc1XM5/16 + SUSYc1XM7/4, 1/256 - SUSYc1XM2/64 + SUSYc1XM4/16 - SUSYc1XM6/4 + SUSYc1XM8, -1/16*SUSYc1XM3 + SUSYc1XM5/4 - SUSYc1XM7}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12, 14}}",70,"SUSYc1XM3","-67.7461114794769301415734918373201848856306677141965465573511405052115091759553273586536026777059726228253924794453691","SUSYc1XM3/512 - SUSYc1XM5/64 + (3*SUSYc1XM7)/32 - SUSYc2XM1/2048 + (SUSYc1XM4*SUSYc2XM1)/128 - (SUSYc1XM6*SUSYc2XM1)/16 + (3*SUSYc1XM8*SUSYc2XM1)/8 + (SUSYc1XM5*SUSYc2XM2)/32 - (SUSYc1XM7*SUSYc2XM2)/4 + SUSYc2XM3/256 - (SUSYc1XM2*SUSYc2XM3)/128 + (SUSYc1XM6*SUSYc2XM3)/8 - SUSYc1XM8*SUSYc2XM3 - (SUSYc1XM3*SUSYc2XM4)/32 + (SUSYc1XM7*SUSYc2XM4)/2 - (3*SUSYc2XM5)/128 + (SUSYc1XM2*SUSYc2XM5)/16 - (SUSYc1XM4*SUSYc2XM5)/8 + 2*SUSYc1XM8*SUSYc2XM5 + (SUSYc1XM3*SUSYc2XM6)/4 - (SUSYc1XM5*SUSYc2XM6)/2 + SUSYc2XM7/8 - (3*SUSYc1XM2*SUSYc2XM7)/8 + SUSYc1XM4*SUSYc2XM7 - 2*SUSYc1XM6*SUSYc2XM7","{-1/128*SUSYc2XM3 + SUSYc2XM5/16 - (3*SUSYc2XM7)/8, 1/512 - SUSYc2XM4/32 + SUSYc2XM6/4, SUSYc2XM1/128 - SUSYc2XM5/8 + SUSYc2XM7, -1/64 + SUSYc2XM2/32 - SUSYc2XM6/2, -1/16*SUSYc2XM1 + SUSYc2XM3/8 - 2*SUSYc2XM7, 3/32 - SUSYc2XM2/4 + SUSYc2XM4/2, (3*SUSYc2XM1)/8 - SUSYc2XM3 + 2*SUSYc2XM5, -1/2048 + SUSYc1XM4/128 - SUSYc1XM6/16 + (3*SUSYc1XM8)/8, SUSYc1XM5/32 - SUSYc1XM7/4, 1/256 - SUSYc1XM2/128 + SUSYc1XM6/8 - SUSYc1XM8, -1/32*SUSYc1XM3 + SUSYc1XM7/2, -3/128 + SUSYc1XM2/16 - SUSYc1XM4/8 + 2*SUSYc1XM8, SUSYc1XM3/4 - SUSYc1XM5/2, 1/8 - (3*SUSYc1XM2)/8 + SUSYc1XM4 - 2*SUSYc1XM6}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12, 14}}",70,"SUSYc1XM4","-19.1018563561221013221956164455026905540566975949599253403930896906413134036335722814640452105357843452723850825420278","-7/4096 + (3*SUSYc1XM2)/512 - SUSYc1XM4/256 - SUSYc1XM6/8 + (21*SUSYc1XM8)/16 + (5*SUSYc1XM3*SUSYc2XM1)/256 - (9*SUSYc1XM7*SUSYc2XM1)/16 + SUSYc2XM2/512 - (5*SUSYc1XM2*SUSYc2XM2)/256 + (SUSYc1XM4*SUSYc2XM2)/16 + (SUSYc1XM6*SUSYc2XM2)/16 - (5*SUSYc1XM8*SUSYc2XM2)/2 - (SUSYc1XM3*SUSYc2XM3)/16 + (3*SUSYc1XM5*SUSYc2XM3)/16 + (SUSYc1XM7*SUSYc2XM3)/2 + (7*SUSYc2XM4)/256 - (3*SUSYc1XM4*SUSYc2XM4)/16 + (SUSYc1XM6*SUSYc2XM4)/2 + 3*SUSYc1XM8*SUSYc2XM4 - (SUSYc1XM3*SUSYc2XM5)/16 - (SUSYc1XM5*SUSYc2XM5)/2 + SUSYc1XM7*SUSYc2XM5 - (5*SUSYc2XM6)/16 + (9*SUSYc1XM2*SUSYc2XM6)/16 - (SUSYc1XM4*SUSYc2XM6)/2 - SUSYc1XM6*SUSYc2XM6 + (5*SUSYc1XM3*SUSYc2XM7)/2 - 3*SUSYc1XM5*SUSYc2XM7","{3/512 - (5*SUSYc2XM2)/256 + (9*SUSYc2XM6)/16, (5*SUSYc2XM1)/256 - SUSYc2XM3/16 - SUSYc2XM5/16 + (5*SUSYc2XM7)/2, -1/256 + SUSYc2XM2/16 - (3*SUSYc2XM4)/16 - SUSYc2XM6/2, (3*SUSYc2XM3)/16 - SUSYc2XM5/2 - 3*SUSYc2XM7, -1/8 + SUSYc2XM2/16 + SUSYc2XM4/2 - SUSYc2XM6, (-9*SUSYc2XM1)/16 + SUSYc2XM3/2 + SUSYc2XM5, 21/16 - (5*SUSYc2XM2)/2 + 3*SUSYc2XM4, (5*SUSYc1XM3)/256 - (9*SUSYc1XM7)/16, 1/512 - (5*SUSYc1XM2)/256 + SUSYc1XM4/16 + SUSYc1XM6/16 - (5*SUSYc1XM8)/2, -1/16*SUSYc1XM3 + (3*SUSYc1XM5)/16 + SUSYc1XM7/2, 7/256 - (3*SUSYc1XM4)/16 + SUSYc1XM6/2 + 3*SUSYc1XM8, -1/16*SUSYc1XM3 - SUSYc1XM5/2 + SUSYc1XM7, -5/16 + (9*SUSYc1XM2)/16 - SUSYc1XM4/2 - SUSYc1XM6, (5*SUSYc1XM3)/2 - 3*SUSYc1XM5}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12, 14}}",70,"SUSYc1XM5","-2.675359693069638407864474469775569509566798907491127320118445018877717955148569107356758074380964023066887472727169","(5*SUSYc1XM3)/128 - SUSYc1XM5/8 - (7*SUSYc1XM7)/8 - (3*SUSYc2XM1)/256 + (SUSYc1XM4*SUSYc2XM1)/8 - (SUSYc1XM6*SUSYc2XM1)/4 - 5*SUSYc1XM8*SUSYc2XM1 + (3*SUSYc1XM5*SUSYc2XM2)/8 + (3*SUSYc2XM3)/64 - (SUSYc1XM2*SUSYc2XM3)/8 + SUSYc1XM6*SUSYc2XM3 + 4*SUSYc1XM8*SUSYc2XM3 - (3*SUSYc1XM3*SUSYc2XM4)/8 + 2*SUSYc1XM7*SUSYc2XM4 + SUSYc2XM5/8 + (SUSYc1XM2*SUSYc2XM5)/4 - SUSYc1XM4*SUSYc2XM5 - 2*SUSYc1XM5*SUSYc2XM6 - (7*SUSYc2XM7)/2 + 5*SUSYc1XM2*SUSYc2XM7 - 4*SUSYc1XM4*SUSYc2XM7","{-1/8*SUSYc2XM3 + SUSYc2XM5/4 + 5*SUSYc2XM7, 5/128 - (3*SUSYc2XM4)/8, SUSYc2XM1/8 - SUSYc2XM5 - 4*SUSYc2XM7, -1/8 + (3*SUSYc2XM2)/8 - 2*SUSYc2XM6, -1/4*SUSYc2XM1 + SUSYc2XM3, -7/8 + 2*SUSYc2XM4, -5*SUSYc2XM1 + 4*SUSYc2XM3, -3/256 + SUSYc1XM4/8 - SUSYc1XM6/4 - 5*SUSYc1XM8, (3*SUSYc1XM5)/8, 3/64 - SUSYc1XM2/8 + SUSYc1XM6 + 4*SUSYc1XM8, (-3*SUSYc1XM3)/8 + 2*SUSYc1XM7, 1/8 + SUSYc1XM2/4 - SUSYc1XM4, -2*SUSYc1XM5, -7/2 + 5*SUSYc1XM2 - 4*SUSYc1XM4}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12, 14}}",70,"SUSYc1XM6","-2.351674566661489884744590005364252866449894638295182098687176029320497835433262265416511574508862135057597685222617","-21/1024 + (15*SUSYc1XM2)/256 + (3*SUSYc1XM4)/32 - (7*SUSYc1XM6)/8 - (35*SUSYc1XM8)/4 + (5*SUSYc1XM3*SUSYc2XM1)/32 + (3*SUSYc1XM5*SUSYc2XM1)/8 - (5*SUSYc1XM7*SUSYc2XM1)/4 - (5*SUSYc2XM2)/256 - (5*SUSYc1XM2*SUSYc2XM2)/32 + (3*SUSYc1XM4*SUSYc2XM2)/8 + (5*SUSYc1XM6*SUSYc2XM2)/4 + 5*SUSYc1XM8*SUSYc2XM2 - (3*SUSYc1XM3*SUSYc2XM3)/8 + (3*SUSYc1XM5*SUSYc2XM3)/4 + 3*SUSYc1XM7*SUSYc2XM3 + (11*SUSYc2XM4)/32 - (3*SUSYc1XM2*SUSYc2XM4)/8 - (3*SUSYc1XM4*SUSYc2XM4)/4 + SUSYc1XM6*SUSYc2XM4 - (5*SUSYc1XM3*SUSYc2XM5)/4 - SUSYc1XM5*SUSYc2XM5 + (7*SUSYc2XM6)/8 + (5*SUSYc1XM2*SUSYc2XM6)/4 - 3*SUSYc1XM4*SUSYc2XM6 - 5*SUSYc1XM3*SUSYc2XM7","{15/256 - (5*SUSYc2XM2)/32 - (3*SUSYc2XM4)/8 + (5*SUSYc2XM6)/4, (5*SUSYc2XM1)/32 - (3*SUSYc2XM3)/8 - (5*SUSYc2XM5)/4 - 5*SUSYc2XM7, 3/32 + (3*SUSYc2XM2)/8 - (3*SUSYc2XM4)/4 - 3*SUSYc2XM6, (3*SUSYc2XM1)/8 + (3*SUSYc2XM3)/4 - SUSYc2XM5, -7/8 + (5*SUSYc2XM2)/4 + SUSYc2XM4, (-5*SUSYc2XM1)/4 + 3*SUSYc2XM3, -35/4 + 5*SUSYc2XM2, (5*SUSYc1XM3)/32 + (3*SUSYc1XM5)/8 - (5*SUSYc1XM7)/4, -5/256 - (5*SUSYc1XM2)/32 + (3*SUSYc1XM4)/8 + (5*SUSYc1XM6)/4 + 5*SUSYc1XM8, (-3*SUSYc1XM3)/8 + (3*SUSYc1XM5)/4 + 3*SUSYc1XM7, 11/32 - (3*SUSYc1XM2)/8 - (3*SUSYc1XM4)/4 + SUSYc1XM6, (-5*SUSYc1XM3)/4 - SUSYc1XM5, 7/8 + (5*SUSYc1XM2)/4 - 3*SUSYc1XM4, -5*SUSYc1XM3}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12, 14}}",70,"SUSYc1XM7","-0.8073600945073674658348990139641474911569013369276215673318754801441072076270993895842642175769421105454473115656118","(5*SUSYc1XM3)/16 - (7*SUSYc1XM7)/2 - (15*SUSYc2XM1)/128 + (3*SUSYc1XM4*SUSYc2XM1)/4 + SUSYc1XM6*SUSYc2XM1 + 6*SUSYc1XM8*SUSYc2XM1 + (3*SUSYc1XM5*SUSYc2XM2)/2 + 4*SUSYc1XM7*SUSYc2XM2 + SUSYc2XM3/8 - (3*SUSYc1XM2*SUSYc2XM3)/4 + 2*SUSYc1XM6*SUSYc2XM3 - (3*SUSYc1XM3*SUSYc2XM4)/2 + (7*SUSYc2XM5)/4 - SUSYc1XM2*SUSYc2XM5 - 2*SUSYc1XM4*SUSYc2XM5 - 4*SUSYc1XM3*SUSYc2XM6 + 14*SUSYc2XM7 - 6*SUSYc1XM2*SUSYc2XM7","{(-3*SUSYc2XM3)/4 - SUSYc2XM5 - 6*SUSYc2XM7, 5/16 - (3*SUSYc2XM4)/2 - 4*SUSYc2XM6, (3*SUSYc2XM1)/4 - 2*SUSYc2XM5, (3*SUSYc2XM2)/2, SUSYc2XM1 + 2*SUSYc2XM3, -7/2 + 4*SUSYc2XM2, 6*SUSYc2XM1, -15/128 + (3*SUSYc1XM4)/4 + SUSYc1XM6 + 6*SUSYc1XM8, (3*SUSYc1XM5)/2 + 4*SUSYc1XM7, 1/8 - (3*SUSYc1XM2)/4 + 2*SUSYc1XM6, (-3*SUSYc1XM3)/2, 7/4 - SUSYc1XM2 - 2*SUSYc1XM4, -4*SUSYc1XM3, 14 - 6*SUSYc1XM2}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12, 14}}",70,"SUSYc1XM8","3.4409980203695568141459054926009594157237041043294615179124301257907159342856973913451367301900623891606540322025852","-35/256 + (5*SUSYc1XM2)/16 + (7*SUSYc1XM4)/8 + 7*SUSYc1XM8 + (5*SUSYc1XM3*SUSYc2XM1)/8 + 2*SUSYc1XM5*SUSYc2XM1 + 5*SUSYc1XM7*SUSYc2XM1 - (5*SUSYc2XM2)/16 - (5*SUSYc1XM2*SUSYc2XM2)/8 + SUSYc1XM4*SUSYc2XM2 + 3*SUSYc1XM6*SUSYc2XM2 - SUSYc1XM3*SUSYc2XM3 + SUSYc1XM5*SUSYc2XM3 + (7*SUSYc2XM4)/8 - 2*SUSYc1XM2*SUSYc2XM4 - SUSYc1XM4*SUSYc2XM4 - 3*SUSYc1XM3*SUSYc2XM5 + 7*SUSYc2XM6 - 5*SUSYc1XM2*SUSYc2XM6","{5/16 - (5*SUSYc2XM2)/8 - 2*SUSYc2XM4 - 5*SUSYc2XM6, (5*SUSYc2XM1)/8 - SUSYc2XM3 - 3*SUSYc2XM5, 7/8 + SUSYc2XM2 - SUSYc2XM4, 2*SUSYc2XM1 + SUSYc2XM3, 3*SUSYc2XM2, 5*SUSYc2XM1, 7, (5*SUSYc1XM3)/8 + 2*SUSYc1XM5 + 5*SUSYc1XM7, -5/16 - (5*SUSYc1XM2)/8 + SUSYc1XM4 + 3*SUSYc1XM6, -SUSYc1XM3 + SUSYc1XM5, 7/8 - 2*SUSYc1XM2 - SUSYc1XM4, -3*SUSYc1XM3, 7 - 5*SUSYc1XM2, 0}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12, 14}}",70,"SUSYc2XM1","-35.","(5*SUSYc1XM3)/4 + 2*SUSYc1XM5 + 6*SUSYc1XM7 - (5*SUSYc2XM1)/8 + 2*SUSYc1XM4*SUSYc2XM1 + 4*SUSYc1XM6*SUSYc2XM1 + 2*SUSYc1XM5*SUSYc2XM2 - SUSYc2XM3/2 - 2*SUSYc1XM2*SUSYc2XM3 - 2*SUSYc1XM3*SUSYc2XM4 + 2*SUSYc2XM5 - 4*SUSYc1XM2*SUSYc2XM5 - 8*SUSYc2XM7","{-2*SUSYc2XM3 - 4*SUSYc2XM5, 5/4 - 2*SUSYc2XM4, 2*SUSYc2XM1, 2 + 2*SUSYc2XM2, 4*SUSYc2XM1, 6, 0, -5/8 + 2*SUSYc1XM4 + 4*SUSYc1XM6, 2*SUSYc1XM5, -1/2 - 2*SUSYc1XM2, -2*SUSYc1XM3, 2 - 4*SUSYc1XM2, 0, -8}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12, 14}}",70,"SUSYc2XM2","-27.9416541636675299683716231822124386375752546311131147903056458070596326357211315150970706423760000431589734365754042","-35/64 + (15*SUSYc1XM2)/16 + (11*SUSYc1XM4)/4 + 5*SUSYc1XM6 + (5*SUSYc1XM3*SUSYc2XM1)/4 + 3*SUSYc1XM5*SUSYc2XM1 - (25*SUSYc2XM2)/16 - (5*SUSYc1XM2*SUSYc2XM2)/4 + SUSYc1XM4*SUSYc2XM2 - SUSYc1XM3*SUSYc2XM3 - (5*SUSYc2XM4)/4 - 3*SUSYc1XM2*SUSYc2XM4 - 7*SUSYc2XM6","{15/16 - (5*SUSYc2XM2)/4 - 3*SUSYc2XM4, (5*SUSYc2XM1)/4 - SUSYc2XM3, 11/4 + SUSYc2XM2, 3*SUSYc2XM1, 5, 0, 0, (5*SUSYc1XM3)/4 + 3*SUSYc1XM5, -25/16 - (5*SUSYc1XM2)/4 + SUSYc1XM4, -SUSYc1XM3, -5/4 - 3*SUSYc1XM2, 0, -7, 0}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12, 14}}",70,"SUSYc2XM3","-7.6230557397384650707867459186600924428153338570982732786755702526057545879776636793268013388529863114126962397226845","(5*SUSYc1XM3)/2 + 4*SUSYc1XM5 - (15*SUSYc2XM1)/8 + 2*SUSYc1XM4*SUSYc2XM1 - 3*SUSYc2XM3 - 2*SUSYc1XM2*SUSYc2XM3 - 6*SUSYc2XM5","{-2*SUSYc2XM3, 5/2, 2*SUSYc2XM1, 4, 0, 0, 0, -15/8 + 2*SUSYc1XM4, 0, -3 - 2*SUSYc1XM2, 0, -6, 0, 0}"
