"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc1XM1","-140.0224850246502535533169333397486976633680810953574019023084021471974543206077801978377592719916379822213143945903014","-1/8192*SUSYc1XM1 + SUSYc1XM3/2048 - SUSYc1XM5/512 + SUSYc1XM7/128 + SUSYc2XM1/8192 + (SUSYc1XM4*SUSYc2XM1)/512 - (SUSYc1XM6*SUSYc2XM1)/128 + (SUSYc1XM8*SUSYc2XM1)/32 + (SUSYc1XM1*SUSYc2XM2)/2048 - (SUSYc1XM3*SUSYc2XM2)/512 + (SUSYc1XM5*SUSYc2XM2)/128 - (SUSYc1XM7*SUSYc2XM2)/32 - SUSYc2XM3/2048 - (SUSYc1XM4*SUSYc2XM3)/128 + (SUSYc1XM6*SUSYc2XM3)/32 - (SUSYc1XM8*SUSYc2XM3)/8 - (SUSYc1XM1*SUSYc2XM4)/512 + (SUSYc1XM3*SUSYc2XM4)/128 - (SUSYc1XM5*SUSYc2XM4)/32 + (SUSYc1XM7*SUSYc2XM4)/8 + SUSYc2XM5/512 + (SUSYc1XM4*SUSYc2XM5)/32 - (SUSYc1XM6*SUSYc2XM5)/8 + (SUSYc1XM8*SUSYc2XM5)/2 + (SUSYc1XM1*SUSYc2XM6)/128 - (SUSYc1XM3*SUSYc2XM6)/32 + (SUSYc1XM5*SUSYc2XM6)/8 - (SUSYc1XM7*SUSYc2XM6)/2","{-1/8192 + SUSYc2XM2/2048 - SUSYc2XM4/512 + SUSYc2XM6/128, 1/2048 - SUSYc2XM2/512 + SUSYc2XM4/128 - SUSYc2XM6/32, SUSYc2XM1/512 - SUSYc2XM3/128 + SUSYc2XM5/32, -1/512 + SUSYc2XM2/128 - SUSYc2XM4/32 + SUSYc2XM6/8, -1/128*SUSYc2XM1 + SUSYc2XM3/32 - SUSYc2XM5/8, 1/128 - SUSYc2XM2/32 + SUSYc2XM4/8 - SUSYc2XM6/2, SUSYc2XM1/32 - SUSYc2XM3/8 + SUSYc2XM5/2, 1/8192 + SUSYc1XM4/512 - SUSYc1XM6/128 + SUSYc1XM8/32, SUSYc1XM1/2048 - SUSYc1XM3/512 + SUSYc1XM5/128 - SUSYc1XM7/32, -1/2048 - SUSYc1XM4/128 + SUSYc1XM6/32 - SUSYc1XM8/8, -1/512*SUSYc1XM1 + SUSYc1XM3/128 - SUSYc1XM5/32 + SUSYc1XM7/8, 1/512 + SUSYc1XM4/32 - SUSYc1XM6/8 + SUSYc1XM8/2, SUSYc1XM1/128 - SUSYc1XM3/32 + SUSYc1XM5/8 - SUSYc1XM7/2}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc1XM3","-115.3913071166902663582777744054307587757437291443158879660243158670310912365164768437070917390267692106854437713846571","-1/4096 + SUSYc1XM4/256 - SUSYc1XM6/32 + (3*SUSYc1XM8)/16 - (SUSYc1XM1*SUSYc2XM1)/1024 + (SUSYc1XM5*SUSYc2XM1)/64 - (SUSYc1XM7*SUSYc2XM1)/8 + SUSYc2XM2/512 + (SUSYc1XM6*SUSYc2XM2)/16 - (SUSYc1XM8*SUSYc2XM2)/2 + (SUSYc1XM1*SUSYc2XM3)/128 - (SUSYc1XM3*SUSYc2XM3)/64 + (SUSYc1XM7*SUSYc2XM3)/4 - (3*SUSYc2XM4)/256 - (SUSYc1XM4*SUSYc2XM4)/16 + SUSYc1XM8*SUSYc2XM4 - (3*SUSYc1XM1*SUSYc2XM5)/64 + (SUSYc1XM3*SUSYc2XM5)/8 - (SUSYc1XM5*SUSYc2XM5)/4 + SUSYc2XM6/16 + (SUSYc1XM4*SUSYc2XM6)/2 - SUSYc1XM6*SUSYc2XM6","{-1/1024*SUSYc2XM1 + SUSYc2XM3/128 - (3*SUSYc2XM5)/64, -1/64*SUSYc2XM3 + SUSYc2XM5/8, 1/256 - SUSYc2XM4/16 + SUSYc2XM6/2, SUSYc2XM1/64 - SUSYc2XM5/4, -1/32 + SUSYc2XM2/16 - SUSYc2XM6, -1/8*SUSYc2XM1 + SUSYc2XM3/4, 3/16 - SUSYc2XM2/2 + SUSYc2XM4, -1/1024*SUSYc1XM1 + SUSYc1XM5/64 - SUSYc1XM7/8, 1/512 + SUSYc1XM6/16 - SUSYc1XM8/2, SUSYc1XM1/128 - SUSYc1XM3/64 + SUSYc1XM7/4, -3/256 - SUSYc1XM4/16 + SUSYc1XM8, (-3*SUSYc1XM1)/64 + SUSYc1XM3/8 - SUSYc1XM5/4, 1/16 + SUSYc1XM4/2 - SUSYc1XM6}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc1XM4","-0.0920529824164362813458426669488476739156524665551153476697695942124990642346064495448789582633731360611682198453022","(-3*SUSYc1XM1)/1024 + (5*SUSYc1XM3)/512 - (9*SUSYc1XM7)/32 + SUSYc2XM1/1024 + (SUSYc1XM4*SUSYc2XM1)/32 + (SUSYc1XM6*SUSYc2XM1)/32 - (5*SUSYc1XM8*SUSYc2XM1)/4 + (SUSYc1XM1*SUSYc2XM2)/512 - (SUSYc1XM3*SUSYc2XM2)/32 + (3*SUSYc1XM5*SUSYc2XM2)/32 + (SUSYc1XM7*SUSYc2XM2)/4 + (7*SUSYc2XM3)/512 - (3*SUSYc1XM4*SUSYc2XM3)/32 + (SUSYc1XM6*SUSYc2XM3)/4 + (3*SUSYc1XM8*SUSYc2XM3)/2 + (SUSYc1XM1*SUSYc2XM4)/16 - (SUSYc1XM3*SUSYc2XM4)/32 - (SUSYc1XM5*SUSYc2XM4)/4 + (SUSYc1XM7*SUSYc2XM4)/2 - (5*SUSYc2XM5)/32 - (SUSYc1XM4*SUSYc2XM5)/4 - (SUSYc1XM6*SUSYc2XM5)/2 - (21*SUSYc1XM1*SUSYc2XM6)/32 + (5*SUSYc1XM3*SUSYc2XM6)/4 - (3*SUSYc1XM5*SUSYc2XM6)/2","{-3/1024 + SUSYc2XM2/512 + SUSYc2XM4/16 - (21*SUSYc2XM6)/32, 5/512 - SUSYc2XM2/32 - SUSYc2XM4/32 + (5*SUSYc2XM6)/4, SUSYc2XM1/32 - (3*SUSYc2XM3)/32 - SUSYc2XM5/4, (3*SUSYc2XM2)/32 - SUSYc2XM4/4 - (3*SUSYc2XM6)/2, SUSYc2XM1/32 + SUSYc2XM3/4 - SUSYc2XM5/2, -9/32 + SUSYc2XM2/4 + SUSYc2XM4/2, (-5*SUSYc2XM1)/4 + (3*SUSYc2XM3)/2, 1/1024 + SUSYc1XM4/32 + SUSYc1XM6/32 - (5*SUSYc1XM8)/4, SUSYc1XM1/512 - SUSYc1XM3/32 + (3*SUSYc1XM5)/32 + SUSYc1XM7/4, 7/512 - (3*SUSYc1XM4)/32 + SUSYc1XM6/4 + (3*SUSYc1XM8)/2, SUSYc1XM1/16 - SUSYc1XM3/32 - SUSYc1XM5/4 + SUSYc1XM7/2, -5/32 - SUSYc1XM4/4 - SUSYc1XM6/2, (-21*SUSYc1XM1)/32 + (5*SUSYc1XM3)/4 - (3*SUSYc1XM5)/2}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc1XM5","38.8648708134987298756875689306845076052555009344596347652725527113358067857217030631134511863224049785479645568587637","-3/512 + SUSYc1XM4/16 - SUSYc1XM6/8 - (5*SUSYc1XM8)/2 - (5*SUSYc1XM1*SUSYc2XM1)/256 + (3*SUSYc1XM5*SUSYc2XM1)/16 + (3*SUSYc2XM2)/128 + (SUSYc1XM6*SUSYc2XM2)/2 + 2*SUSYc1XM8*SUSYc2XM2 + (SUSYc1XM1*SUSYc2XM3)/16 - (3*SUSYc1XM3*SUSYc2XM3)/16 + SUSYc1XM7*SUSYc2XM3 + SUSYc2XM4/16 - (SUSYc1XM4*SUSYc2XM4)/2 + (7*SUSYc1XM1*SUSYc2XM5)/16 - SUSYc1XM5*SUSYc2XM5 - (7*SUSYc2XM6)/4 - 2*SUSYc1XM4*SUSYc2XM6","{(-5*SUSYc2XM1)/256 + SUSYc2XM3/16 + (7*SUSYc2XM5)/16, (-3*SUSYc2XM3)/16, 1/16 - SUSYc2XM4/2 - 2*SUSYc2XM6, (3*SUSYc2XM1)/16 - SUSYc2XM5, -1/8 + SUSYc2XM2/2, SUSYc2XM3, -5/2 + 2*SUSYc2XM2, (-5*SUSYc1XM1)/256 + (3*SUSYc1XM5)/16, 3/128 + SUSYc1XM6/2 + 2*SUSYc1XM8, SUSYc1XM1/16 - (3*SUSYc1XM3)/16 + SUSYc1XM7, 1/16 - SUSYc1XM4/2, (7*SUSYc1XM1)/16 - SUSYc1XM5, -7/4 - 2*SUSYc1XM4}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc1XM6","-0.115982680913442537131433489924641108763051711989733795420339745446466164636843095716126107218792833775976731189456","(-15*SUSYc1XM1)/512 + (5*SUSYc1XM3)/64 + (3*SUSYc1XM5)/16 - (5*SUSYc1XM7)/8 - (5*SUSYc2XM1)/512 + (3*SUSYc1XM4*SUSYc2XM1)/16 + (5*SUSYc1XM6*SUSYc2XM1)/8 + (5*SUSYc1XM8*SUSYc2XM1)/2 - (3*SUSYc1XM1*SUSYc2XM2)/64 - (3*SUSYc1XM3*SUSYc2XM2)/16 + (3*SUSYc1XM5*SUSYc2XM2)/8 + (3*SUSYc1XM7*SUSYc2XM2)/2 + (11*SUSYc2XM3)/64 - (3*SUSYc1XM4*SUSYc2XM3)/8 + (SUSYc1XM6*SUSYc2XM3)/2 + (7*SUSYc1XM1*SUSYc2XM4)/16 - (5*SUSYc1XM3*SUSYc2XM4)/8 - (SUSYc1XM5*SUSYc2XM4)/2 + (7*SUSYc2XM5)/16 - (3*SUSYc1XM4*SUSYc2XM5)/2 + (35*SUSYc1XM1*SUSYc2XM6)/8 - (5*SUSYc1XM3*SUSYc2XM6)/2","{-15/512 - (3*SUSYc2XM2)/64 + (7*SUSYc2XM4)/16 + (35*SUSYc2XM6)/8, 5/64 - (3*SUSYc2XM2)/16 - (5*SUSYc2XM4)/8 - (5*SUSYc2XM6)/2, (3*SUSYc2XM1)/16 - (3*SUSYc2XM3)/8 - (3*SUSYc2XM5)/2, 3/16 + (3*SUSYc2XM2)/8 - SUSYc2XM4/2, (5*SUSYc2XM1)/8 + SUSYc2XM3/2, -5/8 + (3*SUSYc2XM2)/2, (5*SUSYc2XM1)/2, -5/512 + (3*SUSYc1XM4)/16 + (5*SUSYc1XM6)/8 + (5*SUSYc1XM8)/2, (-3*SUSYc1XM1)/64 - (3*SUSYc1XM3)/16 + (3*SUSYc1XM5)/8 + (3*SUSYc1XM7)/2, 11/64 - (3*SUSYc1XM4)/8 + SUSYc1XM6/2, (7*SUSYc1XM1)/16 - (5*SUSYc1XM3)/8 - SUSYc1XM5/2, 7/16 - (3*SUSYc1XM4)/2, (35*SUSYc1XM1)/8 - (5*SUSYc1XM3)/2}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc1XM7","14.7397375813437196458704928310275446995150166617964790405586275767593984064982336637296552577431948665353831126153952","-15/256 + (3*SUSYc1XM4)/8 + SUSYc1XM6/2 + 3*SUSYc1XM8 - (5*SUSYc1XM1*SUSYc2XM1)/32 + (3*SUSYc1XM5*SUSYc2XM1)/4 + 2*SUSYc1XM7*SUSYc2XM1 + SUSYc2XM2/16 + SUSYc1XM6*SUSYc2XM2 - (3*SUSYc1XM3*SUSYc2XM3)/4 + (7*SUSYc2XM4)/8 - SUSYc1XM4*SUSYc2XM4 + (7*SUSYc1XM1*SUSYc2XM5)/4 - 2*SUSYc1XM3*SUSYc2XM5 + 7*SUSYc2XM6","{(-5*SUSYc2XM1)/32 + (7*SUSYc2XM5)/4, (-3*SUSYc2XM3)/4 - 2*SUSYc2XM5, 3/8 - SUSYc2XM4, (3*SUSYc2XM1)/4, 1/2 + SUSYc2XM2, 2*SUSYc2XM1, 3, (-5*SUSYc1XM1)/32 + (3*SUSYc1XM5)/4 + 2*SUSYc1XM7, 1/16 + SUSYc1XM6, (-3*SUSYc1XM3)/4, 7/8 - SUSYc1XM4, (7*SUSYc1XM1)/4 - 2*SUSYc1XM3, 7}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc1XM8","0.0548210071075754390529956483037298211385004239040027260944602680438075235421444047866093428549239727055325864023978","(-5*SUSYc1XM1)/32 + (5*SUSYc1XM3)/16 + SUSYc1XM5 + (5*SUSYc1XM7)/2 - (5*SUSYc2XM1)/32 + (SUSYc1XM4*SUSYc2XM1)/2 + (3*SUSYc1XM6*SUSYc2XM1)/2 - (7*SUSYc1XM1*SUSYc2XM2)/16 - (SUSYc1XM3*SUSYc2XM2)/2 + (SUSYc1XM5*SUSYc2XM2)/2 + (7*SUSYc2XM3)/16 - (SUSYc1XM4*SUSYc2XM3)/2 - (3*SUSYc1XM3*SUSYc2XM4)/2 + (7*SUSYc2XM5)/2 - (7*SUSYc1XM1*SUSYc2XM6)/2","{-5/32 - (7*SUSYc2XM2)/16 - (7*SUSYc2XM6)/2, 5/16 - SUSYc2XM2/2 - (3*SUSYc2XM4)/2, SUSYc2XM1/2 - SUSYc2XM3/2, 1 + SUSYc2XM2/2, (3*SUSYc2XM1)/2, 5/2, 0, -5/32 + SUSYc1XM4/2 + (3*SUSYc1XM6)/2, (-7*SUSYc1XM1)/16 - SUSYc1XM3/2 + SUSYc1XM5/2, 7/16 - SUSYc1XM4/2, (-3*SUSYc1XM3)/2, 7/2, (-7*SUSYc1XM1)/2}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc2XM1","0.0074950082167511844389777799162325544560270317858006341028007157324847735359267326125864239972126607404381315301005","-5/16 + SUSYc1XM4 + 2*SUSYc1XM6 - (5*SUSYc1XM1*SUSYc2XM1)/8 + SUSYc1XM5*SUSYc2XM1 - SUSYc2XM2/4 - SUSYc1XM1*SUSYc2XM3 - SUSYc1XM3*SUSYc2XM3 + SUSYc2XM4 - 3*SUSYc1XM1*SUSYc2XM5 - 4*SUSYc2XM6","{(-5*SUSYc2XM1)/8 - SUSYc2XM3 - 3*SUSYc2XM5, -SUSYc2XM3, 1, SUSYc2XM1, 2, 0, 0, (-5*SUSYc1XM1)/8 + SUSYc1XM5, -1/4, -SUSYc1XM1 - SUSYc1XM3, 1, -3*SUSYc1XM1, -4}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc2XM2","-0.2252651621051633376169449500132883361729259823562616592931664011770009475432601179451559743465322552374855611026337","(-15*SUSYc1XM1)/32 + (5*SUSYc1XM3)/8 + (3*SUSYc1XM5)/2 - (25*SUSYc2XM1)/32 + (SUSYc1XM4*SUSYc2XM1)/2 - (11*SUSYc1XM1*SUSYc2XM2)/8 - (SUSYc1XM3*SUSYc2XM2)/2 - (5*SUSYc2XM3)/8 - (5*SUSYc1XM1*SUSYc2XM4)/2 - (7*SUSYc2XM5)/2","{-15/32 - (11*SUSYc2XM2)/8 - (5*SUSYc2XM4)/2, 5/8 - SUSYc2XM2/2, SUSYc2XM1/2, 3/2, 0, 0, 0, -25/32 + SUSYc1XM4/2, (-11*SUSYc1XM1)/8 - SUSYc1XM3/2, -5/8, (-5*SUSYc1XM1)/2, -7/2, 0}"
"{{1, 3, 4, 7, 8, 11, 13}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc2XM3","-0.0020750941620901707517158682752289517115270872605519228169192788485764411372448530842217027049674162064913580721231","-15/16 + SUSYc1XM4 - (5*SUSYc1XM1*SUSYc2XM1)/4 - (3*SUSYc2XM2)/2 - 2*SUSYc1XM1*SUSYc2XM3 - 3*SUSYc2XM4","{(-5*SUSYc2XM1)/4 - 2*SUSYc2XM3, 0, 1, 0, 0, 0, 0, (-5*SUSYc1XM1)/4, -3/2, -2*SUSYc1XM1, -3, 0, 0}"
