"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 7, 8, 11}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc1XM2","-83.3404196239756132289263157298922134934300779623071679138557797427974103951556277762637358889286449014910814630502117","-1/4096 + SUSYc1XM2/1024 - SUSYc1XM4/256 + SUSYc1XM6/64 + (SUSYc1XM3*SUSYc2XM1)/256 - (SUSYc1XM5*SUSYc2XM1)/64 + (SUSYc1XM7*SUSYc2XM1)/16 + SUSYc2XM2/1024 - (SUSYc1XM2*SUSYc2XM2)/256 + (SUSYc1XM4*SUSYc2XM2)/64 - (SUSYc1XM6*SUSYc2XM2)/16 - (SUSYc1XM3*SUSYc2XM3)/64 + (SUSYc1XM5*SUSYc2XM3)/16 - (SUSYc1XM7*SUSYc2XM3)/4 - SUSYc2XM4/256 + (SUSYc1XM2*SUSYc2XM4)/64 - (SUSYc1XM4*SUSYc2XM4)/16 + (SUSYc1XM6*SUSYc2XM4)/4 + (SUSYc1XM3*SUSYc2XM5)/16 - (SUSYc1XM5*SUSYc2XM5)/4 + SUSYc1XM7*SUSYc2XM5 + SUSYc2XM6/64 - (SUSYc1XM2*SUSYc2XM6)/16 + (SUSYc1XM4*SUSYc2XM6)/4 - SUSYc1XM6*SUSYc2XM6","{1/1024 - SUSYc2XM2/256 + SUSYc2XM4/64 - SUSYc2XM6/16, SUSYc2XM1/256 - SUSYc2XM3/64 + SUSYc2XM5/16, -1/256 + SUSYc2XM2/64 - SUSYc2XM4/16 + SUSYc2XM6/4, -1/64*SUSYc2XM1 + SUSYc2XM3/16 - SUSYc2XM5/4, 1/64 - SUSYc2XM2/16 + SUSYc2XM4/4 - SUSYc2XM6, SUSYc2XM1/16 - SUSYc2XM3/4 + SUSYc2XM5, SUSYc1XM3/256 - SUSYc1XM5/64 + SUSYc1XM7/16, 1/1024 - SUSYc1XM2/256 + SUSYc1XM4/64 - SUSYc1XM6/16, -1/64*SUSYc1XM3 + SUSYc1XM5/16 - SUSYc1XM7/4, -1/256 + SUSYc1XM2/64 - SUSYc1XM4/16 + SUSYc1XM6/4, SUSYc1XM3/16 - SUSYc1XM5/4 + SUSYc1XM7, 1/64 - SUSYc1XM2/16 + SUSYc1XM4/4 - SUSYc1XM6}"
"{{1, 3, 4, 7, 8, 11}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc1XM3","-69.8612752283058971726389028569690083801120800622562862038271444969260283754778285335258649301791267297759805792311714","SUSYc1XM3/128 - SUSYc1XM5/16 + (3*SUSYc1XM7)/8 - SUSYc2XM1/512 + (SUSYc1XM4*SUSYc2XM1)/32 - (SUSYc1XM6*SUSYc2XM1)/4 + (SUSYc1XM5*SUSYc2XM2)/8 - SUSYc1XM7*SUSYc2XM2 + SUSYc2XM3/64 - (SUSYc1XM2*SUSYc2XM3)/32 + (SUSYc1XM6*SUSYc2XM3)/2 - (SUSYc1XM3*SUSYc2XM4)/8 + 2*SUSYc1XM7*SUSYc2XM4 - (3*SUSYc2XM5)/32 + (SUSYc1XM2*SUSYc2XM5)/4 - (SUSYc1XM4*SUSYc2XM5)/2 + SUSYc1XM3*SUSYc2XM6 - 2*SUSYc1XM5*SUSYc2XM6","{-1/32*SUSYc2XM3 + SUSYc2XM5/4, 1/128 - SUSYc2XM4/8 + SUSYc2XM6, SUSYc2XM1/32 - SUSYc2XM5/2, -1/16 + SUSYc2XM2/8 - 2*SUSYc2XM6, -1/4*SUSYc2XM1 + SUSYc2XM3/2, 3/8 - SUSYc2XM2 + 2*SUSYc2XM4, -1/512 + SUSYc1XM4/32 - SUSYc1XM6/4, SUSYc1XM5/8 - SUSYc1XM7, 1/64 - SUSYc1XM2/32 + SUSYc1XM6/2, -1/8*SUSYc1XM3 + 2*SUSYc1XM7, -3/32 + SUSYc1XM2/4 - SUSYc1XM4/2, SUSYc1XM3 - 2*SUSYc1XM5}"
"{{1, 3, 4, 7, 8, 11}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc1XM4","-32.6871062379456617340244994828494298417051198562209091123313027493050580850983686974902315977428497721845551910180041","-3/512 + (5*SUSYc1XM2)/256 - (9*SUSYc1XM6)/16 + (SUSYc1XM3*SUSYc2XM1)/16 + (SUSYc1XM5*SUSYc2XM1)/16 - (5*SUSYc1XM7*SUSYc2XM1)/2 + SUSYc2XM2/256 - (SUSYc1XM2*SUSYc2XM2)/16 + (3*SUSYc1XM4*SUSYc2XM2)/16 + (SUSYc1XM6*SUSYc2XM2)/2 - (3*SUSYc1XM3*SUSYc2XM3)/16 + (SUSYc1XM5*SUSYc2XM3)/2 + 3*SUSYc1XM7*SUSYc2XM3 + SUSYc2XM4/8 - (SUSYc1XM2*SUSYc2XM4)/16 - (SUSYc1XM4*SUSYc2XM4)/2 + SUSYc1XM6*SUSYc2XM4 - (SUSYc1XM3*SUSYc2XM5)/2 - SUSYc1XM5*SUSYc2XM5 - (21*SUSYc2XM6)/16 + (5*SUSYc1XM2*SUSYc2XM6)/2 - 3*SUSYc1XM4*SUSYc2XM6","{5/256 - SUSYc2XM2/16 - SUSYc2XM4/16 + (5*SUSYc2XM6)/2, SUSYc2XM1/16 - (3*SUSYc2XM3)/16 - SUSYc2XM5/2, (3*SUSYc2XM2)/16 - SUSYc2XM4/2 - 3*SUSYc2XM6, SUSYc2XM1/16 + SUSYc2XM3/2 - SUSYc2XM5, -9/16 + SUSYc2XM2/2 + SUSYc2XM4, (-5*SUSYc2XM1)/2 + 3*SUSYc2XM3, SUSYc1XM3/16 + SUSYc1XM5/16 - (5*SUSYc1XM7)/2, 1/256 - SUSYc1XM2/16 + (3*SUSYc1XM4)/16 + SUSYc1XM6/2, (-3*SUSYc1XM3)/16 + SUSYc1XM5/2 + 3*SUSYc1XM7, 1/8 - SUSYc1XM2/16 - SUSYc1XM4/2 + SUSYc1XM6, -1/2*SUSYc1XM3 - SUSYc1XM5, -21/16 + (5*SUSYc1XM2)/2 - 3*SUSYc1XM4}"
"{{1, 3, 4, 7, 8, 11}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc1XM5","-17.9889653901284489587286921997931503242287877546567732589294955590473924486887254959142161273358712534128138550648465","SUSYc1XM3/8 - SUSYc1XM5/4 - 5*SUSYc1XM7 - (5*SUSYc2XM1)/128 + (3*SUSYc1XM4*SUSYc2XM1)/8 + SUSYc1XM5*SUSYc2XM2 + 4*SUSYc1XM7*SUSYc2XM2 + SUSYc2XM3/8 - (3*SUSYc1XM2*SUSYc2XM3)/8 + 2*SUSYc1XM6*SUSYc2XM3 - SUSYc1XM3*SUSYc2XM4 + (7*SUSYc2XM5)/8 - 2*SUSYc1XM4*SUSYc2XM5 - 4*SUSYc1XM3*SUSYc2XM6","{(-3*SUSYc2XM3)/8, 1/8 - SUSYc2XM4 - 4*SUSYc2XM6, (3*SUSYc2XM1)/8 - 2*SUSYc2XM5, -1/4 + SUSYc2XM2, 2*SUSYc2XM3, -5 + 4*SUSYc2XM2, -5/128 + (3*SUSYc1XM4)/8, SUSYc1XM5 + 4*SUSYc1XM7, 1/8 - (3*SUSYc1XM2)/8 + 2*SUSYc1XM6, -SUSYc1XM3, 7/8 - 2*SUSYc1XM4, -4*SUSYc1XM3}"
"{{1, 3, 4, 7, 8, 11}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc1XM6","-12.2576176719265128602525478721937596179555999797628286446409460943316806871407060486562281555382043815905310211569936","-15/256 + (5*SUSYc1XM2)/32 + (3*SUSYc1XM4)/8 - (5*SUSYc1XM6)/4 + (3*SUSYc1XM3*SUSYc2XM1)/8 + (5*SUSYc1XM5*SUSYc2XM1)/4 + 5*SUSYc1XM7*SUSYc2XM1 - (3*SUSYc2XM2)/32 - (3*SUSYc1XM2*SUSYc2XM2)/8 + (3*SUSYc1XM4*SUSYc2XM2)/4 + 3*SUSYc1XM6*SUSYc2XM2 - (3*SUSYc1XM3*SUSYc2XM3)/4 + SUSYc1XM5*SUSYc2XM3 + (7*SUSYc2XM4)/8 - (5*SUSYc1XM2*SUSYc2XM4)/4 - SUSYc1XM4*SUSYc2XM4 - 3*SUSYc1XM3*SUSYc2XM5 + (35*SUSYc2XM6)/4 - 5*SUSYc1XM2*SUSYc2XM6","{5/32 - (3*SUSYc2XM2)/8 - (5*SUSYc2XM4)/4 - 5*SUSYc2XM6, (3*SUSYc2XM1)/8 - (3*SUSYc2XM3)/4 - 3*SUSYc2XM5, 3/8 + (3*SUSYc2XM2)/4 - SUSYc2XM4, (5*SUSYc2XM1)/4 + SUSYc2XM3, -5/4 + 3*SUSYc2XM2, 5*SUSYc2XM1, (3*SUSYc1XM3)/8 + (5*SUSYc1XM5)/4 + 5*SUSYc1XM7, -3/32 - (3*SUSYc1XM2)/8 + (3*SUSYc1XM4)/4 + 3*SUSYc1XM6, (-3*SUSYc1XM3)/4 + SUSYc1XM5, 7/8 - (5*SUSYc1XM2)/4 - SUSYc1XM4, -3*SUSYc1XM3, 35/4 - 5*SUSYc1XM2}"
"{{1, 3, 4, 7, 8, 11}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc1XM7","-7.4476981407076617923232483676403237653145412425795907239939838951319362563531240272864222097928955936637247364278879","(3*SUSYc1XM3)/4 + SUSYc1XM5 + 6*SUSYc1XM7 - (5*SUSYc2XM1)/16 + (3*SUSYc1XM4*SUSYc2XM1)/2 + 4*SUSYc1XM6*SUSYc2XM1 + 2*SUSYc1XM5*SUSYc2XM2 - (3*SUSYc1XM2*SUSYc2XM3)/2 - 2*SUSYc1XM3*SUSYc2XM4 + (7*SUSYc2XM5)/2 - 4*SUSYc1XM2*SUSYc2XM5","{(-3*SUSYc2XM3)/2 - 4*SUSYc2XM5, 3/4 - 2*SUSYc2XM4, (3*SUSYc2XM1)/2, 1 + 2*SUSYc2XM2, 4*SUSYc2XM1, 6, -5/16 + (3*SUSYc1XM4)/2 + 4*SUSYc1XM6, 2*SUSYc1XM5, (-3*SUSYc1XM2)/2, -2*SUSYc1XM3, 7/2 - 4*SUSYc1XM2, 0}"
"{{1, 3, 4, 7, 8, 11}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc2XM1","-35.","-5/16 + (5*SUSYc1XM2)/8 + 2*SUSYc1XM4 + 5*SUSYc1XM6 + SUSYc1XM3*SUSYc2XM1 + 3*SUSYc1XM5*SUSYc2XM1 - (7*SUSYc2XM2)/8 - SUSYc1XM2*SUSYc2XM2 + SUSYc1XM4*SUSYc2XM2 - SUSYc1XM3*SUSYc2XM3 - 3*SUSYc1XM2*SUSYc2XM4 - 7*SUSYc2XM6","{5/8 - SUSYc2XM2 - 3*SUSYc2XM4, SUSYc2XM1 - SUSYc2XM3, 2 + SUSYc2XM2, 3*SUSYc2XM1, 5, 0, SUSYc1XM3 + 3*SUSYc1XM5, -7/8 - SUSYc1XM2 + SUSYc1XM4, -SUSYc1XM3, -3*SUSYc1XM2, 0, -7}"
"{{1, 3, 4, 7, 8, 11}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc2XM2","-28.2801398746585377429754385766307378311433593207690559712852599142658034650518759254212452963095483004970271543500706","2*SUSYc1XM3 + 4*SUSYc1XM5 - (5*SUSYc2XM1)/4 + 2*SUSYc1XM4*SUSYc2XM1 - 2*SUSYc2XM3 - 2*SUSYc1XM2*SUSYc2XM3 - 6*SUSYc2XM5","{-2*SUSYc2XM3, 2, 2*SUSYc2XM1, 4, 0, 0, -5/4 + 2*SUSYc1XM4, 0, -2 - 2*SUSYc1XM2, 0, -6, 0}"
"{{1, 3, 4, 7, 8, 11}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc2XM3","-13.0556376141529485863194514284845041900560400311281431019135722484630141877389142667629324650895633648879902896155857","-15/16 + (5*SUSYc1XM2)/4 + 3*SUSYc1XM4 + SUSYc1XM3*SUSYc2XM1 - (11*SUSYc2XM2)/4 - SUSYc1XM2*SUSYc2XM2 - 5*SUSYc2XM4","{5/4 - SUSYc2XM2, SUSYc2XM1, 3, 0, 0, 0, SUSYc1XM3, -11/4 - SUSYc1XM2, 0, -5, 0, 0}"
"{{1, 3, 4, 7, 8, 11}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc2XM4","-7.4276099553113519638894356809527165564210977919760698166578934511250456972392883175870927758954042457082502216810304","2*SUSYc1XM3 - (5*SUSYc2XM1)/2 - 4*SUSYc2XM3","{0, 2, 0, 0, 0, 0, -5/2, 0, -4, 0, 0, 0}"
"{{1, 3, 4, 7, 8, 11}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc2XM5","-4.9740557627927458226542307490618655034853571754924392310906188876543866714132264292110982977319834242970360197581763","-3/2 + SUSYc1XM2 - 3*SUSYc2XM2","{1, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0}"
"{{1, 3, 4, 7, 8, 11}, {2, 5, 6, 9, 10, 12}}",70,"SUSYc2XM6","-3.1368733582560220952844868140226549585058320588032440218574402058146879686019551767503092993323935340349144052952708","-h - 2*SUSYc2XM1","{0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0}"
