"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 3, 4, 7, 8}, {2, 5, 6, 9, 10}}",70,"SUSYc1XM2","-41.9791206667084764864261433909182650572312896992009253908903387952522365062677196279967978018557156150772973424041094","-1/1024 + SUSYc1XM2/256 - SUSYc1XM4/64 + SUSYc1XM6/16 + (SUSYc1XM3*SUSYc2XM1)/64 - (SUSYc1XM5*SUSYc2XM1)/16 + SUSYc2XM2/256 - (SUSYc1XM2*SUSYc2XM2)/64 + (SUSYc1XM4*SUSYc2XM2)/16 - (SUSYc1XM6*SUSYc2XM2)/4 - (SUSYc1XM3*SUSYc2XM3)/16 + (SUSYc1XM5*SUSYc2XM3)/4 - SUSYc2XM4/64 + (SUSYc1XM2*SUSYc2XM4)/16 - (SUSYc1XM4*SUSYc2XM4)/4 + SUSYc1XM6*SUSYc2XM4 + (SUSYc1XM3*SUSYc2XM5)/4 - SUSYc1XM5*SUSYc2XM5","{1/256 - SUSYc2XM2/64 + SUSYc2XM4/16, SUSYc2XM1/64 - SUSYc2XM3/16 + SUSYc2XM5/4, -1/64 + SUSYc2XM2/16 - SUSYc2XM4/4, -1/16*SUSYc2XM1 + SUSYc2XM3/4 - SUSYc2XM5, 1/16 - SUSYc2XM2/4 + SUSYc2XM4, SUSYc1XM3/64 - SUSYc1XM5/16, 1/256 - SUSYc1XM2/64 + SUSYc1XM4/16 - SUSYc1XM6/4, -1/16*SUSYc1XM3 + SUSYc1XM5/4, -1/64 + SUSYc1XM2/16 - SUSYc1XM4/4 + SUSYc1XM6, SUSYc1XM3/4 - SUSYc1XM5}"
"{{1, 3, 4, 7, 8}, {2, 5, 6, 9, 10}}",70,"SUSYc1XM3","-18.4073695085739685092674665716380471876036808069842525935648543415832192164010681400357022287103115918327184661091588","SUSYc1XM3/32 - SUSYc1XM5/4 - SUSYc2XM1/128 + (SUSYc1XM4*SUSYc2XM1)/8 - SUSYc1XM6*SUSYc2XM1 + (SUSYc1XM5*SUSYc2XM2)/2 + SUSYc2XM3/16 - (SUSYc1XM2*SUSYc2XM3)/8 + 2*SUSYc1XM6*SUSYc2XM3 - (SUSYc1XM3*SUSYc2XM4)/2 - (3*SUSYc2XM5)/8 + SUSYc1XM2*SUSYc2XM5 - 2*SUSYc1XM4*SUSYc2XM5","{-1/8*SUSYc2XM3 + SUSYc2XM5, 1/32 - SUSYc2XM4/2, SUSYc2XM1/8 - 2*SUSYc2XM5, -1/4 + SUSYc2XM2/2, -SUSYc2XM1 + 2*SUSYc2XM3, -1/128 + SUSYc1XM4/8 - SUSYc1XM6, SUSYc1XM5/2, 1/16 - SUSYc1XM2/8 + 2*SUSYc1XM6, -1/2*SUSYc1XM3, -3/8 + SUSYc1XM2 - 2*SUSYc1XM4}"
"{{1, 3, 4, 7, 8}, {2, 5, 6, 9, 10}}",70,"SUSYc1XM4","10.1467627873290316228698272413885760689904201411522733434207167580996875578558835096038639218206304631917206809760234","-5/256 + SUSYc1XM2/16 + SUSYc1XM4/16 - (5*SUSYc1XM6)/2 + (3*SUSYc1XM3*SUSYc2XM1)/16 + (SUSYc1XM5*SUSYc2XM1)/2 - (3*SUSYc1XM2*SUSYc2XM2)/16 + (SUSYc1XM4*SUSYc2XM2)/2 + 3*SUSYc1XM6*SUSYc2XM2 - (SUSYc1XM3*SUSYc2XM3)/2 + SUSYc1XM5*SUSYc2XM3 + (9*SUSYc2XM4)/16 - (SUSYc1XM2*SUSYc2XM4)/2 - SUSYc1XM4*SUSYc2XM4 - 3*SUSYc1XM3*SUSYc2XM5","{1/16 - (3*SUSYc2XM2)/16 - SUSYc2XM4/2, (3*SUSYc2XM1)/16 - SUSYc2XM3/2 - 3*SUSYc2XM5, 1/16 + SUSYc2XM2/2 - SUSYc2XM4, SUSYc2XM1/2 + SUSYc2XM3, -5/2 + 3*SUSYc2XM2, (3*SUSYc1XM3)/16 + SUSYc1XM5/2, (-3*SUSYc1XM2)/16 + SUSYc1XM4/2 + 3*SUSYc1XM6, -1/2*SUSYc1XM3 + SUSYc1XM5, 9/16 - SUSYc1XM2/2 - SUSYc1XM4, -3*SUSYc1XM3}"
"{{1, 3, 4, 7, 8}, {2, 5, 6, 9, 10}}",70,"SUSYc1XM5","14.2599921133335082221194441788132163679268057134548061705225802640656318255350108853705589821255899774791077902946132","(3*SUSYc1XM3)/8 - SUSYc2XM1/8 + SUSYc1XM4*SUSYc2XM1 + 4*SUSYc1XM6*SUSYc2XM1 + 2*SUSYc1XM5*SUSYc2XM2 + SUSYc2XM3/4 - SUSYc1XM2*SUSYc2XM3 - 2*SUSYc1XM3*SUSYc2XM4 + 5*SUSYc2XM5 - 4*SUSYc1XM2*SUSYc2XM5","{-SUSYc2XM3 - 4*SUSYc2XM5, 3/8 - 2*SUSYc2XM4, SUSYc2XM1, 2*SUSYc2XM2, 4*SUSYc2XM1, -1/8 + SUSYc1XM4 + 4*SUSYc1XM6, 2*SUSYc1XM5, 1/4 - SUSYc1XM2, -2*SUSYc1XM3, 5 - 4*SUSYc1XM2}"
"{{1, 3, 4, 7, 8}, {2, 5, 6, 9, 10}}",70,"SUSYc1XM6","6.8854146259936164570541881889499147143192110058961265303995345327825550698144655543729282600965018922513580506535809","-5/32 + (3*SUSYc1XM2)/8 + (5*SUSYc1XM4)/4 + 5*SUSYc1XM6 + (3*SUSYc1XM3*SUSYc2XM1)/4 + 3*SUSYc1XM5*SUSYc2XM1 - (3*SUSYc2XM2)/8 - (3*SUSYc1XM2*SUSYc2XM2)/4 + SUSYc1XM4*SUSYc2XM2 - SUSYc1XM3*SUSYc2XM3 + (5*SUSYc2XM4)/4 - 3*SUSYc1XM2*SUSYc2XM4","{3/8 - (3*SUSYc2XM2)/4 - 3*SUSYc2XM4, (3*SUSYc2XM1)/4 - SUSYc2XM3, 5/4 + SUSYc2XM2, 3*SUSYc2XM1, 5, (3*SUSYc1XM3)/4 + 3*SUSYc1XM5, -3/8 - (3*SUSYc1XM2)/4 + SUSYc1XM4, -SUSYc1XM3, 5/4 - 3*SUSYc1XM2, 0}"
"{{1, 3, 4, 7, 8}, {2, 5, 6, 9, 10}}",70,"SUSYc2XM1","-35.","(3*SUSYc1XM3)/2 + 4*SUSYc1XM5 - (3*SUSYc2XM1)/4 + 2*SUSYc1XM4*SUSYc2XM1 - SUSYc2XM3 - 2*SUSYc1XM2*SUSYc2XM3 - 6*SUSYc2XM5","{-2*SUSYc2XM3, 3/2, 2*SUSYc2XM1, 4, 0, -3/4 + 2*SUSYc1XM4, 0, -1 - 2*SUSYc1XM2, 0, -6}"
"{{1, 3, 4, 7, 8}, {2, 5, 6, 9, 10}}",70,"SUSYc2XM2","-14.4097068889028254954753811303060883524104298997336417969634462650840788354225732093322659339519052050257657808013698","-5/8 + SUSYc1XM2 + 3*SUSYc1XM4 + SUSYc1XM3*SUSYc2XM1 - 2*SUSYc2XM2 - SUSYc1XM2*SUSYc2XM2 - 5*SUSYc2XM4","{1 - SUSYc2XM2, SUSYc2XM1, 3, 0, 0, SUSYc1XM3, -2 - SUSYc1XM2, 0, -5, 0}"
"{{1, 3, 4, 7, 8}, {2, 5, 6, 9, 10}}",70,"SUSYc2XM3","8.2963152457130157453662667141809764061981595965078737032175728292083903917994659299821488856448442040836407669454206","2*SUSYc1XM3 - 2*SUSYc2XM1 - 4*SUSYc2XM3","{0, 2, 0, 0, 0, -2, 0, -4, 0, 0}"
"{{1, 3, 4, 7, 8}, {2, 5, 6, 9, 10}}",70,"SUSYc2XM4","11.2013380024042121735025403082903196558880706801231316972774850596469885929740854442940645183040686203511112555231929","-5/4 + SUSYc1XM2 - 3*SUSYc2XM2","{1, 0, 0, 0, 0, 0, -3, 0, 0, 0}"
"{{1, 3, 4, 7, 8}, {2, 5, 6, 9, 10}}",70,"SUSYc2XM5","5.608873568234598948738682084808198653415861326757637248947257455427167129024864554749002829151504518162452195650261","-h - 2*SUSYc2XM1","{0, 0, 0, 0, 0, -2, 0, 0, 0, 0}"
