var,b_final_value
SUSYc1XM1,1.2619166382054752691510e+00
SUSYc1XM2,-1.9152815140375537477440e+01
SUSYc1XM4,-2.3877844889600882755110e+02
SUSYc1XM5,2.9583439753165242930290e+02
SUSYc1XM6,-2.2746317015083736517900e+02
SUSYc1XM7,7.7430848210158699597770e+02
SUSYc1XM8,-5.9083352989420615683160e+02
SUSYc1XM9,-5.8892809415255148938750e+02
SUSYc1XM10,-5.1915237309165823559670e+02
SUSYc2XM1,-6.3095831910273763457540e-01
SUSYc2XM2,3.3082931086090500052000e+00
SUSYc2XM3,-7.0217222005960326748970e+00
SUSYc2XM4,2.3729027475990573314650e+00
SUSYc2XM5,-1.5081030193017760489750e+00
SUSYc2XM6,9.0090034849109888264960e+00
SUSYc2XM7,4.3554337176254728141250e+00
