"syt","lambda0","var","Initialvar","expression","jacobian"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc1XM1","4.21420225831506183980219765082635525256969626139557847987563074759927826590268560015798460230173269298687601006392948349042957232453912703210781755539649897632687768038632315","1/3072 - SUSYc1XM2/768 + SUSYc1XM4/192 - SUSYc1XM6/48 + (SUSYc1XM1*SUSYc2XM1)/768 + (SUSYc1XM5*SUSYc2XM1)/48 - (SUSYc1XM7*SUSYc2XM1)/12 - SUSYc2XM2/768 + (SUSYc1XM2*SUSYc2XM2)/192 - (SUSYc1XM4*SUSYc2XM2)/48 + (SUSYc1XM6*SUSYc2XM2)/12 - (SUSYc1XM1*SUSYc2XM3)/192 - (SUSYc1XM5*SUSYc2XM3)/12 + (SUSYc1XM7*SUSYc2XM3)/3 + SUSYc2XM4/192 - (SUSYc1XM2*SUSYc2XM4)/48 + (SUSYc1XM4*SUSYc2XM4)/12 - (SUSYc1XM6*SUSYc2XM4)/3","{SUSYc2XM1/768 - SUSYc2XM3/192, -1/768 + SUSYc2XM2/192 - SUSYc2XM4/48, 1/192 - SUSYc2XM2/48 + SUSYc2XM4/12, SUSYc2XM1/48 - SUSYc2XM3/12, -1/48 + SUSYc2XM2/12 - SUSYc2XM4/3, -1/12*SUSYc2XM1 + SUSYc2XM3/3, SUSYc1XM1/768 + SUSYc1XM5/48 - SUSYc1XM7/12, -1/768 + SUSYc1XM2/192 - SUSYc1XM4/48 + SUSYc1XM6/12, -1/192*SUSYc1XM1 - SUSYc1XM5/12 + SUSYc1XM7/3, 1/192 - SUSYc1XM2/48 + SUSYc1XM4/12 - SUSYc1XM6/3}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc1XM2","10.91670364937195070555856779653504184484434878893287330291294498155419060856336611895036634191863405736716638127850705913617039513903444280172615458778920920219799132932773759","-1/384*SUSYc1XM1 + SUSYc1XM5/24 - SUSYc1XM7/3 + SUSYc2XM1/192 - (SUSYc1XM2*SUSYc2XM1)/96 + (SUSYc1XM6*SUSYc2XM1)/6 + (SUSYc1XM1*SUSYc2XM2)/48 + (2*SUSYc1XM7*SUSYc2XM2)/3 - SUSYc2XM3/32 + (SUSYc1XM2*SUSYc2XM3)/12 - (SUSYc1XM4*SUSYc2XM3)/6 - (SUSYc1XM1*SUSYc2XM4)/8 - (2*SUSYc1XM5*SUSYc2XM4)/3","{-1/384 + SUSYc2XM2/48 - SUSYc2XM4/8, -1/96*SUSYc2XM1 + SUSYc2XM3/12, -1/6*SUSYc2XM3, 1/24 - (2*SUSYc2XM4)/3, SUSYc2XM1/6, -1/3 + (2*SUSYc2XM2)/3, 1/192 - SUSYc1XM2/96 + SUSYc1XM6/6, SUSYc1XM1/48 + (2*SUSYc1XM7)/3, -1/32 + SUSYc1XM2/12 - SUSYc1XM4/6, -1/8*SUSYc1XM1 - (2*SUSYc1XM5)/3}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc1XM4","7063.25117648428693554788522626725469180377704586957161605929916456764158532279347018947031892162889542415713288115659469126992239563356214113699441560131056131821247563390817576","1/768 - SUSYc1XM2/48 + SUSYc1XM4/16 + SUSYc1XM6/6 + (SUSYc1XM5*SUSYc2XM1)/6 + SUSYc1XM7*SUSYc2XM1 + SUSYc2XM2/24 - (SUSYc1XM2*SUSYc2XM2)/48 - (SUSYc1XM4*SUSYc2XM2)/6 + (SUSYc1XM6*SUSYc2XM2)/3 + (3*SUSYc1XM1*SUSYc2XM3)/16 - (SUSYc1XM5*SUSYc2XM3)/3 - (7*SUSYc2XM4)/16 + (5*SUSYc1XM2*SUSYc2XM4)/6 - SUSYc1XM4*SUSYc2XM4","{(3*SUSYc2XM3)/16, -1/48 - SUSYc2XM2/48 + (5*SUSYc2XM4)/6, 1/16 - SUSYc2XM2/6 - SUSYc2XM4, SUSYc2XM1/6 - SUSYc2XM3/3, 1/6 + SUSYc2XM2/3, SUSYc2XM1, SUSYc1XM5/6 + SUSYc1XM7, 1/24 - SUSYc1XM2/48 - SUSYc1XM4/6 + SUSYc1XM6/3, (3*SUSYc1XM1)/16 - SUSYc1XM5/3, -7/16 + (5*SUSYc1XM2)/6 - SUSYc1XM4}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc1XM5","-17733.54968278277782018065306024351306437104422784313225655172741417458707050092033728344758157042363554400207580765980784316199910422878930793360858595822015078521720520653015334","-1/24*SUSYc1XM1 + SUSYc1XM5/3 + (4*SUSYc1XM7)/3 + SUSYc2XM1/24 - (SUSYc1XM2*SUSYc2XM1)/8 + (2*SUSYc1XM6*SUSYc2XM1)/3 + (SUSYc1XM1*SUSYc2XM2)/12 + (7*SUSYc2XM3)/24 - (2*SUSYc1XM4*SUSYc2XM3)/3 + (5*SUSYc1XM1*SUSYc2XM4)/3","{-1/24 + SUSYc2XM2/12 + (5*SUSYc2XM4)/3, -1/8*SUSYc2XM1, (-2*SUSYc2XM3)/3, 1/3, (2*SUSYc2XM1)/3, 4/3, 1/24 - SUSYc1XM2/8 + (2*SUSYc1XM6)/3, SUSYc1XM1/12, 7/24 - (2*SUSYc1XM4)/3, (5*SUSYc1XM1)/3}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc1XM6","21940.94030495445124969018241426084001902174261764597316282231203820714354902223162024302729661047974165854194015276630581169324668094081179067831350066836875156711291709972964125","-1/32 - SUSYc1XM2/8 + SUSYc1XM4/4 + SUSYc1XM6 - (SUSYc1XM1*SUSYc2XM1)/8 + (SUSYc1XM5*SUSYc2XM1)/3 + (7*SUSYc2XM2)/24 - (5*SUSYc1XM2*SUSYc2XM2)/12 - (SUSYc1XM4*SUSYc2XM2)/3 + (5*SUSYc1XM1*SUSYc2XM3)/12 + (35*SUSYc2XM4)/12 - (5*SUSYc1XM2*SUSYc2XM4)/3","{-1/8*SUSYc2XM1 + (5*SUSYc2XM3)/12, -1/8 - (5*SUSYc2XM2)/12 - (5*SUSYc2XM4)/3, 1/4 - SUSYc2XM2/3, SUSYc2XM1/3, 1, 0, -1/8*SUSYc1XM1 + SUSYc1XM5/3, 7/24 - (5*SUSYc1XM2)/12 - SUSYc1XM4/3, (5*SUSYc1XM1)/12, 35/12 - (5*SUSYc1XM2)/3}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc1XM7","-10247.12745752978569924857637406189738206786867419066960409290250503090709490806412178135666444528171365418704791802854689309426631483988161240675140992207554364035176488466270593","-1/4*SUSYc1XM1 + (2*SUSYc1XM5)/3 - (SUSYc1XM2*SUSYc2XM1)/2 - (SUSYc1XM1*SUSYc2XM2)/3 + (7*SUSYc2XM3)/6 - (4*SUSYc1XM2*SUSYc2XM3)/3 - 2*SUSYc1XM1*SUSYc2XM4","{-1/4 - SUSYc2XM2/3 - 2*SUSYc2XM4, -1/2*SUSYc2XM1 - (4*SUSYc2XM3)/3, 0, 2/3, 0, 0, -1/2*SUSYc1XM2, -1/3*SUSYc1XM1, 7/6 - (4*SUSYc1XM2)/3, -2*SUSYc1XM1}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc2XM1","-377.10710112915753091990109882541317762628484813069778923993781537379963913295134280007899230115086634649343800503196474174521478616226956351605390877769824948816343884019316158","-7/24 - SUSYc1XM2/3 + SUSYc1XM4/3 - (2*SUSYc1XM1*SUSYc2XM1)/3 - SUSYc1XM2*SUSYc2XM2 - (5*SUSYc1XM1*SUSYc2XM3)/3 - (7*SUSYc2XM4)/3","{(-2*SUSYc2XM1)/3 - (5*SUSYc2XM3)/3, -1/3 - SUSYc2XM2, 1/3, 0, 0, 0, (-2*SUSYc1XM1)/3, -SUSYc1XM2, (-5*SUSYc1XM1)/3, -7/3}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc2XM2","950.79001759321085397363497043357762027874596876312957403118201198665214927962303290946680179220440820085402525551757888509501964638031571949170230399447167551240813256964545053","(-2*SUSYc1XM1)/3 - (2*SUSYc2XM1)/3 - (2*SUSYc1XM2*SUSYc2XM1)/3 - (4*SUSYc1XM1*SUSYc2XM2)/3 - 2*SUSYc2XM3","{-2/3 - (4*SUSYc2XM2)/3, (-2*SUSYc2XM1)/3, 0, 0, 0, 0, -2/3 - (2*SUSYc1XM2)/3, (-4*SUSYc1XM1)/3, -2, 0}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc2XM3","-1174.66117089261978582773780743329787815425516512877742269262888280215448398258509204556884141659785038380975737274949581110620225682481763275983224922094153491188054788570232142","-11/12 - SUSYc1XM2/3 - SUSYc1XM1*SUSYc2XM1 - (5*SUSYc2XM2)/3","{-SUSYc2XM1, -1/3, 0, 0, 0, 0, -SUSYc1XM1, -5/3, 0, 0}"
"{{1, 2, 3, 4, 5, 6}, {7, 8, 9, 10}}",500,"SUSYc2XM4","548.95584262285516138951648310653069965427169341518594174480631186568435086832873860092988990104344607975045885415286359438774239332467731651530360010079656068937185956970638426","-h - (2*SUSYc1XM1)/3 - (4*SUSYc2XM1)/3","{-2/3, 0, 0, 0, 0, 0, -4/3, 0, 0, 0}"
