var,b_final_value
SUSYc1XM1,-1.261916638205475269217559470630311690462900e+00
SUSYc1XM2,-1.915281514037553747662095601719530195712580e+01
SUSYc1XM4,-2.387784488960088275373190060310817389086810e+02
SUSYc1XM5,-2.958343975316524293035205503127289756009580e+02
SUSYc1XM6,-2.274631701508373651581874560426644392209710e+02
SUSYc1XM7,-7.743084821015869959191235916528557573376710e+02
SUSYc1XM8,-5.908335298942061569303234245002300868802470e+02
SUSYc1XM9,5.889280941525514895028555697416578656322150e+02
SUSYc1XM10,-5.191523730916582356538947250658715160823950e+02
SUSYc2XM1,6.309583191027376346087797353151558452314500e-01
SUSYc2XM2,3.308293108609050005090757751965441399437650e+00
SUSYc2XM3,7.021722200596032675026850869384926950509300e+00
SUSYc2XM4,2.372902747599057331895603627388208489594230e+00
SUSYc2XM5,1.508103019301776047972489725090396080028930e+00
SUSYc2XM6,9.009003484910988827956928206639002593227850e+00
SUSYc2XM7,-4.355433717625472814805893394334201084083900e+00
