"var","Initialvar","expression"
"b10","-700421.07138871493609789551384962631589806579`34.40818721988098","0.027160616864750468 - 0.000011075756928255697*b10 + 0.0006146674255106189*b110 - 0.004212262326988339*b112 + 4.4500809086741634*10^-6*b14 - 0.00007203568470916302*b18 + 0.019601623676509024*b20 + 0.0004938600901759727*b110*b20 - 0.0031231211715853006*b112*b20 - 1.265800791800651*10^-6*b14*b20 - 0.0000764227228049643*b18*b20 - 0.010979722868854572*b24 + 1.265800791800651*10^-6*b10*b24 - 0.00026867363486120265*b110*b24 + 0.001736226879524904*b112*b24 + 0.00003893820795089893*b18*b24 - 0.004321275789039762*b111*b30 + 0.027327310251371383*b113*b30 - 0.00009691287312223735*b17*b30 + 0.0006686988245434377*b19*b30 + 0.0004938600901759727*b111*b24*b30 - 0.0031231211715853006*b113*b24*b30 + 0.000011075756928255697*b17*b24*b30 - 0.0000764227228049643*b19*b24*b30 + 0.001736226879524904*b111*b34 - 0.010979722868854572*b113*b34 + 0.00003893820795089893*b17*b34 - 0.00026867363486120265*b19*b34 - 0.0004938600901759727*b111*b20*b34 + 0.0031231211715853006*b113*b20*b34 - 0.000011075756928255697*b17*b20*b34 + 0.0000764227228049643*b19*b20*b34 - 0.01048385290272653*b111*b40 + 0.06759975753004561*b113*b40 - 0.00017928881527613907*b17*b40 + 0.0015298389257153181*b19*b40 + 0.0011981546174544607*b111*b24*b40 - 0.0077256865748623555*b113*b24*b40 + 0.00002049015031727304*b17*b24*b40 - 0.00017483873436746492*b19*b24*b40 - 0.10986756623474148*b50 - 0.0024894926930029725*b110*b50 + 0.01704423356500856*b112*b50 - 0.00002049015031727304*b14*b50 + 0.0002927461003099584*b18*b50 + 0.04881929708551215*b24*b50 + 0.0011981546174544607*b110*b24*b50 - 0.0077256865748623555*b112*b24*b50 - 0.00017483873436746492*b18*b24*b50 - 0.007994360209723559*b111*b34*b50 + 0.050555523965037055*b113*b34*b50 - 0.00017928881527613907*b17*b34*b50 + 0.0012370928254053597*b19*b34*b50 - 0.002350894305035523*b111*b60 + 0.015191985195842911*b113*b60 - 0.00003893820795089893*b17*b60 + 0.0003407093195703657*b19*b60 + 0.00026867363486120265*b111*b24*b60 - 0.001736226879524904*b113*b24*b60 + 4.4500809086741634*10^-6*b17*b24*b60 - 0.00003893820795089893*b19*b24*b60"
"b14","1.07942850312234068341390342205237717185802461`34.60255560880616*10^6","-0.0030025287850903057*b111 + 0.02166560217271228*b113 - 0.000035721608660517765*b17 + 0.00037864905180148834*b19 - 0.0006795950996214313*b111*b20 + 0.005730254069803554*b113*b20 - 5.080406565051415*10^-6*b17*b20 + 0.00007010961059770952*b19*b20 + 0.0006161977493939314*b111*b24 - 0.004778403044213188*b113*b24 + 6.123704341803045*10^-6*b17*b24 - 0.00007144321732103553*b19*b24 - 0.06077095013626666*b30 - 0.0008540526322034647*b110*b30 + 0.007595223691022382*b112*b30 - 1.7418536794461994*10^-6*b14*b30 + 0.00007264981388023524*b18*b30 + 0.01002794462215622*b24*b30 + 0.00017527402649427382*b110*b24*b30 - 0.0013591901992428626*b112*b24*b30 - 0.00002032162626020566*b18*b24*b30 + 0.02014542446415312*b34 + 1.7418536794461994*10^-6*b10*b34 + 0.00024647909975757256*b110*b34 - 0.002389201522106594*b112*b34 - 0.000017860804330258882*b18*b34 - 0.01002794462215622*b20*b34 - 0.00017527402649427382*b110*b20*b34 + 0.0013591901992428626*b112*b20*b34 + 0.00002032162626020566*b18*b20*b34 - 0.21705421843699682*b40 - 0.003508655783988634*b110*b40 + 0.02885341496336001*b112*b40 - 0.00001016081313010283*b14*b40 + 0.00032895632508707915*b18*b40 + 0.04278857326453315*b24*b40 + 0.0008540526322034647*b110*b24*b40 - 0.006162660173571493*b112*b24*b40 - 0.00010770461917909*b18*b24*b40 - 0.0023155381784568246*b111*b34*b40 + 0.01443863452990499*b113*b34*b40 - 0.00006071085845236441*b17*b34*b40 + 0.0003728655532564521*b19*b34*b40 + 0.008234664300451423*b111*b50 - 0.06228023970005271*b113*b50 + 0.00008223908127176979*b17*b50 - 0.0009702941488427571*b19*b50 - 0.00219835542577981*b111*b24*b50 + 0.0177187117091426*b113*b24*b50 - 0.000018797504290690237*b17*b24*b50 + 0.0002405935394735063*b19*b24*b50 - 0.09514768927705163*b34*b50 - 0.0011884817345411995*b110*b34*b50 + 0.011370664324758277*b112*b34*b50 + 0.00008836278561357282*b18*b34*b50 - 0.09917535579521457*b60 - 0.0019233307916348551*b110*b60 + 0.014288199920899568*b112*b60 - 9.398752145345119*10^-6*b14*b60 + 0.00020572471334355074*b18*b60 + 0.027968024982949445*b24*b60 + 0.000638892878096247*b110*b24*b60 - 0.004283179641101238*b112*b24*b60 - 0.00008836278561357282*b18*b24*b60 - 0.0032972632420709474*b111*b34*b60 + 0.020800420416629665*b113*b34*b60 - 0.00007611537692996674*b17*b34*b60 + 0.0005138672477844348*b19*b34*b60"
"b17","-46840.2609362077453697829317478424265691890753707409079542934045`36.328664189987514","0.1060572729475963 + 3.029752546622699*10^-6*b10 + 0.0010768718908290254*b110 - 0.011719327390422517*b112 - 3.269607956563663*10^-6*b14 - 0.000058913696068690185*b18 + 0.010465468293305387*b20 - 0.00006097377000078182*b110*b20 - 0.00047283075680730496*b112*b20 + 0.000021208267826358894*b18*b20 - 0.013542711372785959*b24 - 0.000026278369353597815*b110*b24 + 0.0010823120324459428*b112*b24 - 0.000013697006304523451*b18*b24 - 0.0018496639297131577*b111*b30 + 0.02238809370691478*b113*b30 + 0.000010604133913179447*b17*b30 + 0.00008112162443582278*b19*b30 + 0.0006707114700086*b111*b24*b30 - 0.006146799838494964*b113*b24*b30 + 4.2416535652717786*10^-6*b17*b24*b30 - 0.00006362480347907669*b19*b24*b30 - 0.0014900188894620401*b111*b34 + 0.00640483618002222*b113*b34 - 0.00003926054341665247*b17*b34 + 0.00027196289695457414*b19*b34 - 0.0006707114700086*b111*b20*b34 + 0.006146799838494964*b113*b20*b34 - 4.2416535652717786*10^-6*b17*b20*b34 + 0.00006362480347907669*b19*b20*b34 - 0.017453990197112385*b111*b40 + 0.15560097403204948*b113*b40 - 0.00010559950021874532*b17*b40 + 0.0016784829108289752*b19*b40 + 0.0042138177137496825*b111*b24*b40 - 0.035843695798307415*b113*b24*b40 + 0.000031812401739538344*b17*b24*b40 - 0.00043476949044035727*b19*b24*b40 + 0.0655724294077973*b34*b40 + 0.0007029025908164661*b110*b34*b40 - 0.007371993896442351*b112*b34*b40 - 0.000045244304696232305*b18*b34*b40 - 0.24229590451432217*b50 - 0.00178091458384077*b110*b50 + 0.024041435589092233*b112*b50 + 0.000010604133913179447*b14*b50 + 0.00003926054341665247*b18*b50 + 0.04163954811665484*b24*b50 - 0.00005434618630504466*b110*b24*b50 - 0.002745542821796073*b112*b24*b50 + 0.00006009009217468353*b18*b24*b50 + 0.0024572097931130285*b111*b34*b50 - 0.0006294961839007345*b113*b34*b50 + 0.00010259499561001116*b17*b34*b50 - 0.0006146610478960801*b19*b34*b50 - 0.018824408815798433*b111*b60 + 0.1441285579132726*b113*b60 - 0.00018961201354280392*b17*b60 + 0.002212999902884354*b19*b60 + 0.00397432997690422*b111*b24*b60 - 0.03169810353571894*b113*b24*b60 + 0.00003596568752220029*b17*b24*b60 - 0.0004440481076143893*b19*b24*b60 + 0.10912656139795825*b34*b60 + 0.0012809793767120771*b110*b34*b60 - 0.012735564829728515*b112*b34*b60 - 0.00008887274136759917*b18*b34*b60"
"b18","-1485.0585897311829512475310883665181817017909037760351493174363`36.22973467790007","-0.013087557932823965*b111 + 0.02158882625400114*b113 - 0.00035003895177851586*b17 + 0.002759742821092658*b19 - 0.003650160845533376*b111*b20 + 0.022301500321260853*b113*b20 - 0.00003847336859587221*b17*b20 + 0.0004616804231504665*b19*b20 + 0.0033426744699585533*b111*b24 - 0.015989291529890766*b113*b24 + 0.00005338179892677269*b17*b24 - 0.0005145813049697907*b19*b24 + 0.22734021709650062*b30 + 0.0010676359785354538*b110*b30 - 0.017559314129599997*b112*b30 - 0.00003847336859587221*b18*b30 - 0.07805525112441299*b24*b30 - 0.0005771005289380831*b110*b24*b30 + 0.007300321691066752*b112*b24*b30 + 0.00003077869487669776*b18*b24*b30 + 0.25401620705608036*b34 + 0.0037717126444409598*b110*b34 - 0.033659839210101926*b112*b34 - 0.0002909548500062836*b18*b34 + 0.07805525112441299*b20*b34 + 0.0005771005289380831*b110*b20*b34 - 0.007300321691066752*b112*b20*b34 - 0.00003077869487669776*b18*b20*b34 + 2.273284947420066*b40 + 0.018412254970881697*b110*b40 - 0.22341034283834757*b112*b40 - 0.00001099239102739206*b14*b40 - 0.0009714525570457733*b18*b40 - 0.49313210140439984*b24*b40 - 0.003722298411650636*b110*b24*b40 + 0.047580564562066524*b112*b24*b40 + 0.00015389347438348884*b18*b24*b40 - 0.009208532070978092*b111*b34*b40 + 0.026915307408649454*b113*b34*b40 - 0.00021160352727729714*b17*b34*b40 + 0.0017024465603673452*b19*b34*b40 + 0.04086923751054172*b111*b50 - 0.1427782777375876*b113*b50 + 0.00075263527315675*b17*b50 - 0.007034443233091706*b19*b50 - 0.012008500172986613*b111*b24*b50 + 0.06516066118095269*b113*b24*b50 - 0.00015389347438348884*b17*b24*b50 + 0.0016735915339204412*b19*b24*b50 - 0.41303520687227235*b34*b50 - 0.007192115341890861*b110*b34*b50 + 0.06174723178156078*b112*b34*b50 + 0.0005405508287720045*b18*b34*b50 + 2.7646710288125167*b60 + 0.02911291824577336*b110*b60 - 0.3062643201188172*b112*b60 - 0.000019236684297936105*b14*b60 - 0.0018501568147979261*b18*b60 - 0.4780561766621709*b24*b60 - 0.00392909276785345*b110*b24*b60 + 0.04823899160899633*b112*b24*b60 + 0.00015196980595369523*b18*b24*b60 - 0.01330589429960554*b111*b34*b60 + 0.023478899188717286*b113*b34*b60 - 0.00038184818331403166*b17*b34*b60 + 0.002806151321961429*b19*b34*b60"
"b19","-15112.3391702997574865048092045732126196600674524637177292145786`38.35220146109607","-6.5335341964551885 - 0.11384195362637237*b110 + 0.9515050047075254*b112 + 0.000028979400802207624*b14 + 0.009197337329600644*b18 - 1.0582878706205194*b20 - 0.011301966312860972*b110*b20 + 0.12097450864881572*b112*b20 + 0.0006955056192529829*b18*b20 + 1.0573975464513423*b24 + 0.013671032328441446*b110*b24 - 0.13309785985316427*b112*b24 - 0.0008722799641464494*b18*b24 - 0.05068497200306113*b111*b30 + 0.5454611491744527*b113*b30 - 0.00034775280962649145*b17*b30 + 0.004694662929957635*b19*b30 + 0.009563202264728515*b111*b24*b30 - 0.1429698738576913*b113*b24*b30 - 0.00041730337155178977*b19*b24*b30 - 0.01224289123265765*b111*b34 + 0.4793019695485034*b113*b34 + 0.0010577481292805783*b17*b34 - 0.0049337429865758484*b19*b34 - 0.009563202264728515*b111*b20*b34 + 0.1429698738576913*b113*b20*b34 + 0.00041730337155178977*b19*b20*b34 - 0.2357500129724592*b111*b40 + 4.172544688129361*b113*b40 + 0.0015938670441214193*b17*b40 + 0.00034775280962649145*b19*b40 + 0.03968728939862334*b111*b24*b40 - 0.7974344517031479*b113*b24*b40 - 0.00034775280962649145*b17*b24*b40 + 0.0006955056192529829*b19*b24*b40 - 3.6550559055792387*b34*b40 - 0.05285842706322671*b110*b34*b40 + 0.49072889335578324*b112*b34*b40 + 0.003709363302682576*b18*b34*b40 + 16.396259934313996*b50 + 0.2433571056830387*b110*b50 - 2.213597416717417*b112*b50 - 0.0000496789728037845*b14*b50 - 0.01753253748533561*b18*b50 - 3.602931472401955*b24*b50 - 0.04203462086360216*b110*b24*b50 + 0.43212012519051846*b112*b24*b50 + 0.0025501872705942707*b18*b24*b50 - 0.030977944478959872*b111*b34*b50 - 0.49864628558789886*b113*b34*b50 - 0.0023473314649788174*b17*b34*b50 + 0.015492387668860194*b19*b34*b50 - 0.25907312635291097*b111*b60 + 5.39086428123144*b113*b60 + 0.005143843642391854*b17*b60 - 0.017246365902413813*b19*b60 + 0.02892868685080376*b111*b24*b60 - 0.7483903088981867*b113*b24*b60 - 0.0006665262184507753*b17*b24*b60 + 0.0029819803425471646*b19*b24*b60 - 6.060679435271696*b34*b60 - 0.09945730355317656*b110*b34*b60 + 0.862600844278512*b112*b34*b60 + 0.007604194770499281*b18*b34*b60"
"b110","-2056.960943652880055196710465002815412464937392552490604767289`38.54729380773553","0.005568324673729689*b111 - 0.07137480401025173*b113 - 0.00003694130601417022*b17 - 0.00014468678188883335*b19 + 0.0006095315492338086*b111*b20 - 0.008099997032040389*b113*b20 - 0.000029553044811336174*b19*b20 - 0.0006349286971185506*b111*b24 + 0.008776831023168764*b113*b24 + 3.078442167847518*10^-6*b17*b24 + 0.000017239276139946103*b19*b24 - 0.04952443837524695*b30 - 0.00040635436615587243*b110*b30 + 0.004723869506562017*b112*b30 + 0.000024627537342780145*b18*b30 + 0.007087497403035341*b24*b30 + 0.000014776522405668087*b110*b24*b30 - 0.00040635436615587243*b112*b24*b30 + 0.020165159051402638*b34 + 0.000817326395563516*b110*b34 - 0.00536197284716616*b112*b34 - 0.00007542183311226419*b18*b34 - 0.007087497403035341*b20*b34 - 0.000014776522405668087*b110*b20*b34 + 0.00040635436615587243*b112*b20*b34 - 0.14213513813695874*b40 + 0.0009235326503542555*b110*b40 + 0.0013291174059681659*b112*b40 - 0.00011082391804251066*b18*b40 + 0.024542110572622376*b24*b40 - 0.0001847065300708511*b110*b24*b40 + 0.00002709029107705816*b112*b24*b40 + 0.000019702029874224116*b18*b24*b40 + 0.0021841547180878143*b111*b34*b40 - 0.03180569486765859*b113*b34*b40 - 0.000012313768671390072*b17*b34*b40 - 0.00003694130601417022*b19*b34*b40 - 0.011434763488106467*b111*b50 + 0.15505001112214814*b113*b50 + 0.000058490401189102844*b17*b50 + 0.0002881421869105277*b19*b50 + 0.00205886212185642*b111*b24*b50 - 0.02836256724728428*b113*b24*b50 - 4.925507468556029*10^-6*b17*b24*b50 - 0.00007388261202834044*b19*b24*b50 - 0.09065448444588954*b34*b50 - 0.0020031423186183802*b110*b34*b50 + 0.01570995004870471*b112*b34*b50 + 0.00016007899272807094*b18*b34*b50 - 0.04382350018500545*b60 + 0.004094987749416024*b110*b60 - 0.019940253197356643*b112*b60 - 3.518219620397164*10^-7*b14*b60 - 0.0004045073008551639*b18*b60 + 0.011584591543276516*b24*b60 - 0.0004032759239880249*b110*b24*b60 + 0.001831013423690449*b112*b24*b60 + 0.00003694130601417022*b18*b24*b60 + 0.004269139620625683*b111*b34*b60 - 0.059139057814263644*b113*b34*b60 - 0.00003078442167847518*b17*b34*b60 - 0.00006926494877656916*b19*b34*b60"
"b111","-2925.2789975077592473256975694517134399171606609276518727294853`39.858658692601246","-0.24569769771036584 + 0.0017561389096198445*b110 + 0.005233350786656889*b112 - 9.17403113292331*10^-8*b14 - 0.00028087443067336326*b18 - 0.03881052082459265*b20 - 0.00009632732689569475*b110*b20 + 0.002437081370461077*b112*b20 + 0.03506154906015704*b24 - 0.00006020457930980922*b110*b24 - 0.0015093001344496267*b112*b24 + 0.00001605455448261579*b18*b24 - 0.0021192011917052843*b111*b30 + 0.028686037131220657*b113*b30 + 0.00010403351304735033*b19*b30 + 0.00004238402383410569*b111*b24*b30 - 0.0013774807746084348*b113*b24*b30 + 0.004450953217221486*b111*b34 - 0.04732901977110997*b113*b34 - 0.000012843643586092633*b17*b34 - 0.00022203448849457638*b19*b34 - 0.00004238402383410569*b111*b20*b34 + 0.0013774807746084348*b113*b20*b34 + 0.0054966780909855815*b111*b40 - 0.03696240078532633*b113*b40 - 0.00001605455448261579*b17*b40 - 0.0003082474460662232*b19*b40 - 0.0011655606554379064*b111*b24*b40 + 0.008540380802572295*b113*b24*b40 + 0.0000770618615165558*b19*b24*b40 - 0.1028518978374298*b34*b40 + 0.0006164948921324464*b110*b34*b40 + 0.0018648970487006504*b112*b34*b40 - 0.00008219931895099284*b18*b34*b40 + 0.5590211574207922*b50 - 0.0025827764523908155*b110*b50 - 0.016337716687302925*b112*b50 + 0.00041741841654801057*b18*b50 - 0.12273927652083907*b24*b50 - 0.00004816366344784737*b110*b24*b50 + 0.006421179610867012*b112*b24*b50 - 0.000025687287172185266*b18*b24*b50 - 0.01067547600321537*b111*b34*b50 + 0.12250969639173769*b113*b34*b50 + 0.000017338918841225053*b17*b34*b50 + 0.0005201675652367517*b19*b34*b50 + 0.023275262374255985*b111*b60 - 0.22556032452842087*b113*b60 - 0.00007064003972350948*b17*b60 - 0.0011898833054790694*b19*b60 - 0.002230459254269812*b111*b24*b60 + 0.020998382522453583*b113*b24*b60 + 3.2109108965231582*10^-6*b17*b24*b60 + 0.00012522552496440316*b19*b24*b60 - 0.18674047701108348*b34*b60 + 0.0014950001134211824*b110*b34*b60 + 0.002300847008137166*b112*b34*b60 - 0.00020549829737748213*b18*b34*b60"
"b112","-247.0092324526173517673496644599937292134930898067278139656396`39.661000586594895","0.02963898896207755*b111 - 0.18015876214822846*b113 - 0.00006163782612434427*b17 - 0.002206634175251525*b19 - 0.0005811566463152461*b111*b20 + 0.017628418271562463*b113*b20 - 0.0013221313703671847*b111*b24 + 0.0006295863668415166*b113*b24 + 1.7610807464098365*10^-6*b17*b24 + 0.00012327565224868855*b19*b24 + 0.2899874805672025*b30 + 0.0007396539134921314*b110*b30 - 0.01830643435893025*b112*b30 - 0.008814209135781232*b24*b30 + 0.00023246265852609844*b112*b24*b30 - 0.4843499734790284*b34 - 0.00016642213053572955*b110*b34 + 0.029602666671682844*b112*b34 - 0.00018491347837303285*b18*b34 + 0.008814209135781232*b20*b34 - 0.00023246265852609844*b112*b20*b34 - 0.4715601887642959*b40 + 0.03440931643391519*b112*b40 - 0.0002465513044973771*b18*b40 + 0.12560248018488254*b24*b40 + 0.000528324223922951*b110*b24*b40 - 0.010848257397884593*b112*b24*b40 + 0.010170241310516807*b111*b34*b40 - 0.06478443714799205*b113*b34*b40 - 0.0007396539134921314*b19*b34*b40 - 0.04491856578811589*b111*b50 + 0.23357654209820267*b113*b50 + 0.00006163782612434427*b17*b50 + 0.0033284426107145913*b19*b50 + 0.0013560321747355742*b111*b24*b50 + 0.026442627407343697*b113*b24*b50 - 0.0002113296895691804*b19*b24*b50 + 1.261533682558689*b34*b50 + 0.0016642213053572957*b110*b34*b50 - 0.07871766774340008*b112*b34*b50 + 0.0002465513044973771*b18*b34*b50 - 2.381075964820652*b60 + 0.00033900804368389354*b110*b60 + 0.14784988305163807*b112*b60 - 0.001109480870238197*b18*b60 + 0.24656176091430893*b24*b60 + 0.0006163782612434428*b110*b24*b60 - 0.018103029532719913*b112*b24*b60 + 0.000035221614928196735*b18*b24*b60 + 0.02339155501418865*b111*b34*b60 - 0.15590132408913054*b113*b34*b60 - 0.00002465513044973771*b17*b34*b60 - 0.0016642213053572957*b19*b34*b60"
"b113","-165.6364651214484631656946384176488413571165621767876505013543`40.","-4.463325116737198 - 0.013746002447201675*b110 + 0.39699328276690293*b112 - 0.0015398527331564717*b18 + 0.17723329384793635*b20 - 0.004957574653089129*b112*b20 + 0.1556066121581584*b24 + 0.001126721512065711*b110*b24 - 0.02069787417664711*b112*b24 + 0.00003004590698841896*b18*b24 + 0.007082249504413041*b111*b30 - 0.20945752909301568*b113*b30 + 0.0018413848711473907*b113*b24*b30 + 0.017971208117448092*b111*b34 + 0.1371927634466845*b113*b34 - 0.000021461362134584974*b17*b34 - 0.0024787873265445645*b19*b34 - 0.0018413848711473907*b113*b20*b34 + 0.030984841581807056*b111*b40 + 0.07518988223851845*b113*b40 - 0.0036055088386102757*b19*b40 + 0.004957574653089129*b111*b24*b40 - 0.12889694098031734*b113*b24*b40 - 1.7186258797375646*b34*b40 - 0.008241163059680631*b110*b34*b40 + 0.15864238889885213*b112*b34*b40 + 6.697941563336594*b50 + 0.0253512340214785*b110*b50 - 0.6311612230214098*b112*b50 + 0.0015022953494209482*b18*b50 - 0.004028029405634917*b24*b50 - 0.002253443024131422*b110*b24*b50 + 0.029745447918534774*b112*b24*b50 - 0.012393936632722822*b111*b34*b50 - 0.6017875932018566*b113*b34*b50 + 0.0034767406658027657*b19*b34*b50 + 0.1282772441486812*b111*b60 + 0.41153033760903407*b113*b60 - 0.0001502295349420948*b17*b60 - 0.015210740412887098*b19*b60 + 0.0024787873265445645*b111*b24*b60 - 0.1756220820856824*b113*b24*b60 + 0.00045068860482628447*b19*b24*b60 - 3.76870103628166*b34*b60 - 0.014422035354441103*b110*b34*b60 + 0.3331490166875895*b112*b34*b60 - 0.0005494108706453753*b18*b34*b60"
"b20","-13.6021530259240219525043660594748963248854021877791026014193`39.27377033558113","-0.03544583027853715*b111 - 3.3145602191943193*b113 + 0.00013639569130750225*b17 + 0.02195970630050786*b19 + 0.03900916771394564*b113*b20 - 0.007876851173008256*b111*b24 + 0.23551785007294682*b113*b24 - 0.0003819079356610063*b19*b24 + 2.116247348481551*b30 - 0.06076428047749226*b112*b30 - 0.013653208699880976*b24*b30 + 1.4732055994469786*b34 + 0.024346630898389152*b110*b34 - 0.3564275155786235*b112*b34 + 0.0004773849195762579*b18*b34 + 0.013653208699880976*b20*b34 + 3.9935635447151854*b40 + 0.040918707392250675*b110*b40 - 0.6170200085523133*b112*b40 + 1.331187848238395*b24*b40 - 0.04200987292271069*b112*b24*b40 + 0.07876851173008255*b111*b34*b40 - 1.945582239733039*b113*b34*b40 - 0.06564042644173546*b111*b50 + 6.058611360572184*b113*b50 - 0.022096101991815366*b19*b50 + 0.021004936461355345*b111*b24*b50 - 0.40959626099642926*b113*b24*b50 + 1.7185976450975176*b34*b50 - 0.03866817848567689*b110*b34*b50 + 0.42534996334244574*b112*b34*b50 + 14.023186274917927*b60 + 0.14560240047075865*b110*b60 - 2.3660091710923545*b112*b60 + 0.003682683665302561*b18*b60 + 1.2979081520324351*b24*b60 - 0.004773849195762578*b110*b24*b60 + 0.015753702346016512*b112*b24*b60 + 0.07876851173008255*b111*b34*b60 - 3.4892481483633317*b113*b34*b60 + 0.007733635697135378*b19*b34*b60"
