"var","Initialvar","expression"
"b10","790475.00312449728416869748940350086761356147`34.007616049181095","-0.00003387493773821679*b10 + 0.0018799456239205687*b110 - 0.012883103609807928*b112 + 0.00001361046605553353*b14 - 0.00022031941927394904*b18 + 0.0015104592773629878*b110*b20 - 0.00955199142791411*b112*b20 - 3.8714214557962045*10^-6*b14*b20 - 0.00023373707039369584*b18*b20 + 3.8714214557962045*10^-6*b10*b24 - 0.0008217318881028368*b110*b24 + 0.005310208396979254*b112*b24 + 0.00011909157798591838*b18*b24 + 0.08357992499424846*b30 - 0.013216518676926144*b111*b30 - 0.00029640570520939687*b17*b30 + 0.0020451993659448384*b19*b30 - 0.00955199142791411*b24*b30 + 0.0015104592773629878*b111*b24*b30 + 0.00003387493773821679*b17*b24*b30 - 0.00023373707039369584*b19*b24*b30 - 0.033581219863760545*b34 + 0.005310208396979254*b111*b34 + 0.00011909157798591838*b17*b34 - 0.0008217318881028368*b19*b34 + 0.00955199142791411*b20*b34 - 0.0015104592773629878*b111*b20*b34 - 0.00003387493773821679*b17*b20*b34 + 0.00023373707039369584*b19*b20*b34 + 0.20675224206184212*b40 - 0.03206461342885529*b111*b40 - 0.0005483505546373843*b17*b40 + 0.004678975775091194*b19*b40 - 0.02362882766421053*b24*b40 + 0.0036645272490120327*b111*b24*b40 + 0.00006266863481570105*b17*b24*b40 - 0.0005347400885818508*b19*b24*b40 - 0.007614053876541922*b110*b50 + 0.05212938082248246*b112*b50 - 0.00006266863481570105*b14*b50 + 0.0008953569480932424*b18*b50 + 0.0036645272490120327*b110*b24*b50 - 0.02362882766421053*b112*b24*b50 - 0.0005347400885818508*b18*b24*b50 + 0.15462286123935967*b34*b50 - 0.024450559552313365*b111*b34*b50 - 0.0005483505546373843*b17*b34*b50 + 0.0037836188269979513*b19*b34*b50 + 0.04646432347356847*b60 - 0.0071901540208998225*b111*b60 - 0.00011909157798591838*b17*b60 + 0.001042051307376786*b19*b60 - 0.005310208396979254*b24*b60 + 0.0008217318881028368*b111*b24*b60 + 0.00001361046605553353*b17*b24*b60 - 0.00011909157798591838*b19*b24*b60"
"b14","-1.38341930869139564908955620590170567943871154`34.16718299708335*10^6","-0.4827554944379006 + 0.0669026993413514*b111 + 0.0007959530833047968*b17 - 0.008437102683030846*b19 - 0.12768219478371864*b20 + 0.01514281789723488*b111*b20 + 0.00011320221629223777*b17*b20 - 0.0015621905848328813*b19*b20 + 0.10647293833993274*b24 - 0.013730190687007744*b111*b24 - 0.00013644909999510803*b17*b24 + 0.0015919061666095937*b19*b24 + 0.0190301011459844*b110*b30 - 0.1692376671138214*b112*b30 + 0.00003881218844305295*b14*b30 - 0.0016187916929790002*b18*b30 - 0.003905476462082203*b110*b24*b30 + 0.03028563579446976*b112*b24*b30 + 0.0004528088651689511*b18*b24*b30 - 0.00003881218844305295*b10*b34 - 0.005492076274803098*b110*b34 + 0.05323646916996637*b112*b34 + 0.0003979765416523984*b18*b34 + 0.003905476462082203*b110*b20*b34 - 0.03028563579446976*b112*b20*b34 - 0.0004528088651689511*b18*b20*b34 + 0.0781802806268267*b110*b40 - 0.6429151839777836*b112*b40 + 0.00022640443258447555*b14*b40 - 0.007329843504922396*b18*b40 - 0.0190301011459844*b110*b24*b40 + 0.13731711841789174*b112*b24*b40 + 0.002399886985395441*b18*b24*b40 - 0.32172335187948414*b34*b40 + 0.051595093887520586*b111*b34*b40 + 0.0013527664846922415*b17*b34*b40 - 0.008308234088591023*b19*b34*b40 + 1.38773562213646*b50 - 0.18348575794036612*b111*b50 - 0.001832460876230599*b17*b50 + 0.021620208284113762*b19*b50 - 0.3948104171654749*b24*b50 + 0.048984014017354936*b111*b24*b50 + 0.00041884820028127977*b17*b24*b50 - 0.005360933528696689*b19*b24*b50 + 0.02648188971693946*b110*b34*b50 - 0.2533624791236942*b112*b34*b50 - 0.001968909976225707*b18*b34*b50 + 0.042855882789759825*b110*b60 - 0.318371350237801*b112*b60 + 0.00020942410014063989*b14*b60 - 0.004583982245983803*b18*b60 - 0.014235886212600725*b110*b24*b60 + 0.09543831225750427*b112*b24*b60 + 0.001968909976225707*b18*b24*b60 - 0.46347741284539495*b34*b60 + 0.07347000715829188*b111*b34*b60 + 0.0016960117762354911*b17*b34*b60 - 0.011450050421033938*b19*b34*b60"
"b17","7483.6926148261978856256735054060839053019572819216664617377209`35.287505889912396","-4.0600144029333715*10^-6*b10 - 0.0014430602234342816*b110 + 0.01570446340604472*b112 + 4.381432209832264*10^-6*b14 + 0.00007894719152412288*b18 + 0.00008170778985903409*b110*b20 + 0.0006336159977577893*b112*b20 - 0.0000284201008205336*b18*b20 + 0.00003521428117294242*b110*b24 - 0.0014503502753374653*b112*b24 + 0.000018354648446594618*b18*b24 - 0.03000112435110214*b30 + 0.002478638792990823*b111*b30 - 0.0000142100504102668*b17*b30 - 0.00010870688563854102*b19*b30 + 0.008237007970851262*b24*b30 - 0.0008987856884493751*b111*b24*b30 - 5.684020164106719*10^-6*b17*b24*b30 + 0.0000852603024616008*b19*b24*b30 - 0.008582789102134968*b34 + 0.0019966971093405357*b111*b34 + 0.00005261101997134494*b17*b34 - 0.0003644433866158113*b19*b34 - 0.008237007970851262*b20*b34 + 0.0008987856884493751*b111*b20*b34 + 5.684020164106719*10^-6*b17*b20*b34 - 0.0000852603024616008*b19*b20*b34 - 0.20851280292999275*b40 + 0.023389187895205003*b111*b40 + 0.00014150841866890688*b17*b40 - 0.0022492479792250875*b19*b40 + 0.04803227951989345*b24*b40 - 0.00564671878177977*b111*b24*b40 - 0.0000426301512308004*b17*b24*b40 + 0.0005826120668209388*b19*b24*b40 - 0.0009419233414805422*b110*b34*b40 + 0.009878827045217479*b112*b34*b40 + 0.00006062954841713834*b18*b34*b40 + 0.002386511356793011*b110*b50 - 0.03221668214049851*b112*b50 - 0.0000142100504102668*b14*b50 - 0.00005261101997134494*b18*b50 + 0.00007282650835261735*b110*b24*b50 + 0.0036791596768482025*b112*b24*b50 - 0.00008052361899151186*b18*b24*b50 + 0.000843555219081346*b34*b50 - 0.0032927795249115418*b111*b34*b50 - 0.00013748223771933128*b17*b34*b50 + 0.0008236754219951076*b19*b34*b50 - 0.1931392125255221*b60 + 0.025225614878694323*b111*b60 + 0.0002540892347169135*b17*b60 - 0.002965526504603851*b19*b60 + 0.04247698613015432*b24*b60 - 0.0053257936745454*b111*b24*b60 - 0.0000481957543081549*b17*b24*b60 + 0.0005950458609299222*b19*b24*b60 - 0.0017165740895602295*b110*b34*b60 + 0.017066270542730428*b112*b34*b60 + 0.00011909375581937889*b18*b34*b60"
"b18","-17720.2436577022567747946815781481918467167837118685895555827164`37.23929503573317","-0.007045214520812695 + 0.004270943316023035*b111 + 0.00011423036513914244*b17 - 0.0009006038572044715*b19 - 0.007277785834704028*b20 + 0.0011911794504107238*b111*b20 + 0.000012555251124223703*b17*b20 - 0.00015066301349068442*b19*b20 + 0.005217883896907844*b24 - 0.0010908355293163421*b111*b24 - 0.000017420410934860385*b17*b24 + 0.000167926483786492*b19*b24 - 0.0003484082186972078*b110*b30 + 0.005730239033186991*b112*b30 + 0.000012555251124223703*b18*b30 + 0.00018832876686335554*b110*b24*b30 - 0.0023823589008214476*b112*b24*b30 - 0.000010044200899378961*b18*b24*b30 - 0.001230846196931318*b110*b34 + 0.010984422459154325*b112*b34 + 0.00009494908662694175*b18*b34 - 0.00018832876686335554*b110*b20*b34 + 0.0023823589008214476*b112*b20*b34 + 0.000010044200899378961*b18*b20*b34 - 0.006008584466592772*b110*b40 + 0.07290687195987593*b112*b40 + 3.587214606921058*10^-6*b14*b40 + 0.00031702009088664846*b18*b40 + 0.0012147205462686432*b110*b24*b40 - 0.015527258426057799*b112*b24*b40 - 0.00005022100449689481*b18*b24*b40 - 0.008783437893128205*b34*b40 + 0.00300507693649165*b111*b34*b40 + 0.00006905388118323036*b17*b34*b40 - 0.0005555698622468988*b19*b34*b40 + 0.046593713976787056*b50 - 0.013337109770404853*b111*b50 - 0.0002456121001176262*b17*b50 + 0.0022955931475165444*b19*b50 - 0.021264279536861*b24*b50 + 0.003918807757148323*b111*b24*b50 + 0.00005022100449689481*b17*b24*b50 - 0.0005461534239037311*b19*b24*b50 + 0.0023470472570345687*b110*b34*b50 - 0.020150354116024016*b112*b34*b50 - 0.00017640127829534304*b18*b34*b50 - 0.00950059776085984*b110*b60 + 0.09994512021736356*b112*b60 + 6.2776255621118516*10^-6*b14*b60 + 0.0006037730585274006*b18*b60 + 0.0012822050210613456*b110*b24*b60 - 0.015742126975989548*b112*b24*b60 - 0.000049593241940683624*b18*b24*b60 - 0.007662013652381478*b34*b60 + 0.004342194366153004*b111*b34*b60 + 0.00012461086740792025*b17*b34*b60 - 0.0009157486288730663*b19*b34*b60"
"b19","-8409.9348416523310045005453409933441199856680168459935748968626`38.27851026196212","0.00543568760044183*b110 - 0.045432143345165564*b112 - 1.3836987559593546*10^-6*b14 - 0.00043915139267260015*b18 + 0.0005396425148241483*b110*b20 - 0.005776250456752325*b112*b20 - 0.000033208770143024506*b18*b20 - 0.0006527598881238255*b110*b24 + 0.0063551121831906966*b112*b24 + 0.000041649332554376574*b18*b24 - 0.026044496871700455*b30 + 0.002420089124172911*b111*b30 + 0.000016604385071512253*b17*b30 - 0.00022415919846541544*b19*b30 + 0.006826477812525476*b24*b30 - 0.000456620589466587*b111*b24*b30 + 0.000019925262085814707*b19*b24*b30 - 0.022885550447358106*b34 + 0.0005845694838067035*b111*b34 - 0.00005050500459251644*b17*b34 + 0.0002355747132020801*b19*b34 - 0.006826477812525476*b20*b34 + 0.000456620589466587*b111*b20*b34 - 0.000019925262085814707*b19*b20*b34 - 0.19922927094164025*b40 + 0.011256512924261131*b111*b40 - 0.0000761034315777645*b17*b40 - 0.000016604385071512253*b19*b40 + 0.03807563401023526*b24*b40 - 0.0018949754462863361*b111*b24*b40 + 0.000016604385071512253*b17*b24*b40 - 0.000033208770143024506*b19*b24*b40 + 0.0025238665308698624*b110*b34*b40 - 0.023431159390914006*b112*b34*b40 - 0.0001771134407627974*b18*b34*b40 - 0.011619733847700462*b110*b50 + 0.1056941105377651*b112*b50 + 2.3720550102160364*10^-6*b14*b50 + 0.0008371377473554095*b18*b50 + 0.002007055045519044*b110*b24*b50 - 0.02063272749261164*b112*b24*b50 - 0.0001217654905244232*b18*b24*b50 + 0.023809196392327304*b34*b50 + 0.0014791245523078371*b111*b34*b50 + 0.00011207959923270772*b17*b34*b50 - 0.000739725354935871*b19*b34*b50 - 0.2574011881887295*b60 + 0.012370137156518258*b111*b60 - 0.0002456065291827854*b17*b60 + 0.0008234737221403109*b19*b60 + 0.03573389065089196*b24*b60 - 0.0013812772831364257*b111*b24*b60 + 0.00003182507138706515*b17*b24*b60 - 0.0001423826019882176*b19*b24*b60 + 0.004748854130452505*b110*b34*b60 - 0.041187177169886145*b112*b34*b60 - 0.00036308255356373465*b18*b34*b60"
"b110","-4024.4403350855576076755589606782831818194303155352133416194805`39.22877760814556","-0.3770343319806128 + 0.029414435566215886*b111 - 0.00019514085998111505*b17 - 0.0007643017015927006*b19 - 0.04278788589852583*b20 + 0.0032198241896883983*b111*b20 - 0.00015611268798489204*b19*b20 + 0.046363232342492317*b24 - 0.003353983530925415*b111*b24 + 0.000016261738331759584*b17*b24 + 0.00009106573465785369*b19*b24 - 0.0021465494597922652*b110*b30 + 0.024953637470085086*b112*b30 + 0.00013009390665407667*b18*b30 + 0.00007805634399244602*b110*b24*b30 - 0.0021465494597922652*b112*b24*b30 + 0.00431749152708217*b110*b34 - 0.028324390918665128*b112*b34 - 0.00039841258912810985*b18*b34 - 0.00007805634399244602*b110*b20*b34 + 0.0021465494597922652*b112*b20*b34 + 0.004878521499527876*b110*b40 + 0.007021005524737201*b112*b40 - 0.0005854225799433451*b18*b40 - 0.0009757042999055752*b110*b24*b40 + 0.00014310329731948436*b112*b24*b40 + 0.00010407512532326135*b18*b24*b40 - 0.1680122150091571*b34*b40 + 0.011537703346383427*b111*b34*b40 - 0.00006504695332703834*b17*b34*b40 - 0.00019514085998111505*b19*b34*b40 + 0.819045014241007*b50 - 0.06040364625695199*b111*b50 + 0.0003089730283034321*b17*b50 + 0.0015220987078526974*b19*b50 - 0.149824041461453*b24*b50 + 0.010875850596280812*b111*b24*b50 - 0.00002601878133081534*b17*b24*b50 - 0.0003902817199622301*b19*b24*b50 - 0.010581513132475963*b110*b34*b50 + 0.08298713536518311*b112*b34*b50 + 0.0008456103932514985*b18*b34*b50 + 0.021631596639454197*b110*b60 - 0.10533352978047811*b112*b60 - 1.858484380772524*10^-6*b14*b60 - 0.0021367924167932095*b18*b60 - 0.0021302877214605057*b110*b24*b60 + 0.009672249649183007*b112*b24*b60 + 0.00019514085998111505*b18*b24*b60 - 0.31239952902373075*b34*b60 + 0.0225515464079366*b111*b34*b60 - 0.00016261738331759586*b17*b34*b60 - 0.0003658891124645907*b19*b34*b60"
"b111","-677.670787525557134683816591604098485699083358256005125612806`39.68002640396179","0.021431439550350165*b110 + 0.06386638347093726*b112 - 1.1195736999007529*10^-6*b14 - 0.0034277148289586427*b18 - 0.0011755523848957904*b110*b20 + 0.029741475337863504*b112*b20 - 0.0007347202405598691*b110*b24 - 0.0184190865640547*b112*b24 + 0.00019592539748263178*b18*b24 + 0.3500765613410042*b30 - 0.025862152467707393*b111*b30 + 0.0012695965756874539*b19*b30 - 0.016810399104009804*b24*b30 + 0.0005172430493541479*b111*b24*b30 - 0.5775904290062369*b34 + 0.05431821725137234*b111*b34 - 0.00015674031798610543*b17*b34 - 0.002709648247184797*b19*b34 + 0.016810399104009804*b20*b34 - 0.0005172430493541479*b111*b20*b34 - 0.4510790426242631*b40 + 0.06707995796311605*b111*b40 - 0.00019592539748263178*b17*b40 - 0.00376176763166653*b19*b40 + 0.1042244744448608*b24*b40 - 0.014224183857239066*b111*b24*b40 + 0.0009404419079166325*b19*b24*b40 + 0.00752353526333306*b110*b34*b40 + 0.022758694171582505*b112*b34*b40 - 0.0010031380351110746*b18*b34*b40 - 0.03151949832001839*b110*b50 - 0.19938103168073168*b112*b50 + 0.005094060334548426*b18*b50 - 0.0005877761924478952*b110*b24*b50 + 0.07836232197715341*b112*b24*b50 - 0.00031348063597221086*b18*b24*b50 + 1.495074870312872*b34*b50 - 0.130280593056076*b111*b34*b50 + 0.0002115994292812423*b17*b34*b50 + 0.006347982878437269*b19*b34*b50 - 2.7526765870330054*b60 + 0.28404494420113274*b111*b60 - 0.0008620717489235798*b17*b60 - 0.014521010834425254*b19*b60 + 0.25625852443672087*b24*b60 - 0.027219915472262032*b111*b24*b60 + 0.00003918507949652636*b17*b24*b60 + 0.0015282181003645277*b19*b24*b60 + 0.01824457301358267*b110*b34*b60 + 0.028078908393510883*b112*b34*b60 - 0.002507845087777687*b18*b34*b60"
"b112","-174.1602986525227897182576221793983035790755022088160186568167`40.","0.3302886033299554 - 0.05433774162114945*b111 + 0.0001130018393785045*b17 + 0.004045465849750462*b19 - 0.03231852606225229*b20 + 0.0010654459141401854*b111*b20 - 0.0011542330736518673*b24 + 0.0024238894546689217*b111*b24 - 3.228623982242986*10^-6*b17*b24 - 0.000226003678757009*b19*b24 - 0.001356022072542054*b110*b30 + 0.033561546295415835*b112*b30 - 0.0004261783656560741*b112*b24*b30 + 0.00030510496632196217*b110*b34 - 0.054271151251515694*b112*b34 + 0.0003390055181355135*b18*b34 + 0.0004261783656560741*b112*b20*b34 - 0.06308327683305014*b112*b40 + 0.000452007357514018*b18*b40 - 0.0009685871946728957*b110*b24*b40 + 0.019888323730616792*b112*b24*b40 + 0.11877058327877715*b34*b40 - 0.018645303497453244*b111*b34*b40 + 0.001356022072542054*b19*b34*b40 - 0.42822047032484284*b50 + 0.08235009044708516*b111*b50 - 0.0001130018393785045*b17*b50 - 0.006102099326439243*b19*b50 - 0.04847778909337843*b24*b50 - 0.002486040466327099*b111*b24*b50 + 0.0003874348778691583*b19*b24*b50 - 0.0030510496632196217*b110*b34*b50 + 0.1443146490702881*b112*b34*b50 - 0.000452007357514018*b18*b34*b50 - 0.0006215101165817748*b110*b60 - 0.27105609959422655*b112*b60 + 0.002034033108813081*b18*b60 - 0.001130018393785045*b110*b24*b60 + 0.03318864022546677*b112*b24*b60 - 0.00006457247964485971*b18*b24*b60 + 0.2858169648630437*b34*b60 - 0.04288419804414246*b111*b34*b60 + 0.0000452007357514018*b17*b34*b60 + 0.0030510496632196217*b19*b34*b60"
"b20","-12.7676496142617918170748197835557829747150894867075839176153`38.99289285505283","-0.043995738698222014*b110 + 1.2706248817173493*b112 - 0.004928484389691537*b18 - 0.01586731559608007*b112*b20 + 0.003606208090018198*b110*b24 - 0.0662460426136343*b112*b24 + 0.00009616554906715193*b18*b24 - 0.6703940839343829*b30 + 0.022667593708685815*b111*b30 + 0.005893574364258312*b24*b30 + 0.43910198583705806*b34 + 0.05751901903579026*b111*b34 - 0.00006868967790510853*b17*b34 - 0.007933657798040035*b19*b34 - 0.005893574364258312*b20*b34 + 0.24065428654054774*b40 + 0.09917072247550043*b111*b40 - 0.011539865888058234*b19*b40 - 0.41255020549808186*b24*b40 + 0.01586731559608007*b111*b24*b40 - 0.026376836315561675*b110*b34*b40 + 0.5077540990745623*b112*b34*b40 + 0.08113968202540946*b110*b50 - 2.020107616825944*b112*b50 + 0.004808277453357597*b18*b50 - 0.007212416180036396*b110*b24*b50 + 0.09520389357648042*b112*b24*b50 - 1.9260937719191695*b34*b50 - 0.039668288990200175*b111*b34*b50 + 0.011127727820627582*b19*b34*b50 + 1.317152479012105*b60 + 0.4105667910485718*b111*b60 - 0.00048082774533575966*b17*b60 - 0.04868380921524567*b19*b60 - 0.5620996549911365*b24*b60 + 0.007933657798040035*b111*b24*b60 + 0.0014424832360072793*b19*b24*b60 - 0.04615946355223294*b110*b34*b60 + 1.0662836080565807*b112*b34*b60 - 0.0017584557543707784*b18*b34*b60"
"b24","26.5319058385500592286151658315507598648356920344765804314565`39.337182275124185","-0.7031008882256417 - 0.007518944627529707*b111 + 0.000028932927859662174*b17 + 0.004658201385405609*b19 + 0.00827481736786338*b20 + 0.04995920985847516*b24 - 0.0016708765838954905*b111*b24 - 0.00008101219800705407*b19*b24 - 0.012889619361479497*b112*b30 + 0.005164527622949698*b110*b34 - 0.07560716542127094*b112*b34 + 0.0001012652475088176*b18*b34 + 0.008679878357898652*b110*b40 - 0.13088533240514674*b112*b40 - 0.008911341780775949*b112*b24*b40 - 0.4127065162221861*b34*b40 + 0.016708765838954902*b111*b34*b40 + 1.2851825724462813*b50 - 0.01392397153246242*b111*b50 - 0.004687134313265272*b19*b50 - 0.0868855823625655*b24*b50 + 0.004455670890387974*b111*b24*b50 - 0.008202485048214225*b110*b34*b50 + 0.09022733553035649*b112*b34*b50 + 0.030885900490189366*b110*b60 - 0.5018895538876079*b112*b60 + 0.0007811890522108787*b18*b60 - 0.001012652475088176*b110*b24*b60 + 0.003341753167790981*b112*b24*b60 - 0.7401565547511049*b34*b60 + 0.016708765838954902*b111*b34*b60 + 0.001640497009642845*b19*b34*b60"
