"var","Initialvar","expression"
"b10","-68795.03642126159350005206720828593800449638`26.08993163614703","0.005162849474828489 + 0.00001357523853013612*b10 - 0.0007533802856149761*b110 - 5.45433690942969*10^-6*b14 + 0.00008829207872139311*b18 + 0.003827920307155539*b20 - 0.0006053101894598194*b110*b20 + 1.5514558320155566*10^-6*b14*b20 + 0.00009366914585793923*b18*b20 - 0.0021280436348196778*b24 - 1.5514558320155566*10^-6*b10*b24 + 0.00032930559090681757*b110*b24 - 0.0000477254479575098*b18*b24 + 0.00529646415777342*b111*b30 + 0.00011878333713869105*b17*b30 - 0.0008196050262569682*b19*b30 - 0.0006053101894598194*b111*b24*b30 - 0.00001357523853013612*b17*b24*b30 + 0.00009366914585793923*b19*b24*b30 - 0.0021280436348196778*b111*b34 - 0.0000477254479575098*b17*b34 + 0.00032930559090681757*b19*b34 + 0.0006053101894598194*b111*b20*b34 + 0.00001357523853013612*b17*b20*b34 - 0.00009366914585793923*b19*b20*b34 + 0.01284975869290646*b111*b40 + 0.00021974917370657846*b17*b40 - 0.0018750798219750514*b19*b40 - 0.0014685438506178814*b111*b24*b40 - 0.000025114191280751818*b17*b24*b40 + 0.00021429483679714874*b19*b24*b40 - 0.0208906296614423*b50 + 0.0030513000010256343*b110*b50 + 0.000025114191280751818*b14*b50 - 0.0003588105233996603*b18*b50 + 0.00946915310097401*b24*b50 - 0.0014685438506178814*b110*b24*b50 + 0.00021429483679714874*b18*b24*b50 + 0.009798458691880826*b111*b34*b50 + 0.00021974917370657846*b17*b34*b50 - 0.0015162692985753912*b19*b34*b50 + 0.002881423920434654*b111*b60 + 0.0000477254479575098*b17*b60 - 0.0004175976696282107*b19*b60 - 0.00032930559090681757*b111*b24*b60 - 5.45433690942969*10^-6*b17*b24*b60 + 0.0000477254479575098*b19*b24*b60"
"b14","369362.51549876471019373531779017310359239942`27.145556561253873","0.007160879913283937*b111 + 0.0000851942373367114*b17 - 0.0009030589157691406*b19 + 0.0016208000809887111*b111*b20 + 0.000012116513754554509*b17*b20 - 0.00016720788981285223*b19*b20 - 0.0014696005940582715*b111*b24 - 0.000014604726400579096*b17*b24 + 0.0001703884746734228*b19*b24 - 0.018114225927164475*b30 + 0.002036872508667431*b110*b30 + 4.154233287275831*10^-6*b14*b30 - 0.00017326614669012946*b18*b30 + 0.0032416001619774222*b24*b30 - 0.0004180197245321306*b110*b24*b30 + 0.000048466055018218036*b18*b24*b30 + 0.005698125284725938*b34 - 4.154233287275831*10^-6*b10*b34 - 0.0005878402376233086*b110*b34 + 0.0000425971186683557*b18*b34 - 0.0032416001619774222*b20*b34 + 0.0004180197245321306*b110*b20*b34 - 0.000048466055018218036*b18*b20*b34 - 0.06881394132398189*b40 + 0.008367967311739208*b110*b40 + 0.000024233027509109018*b14*b40 - 0.0007845442656074044*b18*b40 + 0.014697634097118483*b24*b40 - 0.002036872508667431*b110*b24*b40 + 0.00025687009159655556*b18*b24*b40 + 0.005522441920587564*b111*b34*b40 + 0.00014479233936692638*b17*b34*b40 - 0.0008892655630574827*b19*b34*b40 - 0.01963925957164983*b111*b50 - 0.0001961360664018511*b17*b50 + 0.002314102670697979*b19*b50 + 0.005242966958017668*b111*b24*b50 + 0.00004483110089185168*b17*b24*b50 - 0.0005738034728049742*b19*b24*b50 - 0.027118461667439725*b34*b50 + 0.002834469072350612*b110*b34*b50 - 0.0002107407928024302*b18*b34*b50 - 0.03407663710623762*b60 + 0.004587047058735956*b110*b60 + 0.00002241555044592584*b14*b60 - 0.0004906430788484916*b18*b60 + 0.010215167697726525*b24*b60 - 0.0015237273328461954*b110*b24*b60 + 0.0002107407928024302*b18*b24*b60 + 0.007863806747233292*b111*b34*b60 + 0.000181531340001272*b17*b34*b60 - 0.0012255475021677056*b19*b34*b60"
"b17","-295.285928794296652298103615652699815575`29.041631727876666","0.023099899475805086 - 5.971927989719346*10^-6*b10 - 0.002122616051054257*b110 + 6.4447056222387944*10^-6*b14 + 0.00011612445079800883*b18 + 0.0009319940118955756*b20 + 0.00012018505079310185*b110*b20 - 0.000041803495928035426*b18*b20 - 0.0021333390832128808*b24 + 0.00005179714417333139*b110*b24 + 0.000026998091120189547*b18*b24 + 0.0036458620377236607*b111*b30 - 0.000020901747964017713*b17*b30 - 0.0001598983719247355*b19*b30 - 0.0013220355587241204*b111*b24*b30 - 8.360699185607086*10^-6*b17*b24*b30 + 0.00012541048778410627*b19*b24*b30 + 0.0029369677471211032*b111*b34 + 0.00007738623353344654*b17*b34 - 0.0005360645173146668*b19*b34 + 0.0013220355587241204*b111*b20*b34 + 8.360699185607086*10^-6*b17*b20*b34 - 0.00012541048778410627*b19*b20*b34 + 0.03440346067424331*b111*b40 + 0.0002081465734750097*b17*b40 - 0.0033084481063045176*b19*b40 - 0.008305832097201538*b111*b24*b40 - 0.00006270524389205314*b17*b24*b40 + 0.0008569716665247262*b19*b24*b40 + 0.014530895184585113*b34*b40 - 0.0013854872936148884*b110*b34*b40 + 0.00008918079131314225*b18*b34*b40 - 0.047387936769812455*b50 + 0.003510350593613193*b110*b50 - 0.000020901747964017713*b14*b50 - 0.00007738623353344654*b18*b50 + 0.005411723819733736*b24*b50 + 0.00010712145831559078*b110*b24*b50 - 0.00011844323846276703*b18*b24*b50 - 0.004843392228999616*b111*b34*b50 - 0.00020222441155187134*b17*b34*b50 + 0.0012115548909143125*b19*b34*b50 + 0.03710468500878066*b111*b60 + 0.00037374316002326905*b17*b60 - 0.004362031505184528*b19*b60 - 0.007833779183026676*b111*b24*b60 - 0.00007089176184462674*b17*b24*b60 + 0.0008752606959932418*b19*b24*b60 + 0.02510299930478527*b34*b60 - 0.0025249311540533398*b110*b34*b60 + 0.0001751765543651008*b18*b34*b60"
"b18","4.9569218089275785028383545279069980733972582048005435628545`30.185868514751323","0.008267795500183993*b111 + 0.00022112990714220066*b17 - 0.0017434107566140589*b19 + 0.0023059140267841258*b111*b20 + 0.00002430475917559026*b17*b20 - 0.00029165711010708314*b19*b20 - 0.002111665834310463*b111*b24 - 0.000033722853356131486*b17*b24 + 0.00032507615397351974*b19*b24 + 0.011092735489095064*b30 - 0.0006744570671226297*b110*b30 + 0.00002430475917559026*b18*b30 - 0.0046118280535682515*b24*b30 + 0.0003645713876338539*b110*b24*b30 - 0.000019443807340472206*b18*b24*b30 + 0.021263911005141117*b34 - 0.002382701875304506*b110*b34 + 0.00018380474126540136*b18*b34 + 0.0046118280535682515*b20*b34 - 0.0003645713876338539*b110*b20*b34 + 0.000019443807340472206*b18*b20*b34 + 0.14113488831868673*b40 - 0.011631563319746767*b110*b40 + 6.944216907311502*10^-6*b14*b40 + 0.000613695169183654*b18*b40 - 0.030058042883297838*b24*b40 + 0.0023514854502383574*b110*b24*b40 - 0.00009721903670236105*b18*b24*b40 + 0.005817300707321858*b111*b34*b40 + 0.00013367617546574642*b17*b34*b40 - 0.0010754855935198688*b19*b34*b40 - 0.025818300077063927*b111*b50 - 0.00047546185137248444*b17*b50 + 0.004443864807122655*b19*b50 + 0.00758612295768111*b111*b24*b50 + 0.00009721903670236105*b17*b24*b50 - 0.0010572570241381763*b19*b24*b50 - 0.039007543477001465*b34*b50 + 0.004543470918386904*b110*b34*b50 - 0.0003414818664170431*b18*b34*b50 + 0.19347618407820844*b60 - 0.018391487220541573*b110*b60 + 0.00001215237958779513*b14*b60 + 0.0011687985082118673*b18*b60 - 0.030473990625706878*b24*b60 + 0.0024821235308071553*b110*b24*b60 - 0.00009600379874358153*b18*b24*b60 + 0.008405725008505468*b111*b34*b60 + 0.0002412247348177333*b17*b34*b60 - 0.0017727283723696144*b19*b34*b60"
"b19","9.5209761306667791565021265835359646346175136042176412678531`33.18199514397372","-0.08324606627335417 + 0.009959900125992635*b110 - 2.5353740735018007*10^-6*b14 - 0.000804664346577634*b18 - 0.010583919069833265*b20 + 0.0009887958886657022*b110*b20 - 0.00006084897776404321*b18*b20 + 0.011644576967394786*b24 - 0.0011960627191744744*b110*b24 + 0.0000763147596124042*b18*b24 + 0.0044343692545546496*b111*b30 + 0.000030424488882021605*b17*b30 - 0.0004107305999072917*b19*b30 - 0.0008366734442555941*b111*b24*b30 + 0.000036509386658425925*b19*b24*b30 + 0.0010711163156147136*b111*b34 - 0.00009254115368281571*b17*b34 + 0.00043164743601368155*b19*b34 + 0.0008366734442555941*b111*b20*b34 - 0.000036509386658425925*b19*b20*b34 + 0.02062549446062228*b111*b40 - 0.00013944557404259902*b17*b40 - 0.000030424488882021605*b19*b40 - 0.0034721947936607158*b111*b24*b40 + 0.000030424488882021605*b17*b24*b40 - 0.00006084897776404321*b19*b24*b40 - 0.04293330016808706*b34*b40 + 0.004624522310067284*b110*b34*b40 - 0.0003245278814082305*b18*b34*b40 + 0.1936650636022937*b50 - 0.021291030154916502*b110*b50 + 4.346355554574515*10^-6*b14*b50 + 0.0015339013144685892*b18*b50 - 0.03780568720257778*b24*b50 + 0.0036775600936143618*b110*b24*b50 - 0.00022311291846815844*b18*b24*b50 + 0.002710224335499371*b111*b34*b50 + 0.00020536529995364585*b17*b34*b50 - 0.0013554109796940627*b19*b34*b50 + 0.022666006525786705*b111*b60 - 0.0004500288980465696*b17*b60 + 0.001508864495492759*b19*b60 - 0.0025309371688731724*b111*b24*b60 + 0.000058313603690541406*b17*b24*b60 - 0.00026088999216333526*b19*b24*b60 - 0.0754679446718546*b34*b60 + 0.008701403820258179*b110*b34*b60 - 0.0006652821568868724*b18*b34*b60"
"b110","16.2752224609704150968192139118967817613257455102649567000989`36.0766369277205","0.16795887746380622*b111 - 0.0011142705667755363*b17 - 0.004364226386537517*b19 + 0.01838546435179635*b111*b20 - 0.000891416453420429*b19*b20 - 0.01915152536645453*b111*b24 + 0.00009285588056462803*b17*b24 + 0.0005199929311619169*b19*b24 + 0.14248734872642171*b30 - 0.0122569762345309*b110*b30 + 0.0007428470445170242*b18*b30 - 0.0122569762345309*b24*b30 + 0.0004457082267102145*b110*b24*b30 - 0.1617346317197085*b34 + 0.024653236289908738*b110*b34 - 0.0022749690738333864*b18*b34 + 0.0122569762345309*b20*b34 - 0.0004457082267102145*b110*b20*b34 + 0.040090526433778154*b40 + 0.02785676416938841*b110*b40 - 0.0033428117003266086*b18*b40 + 0.0008171317489687266*b24*b40 - 0.005571352833877681*b110*b24*b40 + 0.0005942776356136194*b18*b24*b40 + 0.06588124726060358*b111*b34*b40 - 0.0003714235222585121*b17*b34*b40 - 0.0011142705667755363*b19*b34*b40 - 0.34490985207586206*b111*b50 + 0.0017642617307279326*b17*b50 + 0.008691310420849183*b19*b50 + 0.06210201292162322*b111*b24*b50 - 0.00014856940890340485*b17*b24*b50 - 0.0022285411335510727*b19*b24*b50 + 0.4738634562099892*b34*b50 - 0.060421321483403456*b110*b34*b50 + 0.004828505789360657*b18*b34*b50 - 0.6014632298961877*b60 + 0.1235182188396477*b110*b60 - 0.000010612100635957488*b14*b60 - 0.012201262706192123*b18*b60 + 0.055229351247261256*b24*b60 - 0.012164120353966272*b110*b24*b60 + 0.0011142705667755363*b18*b24*b60 + 0.12877120865444666*b111*b34*b60 - 0.0009285588056462803*b17*b34*b60 - 0.0020892573127041306*b19*b34*b60"
"b111","2.3080385755743909989805734859568560135227633333429946673357`38.05971557935976","0.41386994588794834 + 0.1388810238650905*b110 - 7.255114215232623*10^-6*b14 - 0.02221243905921158*b18 + 0.19273210912765465*b20 - 0.007617869925994255*b110*b20 - 0.1193602321797302*b24 - 0.004761168703746409*b110*b24 + 0.001269644987665709*b18*b24 - 0.1675931383718736*b111*b30 + 0.008227299520073795*b19*b30 + 0.003351862767437472*b111*b24*b30 + 0.3519954694911642*b111*b34 - 0.0010157159901325672*b17*b34 - 0.017559190179416755*b19*b34 - 0.003351862767437472*b111*b20*b34 + 0.4346947026520471*b111*b40 - 0.001269644987665709*b17*b40 - 0.024377183763181615*b19*b40 - 0.09217622610453047*b111*b24*b40 + 0.006094295940795404*b19*b24*b40 + 0.14748196176724876*b34*b40 + 0.04875436752636323*b110*b34*b40 - 0.00650058233684843*b18*b34*b40 - 1.292038351135663*b50 - 0.20425413739072093*b110*b50 + 0.03301076967930844*b18*b50 + 0.5078072092667769*b24*b50 - 0.0038089349629971273*b110*b24*b50 - 0.0020314319802651345*b18*b24*b50 - 0.8442504345483133*b111*b34*b50 + 0.0013712165866789656*b17*b34*b50 + 0.04113649760036898*b19*b34*b50 + 1.8406814242075153*b111*b60 - 0.00558643794572912*b17*b60 - 0.09409973826084403*b19*b60 - 0.17639177813639695*b111*b24*b60 + 0.0002539289975331418*b17*b24*b60 + 0.00990323090379253*b19*b24*b60 + 0.18195826451803418*b34*b60 + 0.11822934125143082*b110*b34*b60 - 0.016251455842121076*b18*b34*b60"
"b20","-159.2690821529260608090124600604263414267075671206093133208265`38.98260518257601","-0.27582894904859084*b111 + 0.0005736193236304623*b17 + 0.02053557178597055*b19 + 0.005408410765658644*b111*b20 + 0.012304134491873415*b111*b24 - 0.00001638912353229892*b17*b24 - 0.0011472386472609246*b19*b24 + 0.1703649391182473*b30 - 0.006883431883565547*b110*b30 - 0.0021633643062634574*b24*b30 - 0.27549092337573716*b34 + 0.0015487721738022481*b110*b34 + 0.0017208579708913867*b18*b34 + 0.0021633643062634574*b20*b34 - 0.3202229874167056*b40 + 0.0022944772945218492*b18*b40 + 0.10095700095896135*b24*b40 - 0.004916737059689676*b110*b24*b40 - 0.09464718839902628*b111*b34*b40 + 0.006883431883565547*b19*b34*b40 + 0.41802508209569933*b111*b50 - 0.0005736193236304623*b17*b50 - 0.030975443476044962*b19*b50 - 0.012619625119870168*b111*b24*b50 + 0.0019666948238758705*b19*b24*b50 + 0.7325692382084634*b34*b50 - 0.015487721738022481*b110*b34*b50 - 0.0022944772945218492*b18*b34*b50 - 1.3759335013508445*b60 - 0.003154906279967542*b110*b60 + 0.010325147825348319*b18*b60 + 0.16847199535026677*b24*b60 - 0.005736193236304622*b110*b24*b60 - 0.00032778247064597845*b18*b24*b60 - 0.21768853331776042*b111*b34*b60 + 0.0002294477294521849*b17*b34*b60 + 0.015487721738022481*b19*b34*b60"
"b24","867.5136847846247210396209927754143695546392515244130132330099`39.23297244217367","8.825260494348337 - 0.3055770906424471*b110 - 0.03423131343262385*b18 - 0.11020813105137435*b20 - 0.46011894713948787*b24 + 0.025047302511675987*b110*b24 + 0.0006679280669780263*b18*b24 + 0.15744018721624908*b111*b30 + 0.39950447506123204*b111*b34 - 0.00047709147641287596*b17*b34 - 0.055104065525687175*b19*b34 + 0.6888008190710897*b111*b40 - 0.08015136803736317*b19*b40 + 0.11020813105137435*b111*b24*b40 + 3.526660193643979*b34*b40 - 0.1832031269425444*b110*b34*b40 - 14.030872684478098*b50 + 0.5635643065127097*b110*b50 + 0.033396403348901316*b18*b50 + 0.6612487863082461*b24*b50 - 0.050094605023351974*b110*b24*b50 - 0.27552032762843587*b111*b34*b50 + 0.07728881917888591*b19*b34*b50 + 2.8516353909543115*b111*b60 - 0.0033396403348901317*b17*b60 - 0.33813858390762586*b19*b60 + 0.055104065525687175*b111*b24*b60 + 0.010018921004670396*b19*b24*b60 + 7.405986406652357*b34*b60 - 0.3206054721494527*b110*b34*b60 - 0.012213541796169625*b18*b34*b60"
"b30","30.5892026369213532145075691527143122823559048514462928749942`39.607221591560474","-0.22251088303527478*b111 + 0.0008562227341424714*b17 + 0.1378518601969379*b19 - 0.04944686289672773*b111*b24 - 0.0023974236555989203*b19*b24 - 0.3814472280604711*b30 - 2.23747054607693*b34 + 0.15283575804443114*b110*b34 + 0.0029967795694986503*b18*b34 - 3.873337593577005*b40 + 0.25686682024274143*b110*b40 - 0.2637166021158812*b24*b40 + 0.4944686289672773*b111*b34*b40 - 0.4120571908060644*b111*b50 - 0.1387080829310804*b19*b50 + 0.1318583010579406*b111*b24*b50 + 2.6701305964232973*b34*b50 - 0.24273914512939068*b110*b34*b50 - 14.852601442604591*b60 + 0.9140177686970883*b110*b60 + 0.02311801382184673*b18*b60 + 0.09889372579345546*b24*b60 - 0.0299677956949865*b110*b24*b60 + 0.4944686289672773*b111*b34*b60 + 0.048547829025878134*b19*b34*b60"
