"var","Initialvar","expression"
"b10","-880529.44759577870369860950426959839674439396`34.53036702974622","0.009496577853683377*b111 - 0.00002434044784284085*b15 + 0.00021297891862485745*b17 - 0.0014695545385115163*b19 - 0.002701248811714382*b111*b20 + 6.923505164185842*10^-6*b15*b20 - 0.00006058067018662612*b17*b20 + 0.0004180066242877202*b19*b20 - 0.009496577853683377*b25 - 6.923505164185842*10^-6*b10*b25 + 0.0014695545385115163*b110*b25 - 0.00021297891862485745*b18*b25 - 0.02363592710250085*b111*b30 + 0.00006058067018662612*b15*b30 - 0.0005300808641329785*b17*b30 + 0.0036575579625175514*b19*b30 + 0.017082423790468232*b25*b30 - 0.002701248811714382*b110*b25*b30 + 0.0004180066242877202*b18*b25*b30 - 0.006553503312032614*b111*b25*b40 - 0.00011207423984525833*b17*b25*b40 + 0.0009563091508031695*b19*b25*b40 - 0.043726465139626566*b111*b50 + 0.00011207423984525833*b15*b50 - 0.0009806495986460103*b17*b50 + 0.006766482230657471*b19*b50 + 0.04225691060111505*b25*b50 - 0.006553503312032614*b110*b25*b50 + 0.0009563091508031695*b18*b25*b50 - 0.0014695545385115163*b111*b25*b60 - 0.00002434044784284085*b17*b25*b60 + 0.00021297891862485745*b19*b25*b60"
"b15","389476.70865818606142046654096933247885700769`34.24244346074312","0.15740134783388782 - 0.00011475386832689975*b10 - 0.016238120625554464*b110 + 0.0011766754076488744*b18 - 0.08954387787883397*b20 + 0.011547108000394287*b110*b20 - 0.0013387951304804971*b18*b20 + 0.04059530156388617*b111*b25 + 0.0004034315683367569*b17*b25 - 0.0047067016305954975*b19*b25 - 0.5003757259507815*b30 + 0.056265256064033035*b110*b30 - 0.0047861925914677765*b18*b30 - 0.044771938939416986*b111*b25*b30 - 0.0003346987826201243*b17*b25*b30 + 0.004618843200157714*b19*b25*b30 + 0.15254838358238282*b111*b40 - 0.0006693975652402486*b15*b40 + 0.003999650452310485*b17*b40 - 0.024564499938726978*b19*b40 - 0.40599799078777626*b25*b40 + 0.056265256064033035*b110*b25*b40 - 0.007095614191546635*b18*b25*b40 - 0.7491029425201441*b50 + 0.07829755052549962*b110*b50 - 0.005821368112000019*b18*b50 - 0.14482834697451052*b111*b25*b50 - 0.00123838549569446*b17*b25*b50 + 0.015850378062653027*b19*b25*b50 + 0.2172247395889391*b111*b60 - 0.00061919274784723*b15*b60 + 0.005014504975326504*b17*b60 - 0.03385373592832988*b19*b60 - 0.282177222091157*b25*b60 + 0.042090463781872006*b110*b25*b60 - 0.005821368112000019*b18*b25*b60"
"b17","-72013.142541381478677460054286498787246364225854097190718167887`36.59758660574253","0.13069608420538872*b111 - 0.00028679163722812655*b15 + 0.0034437142539748013*b17 - 0.023855057095249*b19 + 0.058831041258418384*b111*b20 + 0.0003720540158635155*b17*b20 - 0.0055808102379527325*b19*b20 + 0.0949343297118409*b25 - 0.0023049908951544356*b110*b25 - 0.0012014244262259356*b18*b25 + 0.16224212620334016*b111*b30 + 0.00026575286847393964*b15*b30 - 0.0009301350396587887*b17*b30 - 0.007115533053389734*b19*b30 - 0.04147405703621421*b25*b30 - 0.005348276478038035*b110*b25*b30 + 0.0018602700793175775*b18*b25*b30 + 0.64662987957079*b40 - 0.061654665485954*b110*b40 + 0.0039685761692108325*b18*b40 + 0.3696124113844112*b111*b25*b40 + 0.0027904051189763662*b17*b25*b40 - 0.03813553662601034*b19*b25*b40 - 0.2155326353929339*b111*b50 + 0.0009301350396587887*b15*b50 - 0.008999056508698781*b17*b50 + 0.0539146131916505*b19*b50 - 0.24082358845565616*b25*b50 - 0.004766942078251292*b110*b25*b50 + 0.005270765224733136*b18*b25*b50 + 1.1170921826302052*b60 - 0.11236031279078168*b110*b60 + 0.0077954174752355625*b18*b60 + 0.3486058928481172*b111*b25*b60 + 0.003154708009509392*b17*b25*b60 - 0.03894940478571178*b19*b25*b60"
"b18","-22958.5169664844255350000032441665846015879505456209886398099943`37.904269818132825","0.10831505151605325 - 0.012137112326542656*b110 + 0.0009362727305547552*b18 + 0.023491933966646585*b20 - 0.0018570698787862914*b110*b20 + 0.00009904372686860221*b18*b20 + 0.010756496938532473*b111*b25 + 0.00017177896378773195*b17*b25 - 0.0016558873085844431*b19*b25 + 0.05650466725828504*b30 - 0.003435579275754639*b110*b30 + 0.00012380465858575276*b18*b30 - 0.011745966983323293*b111*b25*b30 - 0.00012380465858575276*b17*b25*b30 + 0.001485655903029033*b19*b25*b30 + 0.029632423952752448*b111*b40 - 0.00003537275959592936*b15*b40 + 0.0006809256222216402*b17*b40 - 0.00547835614241956*b19*b40 + 0.15311098991098024*b25*b40 - 0.01197810071817158*b110*b25*b40 + 0.000495218634343011*b18*b25*b40 - 0.1986983523494135*b50 + 0.02314373336437416*b110*b50 - 0.0017394554531298262*b18*b50 - 0.038642529061078075*b111*b25*b50 - 0.000495218634343011*b17*b25*b50 + 0.005385502648480245*b19*b25*b50 + 0.04281745428232451*b111*b60 - 0.00006190232929287638*b15*b60 + 0.0012287612364635962*b17*b60 - 0.009030002285598342*b19*b60 + 0.15522976294083954*b25*b60 - 0.01264355075807*b110*b25*b60 + 0.0004890284014137234*b18*b25*b60"
"b19","-6530.2443695747224377703018985046739599544504437442782753959362`38.86342038976969","0.0028720390885353247*b111 + 6.7982284808884075*10^-6*b15 - 0.0002481353395524269*b17 + 0.0011573983988712514*b19 + 0.0022434153986931743*b111*b20 - 0.00009789449012479307*b19*b20 - 0.03122320118952032*b25 + 0.0032070642858591067*b110*b25 - 0.00020462667727474105*b18*b25 + 0.011890101613073826*b111*b30 + 0.0000815787417706609*b17*b30 - 0.001101313013903922*b19*b30 + 0.02837920479346866*b25*b30 - 0.002651309107546479*b110*b25*b30 + 0.0001631574835413218*b18*b25*b30 - 0.11511925874436975*b40 + 0.012399968749140455*b110*b40 - 0.0008701732455537162*b18*b40 + 0.009310173904576674*b111*b25*b40 - 0.0000815787417706609*b17*b25*b40 + 0.0001631574835413218*b19*b25*b40 + 0.00726706345219539*b111*b50 - 0.000011654105967237271*b15*b50 + 0.000550656506951961*b17*b50 - 0.0036343329458829424*b19*b50 + 0.10137032722952158*b25*b50 - 0.009860830411528635*b110*b25*b50 + 0.0005982441063181799*b18*b25*b50 - 0.20235606896212432*b60 + 0.023331520146409015*b110*b60 - 0.0017838551533851182*b18*b60 + 0.006786331581046853*b111*b25*b60 - 0.00015635925506043337*b17*b25*b60 + 0.0006995377106834171*b19*b25*b60"
"b110","-1066.2984356869227573189577660239435685861707788586514550137062`39.79846102418541","0.1728697518889598 - 0.02635056447330503*b110 + 0.0024315963449942496*b18 - 0.013100845613846569*b20 + 0.000476394385958057*b110*b20 - 0.020470071271635266*b111*b25 + 0.00009924883040792856*b17*b25 + 0.0005557934502844*b19*b25 - 0.15229733026096637*b30 + 0.013100845613846569*b110*b30 - 0.0007939906432634285*b18*b30 + 0.019651268420769853*b111*b25*b30 - 0.000952788771916114*b19*b25*b30 - 0.0704170451744253*b111*b40 + 0.00039699532163171424*b17*b40 + 0.0011909859648951426*b19*b40 + 0.0008733897075897713*b25*b40 - 0.005954929824475713*b110*b25*b40 + 0.0006351925146107428*b18*b25*b40 - 0.5064880491781754*b50 + 0.0645812139464391*b110*b50 - 0.005160939181212285*b18*b50 + 0.06637761777682262*b111*b25*b50 - 0.0001587981286526857*b17*b25*b50 - 0.0023819719297902852*b19*b25*b50 - 0.13763686016928092*b111*b60 - 0.000011342723475191835*b15*b60 + 0.0009924883040792855*b17*b60 + 0.0022330986841783925*b19*b60 + 0.059031786486201505*b25*b60 - 0.013001596783438641*b110*b25*b60 + 0.0011909859648951426*b18*b25*b60"
"b111","-183.291490986294867874829902708177844002176086928687317950369`40.","-0.13866490014138744*b111 - 2.8580756724621573*10^-6*b15 + 0.00040013059414470203*b17 + 0.006917257646276537*b19 + 0.0013204309606775167*b111*b20 - 0.04702070370388836*b25 - 0.0018756121600532907*b110*b25 + 0.0005001632426808775*b18*b25 + 0.06602154803387583*b111*b30 - 0.0032410578125720868*b19*b30 + 0.07592478023895721*b25*b30 - 0.003000979456085265*b110*b25*b30 - 0.05809896226981074*b40 - 0.019206268518945697*b110*b40 + 0.0025608358025260933*b18*b40 - 0.03631185141863171*b111*b25*b40 + 0.002400783564868212*b19*b25*b40 + 0.33258354822064956*b111*b50 - 0.0005401763020953477*b17*b50 - 0.016205289062860433*b19*b50 + 0.20004529054264378*b25*b50 - 0.0015004897280426325*b110*b25*b50 - 0.0008002611882894041*b18*b25*b50 - 0.0716805378653509*b60 - 0.04657520115844332*b110*b60 + 0.0064020895063152325*b18*b60 - 0.06948767930565432*b111*b25*b60 + 0.00010003264853617551*b17*b25*b60 + 0.003901273292910845*b19*b25*b60"
"b20","-8.2125723815321475090896134427924076705862454365941208457327`39.003324821480724","-0.2673553299860584 + 0.001503034983970702*b110 + 0.0016700388710785578*b18 + 0.00209947743792733*b20 - 0.011940777928211688*b111*b25 + 0.000015905132105510075*b17*b25 + 0.0011133592473857052*b19*b25 + 0.16533384823677721*b30 - 0.006680155484314231*b110*b30 - 0.005248693594818324*b111*b25*b30 - 0.09185213790932067*b111*b40 + 0.006680155484314231*b19*b40 - 0.09797561376994206*b25*b40 + 0.004771539631653022*b110*b25*b40 + 0.710935547418142*b50 - 0.015030349839707021*b110*b50 - 0.0022267184947714104*b18*b50 + 0.012246951721242757*b111*b25*b50 - 0.001908615852661209*b19*b25*b50 - 0.21125991719143755*b111*b60 + 0.00022267184947714105*b17*b60 + 0.015030349839707021*b19*b60 - 0.1634968054785908*b25*b60 + 0.005566796236928526*b110*b25*b60 + 0.0003181026421102015*b18*b25*b60"
"b25","4.2758919093084858212954707245505468617401582871523809989135`39.14621273581521","0.08901894871223043*b111 - 0.00010630714878307857*b17 - 0.012278475684445575*b19 + 0.10252527196512057*b25 - 0.005581125311111625*b110*b25 - 0.00014883000829631*b18*b25 + 0.03508135909841593*b111*b30 + 0.02455695136889115*b25*b30 + 0.7858224438045168*b40 - 0.040821945132702174*b110*b40 - 0.02455695136889115*b111*b25*b40 - 0.061392378422227875*b111*b50 + 0.01722175810285873*b19*b50 - 0.1473417082133469*b25*b50 + 0.01116225062222325*b110*b25*b50 + 1.6502271319894852*b60 - 0.0714384039822288*b110*b60 - 0.0027214630088468117*b18*b60 - 0.012278475684445575*b111*b25*b60 - 0.00223245012444465*b19*b25*b60"
"b30","0.4895301822535470226152213251356524803475877648393855130551`39.947816650198845","1.596776737855943 - 0.10907164055670932*b110 - 0.002138659618759006*b18 - 0.035287883709523606*b111*b25 - 0.001710927695007205*b19*b25 + 0.2722208171877535*b30 - 0.35287883709523604*b111*b40 - 0.18820204645079255*b25*b40 - 1.9055457203142745*b50 + 0.1732314291194795*b110*b50 + 0.09410102322539628*b111*b25*b50 - 0.35287883709523604*b111*b60 - 0.0346462858238959*b19*b60 + 0.07057576741904721*b25*b60 - 0.021386596187590062*b110*b25*b60"
