"var","Initialvar","expression"
"b10","-49032.11468100975421250770994270588757208637`24.641678207360588","0.07579100846117508 - 0.00019425809137025248*b15 + 0.0016997582994897093*b17 - 0.011728332266478994*b19 - 0.021558331295623134*b20 + 0.0000552556348786496*b15*b20 - 0.00048348680518818396*b17*b20 + 0.0033360589557984697*b19*b20 - 0.0000552556348786496*b10*b25 + 0.011728332266478994*b110*b25 - 0.0016997582994897093*b18*b25 - 0.1886353988367024*b30 + 0.00048348680518818396*b15*b30 - 0.00423050954539661*b17*b30 + 0.02919051586323661*b19*b30 - 0.021558331295623134*b110*b25*b30 + 0.0033360589557984697*b18*b25*b30 - 0.052302696047498015*b25*b40 - 0.0008944505895981404*b17*b25*b40 + 0.007632184567613476*b19*b25*b40 - 0.34897548784789945*b50 + 0.0008944505895981404*b15*b50 - 0.007826442658983728*b17*b50 + 0.05400245434698773*b19*b50 - 0.052302696047498015*b110*b25*b50 + 0.007632184567613476*b18*b25*b50 - 0.011728332266478994*b25*b60 - 0.00019425809137025248*b17*b25*b60 + 0.0016997582994897093*b19*b25*b60"
"b15","-869.15633914070207931082515953710026103485`24.962267321089495","-0.0007634185559483435*b10 - 0.10802670777042478*b110 + 0.007828022302204694*b18 + 0.07681899219230207*b110*b20 - 0.008906549819397341*b18*b20 + 0.27006676942606195*b25 + 0.0026838933607558953*b17*b25 - 0.031312089208818776*b19*b25 + 0.3743136607134222*b110*b30 - 0.031840915604345495*b18*b30 - 0.2978525209692209*b25*b30 - 0.0022266374548493353*b17*b25*b30 + 0.03072759687692083*b19*b25*b30 + 1.0148526442260022*b40 - 0.004453274909698671*b15*b40 + 0.026608317585449556*b17*b40 - 0.1634192846326923*b19*b40 + 0.3743136607134222*b110*b25*b40 - 0.047204714042805906*b18*b25*b40 + 0.52088704135177*b110*b50 - 0.03872758716112951*b18*b50 - 0.963493859681493*b25*b50 - 0.008238558582942541*b17*b25*b50 + 0.10544718804036494*b19*b25*b50 + 1.4451224994074505*b60 - 0.004119279291471271*b15*b60 + 0.03335980043961772*b17*b60 - 0.22521742031596387*b19*b60 + 0.2800135764313967*b110*b25*b60 - 0.03872758716112951*b18*b25*b60"
"b17","296.65596246135386011511629729207005608241`30.48776056335276","-0.4267564153589798 + 0.0009364486457457459*b15 - 0.011244615012622663*b17 + 0.07789291252333111*b19 - 0.19209851949216789*b20 - 0.0012148522971836705*b17*b20 + 0.018222784457755055*b19*b20 + 0.0075263896223957075*b110*b25 + 0.003922960542988936*b18*b25 - 0.5297623767361648*b30 - 0.0008677516408454787*b15*b30 + 0.003037130742959176*b17*b30 + 0.023234050183637694*b19*b30 + 0.01746350177201526*b110*b25*b30 - 0.006074261485918352*b18*b25*b30 + 0.2013183806761511*b110*b40 - 0.012958424503292484*b18*b40 - 1.2068798289834024*b25*b40 - 0.009111392228877527*b17*b25*b40 + 0.1245223604613262*b19*b25*b40 + 0.7037696303786433*b50 - 0.003037130742959176*b15*b50 + 0.029384239938130028*b17*b50 - 0.17604511413652651*b19*b50 + 0.015565295057665775*b110*b25*b50 - 0.01721040754343533*b18*b25*b50 + 0.36688539374946844*b110*b60 - 0.02545404813146738*b18*b60 - 1.1382881293603837*b25*b60 - 0.010300935103203205*b17*b25*b60 + 0.12717984986141548*b19*b25*b60"
"b18","92.7952723597455387050069291682291455139717523010013191137515`33.244817233610725","0.05084983992975072*b110 - 0.003922623207101997*b18 + 0.007780409666979168*b110*b20 - 0.000414955182238889*b18*b20 - 0.045065591617955904*b25 - 0.000719687894195573*b17*b25 + 0.006937531953056426*b19*b25 + 0.014393757883911461*b110*b30 - 0.0005186939777986113*b18*b30 + 0.04921109114364324*b25*b30 + 0.0005186939777986113*b17*b25*b30 - 0.006224327733583335*b19*b25*b30 - 0.12414847734685153*b40 + 0.00014819827937103178*b15*b40 - 0.0028528168778923614*b17*b40 + 0.022952208517588547*b19*b40 + 0.05018364235201564*b110*b25*b40 - 0.002074775911194445*b18*b25*b40 - 0.09696335547472788*b110*b50 + 0.007287650388070488*b18*b50 + 0.16189735782039152*b25*b50 + 0.002074775911194445*b17*b25*b50 - 0.022563188034239588*b19*b25*b50 - 0.17938869130296906*b60 + 0.00025934698889930563*b15*b60 - 0.0051480377296512165*b17*b60 + 0.037832242005686204*b19*b60 + 0.052971622482683174*b110*b25*b60 - 0.0020488412123045143*b18*b25*b60"
"b19","29.8947277004903808899054923328868844106173912623728995639078`35.80996458602714","0.05603466181704017 + 0.00013263622887382836*b15 - 0.004841222353894734*b17 + 0.022581317965769277*b19 + 0.04376995552836335*b20 - 0.0019099616957831281*b19*b20 + 0.06257114097122853*b110*b25 - 0.003992350489102234*b18*b25 + 0.23198076430032577*b30 + 0.0015916347464859403*b17*b30 - 0.021487069077560195*b19*b30 - 0.05172812926079306*b110*b25*b30 + 0.0031832694929718806*b18*b25*b30 + 0.2419284814658629*b110*b40 - 0.01697743729585003*b18*b40 + 0.18164531544270793*b25*b40 - 0.0015916347464859403*b17*b25*b40 + 0.0031832694929718806*b19*b25*b40 + 0.14178339165794845*b50 - 0.0002273763923551343*b15*b50 + 0.010743534538780098*b17*b50 - 0.07090732795594863*b19*b50 - 0.19238884998148803*b110*b25*b50 + 0.011671988140896894*b18*b25*b50 + 0.4552075374949789*b110*b60 - 0.034803746456492556*b18*b60 + 0.13240411547329914*b25*b60 - 0.003050633264098052*b17*b25*b60 + 0.013648267951116937*b19*b25*b60"
"b110","4.6858855458372401988302480338092413651277628232766364714518`38.269303749562006","-0.16850268129094143*b110 + 0.015549211644550151*b18 + 0.0030463761589322744*b110*b20 - 0.13089897557912117*b25 + 0.0006346616997775572*b17*b25 + 0.0035541055187543204*b19*b25 + 0.08377534437063754*b110*b30 - 0.005077293598220458*b18*b30 + 0.12566301655595633*b25*b30 - 0.006092752317864549*b19*b25*b30 - 0.4502924759921768*b40 + 0.002538646799110229*b17*b40 + 0.007615940397330686*b19*b40 - 0.03807970198665343*b110*b25*b40 + 0.004061834878576366*b18*b25*b40 + 0.4129743680452564*b110*b50 - 0.03300240838843297*b18*b50 + 0.4244617448112302*b25*b50 - 0.0010154587196440914*b17*b25*b50 - 0.015231880794661371*b19*b25*b50 - 0.8801397786558051*b60 - 0.00007253276568886367*b15*b60 + 0.006346616997775572*b17*b60 + 0.014279888244995036*b19*b60 - 0.08314068267085999*b110*b25*b60 + 0.007615940397330686*b18*b25*b60"
"b20","-22.7943060852321353032495877066017620963503340557687641968605`36.094079351724055","1.9295014178241534 + 0.000039769696993554376*b15 - 0.005567757579097612*b17 - 0.09625260914864998*b19 - 0.01837360001102212*b20 + 0.02609886365202006*b110*b25 - 0.006959696973872016*b18*b25 - 0.9186800005511061*b30 + 0.045098836390690664*b19*b30 + 0.041758181843232094*b110*b25*b30 + 0.26725236379668543*b110*b40 - 0.03563364850622472*b18*b40 + 0.5052740003031083*b25*b40 - 0.03340654547458568*b19*b25*b40 - 4.627850502776197*b50 + 0.007516472731781776*b17*b50 + 0.22549418195345333*b19*b50 + 0.020879090921616047*b110*b25*b50 + 0.011135515158195225*b18*b25*b50 + 0.648086982206962*b110*b60 - 0.0890841212655618*b18*b60 + 0.9669107005800391*b25*b60 - 0.001391939394774403*b17*b25*b60 - 0.05428563639620172*b19*b25*b60"
"b25","3.3079768157765191805990798918751440479633332186288742666316`37.54947240350863","13.88980004628402*b110 + 15.433111162537799*b18 - 110.34674481214526*b25 + 0.14698201107178857*b17*b25 + 10.2887407750252*b19*b25 - 61.732444650151194*b110*b30 - 48.504063653690224*b25*b30 - 848.8211139395789*b40 + 61.732444650151194*b19*b40 + 44.09460332153657*b110*b25*b40 - 138.8980004628402*b110*b50 - 20.5774815500504*b18*b50 + 113.1761485252772*b25*b50 - 17.637841328614627*b19*b25*b50 - 1952.2885620610318*b60 + 2.05774815500504*b17*b60 + 138.8980004628402*b19*b60 + 51.443703875126*b110*b25*b60 + 2.9396402214357713*b18*b25*b60"
"b30","66.6081035447050630564699754457537082449316004613288774385407`39.95627390295186","-0.6524839121399292 + 0.0007792015669681196*b17 + 0.08999778098481781*b19 + 0.040908082265826276*b110*b25 + 0.0010908821937553675*b18*b25 - 0.2571365170994795*b30 + 0.29921340171575794*b110*b40 + 0.17999556196963562*b25*b40 + 0.44998890492408905*b50 - 0.1262306538488354*b19*b50 - 0.08181616453165255*b110*b25*b50 + 0.5236234530025763*b110*b60 + 0.01994756011438386*b18*b60 + 0.08999778098481781*b25*b60 + 0.01636323290633051*b19*b25*b60"
"b40","3.7833565577289358270752735038782482885894454027926564759116`39.03074112127849","0.8556112722131353*b110 + 0.016776691612022263*b18 + 0.27681541159836737*b25 + 0.01342135328961781*b19*b25 + 2.7681541159836733*b40 - 1.3589120205738032*b110*b50 - 0.7381744309289795*b25*b50 + 2.7681541159836733*b60 + 0.2717824041147607*b19*b60 + 0.1677669161202226*b110*b25*b60"
