"var","Initialvar","expression"
"b10","-16891.68839970937812814077412639374803684411`24.570315763426628","-0.13593693263302767*b20 + 0.0015992580309767963*b14*b20 - 0.00799629015488398*b16*b20 + 0.033584418650512725*b18*b20 - 0.0015992580309767963*b10*b24 - 0.6796846631651383*b30 + 0.00799629015488398*b14*b30 - 0.039981450774419905*b16*b30 + 0.1679220932525636*b18*b30 + 0.033584418650512725*b17*b24*b30 - 0.13593693263302767*b19*b24*b30 - 0.1343376746020509*b24*b40 - 0.006397032123907185*b16*b24*b40 + 0.03198516061953592*b18*b24*b40 - 0.5437477305321107*b50 + 0.006397032123907185*b14*b50 - 0.03198516061953592*b16*b50 + 0.1343376746020509*b18*b50 + 0.03198516061953592*b17*b24*b50 - 0.1343376746020509*b19*b24*b50"
"b14","-55.52028019353659422228574113732637537106`24.18071507217841","-0.6106466394026593 - 0.0089800976382744*b10 + 0.007184078110619521*b14 - 0.0359203905530976*b16 + 0.15086564032300995*b18 - 0.0628606834679208*b17*b20 + 0.33944769072677233*b19*b20 + 0.0359203905530976*b17*b24 - 0.15086564032300995*b19*b24 - 0.1257213669358416*b17*b30 + 0.9339301543805377*b19*b30 - 0.9159699591039888*b24*b30 - 0.0179601952765488*b16*b24*b30 + 0.15086564032300995*b18*b24*b30 + 1.5355966961449223*b40 - 0.0269402929148232*b14*b40 + 0.0987810740210184*b16*b40 - 0.38614419844579917*b18*b40 - 0.1634377770165941*b17*b24*b40 + 0.7812684945298729*b19*b24*b40 - 0.0718407811061952*b17*b50 + 0.6034625612920398*b19*b50 - 1.2069251225840796*b24*b50 - 0.028736312442478085*b16*b24*b50 + 0.2155223433185856*b18*b24*b50"
"b16","87.84636863380257171623121727580604352427`30.202779397093042","0.010365517065642474*b17 - 0.0870703433513968*b19 - 0.24488534067580345*b20 - 0.003887068899615928*b16*b20 + 0.03627930972974866*b18*b20 + 0.19590827254064277*b24 + 0.005182758532821237*b16*b24 - 0.03627930972974866*b18*b24 - 0.34335775279940695*b30 - 0.0025913792664106184*b14*b30 + 0.006478448166026546*b16*b30 + 0.01813965486487433*b18*b30 - 0.009069827432437165*b17*b24*b30 - 0.01813965486487433*b17*b40 + 0.17103103158310082*b19*b40 - 0.7618655043247219*b24*b40 - 0.015548275598463711*b16*b24*b40 + 0.12697758405412032*b18*b24*b40 + 0.22156292727810786*b50 - 0.003887068899615928*b14*b50 + 0.024618103030900878*b16*b50 - 0.09199396395757696*b18*b50 - 0.009069827432437165*b17*b24*b50 - 0.027209482297311495*b19*b24*b50"
"b17","33.2730958689562043876264726840939816839086161495223335854301`32.97117611058067","0.12960122761230272 - 0.0015247203248506202*b14 + 0.019821364223058063*b16 - 0.0747112959176804*b18 - 0.01067304227395434*b17*b20 + 0.1280765072874521*b19*b20 + 0.01067304227395434*b17*b24 - 0.13874954956140642*b19*b24 + 0.06403825364372605*b19*b30 + 0.38422952186235626*b24*b30 + 0.012197762598804961*b16*b24*b30 - 0.08538433819163473*b18*b24*b30 - 0.41929808933392054*b40 + 0.0030494406497012403*b14*b40 - 0.038118008121265506*b16*b40 + 0.17076867638326945*b18*b40 - 0.032019126821863024*b17*b24*b40 + 0.4482677755060823*b19*b24*b40 + 0.06403825364372605*b17*b50 - 0.5123060291498084*b19*b50 + 0.49095994460189973*b24*b50 + 0.02134608454790868*b16*b24*b50 - 0.1280765072874521*b18*b24*b50"
"b18","16.0822599531675809527664907532755927959158939794695739194906`35.64800789726123","0.04352729307321123*b17 - 0.319200149203549*b19 + 0.21763646536605616*b20 - 0.01450909769107041*b18*b20 - 0.1523455257562393*b24 + 0.005181820603953718*b16*b24 - 0.007254548845535205*b18*b24 + 0.4352729307321123*b30 + 0.010363641207907436*b16*b30 - 0.07254548845535205*b18*b30 + 0.021763646536605615*b17*b24*b30 - 0.21763646536605616*b19*b24*b30 - 0.07254548845535205*b17*b40 + 0.6093821030249572*b19*b40 + 0.565854809951746*b24*b40 - 0.009327277087116692*b16*b24*b40 - 0.3109092362372231*b50 - 0.0010363641207907434*b14*b50 + 0.03109092362372231*b16*b50 - 0.07980003730088725*b18*b50 + 0.036272744227676026*b17*b24*b50 - 0.34821834458568984*b19*b24*b50"
"b19","2.9376930226766342931946038727388370185083899615205980377598`38.12345145107529","-1.3271064700647155 - 0.00032250460997927476*b14 + 0.017737753548860112*b16 + 0.07224103263535754*b18 - 0.040635580857388616*b19*b20 + 0.02257532269854923*b17*b24 - 0.12867933938173062*b19*b24 + 0.05643830674637308*b17*b30 - 0.5418077447651816*b19*b30 - 0.9481635533390678*b24*b30 + 0.07224103263535754*b18*b24*b30 + 2.3704088833476695*b40 - 0.024187845748445607*b16*b40 - 0.11287661349274616*b18*b40 - 0.040635580857388616*b17*b24*b40 + 0.2031779042869431*b19*b24*b40 + 0.16931492023911923*b17*b50 - 1.144568860816446*b19*b50 - 1.435790523627731*b24*b50 + 0.007740110639502594*b16*b24*b50 + 0.09030129079419692*b18*b24*b50"
"b20","179.1388275291735120079863870484846112028685295205119672763465`37.14229639446654","0.05213458927887306*b17 - 0.14597684998084456*b19 - 0.05213458927887306*b20 - 0.3493017481684495*b24 + 0.0012412997447350728*b16*b24 + 0.03475639285258204*b18*b24 - 1.3033647319718265*b30 + 0.10426917855774612*b18*b30 + 0.10426917855774612*b19*b24*b30 - 0.06951278570516407*b17*b40 + 0.20853835711549223*b19*b40 + 0.6256150713464768*b24*b40 - 0.06951278570516407*b18*b24*b40 - 2.997738883535201*b50 + 0.011171697702615654*b16*b50 + 0.2606729463943653*b18*b50 + 0.01737819642629102*b17*b24*b50 + 0.05213458927887306*b19*b24*b50"
"b24","1.9453150081993416293863582369095567987809752484600287279581`37.42356773109498","-1.2228234141921805 + 0.003425275670006108*b16 + 0.16783850783029933*b18 + 0.005137913505009162*b17*b24 + 0.07193078907012827*b19*b24 + 0.2877231562805131*b19*b30 + 0.24661984824043978*b24*b30 + 1.7982697267532068*b40 - 0.2397692969004276*b18*b40 - 0.18496488618032986*b19*b24*b40 + 0.0599423242251069*b17*b50 + 0.4315847344207696*b19*b50 - 0.14386157814025655*b24*b50 + 0.05480441072009773*b18*b24*b50"
"b30","2.9488736290384013465606661902891635089515936897399165646999`38.80611257978554","-0.02791535139812341*b17 - 0.5862223793605916*b19 - 0.1465555948401479*b24 - 0.024425932473357982*b18*b24 - 1.046825677429628*b30 + 1.0049526503324426*b19*b40 + 0.6595001767806656*b24*b40 - 0.31404770322888836*b18*b50 - 0.21983339226022186*b19*b24*b50"
"b40","-34.9059719539377075876018106210782208302930494517896136587925`39.996900626068026","-1.7137098583865966 - 0.17137098583865967*b18 - 0.11424732389243977*b19*b24 + 4.284274645966492*b40 - 1.542338872547937*b19*b50 - 0.9139785911395182*b24*b50"
