"var","Initialvar","expression"
"b10","14252.37928887055540779387756857167023060026`30.146001287301903","2.99796659660468*10^-7*b12*b30 - 2.398373277283744*10^-7*b14*b30 + 9.593493109134975*10^-7*b18*b30 + 5.99593319320936*10^-8*b14*b22*b30 + 1.2591459705739654*10^-6*b18*b22*b30 - 5.99593319320936*10^-8*b12*b24*b30 - 1.199186638641872*10^-6*b18*b24*b30 - 2.99796659660468*10^-7*b10*b32 - 5.99593319320936*10^-8*b14*b20*b32 - 1.2591459705739654*10^-6*b18*b20*b32 + 5.99593319320936*10^-8*b10*b24*b32 + 2.398373277283744*10^-7*b10*b34 + 5.99593319320936*10^-8*b12*b20*b34 + 1.199186638641872*10^-6*b18*b20*b34 - 5.99593319320936*10^-8*b10*b22*b34 + 1.49898329830234*10^-6*b12*b40 - 1.199186638641872*10^-6*b14*b40 + 4.796746554567488*10^-6*b18*b40 + 2.99796659660468*10^-7*b14*b22*b40 + 6.295729852869828*10^-6*b18*b22*b40 - 2.99796659660468*10^-7*b12*b24*b40 - 5.99593319320936*10^-6*b18*b24*b40 - 0.00002548271607113978*b32*b40 + 6.295729852869828*10^-6*b17*b32*b40 + 5.0965432142279566*10^-6*b24*b32*b40 - 1.2591459705739654*10^-6*b17*b24*b32*b40 + 0.000020386172856911826*b34*b40 - 5.036583882295862*10^-6*b17*b34*b40 - 5.0965432142279566*10^-6*b22*b34*b40 + 1.2591459705739654*10^-6*b17*b22*b34*b40 - 1.49898329830234*10^-6*b10*b42 - 2.99796659660468*10^-7*b14*b20*b42 - 6.295729852869828*10^-6*b18*b20*b42 + 2.99796659660468*10^-7*b10*b24*b42 + 0.00002548271607113978*b30*b42 - 6.295729852869828*10^-6*b17*b30*b42 - 5.0965432142279566*10^-6*b24*b30*b42 + 1.2591459705739654*10^-6*b17*b24*b30*b42 + 5.0965432142279566*10^-6*b20*b34*b42 - 1.2591459705739654*10^-6*b17*b20*b34*b42 + 1.199186638641872*10^-6*b12*b50 - 9.593493109134975*10^-7*b14*b50 + 3.83739724365399*10^-6*b18*b50 + 2.398373277283744*10^-7*b14*b22*b50 + 5.036583882295862*10^-6*b18*b22*b50 - 2.398373277283744*10^-7*b12*b24*b50 - 4.796746554567488*10^-6*b18*b24*b50 - 0.000025182919411479313*b32*b50 + 5.99593319320936*10^-6*b17*b32*b50 + 5.036583882295862*10^-6*b24*b32*b50 - 1.199186638641872*10^-6*b17*b24*b32*b50 + 0.000020146335529183447*b34*b50 - 4.796746554567488*10^-6*b17*b34*b50 - 5.036583882295862*10^-6*b22*b34*b50 + 1.199186638641872*10^-6*b17*b22*b34*b50 - 0.00002398373277283744*b42*b50 + 4.796746554567488*10^-6*b17*b42*b50 + 4.796746554567488*10^-6*b24*b42*b50 - 9.593493109134975*10^-7*b17*b24*b42*b50"
"b12","46958.53288798939118523249337942678877822347`32.33875200451175","0.0015055701983391022*b10 - 0.0005474800721233099*b12 + 0.00043798405769864793*b14 - 0.0017519362307945917*b18 - 0.00013687001803082746*b12*b20 + 0.00041061005409248245*b14*b20 + 0.005885410775325582*b18*b20 + 0.00013687001803082746*b10*b22 - 0.00010949601442466198*b14*b22 - 0.0022994163029179016*b18*b22 - 0.00041061005409248245*b10*b24 + 0.00010949601442466198*b12*b24 + 0.0021899202884932394*b18*b24 - 0.038843711117148835*b30 + 0.008622811135942132*b17*b30 - 0.005173686681565278*b22*b30 + 0.0009580901262157925*b17*b22*b30 + 0.01190769156868199*b24*b30 - 0.00249103432816106*b17*b24*b30 + 0.01149708151458951*b32 - 0.0027374003606165497*b17*b32 + 0.005173686681565278*b20*b32 - 0.0009580901262157925*b17*b20*b32 - 0.0022994163029179016*b24*b32 + 0.0005474800721233099*b17*b24*b32 - 0.009197665211671606*b34 + 0.0021899202884932394*b17*b34 - 0.01190769156868199*b20*b34 + 0.00249103432816106*b17*b20*b34 + 0.0022994163029179016*b22*b34 - 0.0005474800721233099*b17*b22*b34 - 0.0662450887269205*b40 + 0.01149708151458951*b17*b40 - 0.014234481875206057*b22*b40 + 0.001916180252431585*b17*b22*b40 + 0.024636603245548946*b24*b40 - 0.00383236050486317*b17*b24*b40 + 0.00027374003606165493*b14*b32*b40 - 0.005748540757294755*b18*b32*b40 + 0.0022994163029179016*b18*b24*b32*b40 - 0.00027374003606165493*b12*b34*b40 + 0.0037228644904385073*b18*b34*b40 - 0.0022994163029179016*b18*b22*b34*b40 + 0.010949601442466199*b42 - 0.0021899202884932394*b17*b42 + 0.014234481875206057*b20*b42 - 0.001916180252431585*b17*b20*b42 - 0.0021899202884932394*b24*b42 + 0.00043798405769864793*b17*b24*b42 - 0.00027374003606165493*b14*b30*b42 + 0.005748540757294755*b18*b30*b42 - 0.0022994163029179016*b18*b24*b30*b42 + 0.00027374003606165493*b10*b34*b42 + 0.0022994163029179016*b18*b20*b34*b42 - 0.028906947808110768*b50 + 0.004379840576986479*b17*b50 - 0.009197665211671606*b22*b50 + 0.0010949601442466197*b17*b22*b50 + 0.013139521730959438*b24*b50 - 0.0017519362307945917*b17*b24*b50 + 0.00043798405769864793*b14*b32*b50 - 0.007226736952027692*b18*b32*b50 + 0.0032848804327398596*b18*b24*b32*b50 - 0.00043798405769864793*b12*b34*b50 + 0.004379840576986479*b18*b34*b50 - 0.0032848804327398596*b18*b22*b34*b50 + 0.0010949601442466197*b14*b42*b50 - 0.013139521730959438*b18*b42*b50 + 0.007226736952027692*b18*b24*b42*b50 - 0.014234481875206057*b34*b42*b50 + 0.0037228644904385073*b17*b34*b42*b50"
"b14","15827.9898390407970822119986143198917660715233552911954689091316`34.213699388525484","0.0003926358820762921 - 0.00005949028516307455*b17 - 0.00024539742629768255*b20 + 0.00002602699975884512*b17*b20 + 0.00012492959884245655*b22 - 0.000014872571290768638*b17*b22 - 0.00017847085548922367*b24 + 0.000023796114065229823*b17*b24 - 5.57721423403824*10^-6*b12*b30 + 0.00002230885693615296*b14*b30 - 0.00034578728251037085*b18*b30 - 0.00005205399951769024*b18*b22*b30 + 0.0001821889983119158*b18*b24*b30 + 5.57721423403824*10^-6*b10*b32 - 7.436285645384319*10^-6*b14*b32 + 0.00010410799903538048*b18*b32 + 0.00005205399951769024*b18*b20*b32 - 0.00005205399951769024*b18*b24*b32 - 0.00002230885693615296*b10*b34 + 7.436285645384319*10^-6*b12*b34 - 0.00005949028516307455*b18*b34 - 0.0001821889983119158*b18*b20*b34 + 0.00005205399951769024*b18*b22*b34 + 9.295357056730399*10^-6*b12*b40 + 0.00004089957104961375*b14*b40 - 0.0007510648501838162*b18*b40 + 3.7181428226921595*10^-6*b14*b22*b40 - 0.00002602699975884512*b18*b22*b40 - 3.7181428226921595*10^-6*b12*b24*b40 + 0.0003680961394465238*b18*b24*b40 - 0.00022866578359556782*b32*b40 + 0.00007808099927653535*b17*b32*b40 - 0.00001301349987942256*b17*b24*b32*b40 - 0.000278860711701912*b34*b40 + 0.00007808099927653535*b17*b34*b40 + 0.00001301349987942256*b17*b22*b34*b40 - 9.295357056730399*10^-6*b10*b42 - 0.00002230885693615296*b14*b42 + 0.00020821599807076095*b18*b42 - 3.7181428226921595*10^-6*b14*b20*b42 + 0.00002602699975884512*b18*b20*b42 + 3.7181428226921595*10^-6*b10*b24*b42 - 0.0001353403987459946*b18*b24*b42 + 0.00022866578359556782*b30*b42 - 0.00007808099927653535*b17*b30*b42 + 0.00001301349987942256*b17*b24*b30*b42 + 0.00031976028275152574*b34*b42 - 0.0000817991420992275*b17*b34*b42 - 0.00001301349987942256*b17*b20*b34*b42 + 0.00003532235681557552*b12*b50 - 0.00002230885693615296*b14*b50 - 0.0001189805703261491*b18*b50 + 5.57721423403824*10^-6*b14*b22*b50 + 0.00013199407020557169*b18*b22*b50 - 5.57721423403824*10^-6*b12*b24*b50 - 0.00005205399951769024*b18*b24*b50 - 0.0004606778957315586*b32*b50 + 0.00016173921278710894*b17*b32*b50 - 0.000039040499638267675*b24*b32*b50 - 0.00001301349987942256*b17*b24*b32*b50 + 0.000557721423403824*b34*b50 - 0.00014723845577860952*b17*b34*b50 + 0.000039040499638267675*b22*b34*b50 + 0.00001301349987942256*b17*b22*b34*b50 + 0.0003866868535599846*b42*b50 + 0.000029745142581537276*b17*b42*b50 - 0.00035694171097844734*b24*b42*b50 + 0.000029745142581537276*b17*b24*b42*b50 - 0.0000535412566467671*b18*b34*b42*b50"
"b17","10.5445421308280661753007965462958438523995400117157221514425`35.42218081316965","-0.00006738834989580536*b10 + 0.00003504194194581879*b12 - 0.00004312854393331543*b14 - 0.0001293856317999463*b18 - 5.391067991664429*10^-6*b14*b20 - 0.00030189980753320806*b18*b20 + 2.6955339958322146*10^-6*b14*b22 + 0.0001320811657957785*b18*b22 + 5.391067991664429*10^-6*b10*b24 - 2.6955339958322146*10^-6*b12*b24 - 0.0001293856317999463*b18*b24 - 0.0004609363132873087*b30 - 0.000188687379708255*b17*b30 - 0.00022642485564990602*b22*b30 + 0.000018868737970825504*b17*b22*b30 + 0.0007924869947746711*b24*b30 - 0.000056606213912476504*b17*b24*b30 - 0.0001320811657957785*b32 + 0.00012129902981244966*b17*b32 + 0.00022642485564990602*b20*b32 - 0.000018868737970825504*b17*b20*b32 - 0.0002452935936207315*b24*b32 + 0.000018868737970825504*b17*b24*b32 + 0.000991956510466255*b34 - 0.0002587712635998926*b17*b34 - 0.0007924869947746711*b20*b34 + 0.000056606213912476504*b17*b20*b34 + 0.0002452935936207315*b22*b34 - 0.000018868737970825504*b17*b22*b34 - 0.003940870701906698*b40 + 0.000188687379708255*b17*b40 - 0.00011321242782495301*b22*b40 + 0.002075561176790805*b24*b40 - 0.000188687379708255*b17*b24*b40 - 0.000021564271966657717*b14*b32*b40 + 0.00037737475941651*b18*b32*b40 - 0.00015094990376660403*b18*b24*b32*b40 + 0.000021564271966657717*b12*b34*b40 - 0.00009703922384995972*b18*b34*b40 + 0.00015094990376660403*b18*b22*b34*b40 + 0.0018653095251158925*b42 - 0.0001832963117165906*b17*b42 + 0.00011321242782495301*b20*b42 - 0.0010027386464495837*b24*b42 + 0.00011860349581661743*b17*b24*b42 + 0.000021564271966657717*b14*b30*b42 - 0.00037737475941651*b18*b30*b42 + 0.00015094990376660403*b18*b24*b30*b42 - 0.000021564271966657717*b10*b34*b42 - 0.00015094990376660403*b18*b34*b42 - 0.00015094990376660403*b18*b20*b34*b42 + 0.0013908955418494228*b50 - 0.00031268194351653686*b17*b50 + 0.0009056994225996241*b22*b50 - 0.00011321242782495301*b17*b22*b50 - 0.0007439673828496912*b24*b50 + 0.00011860349581661743*b17*b24*b50 - 0.00003773747594165101*b14*b32*b50 + 0.0005768442751080938*b18*b32*b50 - 0.00022642485564990602*b18*b24*b32*b50 + 0.00003773747594165101*b12*b34*b50 - 0.0004959782552331275*b18*b34*b50 + 0.00022642485564990602*b18*b22*b34*b50 - 0.00010782135983328858*b14*b42*b50 + 0.0007116209748997046*b18*b42*b50 - 0.0004959782552331275*b18*b24*b42*b50 + 0.001962348748965852*b34*b42*b50 - 0.00047441398326646974*b17*b34*b42*b50"
"b18","4.2014395934471459254009851060306718182668382065321336337286`38.17661274184506","0.004069303533572733 - 0.0008138607067145466*b17 - 0.002392750477740767*b20 + 0.0002848512473500913*b17*b20 + 0.0012533454883404016*b22 - 0.00017091074841005477*b17*b22 - 0.0018556024113091662*b24 + 0.00029298985441723673*b17*b24 + 0.00003662373180215459*b14*b30 - 0.0003133363720851004*b18*b30 + 0.000056970249470018263*b18*b22*b30 - 0.000020346517667863665*b14*b32 + 0.0002848512473500913*b18*b32 - 0.000056970249470018263*b18*b20*b32 - 0.000028485124735009132*b18*b24*b32 - 0.00003662373180215459*b10*b34 + 0.000020346517667863665*b12*b34 - 0.0008464151349831284*b18*b34 + 0.000028485124735009132*b18*b22*b34 + 0.00004069303533572733*b12*b40 + 0.00010173258833931833*b14*b40 + 0.0003865838356894096*b18*b40 + 0.0002848512473500913*b18*b22*b40 - 0.00011394049894003653*b18*b24*b40 + 0.001538196735690493*b32*b40 - 0.0008545537420502739*b24*b32*b40 + 0.00008545537420502739*b17*b24*b32*b40 - 0.00433380826325496*b34*b40 + 0.0007121281183752283*b17*b34*b40 + 0.0008545537420502739*b22*b34*b40 - 0.00008545537420502739*b17*b22*b34*b40 - 0.00004069303533572733*b10*b42 - 0.00009359398127217286*b14*b42 - 0.0005697024947001826*b18*b42 - 0.0002848512473500913*b18*b20*b42 - 0.000028485124735009132*b18*b24*b42 - 0.001538196735690493*b30*b42 + 0.0008545537420502739*b24*b30*b42 - 0.00008545537420502739*b17*b24*b30*b42 + 0.002697948242758722*b34*b42 - 0.0006307420477037735*b17*b34*b42 - 0.0008545537420502739*b20*b34*b42 + 0.00008545537420502739*b17*b20*b34*b42 + 0.000122079106007182*b12*b50 - 0.000122079106007182*b14*b50 - 0.0010742961328632015*b18*b50 + 4.0693035335727325*10^-6*b14*b22*b50 + 0.0003133363720851004*b18*b22*b50 - 4.0693035335727325*10^-6*b12*b24*b50 - 0.00020346517667863665*b18*b24*b50 + 0.00025636612261508216*b32*b50 + 0.0003987917462901278*b17*b32*b50 - 0.0013672859872804382*b24*b32*b50 + 0.00014242562367504564*b17*b24*b32*b50 + 0.002221839729330712*b34*b50 - 0.000805722099647401*b17*b34*b50 + 0.0013672859872804382*b22*b34*b50 - 0.00014242562367504564*b17*b22*b34*b50 + 0.009094893397535058*b42*b50 - 0.001037672401061047*b17*b42*b50 - 0.004618659510605051*b24*b42*b50 + 0.0005981876194351917*b17*b24*b42*b50 - 0.0011068505611317833*b18*b34*b42*b50"
"b20","-502.3652562847018986110271222048511468961209233619475993806228`37.132994307340574","-0.00004854494594688455*b10 + 0.000035599627027715336*b12 - 0.0000640793286498876*b14 - 0.0021515120043659234*b18 + 0.00022654308108546124*b18*b20 + 6.472659459584607*10^-7*b14*b22 - 0.0001449875718946952*b18*b22 - 6.472659459584607*10^-7*b12*b24 + 0.00032686930270902265*b18*b24 + 0.0011009993740753417*b30 - 0.0002718516973025535*b17*b30 + 0.00008155550919076605*b22*b30 + 0.0004077775459538302*b24*b30 - 0.00008155550919076605*b17*b24*b30 - 0.0007475921675820221*b32 + 0.00022654308108546124*b17*b32 - 0.00008155550919076605*b20*b32 - 0.00025825911243742585*b24*b32 + 0.00004530861621709225*b17*b24*b32 + 0.0022000569503128078*b34 - 0.0007087562108245145*b17*b34 - 0.0004077775459538302*b20*b34 + 0.00008155550919076605*b17*b20*b34 + 0.00025825911243742585*b22*b34 - 0.00004530861621709225*b17*b22*b34 - 0.002893278778434319*b40 + 0.0005663577027136531*b17*b40 + 0.001087406789210214*b22*b40 - 0.00011327154054273062*b17*b22*b40 + 0.0013592584865127675*b24*b40 - 0.0002945060054110996*b17*b24*b40 - 0.0002718516973025535*b18*b32*b40 + 0.0001449875718946952*b18*b24*b32*b40 + 0.0012142709146180722*b18*b34*b40 - 0.0001449875718946952*b18*b22*b34*b40 + 0.0027767709081617962*b42 - 0.0006666839243372146*b17*b42 - 0.001087406789210214*b20*b42 + 0.00011327154054273062*b17*b20*b42 - 0.0015728562486790594*b24*b42 + 0.0003080985902762273*b17*b24*b42 + 0.0002718516973025535*b18*b30*b42 - 0.0001449875718946952*b18*b24*b30*b42 - 0.0011327154054273062*b18*b34*b42 + 0.0001449875718946952*b18*b20*b34*b42 + 0.004569050312520774*b50 - 0.0011359517351570985*b17*b50 + 0.002297146842206577*b22*b50 - 0.00033981462162819187*b17*b22*b50 - 0.002495210221669866*b24*b50 + 0.0004213701308189579*b17*b24*b50 - 0.000015534382703003057*b14*b32*b50 + 0.0003080985902762273*b18*b32*b50 + 0.000181234464868369*b18*b24*b32*b50 + 0.000015534382703003057*b12*b34*b50 - 0.0013592584865127675*b18*b34*b50 - 0.000181234464868369*b18*b22*b34*b50 - 0.00011003521081293833*b14*b42*b50 - 0.002323684745990874*b18*b42*b50 + 0.0005980737340656177*b18*b24*b42*b50 + 0.0040389395027807945*b34*b42*b50 - 0.0010511598962365401*b17*b34*b42*b50"
"b22","-1663.4912720138642581143492636814731629264739292861962045026957`38.983266256453746","-0.0006522612314878107 + 0.0009605216765060227*b17 + 0.0004690919815494529*b20 - 0.00015636399384981765*b17*b20 - 0.00032836438708461706*b22 + 0.00011727299538736323*b17*b22 + 0.0006142871186957121*b24 - 0.00025800058985219913*b17*b24 + 0.00039090998462454406*b18*b30 + 0.00015636399384981765*b18*b24*b30 + 2.7922141758896006*10^-6*b14*b32 - 0.0004300009830869985*b18*b32 - 0.00007818199692490882*b18*b24*b32 - 2.7922141758896006*10^-6*b12*b34 + 0.0017814326442175653*b18*b34 - 0.00015636399384981765*b18*b20*b34 + 0.00007818199692490882*b18*b22*b34 - 0.00002792214175889601*b14*b40 - 0.001524548940035722*b18*b40 + 0.00023454599077472646*b18*b22*b40 + 0.0004690919815494529*b18*b24*b40 + 0.0012900029492609955*b32*b40 - 0.00009772749615613601*b17*b32*b40 - 0.00023454599077472646*b24*b32*b40 + 0.00023454599077472646*b34*b40 - 0.0004104554838557713*b17*b34*b40 + 0.00023454599077472646*b22*b34*b40 + 0.00003629878428656481*b14*b42 + 0.001915458924660266*b18*b42 - 0.00023454599077472646*b18*b20*b42 - 0.000523819379396889*b18*b24*b42 - 0.0012900029492609955*b30*b42 + 0.00009772749615613601*b17*b30*b42 + 0.00023454599077472646*b24*b30*b42 - 0.0009018851788123411*b34*b42 + 0.0005472739784743617*b17*b34*b42 - 0.00023454599077472646*b20*b34*b42 - 0.000025129927583006406*b12*b50 + 0.000047467640990123215*b14*b50 + 0.00328643608502206*b18*b50 + 0.0005863649769368162*b18*b22*b50 - 0.0007427289707866338*b18*b24*b50 + 0.0018998225252752844*b32*b50 - 0.0003713644853933169*b17*b32*b50 - 0.00011727299538736323*b24*b32*b50 - 0.00003909099846245441*b17*b24*b32*b50 - 0.0021360438445555447*b34*b50 + 0.0008170018678652971*b17*b34*b50 + 0.00011727299538736323*b22*b34*b50 + 0.00003909099846245441*b17*b22*b34*b50 - 0.0007287678999071858*b42*b50 + 0.0009186384638676787*b17*b42*b50 + 0.0009381839630989058*b24*b42*b50 - 0.00039090998462454406*b17*b24*b42*b50 + 0.002251641511437374*b18*b34*b42*b50"
"b24","-560.6627406217098358405272413407017094276252176663225745789542`39.61495555991168","-0.00009620876386785346*b12 + 0.00038483505547141385*b14 + 0.06306484471537795*b18 - 0.0067346134707497425*b18*b20 + 0.00471422942952482*b18*b22 - 0.010775381553199589*b18*b24 - 0.007792909873296131*b30 + 0.0030305760618373843*b17*b30 + 0.005195273248864088*b24*b30 - 0.0026457410063659703*b17*b32 - 0.002020384041224923*b24*b32 - 0.0001443131458017802*b17*b24*b32 + 0.018472082662627867*b34 + 0.00986139829645498*b17*b34 - 0.005195273248864088*b20*b34 + 0.002020384041224923*b22*b34 + 0.0001443131458017802*b17*b22*b34 - 0.030883013201580965*b40 - 0.005050960103062307*b17*b40 + 0.008081536164899691*b22*b40 + 0.0057725258320712085*b24*b40 + 0.002020384041224923*b17*b24*b40 - 0.0053876907765997946*b18*b32*b40 - 0.01885691771809928*b18*b34*b40 + 0.029536090507431015*b42 + 0.0089955194216443*b17*b42 - 0.008081536164899691*b20*b42 - 0.0060611521236747685*b24*b42 - 0.002741949770233824*b17*b24*b42 + 0.0053876907765997946*b18*b30*b42 + 0.02828537657714892*b18*b34*b42 + 0.04112924655350736*b50 + 0.01683653367687436*b17*b50 + 0.012122304247349537*b22*b50 + 0.0016836533676874356*b17*b22*b50 - 0.009524667622917494*b24*b50 - 0.0037040374089123587*b17*b24*b50 - 0.017894830079420745*b18*b32*b50 - 0.0015393402218856554*b18*b24*b32*b50 + 0.04367877879600548*b18*b34*b50 + 0.0015393402218856554*b18*b22*b34*b50 + 0.00038483505547141385*b14*b42*b50 + 0.05329965518279082*b18*b42*b50 - 0.015778237274327967*b18*b24*b42*b50 + 0.016163072329799383*b34*b42*b50 + 0.011448842900274562*b17*b34*b42*b50"
"b30","-100.2758317583907902060698059355136460182544007144426900306088`39.25735222926838","0.017929728521352117 + 0.0021145196404323647*b17 - 0.002516453125803806*b20 + 0.00146793099005222*b22 + 0.00006990147571677238*b17*b22 - 0.0028310097665292812*b24 - 0.0003320320096546688*b17*b24 + 0.001834913737565275*b18*b30 - 0.001529094781304396*b18*b32 - 0.00006116379125217584*b18*b24*b32 + 0.006177542916469759*b18*b34 + 0.00006116379125217584*b18*b22*b34 - 0.003058189562608792*b18*b40 + 0.0009786206600348134*b18*b24*b40 - 0.00220189648507833*b32*b40 - 0.003931958009068447*b34*b40 - 0.0005504741212695825*b17*b34*b40 + 0.000017475368929193095*b14*b42 + 0.0060552153339654075*b18*b42 - 0.0012844396162956925*b18*b24*b42 + 0.00220189648507833*b30*b42 + 0.006972672202748045*b34*b42 + 0.0008737684464596548*b17*b34*b42 + 0.000026213053393789642*b14*b50 + 0.011647333391307198*b18*b50 + 0.0007863916018136893*b18*b22*b50 - 0.0017475368929193095*b18*b24*b50 - 0.0049542670914262425*b32*b50 - 0.000366982747513055*b17*b32*b50 - 0.0005504741212695825*b24*b32*b50 + 0.011324039066117125*b34*b50 + 0.0012844396162956925*b17*b34*b50 + 0.0005504741212695825*b22*b34*b50 + 0.014128835779252617*b42*b50 + 0.001529094781304396*b17*b42*b50 - 0.0045872843439131875*b24*b42*b50 - 0.00030581895626087915*b17*b24*b42*b50 + 0.006710541668810148*b18*b34*b42*b50"
"b32","-323.5371078044870009767259600958948583639086883865192560461716`39.17941892914466","0.00019050623608720643*b14 + 0.18802965501807276*b18 + 0.004000630957831335*b18*b22 - 0.020003154789156676*b18*b24 + 0.09258603073838233*b30 - 0.06667718263052226*b32 - 0.0019050623608720643*b17*b32 - 0.00266708730522089*b24*b32 + 0.2539448127042462*b34 + 0.014287967706540483*b17*b34 + 0.00266708730522089*b22*b34 - 0.11430374165232386*b40 - 0.0066677182630522245*b17*b40 + 0.04572149666092955*b24*b40 - 0.04267339688353424*b18*b34*b40 + 0.25070620669076366*b42 + 0.014287967706540483*b17*b42 - 0.053341746104417796*b24*b42 - 0.001714556124784858*b17*b24*b42 + 0.06667718263052226*b18*b34*b42 + 0.4937921639380391*b50 + 0.026670873052208898*b17*b50 + 0.03600567862048202*b22*b50 - 0.07143983853270242*b24*b50 - 0.00266708730522089*b17*b24*b50 - 0.027432897996557726*b18*b32*b50 + 0.09906324276534735*b18*b34*b50 + 0.12573411581755625*b18*b42*b50 - 0.018288598664371818*b18*b24*b42*b50 + 0.28004416704819346*b34*b42*b50 + 0.01066834922088356*b17*b34*b42*b50"
