"var","Initialvar","expression"
"b10","-6461.37435825159145525355827562958836235596`30.22768886477238","0.00013459476103200513*b10 + 0.000033648690258001284*b12*b20 + 0.0006729738051600258*b18*b20 - 0.000033648690258001284*b10*b22 + 0.00016824345129000644*b12*b30 + 0.0005383790441280205*b18*b30 + 0.000706622495418027*b18*b22*b30 - 0.00016824345129000644*b10*b32 - 0.000706622495418027*b18*b20*b32 + 0.011440554687720437*b40 + 0.0006729738051600258*b15*b40 - 0.002826489981672108*b17*b40 - 0.002860138671930109*b22*b40 - 0.00016824345129000644*b15*b22*b40 + 0.000706622495418027*b17*b22*b40 + 0.00016824345129000644*b12*b25*b40 + 0.0033648690258001285*b18*b25*b40 - 0.014300693359650545*b32*b40 - 0.0008412172564500321*b15*b32*b40 + 0.003533112477090135*b17*b32*b40 - 0.003533112477090135*b18*b25*b32*b40 + 0.002860138671930109*b20*b42 + 0.00016824345129000644*b15*b20*b42 - 0.000706622495418027*b17*b20*b42 - 0.00016824345129000644*b10*b25*b42 + 0.014300693359650545*b30*b42 + 0.0008412172564500321*b15*b30*b42 - 0.003533112477090135*b17*b30*b42 + 0.003533112477090135*b18*b25*b30*b42 + 0.011305959926688432*b50 + 0.0005383790441280205*b15*b50 - 0.002691895220640103*b17*b50 - 0.002826489981672108*b22*b50 - 0.00013459476103200513*b15*b22*b50 + 0.0006729738051600258*b17*b22*b50 + 0.00013459476103200513*b12*b25*b50 + 0.002691895220640103*b18*b25*b50 - 0.01413244990836054*b32*b50 - 0.0006729738051600258*b15*b32*b50 + 0.0033648690258001285*b17*b32*b50 - 0.002826489981672108*b18*b25*b32*b50 - 0.002691895220640103*b25*b42*b50 + 0.0005383790441280205*b17*b25*b42*b50"
"b12","-2967.21576565574191087974878068539840410752`31.57290433614237","0.00256873043460821 + 0.00012232049688610524*b15 - 0.0006116024844305262*b17 + 0.003325588509090986*b20 + 0.00011467546583072365*b15*b20 - 0.0006956978260397235*b17*b20 - 0.0006421826086520525*b22 - 0.00003058012422152631*b15*b22 + 0.00015290062110763156*b17*b22 - 0.00011467546583072365*b10*b25 + 0.00003058012422152631*b12*b25 + 0.0006116024844305262*b18*b25 + 0.010848299067586458*b30 + 0.00042047670804598673*b15*b30 - 0.0024081847824451966*b17*b30 + 0.001444910869467118*b22*b30 + 0.00003822515527690789*b15*b22*b30 - 0.00026757608693835517*b17*b22*b30 - 0.00003822515527690789*b12*b25*b30 + 0.001643681676907039*b18*b25*b30 - 0.0032109130432602623*b32 - 0.00015290062110763156*b15*b32 + 0.0007645031055381577*b17*b32 - 0.001444910869467118*b20*b32 - 0.00003822515527690789*b15*b20*b32 + 0.00026757608693835517*b17*b20*b32 + 0.00003822515527690789*b10*b25*b32 - 0.0006421826086520525*b18*b25*b32 + 0.00007645031055381578*b12*b40 - 0.0010397242235318945*b18*b40 + 0.0006421826086520525*b18*b22*b40 + 0.006880527949843419*b25*b40 - 0.0010703043477534207*b17*b25*b40 + 0.0016054565216301311*b18*b32*b40 - 0.00397541614879842*b25*b32*b40 + 0.0005351521738767103*b17*b25*b32*b40 - 0.00007645031055381578*b10*b42 - 0.0006421826086520525*b18*b20*b42 - 0.0006116024844305262*b25*b42 + 0.00012232049688610524*b17*b25*b42 - 0.0016054565216301311*b18*b30*b42 + 0.00397541614879842*b25*b30*b42 - 0.0005351521738767103*b17*b25*b30*b42 + 0.00012232049688610524*b12*b50 - 0.0012232049688610525*b18*b50 + 0.0009174037266457892*b18*b22*b50 + 0.003669614906583157*b25*b50 - 0.000489281987544421*b17*b25*b50 + 0.002018288198620736*b18*b32*b50 - 0.00256873043460821*b25*b32*b50 + 0.0003058012422152631*b17*b25*b32*b50 + 0.00397541614879842*b42*b50 + 0.0003058012422152631*b15*b42*b50 - 0.0010397242235318945*b17*b42*b50 + 0.002018288198620736*b18*b25*b42*b50"
"b15","2349.7899957460602824281341457760914618948532056298568316811812`33.665814707452306","0.00021986505435526356*b10 - 0.00007328835145175452*b12 + 0.0005863068116140362*b18 + 0.0017955646105679856*b18*b20 - 0.0005130184601622817*b18*b22 - 0.0017589204348421085*b25 + 0.00023452272464561448*b17*b25 + 0.00005496626358881589*b12*b30 + 0.0034079083425065855*b18*b30 + 0.0005130184601622817*b18*b22*b30 - 0.002418515597907899*b25*b30 + 0.00025650923008114086*b17*b25*b30 - 0.00005496626358881589*b10*b32 - 0.0010260369203245634*b18*b32 - 0.0005130184601622817*b18*b20*b32 + 0.0012312443043894761*b25*b32 - 0.00014657670290350904*b17*b25*b32 + 0.0027483131794407947*b40 + 0.00040308593298464984*b15*b40 - 0.0007695276902434225*b17*b40 + 0.00003664417572587726*b15*b22*b40 - 0.00012825461504057043*b17*b22*b40 - 0.00003664417572587726*b12*b25*b40 + 0.0036277733968618493*b18*b25*b40 + 0.0022536168071414517*b32*b40 + 0.00009161043931469314*b15*b32*b40 - 0.0007695276902434225*b17*b32*b40 - 0.00025650923008114086*b18*b25*b32*b40 - 0.0031513991124254444*b42 - 0.00021986505435526356*b15*b42 + 0.0008061718659692997*b17*b42 - 0.00003664417572587726*b15*b20*b42 + 0.00012825461504057043*b17*b20*b42 + 0.00003664417572587726*b10*b25*b42 - 0.0013338479964219324*b18*b25*b42 - 0.0022536168071414517*b30*b42 - 0.00009161043931469314*b15*b30*b42 + 0.0007695276902434225*b17*b30*b42 + 0.00025650923008114086*b18*b25*b30*b42 - 0.0054966263588815895*b50 - 0.00021986505435526356*b15*b50 + 0.0014511093587447395*b17*b50 - 0.00038476384512171126*b22*b50 + 0.00005496626358881589*b15*b22*b50 - 0.00012825461504057043*b17*b22*b50 - 0.00005496626358881589*b12*b25*b50 - 0.0005130184601622817*b18*b25*b50 + 0.0045402133724361925*b32*b50 + 0.000348119669395834*b15*b32*b50 - 0.0015940216440756608*b17*b32*b50 + 0.0013008682382686428*b18*b25*b32*b50 + 0.0005276761304526326*b18*b42*b50 - 0.003517840869684217*b25*b42*b50 + 0.0002931534058070181*b17*b25*b42*b50"
"b17","3.9911401464260289286210820334630212529986785498196121027008`35.049809656590035","0.02550791854397188 + 0.0011090399366944297*b15 - 0.006654239620166578*b17 - 0.020378608836760143*b20 + 0.00013862999208680372*b15*b20 + 0.001455614916911439*b17*b20 + 0.006307664639949568*b22 - 0.00006931499604340186*b15*b22 - 0.00048520497230381297*b17*b22 - 0.00013862999208680372*b10*b25 + 0.00006931499604340186*b12*b25 + 0.003327119810083289*b18*b25 - 0.011852864323421716*b30 + 0.0017328749010850463*b15*b30 - 0.00485204972303813*b17*b30 - 0.005822459667645756*b22*b30 + 0.00048520497230381297*b17*b22*b30 + 0.0077632795568610075*b18*b25*b30 - 0.0033964348061266904*b32 - 0.000901094948564224*b15*b32 + 0.0031191748219530835*b17*b32 + 0.005822459667645756*b20*b32 - 0.00048520497230381297*b17*b20*b32 - 0.0033964348061266904*b18*b25*b32 + 0.0005545199683472149*b12*b40 - 0.002495339857562467*b18*b40 + 0.0038816397784305037*b18*b22*b40 - 0.05337254695341943*b25*b40 + 0.00485204972303813*b17*b25*b40 + 0.00970409944607626*b18*b32*b40 + 0.002911229833822878*b25*b32*b40 - 0.0005545199683472149*b10*b42 - 0.0038816397784305037*b18*b42 - 0.0038816397784305037*b18*b20*b42 + 0.02578517852814549*b25*b42 - 0.0030498598259096816*b17*b25*b42 - 0.00970409944607626*b18*b30*b42 - 0.002911229833822878*b25*b30*b42 + 0.0009704099446076259*b12*b50 - 0.01275395927198594*b18*b50 + 0.005822459667645756*b18*b22*b50 + 0.019130938907978914*b25*b50 - 0.0030498598259096816*b17*b25*b50 + 0.014833409153287997*b18*b32*b50 - 0.023289838670583023*b25*b32*b50 + 0.002911229833822878*b17*b25*b32*b50 + 0.05046131711959655*b42*b50 + 0.0027725998417360742*b15*b42*b50 - 0.012199439303638726*b17*b42*b50 + 0.01275395927198594*b18*b25*b42*b50"
"b18","2.5336468340109553719147969294168087796707914306321887693988`37.98657294775797","0.04633175981950552*b10 - 0.02573986656639195*b12 + 1.070778449161905*b18 - 0.03603581319294873*b18*b22 - 2.347475830854946*b25 + 0.37065407855604415*b17*b25 + 0.39639394512243603*b18*b30 - 0.07207162638589747*b18*b22*b30 - 3.0270083082076935*b25*b30 + 0.36035813192948735*b17*b25*b30 - 0.36035813192948735*b18*b32 + 0.07207162638589747*b18*b20*b32 + 1.5855757804897441*b25*b32 - 0.2162148791576924*b17*b25*b32 + 5.482591578641486*b40 + 0.12869933283195978*b15*b40 - 0.9008953298237183*b17*b40 - 1.081074395788462*b22*b40 + 0.1081074395788462*b17*b22*b40 - 0.14414325277179493*b18*b25*b40 - 1.9459339124192316*b32*b40 + 0.0514797331327839*b15*b32*b40 + 0.36035813192948735*b18*b25*b32*b40 - 3.4131063067035727*b42 - 0.11840338620540297*b15*b42 + 0.7979358635581506*b17*b42 + 1.081074395788462*b20*b42 - 0.1081074395788462*b17*b20*b42 - 0.03603581319294873*b18*b25*b42 + 1.9459339124192316*b30*b42 - 0.0514797331327839*b15*b30*b42 - 0.36035813192948735*b18*b25*b30*b42 - 2.810793429050001*b50 - 0.1544391993983517*b15*b50 + 1.0192987160291214*b17*b50 - 1.7297190332615393*b22*b50 + 0.00514797331327839*b15*b22*b50 + 0.18017906596474367*b17*b22*b50 - 0.00514797331327839*b12*b25*b50 - 0.25739866566391956*b18*b25*b50 - 0.32432231873653855*b32*b50 + 0.1544391993983517*b15*b32*b50 - 0.5045013847012823*b17*b32*b50 + 0.39639394512243603*b18*b25*b32*b50 + 1.4002487412117222*b18*b42*b50 - 5.842949710570973*b25*b42*b50 + 0.7567520770519234*b17*b25*b42*b50"
"b20","778.3260065113789762401321519460236394124109542883836990995975`37.99380467147902","-0.4034150466256167 - 0.01174995281433835*b15 + 0.12996159931010598*b17 + 0.07477242700033496*b20 - 0.014954485400066992*b17*b20 - 0.04735587043354547*b22 + 0.00011868639206402374*b15*b22 + 0.008308047444481662*b17*b22 - 0.00011868639206402374*b12*b25 + 0.05993662799233199*b18*b25 - 0.20188555290090437*b30 - 0.00890147940480178*b15*b30 + 0.04984828466688997*b17*b30 - 0.014954485400066992*b22*b30 + 0.04154023722240831*b18*b25*b30 + 0.13708278283394743*b32 + 0.006527751563521305*b15*b32 - 0.04154023722240831*b17*b32 + 0.014954485400066992*b20*b32 - 0.026585751822341318*b18*b25*b32 - 0.22265567151210852*b18*b40 + 0.026585751822341318*b18*b22*b40 + 0.24924142333444987*b25*b40 - 0.054002308389130796*b17*b25*b40 + 0.04984828466688997*b18*b32*b40 + 0.1993931386675599*b25*b32*b40 - 0.020770118611204154*b17*b25*b32*b40 + 0.20770118611204155*b18*b42 - 0.026585751822341318*b18*b20*b42 - 0.2884079327155777*b25*b42 + 0.0564947226224753*b17*b25*b42 - 0.04984828466688997*b18*b30*b42 - 0.1993931386675599*b25*b30*b42 + 0.020770118611204154*b17*b25*b30*b42 - 0.00284847340953657*b12*b50 + 0.24924142333444987*b18*b50 + 0.03323218977792665*b18*b22*b50 - 0.4575360414068115*b25*b50 + 0.07726484123367947*b17*b25*b50 - 0.0564947226224753*b18*b32*b50 + 0.42121800543522026*b25*b32*b50 - 0.06231035583361247*b17*b25*b32*b50 - 0.7406030864795081*b42*b50 - 0.020176686650884033*b15*b42*b50 + 0.19274670071197456*b17*b42*b50 + 0.10966622626715793*b18*b25*b42*b50"
"b22","361.329261129345642895652696469735397377218957512852352284935`37.236500257665924","-0.0002495964508050837*b12 + 0.15924253561364338*b18 - 0.013977401245084687*b18*b20 + 0.006988700622542344*b18*b22 - 0.054911219177118414*b25 + 0.02306271205438973*b17*b25 + 0.034943503112711716*b18*b30 - 0.04193220373525406*b25*b30 + 0.013977401245084687*b17*b25*b30 - 0.038437853423982885*b18*b32 + 0.029352542614677842*b25*b32 - 0.010483050933813515*b17*b25*b32 + 0.02096610186762703*b40 + 0.002495964508050837*b15*b40 - 0.0366906782683473*b17*b40 + 0.02096610186762703*b22*b40 - 0.04193220373525406*b18*b25*b40 + 0.11531356027194868*b32*b40 - 0.008735875778177929*b17*b32*b40 - 0.02096610186762703*b18*b25*b32*b40 - 0.08061965361004203*b42 - 0.0032447538604660877*b15*b42 + 0.0489209043577964*b17*b42 - 0.02096610186762703*b20*b42 + 0.0468242941710337*b18*b25*b42 - 0.11531356027194868*b30*b42 + 0.008735875778177929*b17*b30*b42 + 0.02096610186762703*b18*b25*b30*b42 - 0.19094128486588902*b50 - 0.004243139663686423*b15*b50 + 0.07303192150556749*b17*b50 + 0.010483050933813515*b22*b50 + 0.003494350311271172*b17*b22*b50 + 0.06639265591415226*b18*b25*b50 + 0.16982542512777893*b32*b50 + 0.002246368057245753*b15*b32*b50 - 0.03319632795707613*b17*b32*b50 - 0.05241525466906758*b18*b25*b32*b50 + 0.20127457792921952*b18*b42*b50 - 0.08386440747050812*b25*b42*b50 + 0.034943503112711716*b17*b25*b42*b50"
"b25","-280.9778555651971100994500933489706015138803064550839272719745`39.97831897576879","0.361040496252795 - 0.007521677005266562*b15 + 0.19274297325995565*b17 - 0.10154263957109859*b20 + 0.03948880427764945*b22 + 0.002820628876974961*b17*b22 + 0.21060695614746375*b18*b25 - 0.15231395935664788*b30 + 0.05923320641647417*b17*b30 + 0.13162934759216482*b18*b25*b30 + 0.0018804192513166406*b15*b32 - 0.051711529411207616*b17*b32 - 0.09214054331451538*b18*b25*b32 - 0.3685621732580615*b18*b40 - 0.11282515507899843*b25*b40 - 0.03948880427764945*b17*b25*b40 - 0.10530347807373187*b18*b32*b40 - 0.1579552171105978*b25*b32*b40 + 0.5528432598870923*b18*b42 + 0.11846641283294834*b25*b42 + 0.05359194866252425*b17*b25*b42 + 0.10530347807373187*b18*b30*b42 + 0.1579552171105978*b25*b30*b42 + 0.8537103400977547*b18*b50 + 0.03008670802106625*b18*b22*b50 + 0.1861615058803474*b25*b50 + 0.07239614117569065*b17*b25*b50 - 0.34975798074489517*b18*b32*b50 - 0.23693282566589668*b25*b32*b50 - 0.032907336898041206*b17*b25*b32*b50 + 0.3159104342211956*b42*b50 - 0.007521677005266562*b15*b42*b50 + 0.2237698909066802*b17*b42*b50 + 0.308388757215929*b18*b25*b42*b50"
"b30","1.2150876638173337978495800476835139163685112406050558215601`39.17523593279113","0.6612442428918386*b18 + 0.006546972701899393*b18*b22 + 0.3030313079164862*b25 + 0.03554070895316813*b17*b25 + 0.1964091810569818*b18*b30 + 0.26936116259243215*b25*b30 - 0.16367431754748482*b18*b32 - 0.1571273448455854*b25*b32 - 0.007482254516456449*b17*b25*b32 - 0.4208768165506752*b40 - 0.058922754317094525*b17*b40 - 0.10475156323039028*b18*b25*b40 - 0.2356910172683781*b32*b40 + 0.7463548880165308*b42 - 0.0018705636291141122*b15*b42 + 0.09352818145570561*b17*b42 + 0.13748642673988723*b18*b25*b42 + 0.2356910172683781*b30*b42 + 1.2121252316659448*b50 - 0.0028058454436711683*b15*b50 + 0.13748642673988723*b17*b50 + 0.058922754317094525*b22*b50 + 0.18705636291141123*b18*b25*b50 - 0.5303047888538508*b32*b50 - 0.03928183621139635*b17*b32*b50 - 0.08417536331013505*b18*b25*b32*b50 + 0.7182964335798191*b18*b42*b50 + 0.49102295264245444*b25*b42*b50 + 0.03273486350949696*b17*b25*b42*b50"
"b32","3.4931839340981615224264195762373610485068610057236287734664`39.05047434517656","0.6291958225065583 - 0.00047201487059756803*b15 + 0.035401115294817605*b17 + 0.006608208188365952*b22 + 0.04956156141274465*b18*b25 + 0.22939922711041807*b30 - 0.16520520470914882*b32 - 0.00472014870597568*b17*b32 - 0.009912312282548928*b18*b25*b32 - 0.10573133101385523*b18*b40 - 0.11328356894341632*b25*b40 + 0.16520520470914882*b18*b42 + 0.13216416376731904*b25*b42 + 0.0042481338353781125*b17*b25*b42 + 0.24544773271073536*b18*b50 + 0.17700557647408802*b25*b50 + 0.006608208188365952*b17*b25*b50 - 0.0679701413660498*b18*b32*b50 - 0.08921081054294036*b25*b32*b50 + 0.693861859778425*b42*b50 + 0.02643283275346381*b17*b42*b50 + 0.04531342757736653*b18*b25*b42*b50"
