"var","Initialvar","expression"
"b10","213.88182635632949430425163319402498602343`22.645307427284457","0.0028557834617041755*b12*b20 - 0.011423133846816702*b16*b20 + 0.05711566923408351*b18*b20 - 0.0028557834617041755*b10*b22 - 0.014278917308520878*b16*b22*b30 + 0.059971452695787686*b18*b22*b30 + 0.014278917308520878*b16*b20*b32 - 0.059971452695787686*b18*b20*b32 + 0.014278917308520878*b12*b40 - 0.05711566923408351*b16*b40 + 0.28557834617041755*b18*b40 - 0.24274159424485492*b22*b40 + 0.059971452695787686*b17*b22*b40 + 0.07139458654260439*b16*b32*b40 - 0.29985726347893843*b18*b32*b40 - 0.014278917308520878*b10*b42 + 0.24274159424485492*b20*b42 - 0.059971452695787686*b17*b20*b42 - 0.07139458654260439*b16*b30*b42 + 0.29985726347893843*b18*b30*b42 + 0.011423133846816702*b12*b50 - 0.04569253538726681*b16*b50 + 0.22846267693633404*b18*b50 - 0.23988581078315074*b22*b50 + 0.05711566923408351*b17*b22*b50 + 0.05711566923408351*b16*b32*b50 - 0.23988581078315074*b18*b32*b50 - 0.22846267693633404*b42*b50 + 0.04569253538726681*b17*b42*b50"
"b12","206.75223175237080233190397009875497763195`22.2388964942132","-0.035461031178015745*b10 + 0.0094562749808042*b12 - 0.0378250999232168*b16 + 0.189125499616084*b18 + 1.0283699041624568*b20 - 0.21513025581329553*b17*b20 - 0.1985817745968882*b22 + 0.047281374904021*b17*b22 - 0.01182034372600525*b12*b30 - 0.13002378098605774*b16*b30 + 0.5082747802182257*b18*b30 + 0.4468089928429984*b22*b30 - 0.08274240608203674*b17*b22*b30 + 0.01182034372600525*b10*b32 + 0.047281374904021*b16*b32 - 0.1985817745968882*b18*b32 - 0.4468089928429984*b20*b32 + 0.08274240608203674*b17*b20*b32 + 2.127661870680945*b40 - 0.33096962432814697*b17*b40 - 0.0236406874520105*b16*b22*b40 + 0.1985817745968882*b18*b22*b40 - 1.229315747504546*b32*b40 + 0.16548481216407349*b17*b32*b40 - 0.189125499616084*b42 + 0.0378250999232168*b17*b42 + 0.0236406874520105*b16*b20*b42 - 0.1985817745968882*b18*b20*b42 + 1.229315747504546*b30*b42 - 0.16548481216407349*b17*b30*b42 + 1.1347529976965038*b50 - 0.1513003996928672*b17*b50 - 0.0378250999232168*b16*b22*b50 + 0.28368824942412596*b18*b22*b50 - 0.7943270983875528*b32*b50 + 0.094562749808042*b17*b32*b50 - 0.094562749808042*b16*b42*b50 + 0.6241141487330771*b18*b42*b50"
"b16","0.8807070820298413786420421587954770192799780224461737499167`30.62445686201859","-1.6605968456890812 + 0.22141291275854416*b17 - 0.20757460571113515*b16*b20 + 1.6951926133076036*b18*b20 + 0.06919153523704505*b16*b22 - 0.48434074665931537*b18*b22 - 2.2833206628224865*b30 + 0.24217037332965768*b17*b30 - 0.05189365142778379*b16*b22*b30 + 0.48434074665931537*b18*b22*b30 + 1.1624177919823568*b32 - 0.1383830704740901*b17*b32 + 0.05189365142778379*b16*b20*b32 - 0.48434074665931537*b18*b20*b32 - 0.034595767618522524*b12*b40 - 0.3805534438037478*b16*b40 + 3.4249809942337297*b18*b40 - 0.12108518666482884*b17*b22*b40 - 0.0864894190463063*b16*b32*b40 - 0.24217037332965768*b18*b32*b40 + 0.034595767618522524*b10*b42 + 0.20757460571113515*b16*b42 - 1.25928594131422*b18*b42 + 0.12108518666482884*b17*b20*b42 + 0.0864894190463063*b16*b30*b42 + 0.24217037332965768*b18*b30*b42 - 0.05189365142778379*b12*b50 + 0.20757460571113515*b16*b50 - 0.48434074665931537*b18*b50 - 0.3632555599944865*b22*b50 - 0.12108518666482884*b17*b22*b50 - 0.328659792375964*b16*b32*b50 + 1.2281497504575496*b18*b32*b50 - 3.3211936913781623*b42*b50 + 0.2767661409481802*b17*b42*b50"
"b17","1.1795468621745729364318896522584935706904860626063701439514`34.06505712987703","0.003402678895602061*b10 - 0.0017013394478010305*b12 + 0.027221431164816488*b16 - 0.08166429349444947*b18 + 0.5001937976535029*b20 - 0.03572812840382164*b17*b20 - 0.15482188974989378*b22 + 0.011909376134607214*b17*b22 + 0.04253348619502576*b16*b30 - 0.19055001815371542*b18*b30 + 0.14291251361528656*b22*b30 - 0.011909376134607214*b17*b22*b30 - 0.022117412821413395*b16*b32 + 0.0833656329422505*b18*b32 - 0.14291251361528656*b20*b32 + 0.011909376134607214*b17*b20*b32 + 1.3100313748067935*b40 - 0.11909376134607214*b17*b40 + 0.013610715582408244*b16*b22*b40 - 0.09527500907685771*b18*b22*b40 - 0.07145625680764328*b32*b40 - 0.6328982745819833*b42 + 0.07485893570324534*b17*b42 - 0.013610715582408244*b16*b20*b42 + 0.09527500907685771*b18*b20*b42 + 0.07145625680764328*b30*b42 - 0.46956968759308443*b50 + 0.07485893570324534*b17*b50 + 0.023818752269214427*b16*b22*b50 - 0.14291251361528656*b18*b22*b50 + 0.5716500544611463*b32*b50 - 0.07145625680764328*b17*b32*b50 + 0.06805357791204122*b16*b42*b50 - 0.3130464583953896*b18*b42*b50"
"b18","1.4346488462338535001609271273785824993861764068262890194567`37.3595970824473","-0.9714098157295278 + 0.15338049722045174*b17 - 0.019172562152556468*b16*b20 + 0.010651423418086926*b16*b22 - 0.014911992785321699*b18*b22 - 1.2526073939670226*b30 + 0.14911992785321698*b17*b30 - 0.029823985570643398*b18*b22*b30 + 0.6561276825541548*b32 - 0.08947195671193019*b17*b32 + 0.029823985570643398*b18*b20*b32 - 0.05325711709043464*b16*b40 - 0.059647971141286796*b18*b40 - 0.44735978355965095*b22*b40 + 0.04473597835596509*b17*b22*b40 - 0.021302846836173853*b16*b32*b40 + 0.14911992785321698*b18*b32*b40 + 0.04899654772319986*b16*b42 - 0.014911992785321699*b18*b42 + 0.44735978355965095*b20*b42 - 0.04473597835596509*b17*b20*b42 + 0.021302846836173853*b16*b30*b42 - 0.14911992785321698*b18*b30*b42 - 0.0021302846836173854*b12*b50 + 0.06390854050852156*b16*b50 - 0.10651423418086928*b18*b50 - 0.7157756536954415*b22*b50 + 0.07455996392660849*b17*b22*b50 - 0.06390854050852156*b16*b32*b50 + 0.1640319206385387*b18*b32*b50 - 2.4178731159057323*b42*b50 + 0.31315184849175565*b17*b42*b50"
"b20","-113.7079342584296306217646808596274677098374655661329975116083`34.47575926561314","0.0004532336876025048*b12 - 0.044870135072647976*b16 - 0.22888301223926494*b18 - 0.285537223189578*b20 + 0.0571074446379156*b17*b20 + 0.1808402413533994*b22 - 0.031726358132175336*b17*b22 - 0.033992526570187864*b16*b30 - 0.15863179066087668*b18*b30 + 0.0571074446379156*b22*b30 + 0.024927852818137766*b16*b32 + 0.10152434602296108*b18*b32 - 0.0571074446379156*b20*b32 - 0.9517907439652601*b40 + 0.20622132785913969*b17*b40 - 0.10152434602296108*b18*b22*b40 - 0.7614325951722081*b32*b40 + 0.07931589533043834*b17*b32*b40 + 1.1013578608740866*b42 - 0.2157392352987923*b17*b42 + 0.10152434602296108*b18*b20*b42 + 0.7614325951722081*b30*b42 - 0.07931589533043834*b17*b30*b42 + 1.747215865707656*b50 - 0.2950551306292306*b17*b50 - 0.010877608502460116*b16*b22*b50 - 0.12690543252870135*b18*b22*b50 - 1.6085263573012896*b32*b50 + 0.23794768599131502*b17*b32*b50 - 0.07704972689242581*b16*b42*b50 - 0.4187879273447145*b18*b42*b50"
"b22","2.4737993661036658770330930014867254045291570154767451274571`32.403184661891615","0.7027070678148596 - 0.295136968482241*b17 + 0.17887088998923698*b18*b20 - 0.003194123035522089*b16*b22 - 0.08943544499461849*b18*b22 + 0.536612669967711*b30 - 0.17887088998923698*b17*b30 - 0.3756288689773976*b32 + 0.13415316749192774*b17*b32 + 0.03194123035522089*b16*b40 + 0.536612669967711*b18*b40 - 0.2683063349838555*b22*b40 + 0.2683063349838555*b18*b32*b40 - 0.04152359946178716*b16*b42 - 0.5992174814639438*b18*b42 + 0.2683063349838555*b20*b42 - 0.2683063349838555*b18*b30*b42 - 0.054300091603875514*b16*b50 - 0.8496367274488756*b18*b50 - 0.13415316749192774*b22*b50 - 0.044717722497309244*b17*b22*b50 + 0.0287471073196988*b16*b32*b50 + 0.6707658374596387*b18*b32*b50 + 1.073225339935422*b42*b50 - 0.4471772249730924*b17*b42*b50"
"b30","6.9208441125836841518761395082191812684399362267260959731849`36.35566695495519","0.12125932697845354*b16 + 3.395261155396699*b18 - 1.6370009142091229*b20 + 0.6366114666368811*b22 + 0.04547224761692008*b17*b22 + 2.122038222122937*b18*b30 - 0.030314831744613385*b16*b32 - 1.4854267554860558*b18*b32 - 1.8188899046768032*b40 - 0.6366114666368811*b17*b40 - 2.5464458665475243*b32*b40 + 1.9098343999106433*b42 + 0.8639727047214815*b17*b42 + 2.5464458665475243*b30*b42 + 3.001168342716725*b50 + 1.1671210221676154*b17*b50 + 0.48503730791381416*b18*b22*b50 - 3.8196687998212866*b32*b50 - 0.5305095555307342*b17*b32*b50 + 0.12125932697845354*b16*b42*b50 + 4.971632406116595*b18*b42*b50"
"b32","3.7790386383191053271474757456307926263142724976204131307752`35.49109571248324","-1.8074284548173687 - 0.21198234963907409*b17 - 0.03904938019667154*b18*b22 - 1.6066030709487722*b30 + 0.9371851247201171*b32 + 0.044627863081910336*b17*b32 + 0.6247900831467447*b18*b40 - 0.011156965770477584*b16*b42 - 0.8200369841301024*b18*b42 - 0.016735448655716377*b16*b50 - 1.1156965770477585*b18*b50 - 0.3514444217700439*b22*b50 + 0.5020634596714912*b18*b32*b50 - 2.928703514750366*b42*b50 - 0.19524690098335773*b17*b42*b50"
"b40","53.3324800680181876622536546637556127229503626840491338224662`39.69807655073428","0.003857246883269902*b16 + 0.4050109227433397*b18 + 0.054001456365778626*b22 - 0.08100218454866795*b18*b32 - 0.9257392519847765*b40 + 1.0800291273155727*b42 + 0.034715221949429116*b17*b42 + 1.4464675812262133*b50 + 0.054001456365778626*b17*b50 - 0.7290196609380115*b32*b50 + 0.3702957007939106*b18*b42*b50"
