"var","Initialvar","expression"
"b10","-272.48123609085238351813549207006232160485`28.94348979393498","0.005675252406542903*b11 - 0.0031923294786803825*b15 + 0.007980823696700957*b17 - 0.010089337611631827*b11*b20 + 0.005675252406542903*b15*b20 - 0.014188131016357255*b17*b20 - 0.03227799806221276*b21 + 0.010089337611631827*b10*b21 + 0.014188131016357255*b16*b21 + 0.025223344029079567*b15*b21*b30 - 0.057383107666156015*b17*b21*b30 + 0.014188131016357255*b15*b31 - 0.03227799806221276*b17*b31 - 0.025223344029079567*b15*b20*b31 + 0.057383107666156015*b17*b20*b31 - 0.025223344029079567*b11*b40 + 0.014188131016357255*b15*b40 - 0.03547032754089314*b17*b40 + 0.12926963814903278*b21*b40 - 0.057383107666156015*b16*b21*b40 - 0.06305836007269891*b15*b31*b40 + 0.14345776916539005*b17*b31*b40 - 0.007980823696700957*b41 + 0.025223344029079567*b10*b41 + 0.0031923294786803825*b16*b41 - 0.12926963814903278*b20*b41 + 0.057383107666156015*b16*b20*b41 + 0.06305836007269891*b15*b30*b41 - 0.14345776916539005*b17*b30*b41"
"b11","3419.96038328061248560685768662444854221399`31.976705199870818","0.11451737802649704 + 0.12064382211844955*b10 - 0.030537967473732542*b16 - 0.8897481881235655*b20 + 0.3558992752494262*b16*b20 - 0.0542897199533023*b15*b21 + 0.2035864498248836*b17*b21 + 0.09651505769475965*b11*b30 + 0.24731983534282156*b15*b30 - 0.5504374384154261*b17*b30 - 1.0978587812778908*b21*b30 + 0.3619314663553487*b16*b21*b30 - 0.30877278223440685*b31 - 0.09651505769475965*b10*b31 + 0.06786214994162787*b16*b31 + 1.0978587812778908*b20*b31 - 0.3619314663553487*b16*b20*b31 - 0.6786214994162787*b40 + 0.2035864498248836*b16*b40 + 0.12064382211844955*b15*b21*b40 - 0.5489293906389454*b17*b21*b40 + 1.5080477764806195*b31*b40 - 0.3558992752494262*b16*b31*b40 - 0.06786214994162787*b15*b41 + 0.20019334232780223*b17*b41 - 0.12064382211844955*b15*b20*b41 + 0.5489293906389454*b17*b20*b41 - 1.5080477764806195*b30*b41 + 0.3558992752494262*b16*b30*b41"
"b15","-2.8151943827694200338007431470530392082122742680482070971275`32.405001536057384","-0.006363575450193004*b11 + 0.00715902238146713*b15 - 0.009843655774517304*b17 + 0.04454502815135103*b15*b20 - 0.1893163696432419*b17*b20 - 0.03897689963243215*b21 - 0.001590893862548251*b16*b21 + 0.20363441440617613*b30 - 0.04072688288123523*b16*b30 + 0.025454301800772017*b15*b21*b30 - 0.1336350844540531*b17*b21*b30 - 0.024499765483243067*b15*b31 + 0.046931368945173406*b17*b31 - 0.025454301800772017*b15*b20*b31 + 0.1336350844540531*b17*b20*b31 + 0.01527258108046321*b11*b40 + 0.03913598901868698*b15*b40 - 0.1622711739799216*b17*b40 + 0.057908536596756335*b21*b40 + 0.019090726350579013*b16*b21*b40 + 0.025454301800772017*b15*b31*b40 + 0.015590759852972862*b17*b31*b40 - 0.09754167994748965*b41 - 0.01527258108046321*b10*b41 + 0.02147706714440139*b16*b41 - 0.057908536596756335*b20*b41 - 0.019090726350579013*b16*b20*b41 - 0.025454301800772017*b15*b30*b41 - 0.015590759852972862*b17*b30*b41"
"b16","-3.2690981922101712486416531055035424502116258082699207620953`35.325060224818486","0.1094126112796336 + 0.012204631149275034*b10 - 0.03432552510733603*b16 + 0.651422187592555*b20 - 0.09153473361956274*b16*b20 - 0.030511577873187583*b15*b21 + 0.08009289191711741*b17*b21 + 0.09153473361956274*b15*b30 - 0.1762043622176583*b17*b30 + 0.42716209022462615*b21*b30 - 0.061023155746375166*b16*b21*b30 - 0.2936739370294305*b31 + 0.07246499744882051*b16*b31 - 0.42716209022462615*b20*b31 + 0.061023155746375166*b16*b20*b31 + 0.7627894468296895*b40 - 0.14264162655715196*b16*b40 + 0.061023155746375166*b15*b21*b40 - 0.21358104511231307*b17*b21*b40 + 0.04271620902246261*b31*b40 - 0.030511577873187583*b16*b31*b40 - 0.04500457736295169*b15*b41 + 0.061023155746375166*b17*b41 - 0.061023155746375166*b15*b20*b41 + 0.21358104511231307*b17*b20*b41 - 0.04271620902246261*b30*b41 + 0.030511577873187583*b16*b30*b41"
"b17","0.1647651790811483136367625944063351756770948064222985227542`36.91547780331309","-0.000801492699348306*b11 + 0.005911008657693757*b15 + 0.007764460524936715*b17 + 0.012022390490224591*b15*b20 + 0.014026122238595356*b17*b20 - 0.0848580395435019*b21 + 0.018033585735336886*b16*b21 + 0.2693015469810308*b30 - 0.06411941594786448*b16*b30 + 0.02805224447719071*b17*b21*b30 - 0.014026122238595356*b15*b31 - 0.0007013061119297677*b17*b31 - 0.02805224447719071*b17*b20*b31 + 0.018033585735336886*b15*b40 + 0.030857468924909783*b17*b40 + 0.19636571134033498*b21*b40 - 0.03606717147067377*b16*b21*b40 + 0.01602985398696612*b15*b31*b40 - 0.04207836671578607*b17*b31*b40 - 0.1400107559174072*b41 + 0.04137706060385629*b16*b41 - 0.19636571134033498*b20*b41 + 0.03606717147067377*b16*b20*b41 - 0.01602985398696612*b15*b30*b41 + 0.04207836671578607*b17*b30*b41"
"b20","-9.5936846156788663023567018456413656773239802269779883854122`37.73703490066867","0.21765333408613757 - 0.11808318814788155*b16 + 0.2801973956051426*b20 - 0.14410151773978763*b16*b20 - 0.016011279748865292*b15*b21 - 0.1400986978025713*b17*b21 + 0.08005639874432646*b15*b30 + 0.4202960934077139*b17*b30 - 0.22415791648411407*b21*b30 - 0.6024244005510566*b31 + 0.22015509654689777*b16*b31 + 0.22415791648411407*b20*b31 + 0.5603947912102852*b40 - 0.30021149529122426*b16*b40 + 0.33623687472617114*b17*b21*b40 + 1.1207895824205705*b31*b40 - 0.2401691962329794*b16*b31*b40 - 0.06004229905824485*b15*b41 - 0.32222700494591405*b17*b41 - 0.33623687472617114*b17*b20*b41 - 1.1207895824205705*b30*b41 + 0.2401691962329794*b16*b30*b41"
"b21","115.466120771102564590550574705369872751563823094532862403733`40.","0.07909188657199571*b15 + 0.9688756105069475*b17 + 1.10728641200794*b17*b20 + 0.55364320600397*b21 + 0.15818377314399143*b16*b21 - 1.0123761481215452*b16*b30 - 0.09491026388639486*b15*b31 - 1.66092961801191*b17*b31 + 0.15818377314399143*b15*b40 + 2.21457282401588*b17*b40 - 2.21457282401588*b21*b40 + 1.993115541614292*b17*b31*b40 + 0.1384108015009925*b41 + 0.8700107522919529*b16*b41 + 2.21457282401588*b20*b41 - 1.993115541614292*b17*b30*b41"
"b30","-0.1880735182098965260276952379026180694547468749194145642006`38.12481880410677","1.3422926200577414 + 0.3702876193262735*b16 + 2.221725715957641*b20 + 0.3702876193262735*b17*b21 - 2.5920133352839145*b17*b30 - 2.5920133352839145*b31 - 0.3702876193262735*b16*b31 + 2.962300954610188*b40 + 0.6665177147872924*b16*b40 + 4.147221336454264*b31*b40 + 0.0740575238652547*b15*b41 + 2.221725715957641*b17*b41 - 4.147221336454264*b30*b41"
"b31","3.9632162100566184246709829458036271440070407686163013569721`39.494783194338616","-0.6081069270127849*b15 - 28.88507903310728*b17 - 21.28374244544747*b21 + 155.67537331527294*b30 + 27.364811715575318*b17*b31 - 51.08098186907393*b17*b40 - 117.06058344996109*b41 - 9.121603905191773*b16*b41"
"b40","2.6912432880285709199212584574270631175029728934404249370609`40.","-14.187205025373856 - 0.6676331776646521*b16 + 14.020296730957694*b31 - 26.705327106586083*b40 - 6.008698598981868*b17*b41"
