"var","Initialvar","expression"
"b10","4733.671090449942959120145311497879247809291279240623216219889`37.78199342370989","0.25600389218894987 - 0.8090987209922366*b10 + 0.1820472122232532*b12 - 0.10240155687557996*b16 + 4.146630945085213*b20 - 0.32363948839689466*b12*b20 - 1.8406995902573384*b16*b20 - 1.0353935195197528*b22 + 0.32363948839689466*b10*b22 + 0.4551180305581331*b16*b22 - 2.0227468024805915*b15*b30 + 4.601748975643345*b17*b30 + 0.8090987209922366*b15*b22*b30 - 1.8406995902573384*b17*b22*b30 + 0.4551180305581331*b15*b32 - 1.0353935195197528*b17*b32 - 0.8090987209922366*b15*b20*b32 + 1.8406995902573384*b17*b20*b32 - 0.4551180305581331*b15*b40 + 1.1377950763953328*b17*b40 + 0.1820472122232532*b15*b22*b40 - 0.4551180305581331*b17*b22*b40"
"b12","11212.82735989899623232207524017065315658047107871264792640763`37.66811394260683","0.0051672871479101455*b15 - 0.015243497086334929*b17 + 0.00918628826295137*b15*b20 - 0.04179761159642873*b17*b20 - 0.004133829718328116*b15*b22 + 0.015501861443730437*b17*b22 + 0.11482860328689212*b30 + 0.007349030610361095*b12*b30 - 0.027099550375706542*b16*b30 - 0.08359522319285746*b22*b30 + 0.02755886478885411*b16*b22*b30 - 0.02351115652299116*b32 - 0.007349030610361095*b10*b32 + 0.0051672871479101455*b16*b32 + 0.08359522319285746*b20*b32 - 0.02755886478885411*b16*b20*b32 + 0.051672871479101455*b40 + 0.00918628826295137*b12*b40 - 0.015501861443730437*b16*b40 - 0.06774887593926636*b22*b40 + 0.027099550375706542*b16*b22*b40 + 0.01883189093905031*b15*b32*b40 - 0.04191244019971563*b17*b32*b40"
"b15","-1148.4448339118075257728564151376333031320810893497862820791522`38.78571504847841","0.3860179979601666 + 0.06044073851853373*b10 - 0.025183641049389055*b12 - 0.08499478854168806*b16 + 0.2291711335494404*b20 + 0.07555092314816717*b16*b20 - 0.15424980142750797*b22 - 0.006295910262347264*b16*b22 + 0.10073456419755622*b15*b30 + 0.06169992057100318*b17*b30 + 0.10073456419755622*b15*b22*b30 - 0.5288564620371702*b17*b22*b30 - 0.09695701804014786*b15*b32 + 0.1857293527392443*b17*b32 - 0.10073456419755622*b15*b20*b32 + 0.5288564620371702*b17*b20*b32 - 0.1548793924537427*b15*b40 + 0.6421828467594209*b17*b40 + 0.17628548734572339*b15*b22*b40 - 0.7492133212193244*b17*b22*b40 + 0.8058765135804498*b32*b40 - 0.16117530271608996*b16*b32*b40"
"b16","-666.1371133070629895119303785922993650929048335525604453650911`39.79264637111037","0.009490804868253726*b15 - 0.012868887956954206*b17 + 0.012868887956954206*b15*b20 - 0.04504110784933972*b17*b20 - 0.006434443978477103*b15*b22 + 0.016890415443502393*b17*b22 + 0.009008221569867945*b30 - 0.006434443978477103*b16*b30 + 0.09008221569867944*b22*b30 - 0.012868887956954206*b16*b22*b30 - 0.061931523292842114*b32 + 0.01528180444888312*b16*b32 - 0.09008221569867944*b20*b32 + 0.012868887956954206*b16*b20*b32 - 0.1608610994619276*b40 + 0.002573777591390841*b12*b40 + 0.030081025599380456*b16*b40 + 0.13737537894048613*b22*b40 - 0.01930333193543131*b16*b22*b40 + 0.01930333193543131*b15*b32*b40 - 0.03715891397570527*b17*b32*b40"
"b17","-191.7396967935535584173540886828120213962345309439789136709106`40.","-0.307717329752686 + 0.0017615303313212793*b12 + 0.09093900335446105*b16 - 0.4315749311737134*b20 + 0.07926886490945757*b16*b20 + 0.18650202382864045*b22 - 0.03963443245472879*b16*b22 - 0.03523060662642558*b15*b30 + 0.09248034239436717*b17*b30 - 0.06165356159624478*b17*b22*b30 + 0.03082678079812239*b15*b32 + 0.0015413390399061195*b17*b32 + 0.06165356159624478*b17*b20*b32 + 0.03963443245472879*b15*b40 + 0.06781891775586926*b17*b40 - 0.02642295496981919*b15*b22*b40 - 0.03082678079812239*b17*b22*b40 - 0.5918741913239498*b32*b40 + 0.14092242650570233*b16*b32*b40"
"b20","1.4233547920844021254845703803880650226079401604892890602706`39.65453257906108","0.03838695442299078*b15 + 0.2060099887367172*b17 + 0.21496694476874836*b17*b20 - 0.010236521179464208*b15*b22 - 0.08956956032031183*b17*b22 + 0.7165564825624946*b30 - 0.15354781769196313*b16*b30 - 0.14331129651249894*b22*b30 - 0.3851491093773408*b32 + 0.14075216621763287*b16*b32 + 0.14331129651249894*b20*b32 - 0.3582782412812473*b40 + 0.1919347721149539*b16*b40 + 0.17913912064062365*b22*b40 - 0.09212869061517787*b16*b22*b40 + 0.05118260589732104*b15*b32*b40 + 0.2687086809609355*b17*b32*b40"
"b22","4.4939294391183521693370839843667121236360390694803108919158`39.618671556099855","0.024075004532749415 + 0.15132859992013917*b16 + 0.38520007252399063*b20 - 0.09630001813099766*b22 - 0.027514290894570758*b16*b22 - 0.34668006527159156*b17*b30 + 0.016508574536742458*b15*b32 + 0.288900054392993*b17*b32 + 0.027514290894570758*b15*b40 + 0.38520007252399063*b17*b40 - 0.19260003626199532*b17*b22*b40 + 0.17609146172525286*b16*b32*b40"
"b30","0.1146521529891283005249665447066029335877039514836431095412`39.1333544417816","0.026248814287387272*b15 + 0.7874644286216181*b17 - 0.13124407143693637*b17*b22 - 1.4699336000936873*b30 + 0.9187085000585545*b32 + 0.13124407143693637*b16*b32 + 1.049952571495491*b40 + 0.23623932858648544*b16*b40 - 0.7874644286216181*b22*b40 + 0.9187085000585545*b17*b32*b40"
"b32","-0.6404027658703228320687639627708314344751155790279266859168`39.449558974460054","-1.5198742500043652 - 0.11843175974059988*b16 + 0.2763407727280664*b22 - 0.35529527922179965*b17*b32 - 0.6632178545473594*b17*b40 - 2.0212353662395715*b32*b40"
"b40","-0.2723567693685298692592289659126086827477948586150829139388`40.","(-18*b17)/(3512.341956253594 - 35*h) - (16*b40)/(702.4683912507188 - 7*h) - (6*b32)/(501.7631366076563 - 5*h) - h/(100.35262732153126 - h)"
