"var","Initialvar","expression"
"b10","-22814.17134127086059879083916043326413759174`27.372169094342723","0.00023083232206551826 + 8.733310837191516*10^-6*b13 - 0.000016156625048804306*b15 + 0.000060259844776621466*b23 + 9.980926671076018*10^-7*b15*b23 - 0.00013786154964423751*b25 - 9.980926671076018*10^-7*b13*b25 - 0.00006565897160974741*b30 - 2.484141749245587*10^-6*b13*b30 + 4.5956622361043355*10^-6*b15*b30 - 0.00001714057806979455*b23*b30 - 2.8390191419949564*10^-7*b15*b23*b30 + 0.000039213951898805336*b25*b30 + 2.8390191419949564*10^-7*b13*b25*b30 + 2.484141749245587*10^-6*b10*b33 + 0.00007641646982542576*b18*b33 + 0.00001714057806979455*b20*b33 + 2.8390191419949564*10^-7*b15*b20*b33 - 2.8390191419949564*10^-7*b10*b25*b33 - 8.733310837191516*10^-6*b18*b25*b33 - 4.5956622361043355*10^-6*b10*b35 - 0.00014137046917703767*b18*b35 - 0.000039213951898805336*b20*b35 - 2.8390191419949564*10^-7*b13*b20*b35 + 2.8390191419949564*10^-7*b10*b23*b35 + 8.733310837191516*10^-6*b18*b23*b35 - 0.0005745160015852899*b40 - 0.000021736240305898888*b13*b40 + 0.00004021204456591294*b15*b40 - 0.0001499800581107023*b23*b40 - 2.484141749245587*10^-6*b15*b23*b40 + 0.0003431220791145467*b25*b40 + 2.484141749245587*10^-6*b13*b25*b40 - 0.0001499800581107023*b18*b33*b40 + 0.00001714057806979455*b18*b25*b33*b40 + 0.00027746310750479926*b18*b35*b40 - 0.00001714057806979455*b18*b23*b35*b40 + 0.000021736240305898888*b10*b43 + 0.00014137046917703767*b18*b43 + 0.0001499800581107023*b20*b43 + 2.484141749245587*10^-6*b15*b20*b43 - 2.484141749245587*10^-6*b10*b25*b43 - 0.000016156625048804306*b18*b25*b43 + 0.0001499800581107023*b18*b30*b43 - 0.00001714057806979455*b18*b25*b30*b43 + 0.00001714057806979455*b18*b20*b35*b43 - 0.0010628546029327864*b50 - 0.00004021204456591294*b13*b50 + 0.00007439228244693893*b15*b50 - 0.00027746310750479926*b23*b50 - 4.5956622361043355*10^-6*b15*b23*b50 + 0.0006347758463619114*b25*b50 + 4.5956622361043355*10^-6*b13*b25*b50 - 0.0003431220791145467*b18*b33*b50 + 0.000039213951898805336*b18*b25*b33*b50 + 0.0006347758463619114*b18*b35*b50 - 0.000039213951898805336*b18*b23*b35*b50 - 0.0005745160015852899*b18*b43*b50 + 0.00006565897160974741*b18*b25*b43*b50 - 0.000016156625048804306*b33*b60 + 9.980926671076018*10^-7*b15*b33*b60 + 8.733310837191516*10^-6*b25*b33*b60 + 3.508919532800163*10^-6*b35*b60 - 9.980926671076018*10^-7*b13*b35*b60 - 8.733310837191516*10^-6*b23*b35*b60 - 0.00014137046917703767*b43*b60 + 8.733310837191516*10^-6*b15*b43*b60 + 0.00007641646982542576*b25*b43*b60 + 0.000060259844776621466*b18*b35*b43*b60"
"b13","-111796.74502756672953046190567808510912582645`30.52487111908042","-0.0000738031789652179*b10 + 0.00035147099357659464*b18 - 0.00045327415652577046*b20 + 2.1174851107773218*10^-6*b13*b20 - 0.000012351996479534376*b15*b20 - 2.1174851107773218*10^-6*b10*b23 + 0.00002171249381168152*b18*b23 + 0.000012351996479534376*b10*b25 - 0.00008033622710322163*b18*b25 - 0.000745751787451888*b18*b30 - 0.000024703992959068753*b18*b23*b30 + 0.00013093116268306438*b18*b25*b30 - 0.00031048866150704574*b33 + 7.444283592576522*10^-6*b15*b33 + 0.000024703992959068753*b18*b20*b33 + 0.00008684997524672608*b25*b33 + 0.00037764230308174647*b35 - 7.444283592576522*10^-6*b13*b35 - 0.00013093116268306438*b18*b20*b35 - 0.00008684997524672608*b23*b35 - 0.002069461210178989*b18*b40 - 0.00008831677482867079*b18*b23*b40 + 0.0003998958860249254*b18*b25*b40 + 0.000372875893725944*b33*b40 - 6.175998239767188*10^-6*b15*b33*b40 - 0.0000852287757087872*b25*b33*b40 - 0.0005265810499181499*b35*b40 + 6.175998239767188*10^-6*b13*b35*b40 + 0.0000852287757087872*b23*b35*b40 - 0.0014058839743063785*b43 + 0.00004342498762336304*b15*b43 + 0.00008831677482867079*b18*b20*b43 + 0.00046030486880764825*b25*b43 - 0.000372875893725944*b30*b43 + 6.175998239767188*10^-6*b15*b30*b43 + 0.0000852287757087872*b25*b30*b43 - 6.175998239767188*10^-6*b10*b35*b43 + 0.00025946430104959416*b18*b35*b43 - 0.0000852287757087872*b20*b35*b43 - 0.0018777929648067142*b18*b50 - 0.00010741825509880789*b18*b23*b50 + 0.00041332868219641906*b18*b25*b50 + 0.0011795384638175358*b33*b50 - 0.000022851193487138595*b15*b33*b50 - 0.00029247763092611753*b25*b33*b50 - 0.0015781605502055093*b35*b50 + 0.000022851193487138595*b13*b35*b50 + 0.00029247763092611753*b23*b35*b50 + 0.00428503302871472*b43*b50 - 0.00009997397150623135*b15*b43*b50 - 0.0011795384638175358*b25*b43*b50 - 0.0005265810499181499*b18*b35*b43*b50 - 0.0019656663567260402*b60 - 0.00009252968791365484*b13*b60 + 0.00014152685966316495*b15*b60 - 0.0006246829219579518*b23*b60 - 0.000011425596743569298*b15*b23*b60 + 0.0011981919085010827*b25*b60 + 0.000011425596743569298*b13*b25*b60 - 0.0008530597568678429*b18*b33*b60 + 0.00010741825509880789*b18*b25*b33*b60 + 0.0012785281356043044*b18*b35*b60 - 0.00010741825509880789*b18*b23*b35*b60 - 0.0018777929648067142*b18*b43*b60 + 0.0002500893287215726*b18*b25*b43*b60 - 0.00010964809374899167*b35*b43*b60"
"b15","-38.5515317518986968362208412584048186557`29.524779700572854","-0.0009741413990395498 - 0.00006187080287156852*b13 + 0.0001421573706412641*b15 + 0.00007130062941855356*b18*b20 - 0.0004285871086216326*b23 - 5.1525845478251596*10^-6*b15*b23 + 0.0010446168875506345*b25 + 5.1525845478251596*10^-6*b13*b25 - 0.0022685297914614012*b30 - 6.6844340079893964*10^-6*b13*b30 + 0.00005013325505992047*b15*b30 - 0.00010026651011984095*b23*b30 + 0.0006851544858189131*b25*b30 + 6.6844340079893964*10^-6*b10*b33 - 0.0004532446627162081*b18*b33 + 0.00010026651011984095*b20*b33 + 0.00002158515148413243*b18*b25*b33 - 0.00005013325505992047*b10*b35 + 0.0012982206582639042*b18*b35 - 0.0006851544858189131*b20*b35 - 0.00002158515148413243*b18*b23*b35 - 0.009824185772538978*b40 + 0.00001671108501997349*b13*b40 + 0.00016641455499056935*b15*b40 - 0.00012783980040279722*b23*b40 + 4.7745957199924255*10^-6*b15*b23*b40 + 0.002645126028875804*b25*b40 - 4.7745957199924255*10^-6*b13*b25*b40 + 0.00027879660174989106*b18*b33*b40 - 0.00003342217003994698*b18*b25*b33*b40 + 0.0004191697159176684*b18*b35*b40 + 0.00003342217003994698*b18*b23*b35*b40 - 0.00001671108501997349*b10*b43 - 0.00014476412583057765*b18*b43 + 0.00012783980040279722*b20*b43 - 4.7745957199924255*10^-6*b15*b20*b43 + 4.7745957199924255*10^-6*b10*b25*b43 - 0.00009284226245211313*b18*b25*b43 - 0.00027879660174989106*b18*b30*b43 + 0.00003342217003994698*b18*b25*b30*b43 + 0.00025066627529960237*b35*b43 - 0.00003342217003994698*b18*b20*b35*b43 - 0.004161974057435429*b50 + 0.00016167974756824352*b13*b50 - 0.00018034045917388058*b15*b50 + 0.0009686461066934634*b23*b50 + 0.00001671108501997349*b15*b23*b50 - 0.00045015485272553593*b25*b50 - 0.00001671108501997349*b13*b25*b50 + 0.0013480275249445283*b18*b33*b50 - 0.00009469614844651645*b18*b25*b33*b50 - 0.002254673516799007*b18*b35*b50 + 0.00009469614844651645*b18*b23*b35*b50 + 0.0013749567421590064*b18*b43*b50 + 0.00006187080287156852*b18*b25*b43*b50 - 0.0003609594364314274*b35*b43*b50 + 0.0017658046504438654*b18*b60 + 0.0001400548077864445*b18*b23*b60 - 0.0004322600658499809*b18*b25*b60 - 0.002554211012091917*b33*b60 + 0.000056678430026076754*b15*b33*b60 + 0.00069977668521139*b25*b33*b60 + 0.0026323657974756938*b35*b60 - 0.000056678430026076754*b13*b35*b60 - 0.00069977668521139*b23*b35*b60 - 0.011782946880977793*b43*b60 + 0.0002988101154761927*b15*b43*b60 + 0.0034874728883167493*b25*b43*b60 + 0.0016089815619595518*b18*b35*b43*b60"
"b18","-4.4201926501352095968168280647842610007242352046498466420589`37.57864377052131","-0.00034994702275534197*b10 + 0.008544001298117198*b18 - 0.0028154828648952516*b20 - 0.000018179066117160625*b15*b20 + 0.0004811771562885952*b18*b23 + 0.000018179066117160625*b10*b25 - 0.0018474617965518524*b18*b25 - 0.0015365855635530016*b18*b30 + 0.000050901385128049744*b18*b23*b30 - 0.0002545069256402487*b18*b25*b30 - 0.003458411102440364*b33 + 0.00008828208983146127*b15*b33 - 0.000050901385128049744*b18*b20*b33 + 0.0008510075326095816*b25*b33 + 0.00762128942171151*b35 - 0.00008828208983146127*b13*b35 + 0.0002545069256402487*b18*b20*b35 - 0.0008510075326095816*b23*b35 + 0.0023939557693035893*b18*b40 + 0.00006362673141006217*b18*b23*b40 - 0.00160657496810407*b18*b25*b40 + 0.0032401912970574163*b33*b40 - 0.00006362673141006217*b15*b33*b40 - 0.0007635207769207462*b25*b33*b40 - 0.0032370099604869134*b35*b40 + 0.00006362673141006217*b13*b35*b40 + 0.0007635207769207462*b23*b35*b40 - 0.011024325384471555*b43 + 0.0005788896366683335*b15*b43 - 0.00006362673141006217*b18*b20*b43 + 0.004564024977458022*b25*b43 - 0.0032401912970574163*b30*b43 + 0.00006362673141006217*b15*b30*b43 + 0.0007635207769207462*b25*b30*b43 - 0.00006362673141006217*b10*b35*b43 + 0.0043072811745416386*b18*b35*b43 - 0.0007635207769207462*b20*b35*b43 - 0.007641769275884125*b18*b50 - 0.0008939555763113736*b18*b23*b50 + 0.001608847351368715*b18*b25*b50 + 0.01157211177520506*b33*b50 - 0.0002545069256402487*b15*b33*b50 - 0.0027677628163377045*b25*b33*b50 - 0.01769021966735385*b35*b50 + 0.0002545069256402487*b13*b35*b50 + 0.0027677628163377045*b23*b35*b50 + 0.037771313184208614*b43*b50 - 0.0012446979332093413*b15*b43*b50 - 0.011633466123350476*b25*b43*b50 - 0.008024921499094092*b18*b35*b43*b50 - 0.0067786080434075425*b60 - 0.0006314953092448671*b13*b60 + 0.0014810257927324296*b15*b60 - 0.00464077472222141*b23*b60 - 0.000031813365705031086*b15*b23*b60 + 0.010432298532054492*b25*b60 + 0.000031813365705031086*b13*b25*b60 - 0.00349947022755342*b18*b33*b60 - 0.00025132558906974556*b18*b25*b33*b60 + 0.013298583365309964*b18*b35*b60 + 0.00025132558906974556*b18*b23*b35*b60 + 0.0065716471869811405*b18*b43*b60 - 0.0030597640658445975*b18*b25*b43*b60 + 0.0033900620745584615*b35*b43*b60"
"b20","699.0908517102720598203186242510675727966230627652385979274818`32.9230611381809","0.0032551694475344345 - 0.00005268260728806054*b13 + 0.00017224944447461282*b15 + 0.0001847499652841575*b18*b20 - 0.0002457318874189673*b23 - 1.4433591037824806*10^-6*b15*b23 + 0.0005472135202215329*b25 + 1.4433591037824806*10^-6*b13*b25 - 0.0003212917365019802*b30 + 0.000017320309245389767*b15*b30 + 0.00002078437109446772*b23*b30 + 0.000034640618490779534*b25*b30 - 0.00031158514652904304*b18*b33 - 0.00002078437109446772*b20*b33 - 0.00004344510902385267*b18*b25*b33 - 0.000017320309245389767*b10*b35 + 0.0019717593401856488*b18*b35 - 0.000034640618490779534*b20*b35 + 0.00004344510902385267*b18*b23*b35 + 0.00009634422017748059*b40 + 0.000017320309245389767*b13*b40 + 0.00007938475070803644*b15*b40 + 0.00023382417481276188*b23*b40 - 0.000017320309245389767*b25*b40 - 0.00002020702745295473*b18*b33*b40 + 0.000034640618490779534*b18*b25*b33*b40 + 0.0008587986667505759*b18*b35*b40 - 0.000034640618490779534*b18*b23*b35*b40 - 0.000017320309245389767*b10*b43 + 0.0014706701643243645*b18*b43 - 0.00023382417481276188*b20*b43 - 0.00045808609556296484*b18*b25*b43 + 0.00002020702745295473*b18*b30*b43 - 0.000034640618490779534*b18*b25*b30*b43 + 0.0012476396093095761*b35*b43 + 0.000034640618490779534*b18*b20*b35*b43 - 0.001081247367626652*b50 + 0.00011691208740638094*b13*b50 - 0.00022588569974195822*b15*b50 + 0.0007716197768821142*b23*b50 + 2.474329892198538*10^-6*b15*b23*b50 - 0.001454287394139691*b25*b50 - 2.474329892198538*10^-6*b13*b25*b50 + 0.0004930514698520954*b18*b33*b50 + 0.0001270156011328583*b18*b25*b33*b50 - 0.001967298458455521*b18*b35*b50 - 0.0001270156011328583*b18*b23*b35*b50 - 0.0025103623212536794*b18*b43*b50 + 0.0008732322577884008*b18*b25*b43*b50 - 0.0017666715430297562*b35*b43*b50 + 0.0055061263091094065*b18*b60 + 0.0003787374288325229*b18*b23*b60 - 0.0012388144993607348*b18*b25*b60 - 0.001005119195896525*b33*b60 + 0.00003319725938699706*b15*b33*b60 + 0.00014852165177921725*b25*b33*b60 + 0.004337415890290736*b35*b60 - 0.00003319725938699706*b13*b35*b60 - 0.00014852165177921725*b23*b35*b60 + 0.00017887278743344322*b43*b60 + 0.0002561962409213903*b15*b43*b60 + 0.0008589790866385487*b25*b43*b60 + 0.002493763691560181*b18*b35*b43*b60"
"b23","3441.9078368636764531988455484223780010187530548753134375802606`35.431682614652345","-0.00019774107620101357*b10 + 0.026508890602119473*b18 + 0.0005932232286030407*b20 + 0.0012111640917312082*b18*b23 - 0.005079473894913537*b18*b25 - 0.001384187533407095*b18*b30 - 0.00031638572192162174*b18*b25*b30 - 0.002385251731674726*b33 + 0.000049435269050253393*b15*b33 - 0.00027683750668141904*b25*b33 + 0.026536234485312893*b35 - 0.000049435269050253393*b13*b35 + 0.00031638572192162174*b18*b20*b35 + 0.00027683750668141904*b23*b35 + 0.005882797016980154*b18*b40 - 0.00039548215240202715*b18*b23*b40 - 0.0017796696858091222*b18*b25*b40 - 0.0020762813001106426*b33*b40 + 0.00047457858288243256*b25*b33*b40 + 0.01079666276057534*b35*b40 - 0.00047457858288243256*b23*b35*b40 + 0.023861786429694182*b43 + 0.0005932232286030407*b15*b43 + 0.00039548215240202715*b18*b20*b43 - 0.0023234576453619094*b25*b43 + 0.0020762813001106426*b30*b43 - 0.00047457858288243256*b25*b30*b43 + 0.008286586974548725*b18*b35*b43 + 0.00047457858288243256*b20*b35*b43 - 0.024940093235852837*b18*b50 - 0.0025706339906131767*b18*b23*b50 + 0.006050876931751015*b18*b25*b50 - 0.00007909643048040543*b15*b33*b50 + 0.0011864464572060814*b25*b33*b50 - 0.016659685669935396*b35*b50 + 0.00007909643048040543*b13*b35*b50 - 0.0011864464572060814*b23*b35*b50 - 0.03822582179310844*b43*b50 - 0.0009392701119548144*b15*b43*b50 + 0.0046271411831037175*b25*b43*b50 - 0.012734525307345274*b18*b35*b43*b50 + 0.0895728453886646*b60 - 0.0004943526905025339*b13*b60 + 0.0016857426746136408*b15*b60 + 0.0011122935536307013*b23*b60 - 5.6497450343146736*10^-6*b15*b23*b60 - 0.005485549319254903*b25*b60 + 5.6497450343146736*10^-6*b13*b25*b60 - 0.004152562600221285*b18*b33*b60 - 0.0005932232286030407*b18*b25*b33*b60 + 0.025780492809707144*b18*b35*b60 + 0.0005932232286030407*b18*b23*b35*b60 + 0.022814376666691942*b18*b43*b60 - 0.0064957943532032965*b18*b25*b43*b60 + 0.02853032965062749*b35*b43*b60"
"b25","13.5168281921980669053145140578569960017782675875778076613562`35.50476910182278","1.3893983969431878 - 0.0018856069015690123*b13 + 0.009675520413675994*b15 + 0.01206788417004168*b18*b20 + 0.0325974293108743*b23 - 0.000013468620725492945*b15*b23 - 0.14421525641821573*b25 + 0.000013468620725492945*b13*b25 - 0.01979887246647463*b30 - 0.011313641409414075*b25*b30 - 0.03011078520943017*b18*b33 - 0.0023570086269612653*b18*b25*b33 + 0.22524163691398594*b18*b35 + 0.011313641409414075*b20*b35 + 0.0023570086269612653*b18*b23*b35 + 0.28064901721227786*b40 + 0.0023570086269612653*b15*b40 - 0.015273415902709002*b23*b40 - 0.0452545656376563*b25*b40 + 0.006599624155491543*b18*b33*b40 + 0.046197369088440805*b18*b35*b40 + 0.17291604539544583*b18*b43 + 0.015273415902709002*b20*b43 - 0.04123586592868734*b18*b25*b43 - 0.006599624155491543*b18*b30*b43 + 0.31301074566045606*b35*b43 - 1.137904839881225*b50 + 0.0025455693171181665*b13*b50 - 0.008956632782452808*b15*b50 - 0.076367079513545*b23*b50 + 0.1739472366697414*b25*b50 + 0.05279699324393235*b18*b33*b50 + 0.0037712138031380247*b18*b25*b33*b50 - 0.22240733404006502*b18*b35*b50 - 0.0037712138031380247*b18*b23*b35*b50 - 0.22422223068282518*b18*b43*b50 + 0.0612822243009929*b18*b25*b43*b50 - 0.427655645275852*b35*b43*b50 + 0.7052169811868106*b18*b60 + 0.030169710425104197*b18*b23*b60 - 0.1229415699822996*b18*b25*b60 - 0.1076563690364558*b33*b60 + 0.0004714017253922531*b15*b33*b60 - 0.01838466729029787*b25*b33*b60 + 0.9961602335773418*b35*b60 - 0.0004714017253922531*b13*b35*b60 + 0.01838466729029787*b23*b35*b60 + 1.0798340398344668*b43*b60 + 0.010370837958629567*b15*b43*b60 - 0.17468969438723417*b25*b43*b60 + 0.2186125501506574*b18*b35*b43*b60"
"b30","84.6608689525392059382101845258749623991915842366781316236095`36.6950226369869","0.6634049779733353*b18 + 0.05734973244974353*b20 + 0.014337433112435882*b18*b23 - 0.08817521364148068*b18*b25 - 0.026763208476546983*b18*b30 - 0.14648077496538658*b33 + 0.00013654698202319887*b15*b33 - 0.009558288741623922*b25*b33 + 1.2756901795517355*b35 - 0.00013654698202319887*b13*b35 + 0.009558288741623922*b23*b35 + 0.06690802119136745*b18*b40 - 0.019116577483247844*b18*b25*b40 + 0.04014481271482047*b33*b40 + 0.20072406357410236*b35*b40 + 1.0896449165451272*b43 + 0.004779144370811961*b15*b43 - 0.1710933684750682*b25*b43 - 0.04014481271482047*b30*b43 + 0.15878707172022738*b18*b35*b43 - 0.538609570590508*b18*b50 - 0.019116577483247844*b18*b23*b50 + 0.07646630993299137*b18*b25*b50 + 0.2580737960238459*b33*b50 + 0.016385637842783865*b25*b33*b50 - 1.1900069483321782*b35*b50 - 0.016385637842783865*b23*b35*b50 - 1.309724514821018*b43*b50 - 0.004779144370811961*b15*b43*b50 + 0.2580737960238459*b25*b43*b50 - 0.20072406357410236*b18*b35*b43*b50 + 4.566771142834004*b60 - 0.0019116577483247843*b13*b60 + 0.014337433112435882*b15*b60 + 0.12903689801192295*b23*b60 - 0.5197319503258008*b25*b60 - 0.07646630993299137*b18*b33*b60 - 0.0027309396404639774*b18*b25*b33*b60 + 0.5261837952263969*b18*b35*b60 + 0.0027309396404639774*b18*b23*b35*b60 + 0.42486593456518335*b18*b43*b60 - 0.0860245986746153*b18*b25*b43*b60 + 1.1064914004522393*b35*b43*b60"
"b33","403.1103236458649411069520379376554470463981935661682501632041`37.10166770318379","10.100192604396554 - 0.0012231862157288823*b13 + 0.014984031142678806*b15 + 0.1412780079166859*b23 - 0.8947607168056774*b25 - 0.3596167474242914*b30 - 0.07920130746844513*b18*b33 - 0.0017124607020204353*b18*b25*b33 + 0.7966153128211313*b18*b35 + 0.0017124607020204353*b18*b23*b35 + 0.8091376817046556*b40 - 0.20549528424245223*b25*b40 + 0.11987224914143045*b18*b35*b40 + 0.617020996696738*b18*b43 - 0.08776361097854729*b18*b25*b43 + 2.000154099959868*b35*b43 - 7.715705750540823*b50 - 0.008562303510102176*b15*b50 - 0.19815616694807894*b23*b50 + 0.7706073159091958*b25*b50 + 0.09589779931314438*b18*b33*b50 - 0.5993612457071523*b18*b35*b50 - 0.6293293079925099*b18*b43*b50 + 0.08562303510102176*b18*b25*b43*b50 - 2.4659434109094267*b35*b43*b50 + 2.657739009535715*b18*b60 + 0.03131356712265939*b18*b23*b60 - 0.27399371232326963*b18*b25*b60 - 0.943993961988765*b33*b60 - 0.025686910530306528*b25*b33*b60 + 6.799004130990509*b35*b60 + 0.025686910530306528*b23*b35*b60 + 5.859505378344548*b43*b60 + 0.008562303510102176*b15*b43*b60 - 0.8669332303978453*b25*b43*b60 + 0.6207670044824077*b18*b35*b43*b60"
"b35","1.4843219865903455786963278262484441883169376393235528979305`37.550726045176916","0.5772453663726986*b18 + 0.0029938171351582424*b18*b23 - 0.043410348459794516*b18*b25 - 0.15418158246064947*b33 - 0.002395053708126594*b25*b33 + 1.645252206626212*b35 + 0.002395053708126594*b23*b35 + 0.041913439892215396*b18*b40 + 0.25148063935329235*b35*b40 + 1.364432159348369*b43 + 0.0008553763243309265*b15*b43 - 0.13771558821727917*b25*b43 + 0.0950536940412742*b18*b35*b43 - 0.35626423908383087*b18*b50 + 0.02395053708126594*b18*b25*b50 + 0.19399935035825414*b33*b50 - 1.2035144883336135*b35*b50 - 1.333745533712997*b43*b50 + 0.13857096454161008*b25*b43*b50 - 0.08382687978443079*b18*b35*b43*b50 + 6.036321221476995*b60 + 0.0029938171351582424*b15*b60 + 0.048499837589563534*b23*b60 - 0.43560039316552424*b25*b60 - 0.02395053708126594*b18*b33*b60 + 0.3263260677322484*b18*b35*b60 + 0.2904002621103495*b18*b43*b60 - 0.02309516075693501*b18*b25*b43*b60 + 1.241685656806881*b35*b43*b60"
