RunID,Tableau,YoungDiagram,SucceededQ,FailureReason,TimingSeconds,BetheRoots
syt-79115f99-5efd-4a07-9f5a-9fc280107641,"{{1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15}, {6, 7, 8, 9, 16}}","{11, 5}",true,None,55.324106,"{-1.129791850988543863858590766852567076950557120601927138015716616822041944014333545497648570882143`78.1417644414178 - 0.499719152509531625132954942062821864651478902957679357081488509771694631308359743430909107154446`77.7874919982736*I, -1.129791850988543863858590766852567076950557120601927138015716616822041944014333545497648570882143`78.1417644414178 + 0.499719152509531625132954942062821864651478902957679357081488509771694631308359743430909107154446`77.7874919982736*I, -1.112516221598040955387263600899210517943735351695296915919120858363795952920483566072414220101953`78.31206582712635 - 1.500501156174292730049961461411490843220497287881253443434506865660876809299875065559976745401541`78.44199580937571*I, -1.112516221598040955387263600899210517943735351695296915919120858363795952920483566072414220101953`78.31206582712635 + 1.500501156174292730049961461411490843220497287881253443434506865660876809299875065559976745401541`78.44199580937571*I, 1.806104172457986262765553089823872696578746077406948107869674950371675793869634223140125581968191`79.69222515496766}"
syt-7cc196d7-9672-4711-a205-bc48e52f2b2f,"{{1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 16}, {6, 7, 8, 9, 15}}","{11, 5}",true,None,56.429355,"{-1.073277094631115950592148009595866790956231665537691094113782608183070635915533522277778992223322`78.20782126231013 - 0.49980325806061240910662238449081720097411993057590047266262376551964480138985685355333575906867`77.87590848418598*I, -1.073277094631115950592148009595866790956231665537691094113782608183070635915533522277778992223322`78.20782126231013 + 0.49980325806061240910662238449081720097411993057590047266262376551964480138985685355333575906867`77.87590848418598*I, -1.057374782146889830098276946686698991053405867827057856296844868608485681093685152981234659321575`78.25181151749332 - 1.497876367310584322844453943971449417523968539673258955114675860705488488390672203540969333748732`78.40305853776778*I, -1.057374782146889830098276946686698991053405867827057856296844868608485681093685152981234659321575`78.25181151749332 + 1.497876367310584322844453943971449417523968539673258955114675860705488488390672203540969333748732`78.40305853776778*I, 0.940406802307302133607785095263202566979480144854497900821254953583112634018437350518027303089795`79.61631537381942}"
syt-9bd8eb7c-ace2-4559-b7ad-966d204e2623,"{{1, 2, 3, 4, 5, 10, 11, 12, 13, 15, 16}, {6, 7, 8, 9, 14}}","{11, 5}",true,None,83.170785,"{-1.042057321385116510376389829771689752410296342208833432733918501842376579217877043463514893666927`78.13290789652346 - 0.499835168820211836588055650813170100849656845992591266083070078986204253844320438147233447061742`77.81384309746356*I, -1.042057321385116510376389829771689752410296342208833432733918501842376579217877043463514893666927`78.13290789652346 + 0.499835168820211836588055650813170100849656845992591266083070078986204253844320438147233447061742`77.81384309746356*I, -1.026741845392515708345980972578038001911062628064686359687292038163862393683778862814502215783316`78.14777854680807 - 1.496690123414462023510183520551204995500277372476271726297441639534943958940667352944348410667537`78.31144917731018*I, -1.026741845392515708345980972578038001911062628064686359687292038163862393683778862814502215783316`78.14777854680807 + 1.496690123414462023510183520551204995500277372476271726297441639534943958940667352944348410667537`78.31144917731018*I, 0.596677119279720477374205773080401429586931807734539584842421080012477945803311812556034218900488`79.4021068625618}"
syt-d67ec4b1-5fdd-428b-9cc3-008102846f0f,"{{1, 2, 3, 4, 5, 10, 11, 12, 14, 15, 16}, {6, 7, 8, 9, 13}}","{11, 5}",true,None,127.682168,"{-1.020503033590361882615497074614707352797565636203269178246277562107472997340204685729488738554214`78.06476910347662 - 0.499852639181317114227905045725615836721876832569049240898272935408918544994378140415550325624645`77.75479679291044*I, -1.020503033590361882615497074614707352797565636203269178246277562107472997340204685729488738554214`78.06476910347662 + 0.499852639181317114227905045725615836721876832569049240898272935408918544994378140415550325624645`77.75479679291044*I, -1.005495072335978296597050712613279537055954877144790373072840804056248945933202713251320547203744`78.08231360486818 - 1.495973609709749552059876357854527071353888477914370560856894047973952887417193250392920259042727`78.25485759055138*I, -1.005495072335978296597050712613279537055954877144790373072840804056248945933202713251320547203744`78.08231360486818 + 1.495973609709749552059876357854527071353888477914370560856894047973952887417193250392920259042727`78.25485759055138*I, 0.394762633094587174134039697345052933244791270836744102638236732327443886546814797961618571515917`79.50484858953563}"
syt-285813c3-b5f9-464d-917a-260089306e46,"{{1, 2, 3, 4, 5, 10, 11, 13, 14, 15, 16}, {6, 7, 8, 9, 12}}","{11, 5}",true,None,163.829834,"{-1.003460025303935459923409331193684335982703232355751688401135397577717682524554291287149298276838`77.98320777038302 - 0.499864224967271987134843809018586421370842503934513923907516736204841396035972528675839230646239`77.680559749769*I, -1.003460025303935459923409331193684335982703232355751688401135397577717682524554291287149298276838`77.98320777038302 + 0.499864224967271987134843809018586421370842503934513923907516736204841396035972528675839230646239`77.680559749769*I, -0.988624264268624814440898894724804378215119114541648562948260659352073231601556527250595806505342`78.02566744318194 - 1.495468871216421455594334463556925333503391299188500186623567695315351323548115863974191913519632`78.2054135552812*I, -0.988624264268624814440898894724804378215119114541648562948260659352073231601556527250595806505342`78.02566744318194 + 1.495468871216421455594334463556925333503391299188500186623567695315351323548115863974191913519632`78.2054135552812*I, 0.250907112336418470560235984732251888711349039497925502698792113859581828252221637075490209564361`79.38197339950212}"
syt-8ee37b29-ac89-43bf-ad2c-dc119bc05927,"{{1, 2, 3, 4, 5, 10, 12, 13, 14, 15, 16}, {6, 7, 8, 9, 11}}","{11, 5}",true,None,573.585915,"{-0.988543184523577786728019781847948202292207527615931122203090593796653002283643057275835630920662`77.91895970759342 - 0.499872943793011917459078888794185945037385720690189805633212418255838431716185360455196132830901`77.62282369206108*I, -0.988543184523577786728019781847948202292207527615931122203090593796653002283643057275835630920662`77.91895970759342 + 0.499872943793011917459078888794185945037385720690189805633212418255838431716185360455196132830901`77.62282369206108*I, -0.973796242985252648966092415804341341562106415105140652190493106783201610778126463466593847549581`77.98313872027225 - 1.49507695129694382499483117161079778500964064197865961929793276472457846824818237402769608207309`78.16933417189738*I, -0.973796242985252648966092415804341341562106415105140652190493106783201610778126463466593847549581`77.98313872027225 + 1.49507695129694382499483117161079778500964064197865961929793276472457846824818237402769608207309`78.16933417189738*I, 0.134465016672175784654436201635408946488535112004643548787167401159709226123539041484858956940484`79.27753230080465}"
syt-29ce6edd-66e0-431e-a40a-9cb9d236d7e2,"{{1, 2, 3, 4, 5, 11, 12, 13, 14, 15, 16}, {6, 7, 8, 9, 10}}","{11, 5}",true,None,45.110116,"{-1.7009622331188641966491091191248462527253472057997277470072580864683185820372397136112079519782338748783528950758962`97.4853871802522, -1.6848984339087505000889715570035830156955387408809104332068918521395536238200862766966854554635982844796707221268301`97.05921283018588 - 1.0037944849137976676837855584448321964614175046257555036944489227995775810336656258542680118655974991308711162262814`96.83428390880268*I, -1.6848984339087505000889715570035830156955387408809104332068918521395536238200862766966854554635982844796707221268301`97.05921283018588 + 1.0037944849137976676837855584448321964614175046257555036944489227995775810336656258542680118655974991308711162262814`96.83428390880268*I, -1.5600461815709148344325936563096753774501494726254756932894791046262870851612938664977105685472847780811528303352218`97.3459605474614 - 1.9325241872389474461124433037531932008165097578163085101391377769482880043213414952972074588475967679927596317157834`97.43894803083126*I, -1.5600461815709148344325936563096753774501494726254756932894791046262870851612938664977105685472847780811528303352218`97.3459605474614 + 1.9325241872389474461124433037531932008165097578163085101391377769482880043213414952972074588475967679927596317157834`97.43894803083126*I}"
syt-90f364af-126e-45f7-a84e-4cbb1ba4f966,"{{1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14}, {7, 8, 9, 15, 16}}","{11, 5}",true,None,44.174221,"{-0.367618765139381064611536088756203804495278273292316154591119982356479449488343886785205871023801`79.10874558997939, -0.367613567848225514644353538426809164186752983027964214461376210307405439900347675804474419934961`78.62957769126689 - 1.000000194703013413384718194503369568338508716083490727462049080255187352464324072382533148797567`79.06418624391408*I, -0.367613567848225514644353538426809164186752983027964214461376210307405439900347675804474419934961`78.62957769126689 + 1.000000194703013413384718194503369568338508716083490727462049080255187352464324072382533148797567`79.06418624391408*I, 1.589473153502839064676858853809733171603688384322559791756936201485645164644519619197077355446861`78.81869925349068 - 0.587443568064470570999482366453447029768824887771740128412981588452225946215967516700960563282575`78.38641220955488*I, 1.589473153502839064676858853809733171603688384322559791756936201485645164644519619197077355446861`78.81869925349068 + 0.587443568064470570999482366453447029768824887771740128412981588452225946215967516700960563282575`78.38641220955488*I}"
syt-8f92687a-1a17-4d47-9975-a5544dace685,"{{1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 15}, {7, 8, 9, 14, 16}}","{11, 5}",true,None,61.970246,"{-0.276445314824986979243291407502442677365232282403513876008901787305277529822073199100503383825651`79.20072927625625, -0.27644526415764787599845162501324570798480266305601759966522684588772306692421950115388095624576`78.53527815073643 - 0.999996674597386705606272841573253248415052445695032966643890422568362274164921733226835776709002`79.09366755218228*I, -0.27644526415764787599845162501324570798480266305601759966522684588772306692421950115388095624576`78.53527815073643 + 0.999996674597386705606272841573253248415052445695032966643890422568362274164921733226835776709002`79.09366755218228*I, 0.653052609741100871849051493479606317856294601026217810704937044325884733976785168382142374229949`79.18109982455165, 1.402695726427418598114678545772523089885891640301831264634418434754838929693727033026122922087221`79.287062086633}"
syt-9d5af5c9-a9a0-403a-915f-9886c1e9e6c8,"{{1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 16}, {7, 8, 9, 14, 15}}","{11, 5}",true,None,48.510154,"{-0.294845023730886189974694703018247784904308670906786680999222941420715178740605417507996904759211`79.30400488941244, -0.294843978146716663059429155819028595085266861564271058956388168534438233619405628597234221637357`78.53615679419109 - 0.999996923715338560374927291007369787149346924524456375250228522895411016912233050199950098640339`79.06656319594256*I, -0.294843978146716663059429155819028595085266861564271058956388168534438233619405628597234221637357`78.53615679419109 + 0.999996923715338560374927291007369787149346924524456375250228522895411016912233050199950098640339`79.06656319594256*I, 1.003947457734040344343155586031619290372885674556726899455999639244795822989708337351232674016962`78.82908238693852 - 0.491431831555690388843463822302834236699434420480317532277204504587525606622871476186563716394211`78.51883468627726*I, 1.003947457734040344343155586031619290372885674556726899455999639244795822989708337351232674016962`78.82908238693852 + 0.491431831555690388843463822302834236699434420480317532277204504587525606622871476186563716394211`78.51883468627726*I}"
