RunID,Tableau,YoungDiagram,SucceededQ,FailureReason,TimingSeconds,BetheRoots
syt-5dc654e3-0f38-4636-8040-58bc8ce226d0,"{{1, 2, 3, 4}, {5, 6}, {7}}","{4, 2, 1}",true,None,5.869286,"{{0.368687845900623228338641285627197004219278157091575325486956310214466836194435207250585897878458`78.31374253186769 - 0.499628553590031107017609832044412962654766332394964960922450588497653647979429734550842867792892`78.44573096108486*I, 0.368687845900623228338641285627197004219278157091575325486956310214466836194435207250585897878458`78.31374253186769 + 0.499628553590031107017609832044412962654766332394964960922450588497653647979429734550842867792892`78.44573096108486*I, 0.768620616365517485060970580670770266432793020533646224026087379571066327611129585498828204243083`78.78679206072154}, {0.63577310100930606306945946926134638488292694091796875`80.}}"
syt-4ad7fdd4-842d-4255-904e-dbba16d0410d,"{{1, 2, 3, 4}, {5, 7}, {6}}","{4, 2, 1}",true,None,7.294894,"{{0.183036666435440651652856529598658126927891473822448857433314376944177967831757903513577363297128`78.79636878652416, 0.598821849919323449403562407160638521816591868374420102533342811527911016084121048243211318351436`78.49913868867526 - 0.505786745005992902381706087517659265178177293527336566058422695329376468850508973438279591388653`78.42580849383873*I, 0.598821849919323449403562407160638521816591868374420102533342811527911016084121048243211318351436`78.49913868867526 + 0.505786745005992902381706087517659265178177293527336566058422695329376468850508973438279591388653`78.42580849383873*I}, {0.328817071320350817753563887890777550637722015380859375`80.}}"
syt-dd52328c-b2c8-45ce-8801-4b8822f60635,"{{1, 2, 3, 5}, {4, 6}, {7}}","{4, 2, 1}",true,None,6.689058,"{{0, 0.288675134594812860193703898675798796064672128107416474852420068965431797070507292575569125691162`79.39794000864993, 0.866025403784438712946334646281686906220859629489337733349144735345166921462167034181235607483231`79.39794000865625}, {0.7698003589195010487600256965379230678081512451171875`80.}}"
syt-1b8e7402-f427-4404-bb0a-1ef5b649adfc,"{{1, 2, 3, 5}, {4, 7}, {6}}","{4, 2, 1}",true,None,10.076457,"{{-0.068644446703076831240449132823179150843049630511986447120310726594143753474746425423793907525461`78.48522862591491, 0.645812832591859786996183669445482036520255379373424864185155363297071876737373212711896953762731`78.70312738737165 - 0.510774521578897015338260380457190579158551086522115028063467773379836662925703341161792523047261`78.60124994266067*I, 0.645812832591859786996183669445482036520255379373424864185155363297071876737373212711896953762731`78.70312738737165 + 0.510774521578897015338260380457190579158551086522115028063467773379836662925703341161792523047261`78.60124994266067*I}, {0.1772556009790650921598142986113089136779308319091796875`80.}}"
syt-091e6a7d-9e73-4dce-ab19-05b8587be369,"{{1, 2, 3, 6}, {4, 5}, {7}}","{4, 2, 1}",true,None,8.916323,"{{-0.162422183842244599174909638826161150517592186358993418154119639564094635703820071195250632283664`78.92122330318128 - 0.499997541358968079990446838853427253377303599769674977300310098779950745362344603260943377811182`79.40954582647771*I, -0.162422183842244599174909638826161150517592186358993418154119639564094635703820071195250632283664`78.92122330318128 + 0.499997541358968079990446838853427253377303599769674977300310098779950745362344603260943377811182`79.40954582647771*I, 0.889289214726673676031022980211609495197791565711150898808239279128189271407640142390501264567327`79.49923908526766}, {0.53871991740850011520791440489119850099086761474609375`80.}}"
syt-d3f0d84d-3186-4efd-a733-dafa3cfbcd29,"{{1, 2, 3, 6}, {4, 7}, {5}}","{4, 2, 1}",true,None,8.086809,"{{-0.066971060033691775411453779733323106819698736161283940279254967596862695925269184881396886254856`78.028606625779, 0.181484360819720850311727256782153460343543593824133065329308484881360484243913050876583434009179`78.06509194738716, 0.639172828900462174157571277539756157566552977114982906199946482715502211681356134004813452245677`78.77152983414949}, {-0.1038806646361465635397536289019626565277576446533203125`80.}}"
syt-4002e0ce-de01-438d-882d-5f6999cea013,"{{1, 2, 3, 7}, {4, 5}, {6}}","{4, 2, 1}",true,None,9.85396,"{{-0.096678084315590359932520077631194854660699790348056603863885736519756379143668948973848685792651`78.47250939239093 - 0.499999952272139182588853427096470692093471503326213716965912283093658912214440040542043062783084`79.18615131903205*I, -0.096678084315590359932520077631194854660699790348056603863885736519756379143668948973848685792651`78.47250939239093 + 0.499999952272139182588853427096470692093471503326213716965912283093658912214440040542043062783084`79.18615131903205*I, 0.303244397848011610376187500285735842851539503791816332727771473039512758287337897947697371585301`79.35241985699282}, {0.16993696346485143156002095565781928598880767822265625`80.}}"
syt-c966ffbf-b654-4d96-b286-5a6c72fd8fc9,"{{1, 2, 3, 7}, {4, 6}, {5}}","{4, 2, 1}",true,None,9.256542,"{{0, -0.4999999999999999999999999999999999999999999999999999923309959913040447846181604442663231212682284072516601665081508297650352514973849987737638935088814972`132.3626860460459*I, 0.4999999999999999999999999999999999999999999999999999923309959913040447846181604442663231212682284072516601665081508297650352514973849987737638935088814972`132.3626860460459*I}, {0}}"
syt-aed4a688-2246-4b24-9ea9-666616516ce0,"{{1, 2, 4, 5}, {3, 6}, {7}}","{4, 2, 1}",true,None,7.727088,"{{-0.264256039361362591877555754036711916253937508131606829427806368274217095773887685139417648604734`79.25043122162924, 0.307624183145305227870583442346893789495369218542307994777206722288508679284594985992654401099923`78.9658740192122, 0.885219639037381595326309939300184452584021094154728522150599645985708416489292699146763247504811`79.19567425238424}, {0.74934979471856377752914113443694077432155609130859375`80.}}"
syt-ac81be23-8ce4-4937-ae71-696219ba361b,"{{1, 2, 4, 5}, {3, 7}, {6}}","{4, 2, 1}",true,None,10.168111,"{{-0.347810384779931028708183550192123383104410932666165128818721323823561417373999909735237365260289`79.39151805682154, 0.673905192389965514354091774922043161816344922061321997410677261810949232597059521905916304164972`79.40578108199811 - 0.514426127068346201716541503941721269125486032755717990775879144442759049158693122416083567370699`79.28850529716374*I, 0.673905192389965514354091774922043161816344922061321997410677261810949232597059521905916304164972`79.40578108199811 + 0.514426127068346201716541503941721269125486032755717990775879144442759049158693122416083567370699`79.28850529716374*I}, {0}}"
