Index,SYT,FlipSYT,FlipFoundQ,RootCount,FlipRootCount,Distance,SameRootsQ,Reason
7,"{{1, 4, 10, 13, 15}, {2, 5, 11, 14}, {3, 8, 12}, {6, 9}, {7}}","{{1, 2, 4, 7, 9}, {3, 5, 8, 10}, {6, 11, 13}, {12, 14}, {15}}",False,,,,False,FlipSYTNotFound
30,"{{1, 5, 8, 13, 15}, {2, 6, 11, 14}, {3, 9, 12}, {4, 10}, {7}}","{{1, 2, 4, 6, 9}, {3, 5, 7, 12}, {8, 10, 13}, {11, 14}, {15}}",False,,,,False,FlipSYTNotFound
43,"{{1, 3, 10, 13, 15}, {2, 5, 11, 14}, {4, 6, 12}, {7, 9}, {8}}","{{1, 2, 4, 7, 8}, {3, 5, 9, 12}, {6, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
47,"{{1, 6, 8, 13, 15}, {2, 7, 11, 14}, {3, 9, 12}, {4, 10}, {5}}","{{1, 2, 4, 6, 11}, {3, 5, 7, 12}, {8, 9, 13}, {10, 14}, {15}}",False,,,,False,FlipSYTNotFound
64,"{{1, 3, 9, 13, 15}, {2, 5, 11, 14}, {4, 6, 12}, {7, 10}, {8}}","{{1, 2, 4, 6, 8}, {3, 5, 9, 12}, {7, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
74,"{{1, 6, 9, 13, 15}, {2, 7, 11, 14}, {3, 8, 12}, {4, 10}, {5}}","{{1, 2, 4, 6, 11}, {3, 5, 8, 12}, {7, 9, 13}, {10, 14}, {15}}",False,,,,False,FlipSYTNotFound
86,"{{1, 3, 10, 13, 15}, {2, 5, 11, 14}, {4, 7, 12}, {6, 8}, {9}}","{{1, 2, 4, 7, 10}, {3, 5, 8, 12}, {6, 9, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
87,"{{1, 3, 10, 13, 15}, {2, 5, 11, 14}, {4, 6, 12}, {7, 8}, {9}}","{{1, 2, 4, 7, 9}, {3, 5, 8, 12}, {6, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
90,"{{1, 5, 10, 13, 15}, {2, 6, 11, 14}, {3, 7, 12}, {4, 8}, {9}}","{{1, 2, 4, 7, 12}, {3, 5, 8, 13}, {6, 9, 14}, {10, 15}, {11}}",True,20,20,5.07148803864388670441E-1,False,DistanceAboveTolerance
94,"{{1, 4, 9, 13, 15}, {2, 5, 11, 14}, {3, 6, 12}, {7, 10}, {8}}","{{1, 2, 4, 6, 8}, {3, 5, 9, 13}, {7, 10, 14}, {11, 15}, {12}}",True,20,20,4.05275834444262176595E-1,False,DistanceAboveTolerance
