source_file,syt,var,lambda_column,parameter_symbol,parameter_start,parameter_end,initial_value,final_value,residual_at_parameter_end,status
data/initial_data_5070.csv,"{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc1XM1,lambda0,h,5070,0,"(9.1499876861094480361930e+00, 0.0000000000000000e+00)","(9.86233225706684610767384905369840e+00, 0.0000000000000000e+00)","(-8.43298192583614568733206207782400e-22, 0.0000000000000000e+00)",Success
data/initial_data_5070.csv,"{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc1XM2,lambda0,h,5070,0,"(4.4244133551253547397340e+01, 0.0000000000000000e+00)","(5.04031776436792506783408000154000e+01, 0.0000000000000000e+00)","(1.10094699734195804878493523359660e-21, 0.0000000000000000e+00)",Success
data/initial_data_5070.csv,"{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc1XM6,lambda0,h,5070,0,"(8.0741335052840228128450e+05, 0.0000000000000000e+00)","(-5.14775819887612771658237802322480e+02, 0.0000000000000000e+00)","(-6.12073604398804219077505289495970e-22, 0.0000000000000000e+00)",Success
data/initial_data_5070.csv,"{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc1XM7,lambda0,h,5070,0,"(-3.3719956592258207677480e+05, 0.0000000000000000e+00)","(3.00257264607529693733758373037420e+02, 0.0000000000000000e+00)","(5.11346437167541046947621494293080e-22, 0.0000000000000000e+00)",Success
data/initial_data_5070.csv,"{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc1XM8,lambda0,h,5070,0,"(9.5363302869078456265760e+04, 0.0000000000000000e+00)","(-1.76181550318084449957754792555270e+02, 0.0000000000000000e+00)","(-2.35666733361869526581013238069650e-21, 0.0000000000000000e+00)",Success
data/initial_data_5070.csv,"{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc1XM9,lambda0,h,5070,0,"(-1.8573289307540518509580e+05, 0.0000000000000000e+00)","(-1.29747662718228300326215325767270e+01, 0.0000000000000000e+00)","(9.81543455882861511303547531438380e-22, 0.0000000000000000e+00)",Success
data/initial_data_5070.csv,"{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc2XM3,lambda0,h,5070,0,"(5.3324524383180284429210e+03, 0.0000000000000000e+00)","(5.02330854138267181078783023622040e+00, 0.0000000000000000e+00)","(1.56598171623955128498962340230160e-20, 0.0000000000000000e+00)",Success
data/initial_data_5070.csv,"{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc2XM4,lambda0,h,5070,0,"(-2.2310957483816163519070e+03, 0.0000000000000000e+00)","(-3.41391352099784866404925773083320e+00, 0.0000000000000000e+00)","(-1.73710267151180466994812023971090e-20, 0.0000000000000000e+00)",Success
data/initial_data_5070.csv,"{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc2XM5,lambda0,h,5070,0,"(6.3293999754628928291690e+02, 0.0000000000000000e+00)","(1.74465390433560032870491991225030e+00, 0.0000000000000000e+00)","(7.87065794328790949826247659711610e-21, 0.0000000000000000e+00)",Success
data/initial_data_5070.csv,"{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc2XM6,lambda0,h,5070,0,"(-1.2250825287329001205410e+03, 0.0000000000000000e+00)","(-9.29255188899324965455835994217740e-02, 0.0000000000000000e+00)","(-1.31242603971509640783283273438090e-21, 0.0000000000000000e+00)",Success
