RunID,Tableau,YoungDiagram,SucceededQ,FailureReason,TimingSeconds,BetheRoots
syt-0717c3bc-6d34-4c0b-bc69-303cf725d8d0,"{{1, 2, 3, 4, 5, 10, 11, 12, 13}, {6, 7, 8, 9, 14, 15, 16}}","{9, 7}",true,None,262.462864,"{-0.636750741751159536679872872035611892241034112649315406478571246235473027825170820590025155853514`78.61901757832746 - 1.497739988942737479923088798106552054412627096680245115727803646857243741212105865434758334310357`78.99048454418218*I, -0.636750741751159536679872872035611892241034112649315406478571246235473027825170820590025155853514`78.61901757832746 + 1.497739988942737479923088798106552054412627096680245115727803646857243741212105865434758334310357`78.99048454418218*I, -0.633230285804789050740747065403831191435007121740301010679306142667313168408192804337812220741631`78.75601220589286 - 0.499999545206380818849204422586963906767785628137513099999085978696686917304346396852710923228789`78.65342013730505*I, -0.633230285804789050740747065403831191435007121740301010679306142667313168408192804337812220741631`78.75601220589286 + 0.499999545206380818849204422586963906767785628137513099999085978696686917304346396852710923228789`78.65342013730505*I, 1.225003733008936466040290696841102251143453795084690309989294442054464336003916003643887488145932`78.7582454323349 - 1.008608185192312822749196374211533664565022612831484937391376397449953419211286041559027852345446`78.67383050846944*I, 1.225003733008936466040290696841102251143453795084690309989294442054464336003916003643887488145932`78.7582454323349 + 1.008608185192312822749196374211533664565022612831484937391376397449953419211286041559027852345446`78.67383050846944*I, 1.259757543754688105656489270253753917100315869820789714337165893696643720458895242567899776898426`79.16880933569806}"
syt-01b965b8-2b1e-4c2c-8f55-5e1861bf494e,"{{1, 2, 3, 4, 5, 10, 11, 12, 14}, {6, 7, 8, 9, 13, 15, 16}}","{9, 7}",true,None,472.067997,"{-0.491438378750613311156957375190910666467474312839152992930892243340495209122292232402946748142093`78.49068528455169 - 1.501193602949271385258203742234696295345486525299238436280564885228444632255313373178143684692918`78.97565292005191*I, -0.491438378750613311156957375190910666467474312839152992930892243340495209122292232402946748142093`78.49068528455169 + 1.501193602949271385258203742234696295345486525299238436280564885228444632255313373178143684692918`78.97565292005191*I, -0.487042804202155049304998528977297709054220108843850050063572048304749958484369872876441115558236`78.75156292797821 - 0.499999967506402633644330919034186121164834332256342662631581326639971456339150382965788835308895`78.76296577283107*I, -0.487042804202155049304998528977297709054220108843850050063572048304749958484369872876441115558236`78.75156292797821 + 0.499999967506402633644330919034186121164834332256342662631581326639971456339150382965788835308895`78.76296577283107*I, 0.476106164987734811153793060021083321406665299586728633996434811646640576043621395559210417766782`79.06776414196482, 1.114439829308370381867980423942302839786890519448232475996246885821924879584851407499782654816938`78.66730770195315 - 0.529002066261216517102144986534299350877322549544502867112905073916498702456319854242455280462534`78.34370844525121*I, 1.114439829308370381867980423942302839786890519448232475996246885821924879584851407499782654816938`78.66730770195315 + 0.529002066261216517102144986534299350877322549544502867112905073916498702456319854242455280462534`78.34370844525121*I}"
syt-4c84fb24-d37e-4310-ac94-f88dc0977b68,"{{1, 2, 3, 4, 5, 10, 11, 12, 15}, {6, 7, 8, 9, 13, 14, 16}}","{9, 7}",true,None,63.922187,"{-0.509741795607814922582251917648114144576904109109028156901807860660124404537407600122648287199901`78.51750753698987 - 1.50085622083981775226290390017386171673447557176013342976415055723804688961373363387676455448547`78.98649638219044*I, -0.509741795607814922582251917648114144576904109109028156901807860660124404537407600122648287199901`78.51750753698987 + 1.50085622083981775226290390017386171673447557176013342976415055723804688961373363387676455448547`78.98649638219044*I, -0.505488847001544011431351271655742632340053773460138002722440085792910726525323099046792480070964`78.81947284637829 - 0.499999955112997736170336690228909415325551536192452541332401412570276614676477007583874700231374`78.81473123387433*I, -0.505488847001544011431351271655742632340053773460138002722440085792910726525323099046792480070964`78.81947284637829 + 0.499999955112997736170336690228909415325551536192452541332401412570276614676477007583874700231374`78.81473123387433*I, 0.848292992193654695218428002412751097657216139111567754823591688878555709944168815894436827645667`78.80491378379051, 0.970633745923682659318483772218384392236680501489944782212452102013757276090646291222222353448032`78.49029863042857 - 0.515951546128349588658889682149427968271454114396556216948270955449316960656774225197071249173671`78.21585216233707*I, 0.970633745923682659318483772218384392236680501489944782212452102013757276090646291222222353448032`78.49029863042857 + 0.515951546128349588658889682149427968271454114396556216948270955449316960656774225197071249173671`78.21585216233707*I}"
syt-35dc16a8-0609-46f7-90c8-d4b9815b8d79,"{{1, 2, 3, 4, 5, 10, 11, 12, 16}, {6, 7, 8, 9, 13, 14, 15}}","{9, 7}",true,None,63.057079,"{-0.464975765761839018211444810247953607627070775378367882880784032171178034698080178620023122836398`78.42724277671643 - 1.502358583031450824028255906250113950414404034260616569968942924808372187314513350895532900896799`78.93658606085805*I, -0.464975765761839018211444810247953607627070775378367882880784032171178034698080178620023122836398`78.42724277671643 + 1.502358583031450824028255906250113950414404034260616569968942924808372187314513350895532900896799`78.93658606085805*I, -0.461990893660093638459352732461632970791414383764610195589292491213039971813639386060462504855383`78.81835553042804 - 0.499999988470494009332817837616198432937666680133229517241632284825243551065751270144096359816367`78.85269210952286*I, -0.461990893660093638459352732461632970791414383764610195589292491213039971813639386060462504855383`78.81835553042804 + 0.499999988470494009332817837616198432937666680133229517241632284825243551065751270144096359816367`78.85269210952286*I, 0.674712119170476697132180923436029842776148545724687046568820516944046476834659728362737681808617`78.66593859797614 - 0.999847502327899123878010942261121160288888166671433181889280070353594192519801912132279148240758`78.83675385301095*I, 0.674712119170476697132180923436029842776148545724687046568820516944046476834659728362737681808617`78.66593859797614 + 0.999847502327899123878010942261121160288888166671433181889280070353594192519801912132279148240758`78.83675385301095*I, 0.675242973553683720191484740987424485936925424102207063802512012880343059354119672635495891766329`79.41622660499317}"
syt-5e176b50-fb2d-4c26-9607-305f90ced0d6,"{{1, 2, 3, 4, 5, 10, 11, 13, 14}, {6, 7, 8, 9, 12, 15, 16}}","{9, 7}",true,None,406.034449,"{-0.472185114388108649232476274459878128878637885589802727526784970390682644617367714430616218823045`78.46923392278933 - 1.501580326854227057936902201527647250001192294764089089523321054176970839252313986113715627852099`78.97167020062858*I, -0.472185114388108649232476274459878128878637885589802727526784970390682644617367714430616218823045`78.46923392278933 + 1.501580326854227057936902201527647250001192294764089089523321054176970839252313986113715627852099`78.97167020062858*I, -0.467672684457157880123588794493317475844247793884644188214189041244150509792706259374763210244763`78.70360899926241 - 0.499999977655655412894226047822259517980976874030412625472885291018073916942796435835714815921746`78.73263697955014*I, -0.467672684457157880123588794493317475844247793884644188214189041244150509792706259374763210244763`78.70360899926241 + 0.499999977655655412894226047822259517980976874030412625472885291018073916942796435835714815921746`78.73263697955014*I, 0.298749825428744161948188385397008172325662894166655105243745075221658482173931237575309851297082`79.09427057058531, 1.152709806181822828794329241247233710899951388152838113119101474024003913323108355017724503419267`78.7439426361656 - 0.531361984809509836918743591096364827235570892840921647184113993418093894211252650073039000312668`78.4076131289051*I, 1.152709806181822828794329241247233710899951388152838113119101474024003913323108355017724503419267`78.7439426361656 + 0.531361984809509836918743591096364827235570892840921647184113993418093894211252650073039000312668`78.4076131289051*I}"
syt-837ea5be-1967-41df-bb70-4f5525f493c6,"{{1, 2, 3, 4, 5, 10, 11, 13, 15}, {6, 7, 8, 9, 12, 14, 16}}","{9, 7}",true,None,80.756586,"{-0.368054961793237514543408712784054128895115547607082443337783519132416085236911419018159937516538`78.37603255958523 - 1.504800734043835987136823956432539553373111935450666459514435654229698637974507198249258482992945`78.98759887709375*I, -0.368054961793237514543408712784054128895115547607082443337783519132416085236911419018159937516538`78.37603255958523 + 1.504800734043835987136823956432539553373111935450666459514435654229698637974507198249258482992945`78.98759887709375*I, -0.36468567269029261181843790911512812637064520227942445332159329268602911046409881420618247119379`78.72627921287487 - 0.499999998585960661822507580158949881298673016481652718616776278003941566622027407299444108307257`78.86333051434634*I, -0.36468567269029261181843790911512812637064520227942445332159329268602911046409881420618247119379`78.72627921287487 + 0.499999998585960661822507580158949881298673016481652718616776278003941566622027407299444108307257`78.86333051434634*I, 0.327851926680919945748812851339433322734383403679758177166936060516426899889821782547531122267947`78.66372610824475, 0.540287231276385295213667093800174047320491940517983164268092028118486724379145322173309090589624`78.62324524658378, 1.064998960293455393852879668546873746056499213436600576883725535001976767133053361727844604563086`79.00528393691943}"
syt-1568db34-bf4f-4f0f-8be6-3ab5f315d343,"{{1, 2, 3, 4, 5, 10, 11, 13, 16}, {6, 7, 8, 9, 12, 14, 15}}","{9, 7}",true,None,76.767577,"{-0.337896807009840997091845043415185481823619021532063000755472675828139843959650992023029050861939`78.29152951194274 - 1.505529501244000816030224409221712078458447700281126932343025310673943452291625998561040141432258`78.94043469410424*I, -0.337896807009840997091845043415185481823619021532063000755472675828139843959650992023029050861939`78.29152951194274 + 1.505529501244000816030224409221712078458447700281126932343025310673943452291625998561040141432258`78.94043469410424*I, -0.336287005841278282566801883698061747702387118534770470879872287781156823373533376061964868263117`78.65196792397262 - 0.499999999559772568170689729523171404765155491211854604414424466222382126322124661448360189916717`78.82422784146341*I, -0.336287005841278282566801883698061747702387118534770470879872287781156823373533376061964868263117`78.65196792397262 + 0.499999999559772568170689729523171404765155491211854604414424466222382126322124661448360189916717`78.82422784146341*I, 0.331664764735155963220042681861283008924860215285137737309225920915883825501245764643642875563939`78.98802917871744, 0.631824581496928814576667073800489556326164533400827102980732003151354754582561485763172481343086`78.58635751330884 - 0.499739419316606819598388936217454527318084149425111911171281709990095555756100406599634470585843`78.48450460276622*I, 0.631824581496928814576667073800489556326164533400827102980732003151354754582561485763172481343086`78.58635751330884 + 0.499739419316606819598388936217454527318084149425111911171281709990095555756100406599634470585843`78.48450460276622*I}"
syt-639343e1-3372-40c9-9bf1-ac460308814e,"{{1, 2, 3, 4, 5, 10, 11, 14, 15}, {6, 7, 8, 9, 12, 13, 16}}","{9, 7}",true,None,77.578532,"{-0.395713131396026913700868131192438310874843657184655280717732679981926881467271887066640870771393`78.3771798560908 - 1.504146756196306430698031410752938686120949205390179961181262176709880513112563175249868123896601`78.95708960535407*I, -0.395713131396026913700868131192438310874843657184655280717732679981926881467271887066640870771393`78.3771798560908 + 1.504146756196306430698031410752938686120949205390179961181262176709880513112563175249868123896601`78.95708960535407*I, -0.392947629926444300150838431607127372528682858492480068198086489455497250477774934234204179336108`78.75148506556327 - 0.499999997360506116614698311528248116654238140566245263212604438230342004798133026362514305103188`78.85612039394749*I, -0.392947629926444300150838431607127372528682858492480068198086489455497250477774934234204179336108`78.75148506556327 + 0.499999997360506116614698311528248116654238140566245263212604438230342004798133026362514305103188`78.85612039394749*I, 0.445321284469916766947498878126877391430267038292655867532463592749654551779162075105766581073195`78.62289598244944 - 0.499997364443673242592593362234624881871923044631080522459353332940544356460575607808171345808695`78.6731902445015*I, 0.445321284469916766947498878126877391430267038292655867532463592749654551779162075105766581073195`78.62289598244944 + 0.499997364443673242592593362234624881871923044631080522459353332940544356460575607808171345808695`78.6731902445015*I, 1.115618863589539430721118160941906589282326755061927712766711153375539160331769492390156938068612`79.22742093222764}"
syt-4f7d313a-087d-4739-a718-16d4353608fc,"{{1, 2, 3, 4, 5, 10, 11, 14, 16}, {6, 7, 8, 9, 12, 13, 15}}","{9, 7}",true,None,54.434702,"{-0.354706333803638318220020989724804527262785329501098404555943075530563265390037408668070230156836`78.30891919224231 - 1.505094699795412174549000609822525022338223674460605825618239331957776086588961535041378763866018`78.93661407511215*I, -0.354706333803638318220020989724804527262785329501098404555943075530563265390037408668070230156836`78.30891919224231 + 1.505094699795412174549000609822525022338223674460605825618239331957776086588961535041378763866018`78.93661407511215*I, -0.352957120454285987264821561212187139748193784368304971007276574567716507096073798872518897364541`78.6773255607935 - 0.49999999926109689700397828239801425743433171705021869004170086189889455915884736345520205241877`78.82857361683708*I, -0.352957120454285987264821561212187139748193784368304971007276574567716507096073798872518897364541`78.6773255607935 + 0.49999999926109689700397828239801425743433171705021869004170086189889455915884736345520205241877`78.82857361683708*I, 0.559004850827236127642816464415541960471323377214706823694083167572148131638769262289121839143418`78.92692499175028, 0.562352891714468956412690202091132087927928204070643713716178066312205706666726576396028207949668`78.48630043762849 - 0.499923079021034523525203587652038956020470201205221483415387952060198265870139508031127373551791`78.43519469141201*I, 0.562352891714468956412690202091132087927928204070643713716178066312205706666726576396028207949668`78.48630043762849 + 0.499923079021034523525203587652038956020470201205221483415387952060198265870139508031127373551791`78.43519469141201*I}"
syt-d0cf19d5-298a-420f-a11f-69571e04ab69,"{{1, 2, 3, 4, 5, 10, 11, 15, 16}, {6, 7, 8, 9, 12, 13, 14}}","{9, 7}",true,None,70.243262,"{-0.942323038877236253468085666611878523629930792440489073229444980157818862786439831256938201224072`77.76894871886309 - 1.939544522648586467639935906607112601347543328376678559608620454661779869219574413907214257698996`78.08244866291035*I, -0.942323038877236253468085666611878523629930792440489073229444980157818862786439831256938201224072`77.76894871886309 + 1.939544522648586467639935906607112601347543328376678559608620454661779869219574413907214257698996`78.08244866291035*I, -0.861475299298790190313677589027601843258854380416737555412883203931699579361603404234692015835842`77.80089793138727 - 0.999812823615786020208173637441154500098632862053573988547687605866397533803954823986645581078364`77.86557380447927*I, -0.861475299298790190313677589027601843258854380416737555412883203931699579361603404234692015835842`77.80089793138727 + 0.999812823615786020208173637441154500098632862053573988547687605866397533803954823986645581078364`77.86557380447927*I, -0.861245452016408813815872391555177101622031918091583668313339940467583833607554968295600919467872`78.62394540206928, 0.320448739073914398166392544320656884857165023504580962798998154323310358951820719639430676793849`78.62423786858103 - 0.499999988646533030192778989804896618582730124329178974798456902802857568003783836160361326359323`78.81744929602706*I, 0.320448739073914398166392544320656884857165023504580962798998154323310358951820719639430676793849`78.62423786858103 + 0.499999988646533030192778989804896618582730124329178974798456902802857568003783836160361326359323`78.81744929602706*I}"
