source_file,syt,var,lambda_column,parameter_symbol,parameter_start,parameter_end,initial_value,final_value,residual_at_parameter_end,status
"data/{4, 0}_{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}.csv","{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc1XM1,lambda0,h,70,0,"(9.1588386497071204017250e+00, 0.0000000000000000e+00)","(9.8623322570668431871010e+00, 0.0000000000000000e+00)","(-1.8973538018496327595130e-19, 0.0000000000000000e+00)",Success
"data/{4, 0}_{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}.csv","{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc1XM2,lambda0,h,70,0,"(4.4316164726879181982740e+01, 0.0000000000000000e+00)","(5.0403177643679223532500e+01, 0.0000000000000000e+00)","(-1.5585406229479126238860e-18, 0.0000000000000000e+00)",Success
"data/{4, 0}_{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}.csv","{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc1XM6,lambda0,h,70,0,"(1.0511550580452122689800e+04, 0.0000000000000000e+00)","(-5.1477581988761256974120e+02, 0.0000000000000000e+00)","(8.6736173798840354720600e-19, 0.0000000000000000e+00)",Success
"data/{4, 0}_{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}.csv","{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc1XM7,lambda0,h,70,0,"(-4.1881977557054974896920e+03, 0.0000000000000000e+00)","(3.0025726460752964184880e+02, 0.0000000000000000e+00)","(-1.8295911660692887323880e-18, 0.0000000000000000e+00)",Success
"data/{4, 0}_{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}.csv","{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc1XM8,lambda0,h,70,0,"(1.1024082420622641663580e+03, 0.0000000000000000e+00)","(-1.7618155031808437051620e+02, 0.0000000000000000e+00)","(-3.0303450720969848930510e-17, 0.0000000000000000e+00)",Success
"data/{4, 0}_{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}.csv","{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc1XM9,lambda0,h,70,0,"(-2.4962280603783366201430e+03, 0.0000000000000000e+00)","(-1.2974766271823158474610e+01, 0.0000000000000000e+00)","(4.9344751375246520552760e-17, 0.0000000000000000e+00)",Success
"data/{4, 0}_{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}.csv","{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc2XM3,lambda0,h,70,0,"(7.8237977736226209512540e+01, 0.0000000000000000e+00)","(5.0233085413826706107250e+00, 0.0000000000000000e+00)","(3.1490990913020378005880e-17, 0.0000000000000000e+00)",Success
"data/{4, 0}_{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}.csv","{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc2XM4,lambda0,h,70,0,"(-3.5431945977582597966670e+01, 0.0000000000000000e+00)","(-3.4139135209978457295060e+00, 0.0000000000000000e+00)","(5.0378131570896766966430e-17, 0.0000000000000000e+00)",Success
"data/{4, 0}_{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}.csv","{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc2XM5,lambda0,h,70,0,"(1.1437927701605703109360e+01, 0.0000000000000000e+00)","(1.7446539043355977171330e+00, 0.0000000000000000e+00)","(6.2477150189477193009680e-17, 0.0000000000000000e+00)",Success
"data/{4, 0}_{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}.csv","{{1, 2, 3, 5, 6, 10}, {4, 7, 12, 13}, {8, 11, 15, 17}, {9, 14, 16, 18}}",SUSYc2XM6,lambda0,h,70,0,"(-1.6943603466425003486710e+01, 0.0000000000000000e+00)","(-9.2925518889930631468330e-02, 0.0000000000000000e+00)","(2.2327788489623356937840e-17, 0.0000000000000000e+00)",Success
